Loc,New Plant,Item,Size,Plant Name,Common Name,CAT,Zone,Royalty Code,YOUR 2014 ORDER QTY,QTY AVAIL NOW,"2ND 
QTY AVAIL","2ND
 QTY 
READY DATE","3RD 
QTY 
AVAIL","3RD 
QTY 
READY DATE",2014 List Price,Condition,Current Specs,"YOUR 
5%
 DISC
PRICE"
CA,    ,000171ST,#1 STAKED,ABUTILON ALBUS,White Flowering Maple                                       ,EVS,09,,,     , 196 ,04/01/14  ,     ,          , 7.50 ,,, 7.13 
CA,    ,000175ST,#5 STAKED,ABUTILON ALBUS,White Flowering Maple                                       ,EVS,09,,,     , 26 ,04/15/14  ,     ,          , 24.50 ,,, 23.28 
CA,    ,000155ST,#5 STAKED,ABUTILON LUTEUS,Yellow Flowering Maple                                      ,EVS,09,,,     , 38 ,04/15/14  ,     ,          , 24.50 ,,"36""H - 15""S", 23.28 
CA,    ,000131ST,#1 STAKED,ABUTILON ROSEUS,Pink Flowering Maple                                        ,EVS,09,,, 167 ,     ,          ,     ,          , 7.50 ,-,"24""H", 7.13 
CA,    ,000135ST,#5 STAKED,ABUTILON ROSEUS,Pink Flowering Maple                                        ,EVS,09,,, 8 ,     ,          ,     ,          , 24.50 ,BUDS & BLOOMS,3/4ST, 23.28 
CA,    ,040025,#5,ACACIA ITEAPHYLLA,Willow Wattle                                               ,EVS,09,,,     , 215 ,04/15/14  ,     ,          , 20.50 ,-,"24""H", 19.48 
CA,2012,079092,#2,AEONIUM CANARIENSE,Giant Velvet Rose                                           ,CAC,09,,, 376 ,     ,          ,     ,          , 16.25 ,-,"10""S", 15.44 
CA,    ,001651,#1,AGAPANTHUS AFRICANUS,Lily Of The Nile                                            ,EVS,08,,, 771 ,     ,          ,     ,          , 5.00 ,-,"10""H", 4.75 
CA,    ,099571,#1,AGAPANTHUS BABY PETE TMPP21705,Baby Pete™  Lily Of The Nile,EVS,08,PPP,," 3,371 ",     ,          ,     ,          , 7.00 ,-,"4""H", 6.65 
CA,    ,001751,#1,AGAPANTHUS PETER PAN,Dwarf Lily Of The Nile                                      ,EVS,08,,, 24 ,     ,          ,     ,          , 5.50 ,-,3-5 FANS, 5.23 
CA,    ,001801,#1,AGAPANTHUS QUEEN ANNE-DIVISION,Queen Anne Lily Of The Nile                                 ,EVS,08,,, 30 ,     ,          ,     ,          , 6.50 ,-,3-5 FANS, 6.18 
CA,2013,074122,#2,AGAVE BRACTEOSA CALAMAR,Calamar Squid Agave                                         ,CAC,08,,, 493 ," 1,147 ",05/01/14  ,     ,          , 17.75 ,-,"4""H - 10""S", 16.86 
CA,    ,021599,#15,AGAVE DESMETTIANA VARIEGATA,Variegated Dwarf Agave                                      ,CAC,09,,,     , 278 ,04/01/14  ,     ,          , 50.00 ,,"18""H - 20""S", 47.50 
CA,2011,068812,#2,AGAVE POTATORUM KISSHO KAN,Lucky Crown Century Plant                                   ,CAC,09,,, 98 ,     ,          ,     ,          , 17.75 ,-,"4""H - 8""S", 16.86 
CA,    ,025242,#2,AGAVE VICTORIA-REGINAE,Queen Victoria Agave                                        ,CAC,09,,,     , 59 ,05/01/14  ,     ,          , 17.75 ,-,"4""H - 9""S", 16.86 
CA,    ,034295TR,#5 TREE,AGONIS FLEX AFTER DARK,Purple Peppermint Willow                                    ,EVS,10,,,     , 4 ,04/01/14  ,     ,          , 25.00 ,-,"48""H", 23.75 
