Loc,New Plant,Item,Size,Plant Name,Common Name,CAT,Zone,Qty Cfm,END CAP AVAIL,YOUR BOOKED QTY REMAIN,Condition,Current Specs,"QTY 
AVAIL NOW","2ND 
QTY 
AVAIL","2ND 
QTY 
READY DATE",2014 List Price,"YOUR 
20%
DISC PRICE",Freight,Landed Price,YOUR RETAIL PRICE,SKU,UPC#,,,
OR,2012,080252,#2,KNIPH MANGO POPSICLE TM PPAF,Mango Popsicle™  Dwarf Poker,PRN,05,     ,,,,,     , 20 ,06/01/14  , 12.50 , 10.00 , 1.15 , 11.15 ,     ,,014949380055,,,
OR,2012,080261,#1,KNIPH PINEAPPL POPSICLE TM PAF,Pineapple Popsicle Dwarf Poker                              ,PRN,05,     ,,,CUT BACK,., 20 ,     ,          , 5.50 , 4.40 , 0.46 , 4.86 ,     ,,014949358894,,,
OR,2012,080272,#2,KNIPH REDHOT POPSICLE TM PPAF,Redhot Popsicle™  Poker,PRN,05,     ,,,,,     , 20 ,06/01/14  , 12.50 , 10.00 , 1.15 , 11.15 ,     ,,014949380079,,,
CA,    ,054222,#2,KNIPHOFIA UV FLAMENCO,Flamenco Red Hot Poker                                      ,PRN,05,     ,,,-,"13""H",     , 192 ,04/01/14  , 12.50 , 10.00 , 1.24 , 11.24 ,     ,,014949276297,,,
OR,2011,074661S,SuperOne TM,KOLKWITZIA AMA DREAM CATCHR TM,Dream Catcher™  Beauty Bush,DCS,04,     ,,,BREAKING DORMANCY,"8""H - 8""S", 389 ,     ,          , 9.75 , 7.80 , 0.77 , 8.57 ,     ,,014949336397,,,
CA,    ,028431,#1,LAG ARAPAHO,Arapaho Crape Myrtle                                        ,DCS,06,     ,,,DORMANT,"9""H - 6""S", 14 ,     ,          , 6.75 , 5.40 , 0.49 , 5.89 ,     ,,014949063392,,,
CA,    ,028445,#5,LAG CHEYENNE,Cheyenne Crape Myrtle                                       ,DCS,06,     ,,,BREAKING DORMANCY,"21""H *", 64 ,     ,          , 19.25 , 15.40 , 2.47 , 17.87 ,     ,,014949063477,,,
CA,    ,054551,#1,LAG X PECOS,Pecos Crape Myrtle                                          ,DCS,06,     ,,,-,"12""H - 9""S",     , 23 ,05/01/14  , 6.75 , 5.40 , 0.49 , 5.89 ,     ,,014949545515,,,
CA,    ,054571,#1,LAG X ZUNI,Zuni Crape Myrtle                                           ,DCS,06,     ,,,-,"12""H - 9""S",     , 5 ,05/01/14  , 6.75 , 5.40 , 0.49 , 5.89 ,     ,,014949545713,,,
OR,    ,024901,#1,LAMIUM M PURPLE DRAGON P15890,Purple Dragon Dead Nettle                                   ,PRN,04,     ,,,-,CAN FULL, 10 ,,, 4.75 , 3.80 , 0.46 , 4.26 ,     ,,014949049822,,,
OR,2011,053425,#5,LARIX LARICINA BLUE SPARKLER,Blue Sparkler Larch                                         ,CON,03,     ,,,BREAKING DORMANCY,"18""S", 153 ,     ,          , 39.00 , 31.20 , 2.30 , 33.50 ,     ,,014949298213,,,
OR,    ,009161,#1,LAVANDULA ANG HIDCOTE,Hidcote Blue English Lavender                               ,PRN,05,     ,,,CUT BACK,"5""H - 6""S",     , 44 ,05/01/14  , 5.50 , 4.40 , 0.46 , 4.86 ,     ,,014949053560,,,
CA,    ,018211,#1,LAVANDULA ANG HIDCOTE SUPERIOR,Hidcote Superior English Lavender                           ,PRN,05,     ,,,-,"4""H - 6""S",     , 865 ,05/01/14  , 5.50 , 4.40 , 0.49 , 4.89 ,     ,,014949054055,,,
CA,    ,057311,#1,LAVANDULA ANG MUNSTEAD,Munstead Lavender                                           ,PRN,05,     ,,,-,"5""H - 6""S",     ," 2,154 ",5/1/2014, 5.50 , 4.40 , 0.49 , 4.89 ,     ,,014949573112,,,
CA,    ,057391,#1,LAVANDULA DEN GOODWIN CRK GRAY,Goodwin Creek Gray Lavender                                 ,PRN,05,     ,,,-,7''H - 7''S *,     ," 1,751 ",05/01/14  , 5.50 , 4.40 , 0.49 , 4.89 ,     ,,014949573914,,,
OR,    ,028131,#1,LAVANDULA X INT PROVENCE,Provence French Lavender                                    ,PRN,05,     ,,,,"5""H - 6""S",     , 52 ,05/01/14  , 5.50 , 4.40 , 0.46 , 4.86 ,     ,,014949062425,,,
OR,    ,021481,#1,LEONTOPODIUM ALPINUM,Edelweiss                                                   ,PRN,04,     ,,,-,, 475 ,     ,          , 4.75 , 3.80 , 0.46 , 4.26 ,     ,,014949024225,,,
CA,    ,020771,#1,LEPTODERMIS OBLONGA,Himalayan Leptodermis                                       ,DCS,05,     ,,,DORMANT,"10""H - 8""S *", 476 ,,, 7.75 , 6.20 , 0.49 , 6.69 ,     ,,014949039694,,,
