Branch,item,Description,Category,Shippable,"Open
Now","Rep
Allocation","Rep
Orders","Now Available
For Rep",Price,Code,Future
550000,028343,ABELIA CHIN BRONZ ANNIV R PPAF,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,025692,ABELIA CHIN BRONZ ANNIV R PPAF,EVS,39,4,0,0,4,$18.50 ,,
550000,407531,ABELIA CHIN RUBY ANNIV TM PPAF,EVS,660,42,0,0,42,$8.50 ,,
,029061,,,,,,,,,,
,000511,,,,,,,,,,
,001351,,,,,,,,,,
,037331,,,,,,,,,,
,036901,,,,,,,,,,
,045931,,,,,,,,,,
,003041,,,,,,,,,,
,002691,,,,,,,,,,
,001011,,,,,,,,,,
,003565,,,,,,,,,,
,078762S,,,,,,,,,,
,078751S,,,,,,,,,,
,078772S,,,,,,,,,,
,078782S,,,,,,,,,,
,012033,,,,,,,,,,
,035233,,,,,,,,,,
,013783,,,,,,,,,,
,077392S,,,,,,,,,,
,074402S,,,,,,,,,,
,074402S,,,,,,,,,,
,013825PY,,,,,,,,,,
,013825SP,,,,,,,,,,
,013905,,,,,,,,,,
,013882,,,,,,,,,,
,023021,,,,,,,,,,
,004221,,,,,,,,,,
,004221,,,,,,,,,,
,027011,,,,,,,,,,
,027261,,,,,,,,,,
,027441,,,,,,,,,,
,408551,,,,,,,,,,
,408551,,,,,,,,,,
,408551,,,,,,,,,,
,027961,,,,,,,,,,
,03039M,,,,,,,,,,
,030395,,,,,,,,,,
,031385,,,,,,,,,,
,031331,,,,,,,,,,
,004721,,,,,,,,,,
,087021,,,,,,,,,,
,059741,,,,,,,,,,
,036281,,,,,,,,,,
,048651,,,,,,,,,,
,057301,,,,,,,,,,
,035405,,,,,,,,,,
,035405,,,,,,,,,,
,018761,,,,,,,,,,
,036121,,,,,,,,,,
,036241,,,,,,,,,,
,035711,,,,,,,,,,
,412641,,,,,,,,,,
,037611,,,,,,,,,,
,408761,,,,,,,,,,
,038241,,,,,,,,,,
,023081,,,,,,,,,,
,005231,,,,,,,,,,
,038331,,,,,,,,,,
,061813,,,,,,,,,,
,005455,,,,,,,,,,
,061563,,,,,,,,,,
,061665,,,,,,,,,,
,061553,,,,,,,,,,
,061573,,,,,,,,,,
,061643,,,,,,,,,,
,064261,,,,,,,,,,
,064262,,,,,,,,,,
,075431,,,,,,,,,,
,040511,,,,,,,,,,
,040511,,,,,,,,,,
,040091,,,,,,,,,,
,040111,,,,,,,,,,
,054491,,,,,,,,,,
,403231,,,,,,,,,,
,039611,,,,,,,,,,
,097161,,,,,,,,,,
,023101,,,,,,,,,,
,047531,,,,,,,,,,
,029531,,,,,,,,,,
,028871,,,,,,,,,,
,045721,,,,,,,,,,
,037541,,,,,,,,,,
,040451,,,,,,,,,,
,040721,,,,,,,,,,
,049711,,,,,,,,,,
,046641,,,,,,,,,,
,046641,,,,,,,,,,
,031871,,,,,,,,,,
,036981,,,,,,,,,,
,006861,,,,,,,,,,
,403531,,,,,,,,,,
,025101,,,,,,,,,,
,412681,,,,,,,,,,
,403611,,,,,,,,,,
,068241,,,,,,,,,,
,093061,,,,,,,,,,
,041471,,,,,,,,,,
,075111,,,,,,,,,,
,017491,,,,,,,,,,
,042981,,,,,,,,,,
,403491,,,,,,,,,,
,041691,,,,,,,,,,
,019911,,,,,,,,,,
,017521,,,,,,,,,,
,031891,,,,,,,,,,
,017531,,,,,,,,,,
,006981,,,,,,,,,,
,041651,,,,,,,,,,
,028391,,,,,,,,,,
,041881,,,,,,,,,,
,062011,,,,,,,,,,
,403621,,,,,,,,,,
,093111,,,,,,,,,,
,403641,,,,,,,,,,
,044671,,,,,,,,,,
,029791,,,,,,,,,,
,083971,,,,,,,,,,
,093131,,,,,,,,,,
,082011,,,,,,,,,,
,041715,,,,,,,,,,
,074522S,,,,,,,,,,
,074525,,,,,,,,,,
,038775,,,,,,,,,,
,041965,,,,,,,,,,
,041965,,,,,,,,,,
,042072,,,,,,,,,,
,042075,,,,,,,,,,
,024372S,,,,,,,,,,
,024375,,,,,,,,,,
,024375PT,,,,,,,,,,
,029923S,,,,,,,,,,
,074612S,,,,,,,,,,
,074605,,,,,,,,,,
,041935,,,,,,,,,,
,042562,,,,,,,,,,
,042565,,,,,,,,,,
,048165,,,,,,,,,,
