Branch,item,
CA,023751,
CA,070332,
CA,406432,
CA,013792,
CA,070342,
CA,074492S,
CA,077462S,
CA,091712S,
CA,008865,
CA,080835,
CA,008865PT,
CA,029925PT,
CA,002115PT,
CA,008999,
CA,013781,
CA,013771,
CA,013761,
CA,013571,
CA,013791,
CA,071101,
CA,020111,
CA,042101,
CA,028431,
CA,054701,
CA,020771,
CA,071541,
CA,017311S,
CA,080831S,
CA,034661S,
CA,034681S,
CA,029871S,
CA,070041,
CA,401291S,
CA,407621S,
CA,080871S,
CA,016981S,
CA,077461S,
CA,013572,
CA,017312S,
CA,009012,
CA,023752,
CA,028322,
CA,067402,
CA,034662S,
CA,029872S,
CA,074512S,
CA,016962S,
CA,016982S,
CA,097862S,
CA,097882S,
CA,041955,
CA,042105,
CA,028435,
CA,054705,
CA,054765,
CA,028445,
CA,008895,
CA,055405,
CA,055505,
CA,055605,
CA,055655,
CA,055705,
CA,055805,
CA,056205,
CA,009035,
CA,054475,
CA,056355,
CA,013775,
CA,013765,
CA,013575,
CA,028225,
CA,034665,
CA,064415,
CA,076195,
CA,041905,
CA,015285,
CA,040705,
CA,077465,
CA,067455,
CA,407625,
CA,028435TR,
CA,055405PT,
CA,055505PT,
CA,055605PT,
CA,013795PT,
CA,013565PT,
CA,077415PT,
CA,028437TR,
CA,054709,
CA,056209,
CA,002111,
CA,002251,
CA,002261,
CA,058401,
CA,064411,
CA,066871,
CA,076181,
CA,076191,
CA,041921,
CA,041951,
CA,081761,
CA,081771,
CA,054761,
CA,008861,
CA,055401,
CA,055501,
CA,055601,
CA,055651,
CA,055701,
CA,055801,
CA,056201,
CA,056401,
CA,054551,
CA,030821,
CA,031001,
CA,067451,
CA,067401,
CA,072001,
CA,042041,
CA,058141,
CA,068251,
CA,074771S,
CA,091711S,
CA,074851S,
CA,071102,
CA,030822,
CA,031002,
CA,031052,
CA,020742,
CA,064412,
CA,013782,
CA,002112,
CA,002202,
CA,002252,
CA,002262,
CA,002302,
CA,026222,
CA,066872,
CA,020772,
CA,041902,
CA,058142,
CA,016202S,
CA,074842S,
CA,016972S,
CA,074832S,
CA,074852S,
CA,083992,
CA,068012,
CA,041925,
CA,013785,
CA,013795,
CA,013565,
CA,071615,
CA,067375,
CA,067475,
CA,067495,
CA,065385,
CA,072005,
CA,060155,
CA,077415,
CA,070335,
CA,070345,
CA,054705TR,
CA,054765TR,
CA,008865TR,
CA,008995TR,
CA,017925TR,
CA,056405TR,
CA,055655PT,
CA,060115TR,
CA,059395TR,
CA,067375PT,
CA,067475PT,
CA,067495PT,
CA,041665PT,
CA,002205PT,
CA,002255PT,
CA,067455PT,
CA,094235TR,
CA,068015PT,
CA,068015PT,
CA,05942M,
CA,06015M,
CA,06019M,
CA,059587,
CA,054707TR,
CA,054767TR,
CA,056307TR,
CA,056207TR,
CA,056407TR,
CA,06801MT,
CA,054769,
CA,060159,
CA,009671,
CA,009791,
CA,063121,
CA,089271,
CA,022201,
CA,061662,
CA,036672,
CA,06427UT,
CA,06311UT,
CA,058851,
CA,009761,
CA,009771,
CA,058901,
CA,058921,
CA,063101,
CA,038651,
CA,024671,
CA,036541,
CA,074881,
CA,092031,
CA,044801,
CA,022261,
CA,077621,
CA,094351,
CA,098891S,
CA,063111,
CA,030221,
CA,024092,
CA,077622,
CA,061812,
CA,061742,
CA,061552,
CA,024672,
CA,064272,
CA,094352,
CA,098892,
CA,022202,
CA,064275,
CA,024675,
CA,092065,
CA,005665,
CA,061795,
CA,092035,
CA,022205,
CA,011335,
CA,011445,
CA,412041,
CA,038641,
CA,044591,
CA,092061,
CA,034881,
CA,005791,
CA,028342P,
CA,011451,
CA,011471,
CA,058852,
CA,058902,
CA,036542,
CA,038642,
CA,028052,
CA,005452,
CA,061562,
CA,005572,
CA,061642,
CA,044592,
CA,044802,
CA,005815,
CA,044595,
CA,091495,
CA,011367,
CA,011317,
CA,011327,
CA,011407,
CA,011427,
CA,011437,
CA,011447,
CA,00472UT,
CA,02489UT,
CA,03733UT,
CA,000471,
CA,002191,
CA,401061,
CA,401081,
CA,094501,
CA,042201,
CA,064021,
CA,064371,
CA,075951,
CA,057161,
CA,068111,
CA,040971,
CA,412691,
CA,086641,
CA,023022,
CA,004222,
CA,004592,
CA,004842,
CA,023212,
CA,037612,
CA,019542,
CA,070742,
CA,022422,
CA,033672,
CA,071012,
CA,057312,
CA,084782,
CA,046745,
CA,04593UT,
CA,04596UT,
CA,04661UT,
CA,06228UT,
CA,01954UT,
CA,05869UT,
CA,01291UT,
CA,03693UT,
CA,083041,
CA,030121,
CA,033711,
CA,004741,
CA,035421,
CA,058861,
CA,077631,
CA,070271,
CA,034921,
CA,070481,
CA,058691,
CA,041281,
CA,045251,
CA,011891,
CA,073141,
CA,056611,
CA,056641,
CA,056841,
CA,056951,
CA,009091,
CA,057251,
CA,057151,
CA,057201,
CA,093881,
CA,093891,
CA,061601,
CA,036471,
CA,056881,
CA,057231,
CA,057031,
CA,024461,
CA,003451,
CA,040141,
CA,094291,
CA,094261,
CA,094271,
CA,094281,
CA,091401,
CA,056011,
CA,070541,
CA,074341,
CA,077641,
CA,077651,
CA,093361,
CA,065611,
CA,046741,
CA,039571,
CA,098301S,
CA,098371S,
CA,046741S,
CA,074341S,
CA,070681,
CA,020121,
CA,029211,
CA,017411,
CA,022481,
CA,021912,
CA,047914P,
CA,003452,
CA,022472,
CA,054222,
CA,096532,
CA,096502,
CA,096522,
CA,096482,
CA,096492,
CA,096542,
CA,096512,
CA,089382,
CA,034722,
CA,024462,
CA,017842,
CA,030491SPT,
CA,057231SPT,
CA,061605,
CA,072522,
CA,002005,
CA,072525,
CA,057153PT,
CA,057203PT,
CA,056955PT,
CA,057055PT,
CA,057155PT,
CA,057205PT,
CA,057105PT,
CA,062009,
CA,06367UT,
CA,05731UT,
CA,02813UT,
CA,058471,
CA,083001,
CA,032891,
CA,084121,
CA,073531,
CA,058481,
CA,028511,
CA,097741,
CA,088861,
CA,097761,
CA,025621,
CA,025541,
CA,066291,
CA,070451,
CA,041011,
CA,097751,
CA,063991,
CA,075941,
CA,094841,
CA,096461,
CA,088841,
CA,089451,
CA,089461,
CA,056801,
CA,056851,
CA,057051,
CA,068671,
CA,011821,
CA,074381,
CA,065241,
CA,097981,
CA,098531,
CA,021891,
CA,022651,
CA,093391,
CA,037241,
CA,056871,
CA,018211,
CA,028491,
CA,088871,
CA,026591,
CA,068181,
CA,090221,
CA,090211,
CA,073521,
CA,088831,
CA,040001,
CA,040241,
CA,079391,
CA,090471,
CA,085121,
CA,054851,
CA,057831,
CA,057841,
CA,080521,
CA,097771,
CA,097781,
CA,097801,
CA,097831,
CA,079441,
CA,068661,
CA,069971,
CA,065501,
CA,065591,
CA,074141,
CA,089481,
CA,069691,
CA,066061,
CA,046021,
CA,025491,
CA,025491S,
CA,097741S,
CA,097761S,
CA,069691S,
CA,089241S,
CA,097751S,
CA,002001S,
CA,054691S,
CA,061931,
CA,061941,
CA,090471S,
CA,089631,
CA,066342,
CA,044192,
