Branch,item,
CT,024742,
CT,026052,
CT,025052PT,
CT,026602,
CT,026052PT,
CT,404222,
CT,406992,
CT,035362,
CT,035352,
CT,402092,
CT,061622,
CT,401802,
CT,082452,
CT,014412,
CT,416862,
CT,008343,
CT,012593,
CT,073013,
CT,406972LR,
CT,401813,
CT,074783S,
CT,046873,
CT,047503,
CT,404243,
CT,022173,
CT,075053S,
CT,053933,
CT,075053,
CT,090763,
CT,404233,
CT,053303,
CT,090765,
CT,404235,
CT,058635,
CT,014415,
CT,061625,
CT,416865,
CT,401805,
CT,064623SP,
CT,053937,
CT,075057,
CT,090767,
CT,08245M,
CT,064625MT,
CT,021547,
CT,065567,
CT,036277,
CT,064697PT,
CT,019387PT,
CT,403701,
CT,403691,
CT,403711,
CT,403731,
CT,407051,
CT,407061,
CT,401252,
CT,011982,
CT,407041,
CT,407981,
CT,403921S,
CT,406122,
CT,406132,
CT,091112,
CT,406142,
CT,406452,
CT,406412,
CT,406442,
CT,401302,
CT,401272,
CT,031202,
CT,402122,
CT,074152,
CT,404542,
CT,063002,
CT,401112,
CT,401232S,
CT,401262S,
CT,401212S,
CT,071453,
CT,402922,
CT,405262,
CT,401102S,
CT,404012S,
CT,404062S,
CT,401122,
CT,401742S,
CT,081533,
CT,028503,
CT,028553,
CT,031363,
CT,402613,
CT,066693,
CT,066683,
CT,044823,
CT,086653,
CT,407933,
CT,039493,
CT,070613,
CT,071303,
CT,401963,
CT,045693,
CT,045683,
CT,045703,
CT,045753,
CT,404143,
CT,007733,
CT,407103,
CT,407172,
CT,404362,
CT,406423,
CT,067843,
CT,021743,
CT,073423,
CT,080363,
CT,073743,
CT,068293,
CT,407073,
CT,407083,
CT,407093,
CT,074643,
CT,407143,
CT,407173,
CT,407193,
CT,407213,
CT,403802,
CT,403772S,
CT,403662S,
CT,403682S,
CT,404203,
CT,407332,
CT,074933S,
CT,086413S,
CT,075013S,
CT,075033S,
CT,075023S,
CT,406833,
CT,406843,
CT,406883,
CT,406933,
CT,406783,
CT,407163,
CT,401753,
CT,027523,
CT,027533,
CT,020093,
CT,027863,
CT,402033,
CT,044703,
CT,402053,
CT,031573,
CT,037173,
CT,066873,
CT,406823,
CT,071863,
CT,072023,
CT,406813,
CT,012163,
CT,072103,
CT,406903,
CT,406913,
CT,072163,
CT,034033,
CT,406943,
CT,406893,
CT,406793,
CT,028943,
CT,407183,
CT,000933,
CT,068273,
CT,402923,
CT,407772S,
CT,058432S,
CT,404112S,
CT,046503,
CT,405253,
CT,034653,
CT,405273,
CT,405422S,
CT,405433S,
CT,405442S,
CT,406543,
CT,094753,
CT,406763,
CT,407473,
CT,407342S,
CT,407333,
CT,407353,
CT,084793,
CT,074793S,
CT,402533S,
CT,016953S,
CT,086373S,
CT,086383S,
CT,029943S,
CT,089993S,
CT,020793S,
CT,401353,
CT,405153,
CT,077393S,
CT,090183S,
CT,074453S,
CT,074773S,
CT,074463S,
CT,029893S,
CT,402243,
CT,087323,
CT,037113,
CT,039213,
CT,016203S,
CT,403453,
CT,074493S,
CT,080873S,
CT,016973S,
CT,015713S,
CT,074833S,
CT,016983S,
CT,038773S,
CT,089953S,
CT,080953S,
CT,084803,
CT,080203,
CT,089943S,
CT,403963,
CT,024373S,
CT,029923S,
CT,403983,
CT,403973,
CT,074613S,
CT,074603S,
CT,404003,
CT,404043,
CT,404053,
CT,074623S,
CT,046493S,
CT,086393S,
CT,018023,
CT,074683S,
CT,086423S,
CT,406923,
CT,080913S,
CT,407233S,
CT,077513S,
CT,076563S,
CT,080943S,
CT,080933S,
CT,086433S,
CT,406803S,
CT,405263,
CT,074533S,
CT,074523S,
CT,403795,
CT,404073,
CT,042563,
CT,042063,
CT,405475,
CT,035023,
CT,403883,
CT,403743,
CT,403703,
CT,403693,
CT,403733,
CT,403893,
CT,028743,
CT,038773,
CT,028223,
CT,086225,
CT,403803,
CT,403833S,
CT,074563S,
CT,074543S,
CT,074573S,
CT,403843S,
CT,086303S,
CT,086313S,
CT,074583S,
CT,080963S,
CT,402045,
CT,404155,
CT,404165,
CT,404545,
CT,401945,
CT,402055,
CT,015965,
CT,400755,
CT,012165,
CT,407195,
CT,072025,
CT,406815,
CT,406895,
CT,407165,
CT,074795,
CT,075065,
CT,035943S,
CT,406533S,
CT,403885,
CT,016965BPT,
CT,405267,
CT,024377,
CT,403997,
CT,074617,
CT,074607,
CT,404057,
CT,042067,
CT,086437,
CT,406807,
CT,074687,
CT,012167,
CT,406897,
CT,402065,
CT,037175,
CT,031415,
CT,039215,
CT,404345,
CT,039497PT,
CT,402067PT,
CT,026217PT,
CT,034657PT,
CT,029947PT,
CT,406867,
CT,028207PT,
CT,041667PT,
CT,006817PT,
CT,002357PT,
CT,016987PT,
CT,024377PT,
CT,403997PT,
CT,042447PT,
CT,074617PT,
CT,074607PT,
CT,063937PT,
CT,029947,
CT,406527PT,
CT,039497PT,
CT,070617PS,
CT,070617PT,
CT,074687PT,
CT,071937,
CT,075107PT,
CT,072027PT,
CT,026217BPT,
CT,406701,
CT,011563,
CT,406253,
CT,406253,
CT,077493S,
CT,074963S,
CT,406195,
CT,406205,
CT,098543SPT,
CT,098553SPT,
CT,098563SPT,
CT,022633SPT,
CT,406313SPT,
CT,022643SPT,
CT,030903PT,
CT,405453,
CT,405463,
CT,010083,
CT,059603,
CT,400575,
CT,407875,
CT,000953MD,
CT,400373,
CT,000843,
CT,400363,
CT,000993,
CT,400373ST,
CT,400383,
CT,029083,
CT,407493,
CT,010393,
CT,400393MD,
CT,400393ST,
CT,400443,
CT,001213,
CT,018333,
CT,029093ST,
CT,400433MD,
CT,400433ST,
CT,000903,
CT,000903ST,
CT,402725,
CT,402735,
CT,402745,
CT,402755,
CT,002537MU,
CT,010167,
CT,018327,
CT,404777,
CT,404737,
CT,061067,
CT,404757,
CT,061177,
CT,070467,
CT,016547,
CT,06913M,
CT,06898M,
CT,001997,
CT,053557,
CT,047687,
CT,408327ES,
CT,400457,
CT,407517,
CT,014297,
CT,401157,
CT,022567,
CT,022497,
CT,058417,
CT,401767,
CT,02355M,
CT,032577,
CT,402007,
CT,049677,
CT,402027,
CT,404337,
CT,404727,
CT,404767,
CT,061757,
CT,063067,
CT,405507,
CT,408747,
CT,070307,
CT,405497,
CT,405527,
CT,405537,
CT,405957,
CT,405937,
CT,405547,
CT,043397,
CT,407507,
CT,069137,
CT,068987,
CT,405927,
CT,071597,
CT,406747,
CT,402977,
CT,006667,
CT,054337,
CT,066937PTS,
CT,066919,
CT,035787,
CT,408297,
CT,408307,
CT,402677,
CT,402677ES,
CT,402777ES,
CT,407427ES,
CT,408317ES,
CT,058957ES,
CT,061037ES,
CT,402787ES,
CT,071737,
CT,400435,
CT,406717,
CT,000955MD,
CT,400365,
CT,000995MD,
CT,400375MD,
CT,400395MD,
CT,400395ST,
CT,400445,
CT,029095,
CT,400435MD,
CT,01429M,
CT,01785M,
CT,068557,
CT,081797,
