Branch,item
OR,068681
OR,064081
OR,079181
OR,079251
OR,064111
OR,025222
OR,074122
OR,074132
OR,068812
OR,063802
OR,079161
OR,073791
OR,077801
OR,077781
OR,077791
OR,05785UT
OR,025602
OR,032742
OR,049025
OR,049065
OR,064735
OR,052535PT
OR,01937UT
OR,05514UT
OR,049901
OR,053391
OR,073011
OR,064621
OR,028851
OR,019371
OR,049102
OR,050702
OR,050902
OR,048002
OR,049902
OR,051752
OR,053392
OR,038512
OR,038502
OR,023902
OR,023682
OR,084652
OR,048132
OR,072942
OR,072812
OR,055972
OR,072892
OR,066572
OR,023932
OR,082402
OR,024032
OR,050703
OR,050903
OR,047442
OR,053932
OR,022172
OR,01937E
OR,028852
OR,064472
OR,064622
OR,023822
OR,048005
OR,051755
OR,019372
OR,048135
OR,065453
OR,073015
OR,012595
OR,072815
OR,072945
OR,038515
OR,065455
OR,053935
OR,022175
OR,055145
OR,024035
OR,064623
OR,065555
OR,046875
OR,053305
OR,082455
OR,074785
OR,030735
OR,082402PY
OR,031435
OR,035365
OR,023905
OR,023685
OR,035355
OR,051325
OR,036275
OR,064625
OR,064695
OR,023305
OR,023325
OR,033265
OR,064785
OR,044635
OR,064725
OR,065425
OR,021545
OR,065565
OR,049125
OR,065495
OR,023655
OR,073285
OR,023285ST
OR,051275ST
OR,057275
OR,07281M
OR,048455BO
OR,023285PT
OR,049905PT
OR,02403M
OR,053395PT
OR,048455P3
OR,047605PP
OR,06466M
OR,064625P3
OR,064695PT
OR,019385PT
OR,047305SP
OR,064625SP
OR,082405OP
OR,06465M
OR,048005OP
OR,048455OP
OR,06462M
OR,02328M
OR,03843M
OR,012599
OR,06462MSP
OR,048709OP
OR,048001
OR,049101
OR,050701
OR,072871
OR,048131
OR,050901
OR,012591
OR,030731
OR,046902
OR,049252
OR,015222
OR,017382
OR,028832
OR,049905
OR,050705
OR,050905
OR,030705
OR,073155
OR,072875
OR,015225
OR,047445
OR,017385
OR,028835
OR,023355
OR,030605
OR,053655
OR,023285
OR,065665
OR,050115
OR,053615
OR,046835
OR,046877
OR,023357
OR,050905PT
OR,072835PT
OR,04687M
OR,048005PP
OR,023367
OR,053659
OR,023359
OR,05090UT
OR,084651
OR,046901
OR,049251
OR,050201
OR,051701
OR,051751
OR,047571
OR,030751
OR,054001
OR,035142
OR,035112
OR,035132
OR,037052
OR,050202
OR,051702
OR,051652
OR,051902
OR,030752
OR,030732
OR,084655
OR,046905
OR,049255
OR,049705
OR,050205
OR,051705
OR,052155
OR,035145
OR,035165
OR,072345
OR,030755
OR,047305
OR,052285
OR,036845
OR,047575
OR,033815
OR,033805
OR,051275
OR,084655PT
OR,047307
OR,04730M
OR,05330M
OR,05365M
OR,048005SP
OR,023327
OR,048007PP
OR,06566MOP
OR,08240UT
OR,02403UT
OR,02382UT
OR,06458UT
OR,06545UT
OR,084901
OR,051601
OR,035141
OR,035161
OR,087051
OR,073061
OR,072941
OR,072861
OR,055971
OR,072921
OR,072931
OR,072891
OR,019441
OR,019451
OR,064561
OR,064581
OR,065461
OR,073261
OR,023931
OR,082401
OR,047441
OR,053931
OR,022171
OR,024031
OR,023841
OR,065551
OR,065451
OR,072341
OR,017381
OR,081681
OR,081691
OR,072391
OR,072321
OR,072331
OR,038191
OR,073361
OR,023901
OR,023681
OR,023791
OR,023911
OR,064551
OR,000081
OR,064641
OR,065491
OR,065531
OR,023301
OR,023281
OR,064571ST
OR,064811
OR,064711
OR,028561
OR,021541
OR,065561LR
OR,049032
OR,051602
OR,064562
OR,073012
OR,072862
OR,072922
OR,072932
OR,072872
OR,073052
OR,072912
OR,046822
OR,019442
OR,064621SP
OR,034052
OR,023842
OR,072342
OR,055142
OR,024662
OR,047572
OR,064582
OR,035142ST
OR,035112ST
OR,035162ST
OR,081682
OR,081692
OR,012402
OR,072302
OR,072322
OR,072382
