Branch,item,
OR,064601,
OR,06460UT,
OR,031211,
OR,023691,
OR,023701,
OR,023711,
OR,045211,
OR,023731,
OR,085861,
OR,065401,
OR,020981,
OR,036561,
OR,06536UT,
OR,065361,
OR,015161,
OR,016401,
OR,067301,
OR,084701,
OR,011061,
OR,035611,
OR,069711,
OR,032232,
OR,025961,
OR,02596UT,
OR,071111,
OR,071011,
OR,07101UT,
OR,055421,
OR,057471,
OR,018631,
OR,099451,
OR,023111,
OR,019541,
OR,020411,
OR,020412,
OR,070591,
OR,044341,
OR,407941,
OR,400271,
OR,068421,
OR,011761,
OR,070261,
OR,070262,
OR,07026UT,
OR,030321,
OR,070401,
OR,076641,
OR,07664UT,
OR,076731,
OR,07673UT,
OR,070971,
OR,07097UT,
OR,07166UT,
OR,071661,
OR,046861S,
OR,06501UT,
OR,06500UT,
OR,03026UT,
OR,030261,
OR,02914UT,
OR,029141,
OR,07094UT,
OR,070941,
OR,054641,
OR,065021,
OR,06502UT,
OR,03028UT,
OR,092351,
OR,055471,
OR,011811,
OR,06505UT,
OR,01182UT,
OR,065111,
OR,065141,
OR,06514UT,
OR,049971,
OR,049972,
OR,048261,
OR,06524UT,
OR,077891,
OR,063671,
OR,04487UT,
OR,044871,
OR,063681,
OR,06368UT,
OR,03428UT,
OR,034281,
OR,03517UT,
OR,035171,
OR,08748UT,
OR,087481,
OR,412721,
OR,41272UT,
OR,00733UT,
OR,007331,
OR,00730UT,
OR,007301,
OR,046311,
OR,407951,
OR,039011,
OR,069871,
OR,06987UT,
OR,07073UT,
OR,070911,
OR,07091UT,
OR,025041,
OR,070741,
OR,07074UT,
OR,06550UT,
OR,06559UT,
OR,06560UT,
OR,065601,
OR,077901,
OR,06561UT,
OR,05388UT,
OR,053881,
OR,04491UT,
OR,044911,
OR,05696UT,
OR,056961,
OR,070011,
OR,070071,
OR,081211,
OR,071031,
OR,066311,
OR,012091,
OR,012111,
OR,406721,
OR,065641,
OR,407971,
OR,05124UT,
OR,05717UT,
OR,412851,
OR,047561,
OR,072611,
OR,077141,
OR,073461,
OR,073711,
OR,079551,
OR,079481,
OR,030141,
OR,409261,
OR,409271,
OR,409251,
OR,07426UT,
OR,017391,
OR,017392,
