Branch,Item,Description,WIP+FG,Allocated,Remaining,"Allocated
To Orders","Orders
from Open","Open
Available",Category,Intro,Catalog,Reason,
550000,412802,ALOCASIA EBONY PPAF,504,405,344,15%,99,0,PRN,2015,$0.00 ,,
550000,412531,ASTER N-A VIBRANT DOME,1000,1000,960,4%,0,0,PRN,2015,$0.00 ,,
550000,412541,ASTILBE DELFT LACE,1000,980,905,7%,20,0,PRN,2015,$0.00 ,,
550000,412551,BAPTISIA PRAIRIEBLUES TM MDNGT,763,763,440,42%,0,0,PRN,2015,$0.00 ,,
550000,089382,BREYNIA DISTICHA ROSEOPICTA,1008,370,370,0%,0,638,PRN,2015,$0.00 ,,
550000,40842UT,CAMPANULA GLOM GENTI BLUE PPAF,1008,576,576,0%,56,376,PRN,2015,$0.00 ,,
550000,40841UT,CAMPANULA GLOM GENTI WHITE PAF,1008,448,448,0%,56,504,PRN,2015,$0.00 ,,
550000,412571,CHRY (LEU) REAL GALAXY PPAF,1010,1020,945,7%,4,-14,PRN,2015,$0.00 ,,
550000,408501,COLOCASIA RYL HWN R BK CRL PAF,999,162,0,100%,837,0,PRN,2015,$0.00 ,,
550000,408505,COLOCASIA RYL HWN R BK CRL PAF,970,620,552,10%,335,15,PRN,2015,$0.00 ,,
550000,408495,COLOCASIA RYL HWN R HAWAN PNCH,996,590,532,9%,271,135,PRN,2015,$0.00 ,,
550000,408491,COLOCASIA RYL HWN R HAWAN PNCH,1007,1008,591,41%,0,-1,PRN,2015,$0.00 ,,
550000,412581,COLOCASIA RYL HWN R MAUI GOLD,1002,990,533,46%,12,0,PRN,2015,$0.00 ,,
550000,412585,COLOCASIA RYL HWN R MAUI GOLD,988,540,483,10%,305,143,PRN,2015,$0.00 ,,
550000,408551,CORE LIL' BANG TM DAYBREAK PAF,1008,885,795,10%,123,0,PRN,2015,$0.00 ,,
550000,408541,CORE LIL' BANG TM RED ELF,1008,860,725,15%,148,0,PRN,2015,$0.00 ,,
550000,408531,CORE LIL' BANG TM STARLIGHT,1008,825,610,26%,90,93,PRN,2015,$0.00 ,,
550000,412601,DIAN WHETMAN STARS SUPERNOVA,1008,930,855,8%,78,0,PRN,2015,$0.00 ,,
550000,412611,ECHIN DBL SCP TM CRANBRY PPAF,960,960,685,28%,0,0,PRN,2015,$0.00 ,,
550000,412621,ECHIN SUPREME FLAMINGO,970,970,850,12%,0,0,PRN,2015,$0.00 ,,
550000,054441,ECHINACEA FLAME THROWER P21932,1008,1008,580,42%,0,0,PRN,2015,$0.00 ,,
550000,054971,ECHINACEA HOT LAVA PPAF,972,972,762,21%,0,0,PRN,2015,$0.00 ,,
550000,412651,GAILLARDIA SUNSET CANDY PPAF,1022,0,0,,0,1022,PRN,2015,$0.00 ,,
550000,408811,GAILLARDIA SUNSET CELEBRATION,1008,1008,953,5%,0,0,PRN,2015,$0.00 ,,
550000,408761,GAILLARDIA SUNSET CUTIE PPAF,1008,1008,988,1%,0,0,PRN,2015,$0.00 ,,
550000,408751,GAILLARDIA SUNSET FLASH PPAF,1008,1008,910,9%,0,0,PRN,2015,$0.00 ,,
550000,408801,GAILLARDIA SUNSET SNAPPY PPAF,1089,1005,915,8%,3,81,PRN,2015,$0.00 ,,
550000,412661,GAURA L LITTLE JANIE,1008,1008,898,10%,0,0,PRN,2015,$0.00 ,,
550000,412671,HEUCHERA GRAPE SODA PPAF,1008,1008,764,24%,0,0,PRN,2015,$0.00 ,,
550000,093131,HOSTA VICTORY,1000,1000,833,16%,0,0,PRN,2015,$0.00 ,,
550000,410143,ILLICIUM PARV FLORIDA SUNSHINE,508,508,25,95%,0,0,EVS,2015,$0.00 ,,
550000,409011,PENSTEMON ROCK CANDY PRPL PPAF,1024,586,556,5%,435,3,PRN,2015,$0.00 ,,
550000,409171,SALVIA GREGGII RADIO RED,2537,1210,1103,8%,70,1257,PRN,2015,$0.00 ,,
550000,412691,SALVIA NEM BLUE MARVEL PPAF,960,0,0,,791,169,PRN,2015,$0.00 ,,
550000,41272UT,SEDUM SSPKLR R FIRE CRACKR PAF,1623,1610,1338,16%,8,5,PRN,2015,$0.00 ,,
550000,412721,SEDUM SSPKLR R FIRE CRACKR PAF,1511,1511,1451,3%,0,0,PRN,2015,$0.00 ,,
550000,409241,VERBENA ENDURO DRK PURPLE PPAF,2040,1930,1810,6%,110,0,PRN,2015,$0.00 ,,
550000,409231,VERBENA ENDURO HOT PINK PPAF,2040,1960,1240,36%,80,0,PRN,2015,$0.00 ,,
550000,409221,VERBENA ENDURO RED PPAF,3060,2765,1945,29%,140,155,PRN,2015,$0.00 ,,
550000,409261,VERONICA MDY BLUES LT BLU PPAF,2016,1415,1395,1%,150,451,PRN,2015,$0.00 ,,
550000,409271,VERONICA MDY BLUES MAUVE PPAF,2016,1415,1405,0%,150,451,PRN,2015,$0.00 ,,
550000,409251,VERONICA MDY BLUES PINK PPAF,2016,1070,1060,0%,165,781,PRN,2015,$0.00 ,,
"© 2007,2009 Monrovia Nursery Company. This information may represent Trade Secret information and may not be distributed without permission.",,,,,,,,,,,,,
