Branch,item,Description,Category,Shippable,"Open
Now","Rep
Allocation","Rep
Orders","Now Available
For Rep",Price,Code,Future
550000,047365,ABIES PIN GLAUCA PROSTRATA,CON,0,42,$8.50 ,,,,,
,049585,ACER PSEUDO ESKIMO SUNSET,TRE,,,,,,,,
,018561,AGASTACHE AUR-HYB TANGO,PRN,,,,,,,,
,074122,AGAVE BRACTEOSA CALAMAR,CAC,,,,,,,,
,096532,ALST INTICANCHA R BRYCE,PRN,,,,,,,,
,096502,ALST INTICANCHA R MACHU,PRN,,,,,,,,
,096522,ALST INTICANCHA R NAVAYO,PRN,,,,,,,,
,096482,ALST INTICANCHA R PURPLE,PRN,,,,,,,,
,096492,ALST INTICANCHA R SUNLIGHT,PRN,,,,,,,,
,096542,ALST INTICANCHA R WHITE,PRN,,,,,,,,
,096512,ALST INTICANCHA R WHT BLSH PNK,PRN,,,,,,,,
,06696UT,ANACYCLUS PYR DEP SILBERKISSEN,PRN,,,,,,,,
,039021,ANEMONE X WILD SWAN TM PP23132,PRN,,,,,,,,
,017601,ASTILBE VISION IN WHITE P18965,PRN,,,,,,,,
,078771S,AZ BLM-A-THON TM RED PP21562,RHO,,,,,,,,
,078781S,AZ BLM-A-THON TM WHITE PP21512,RHO,,,,,,,,
,095742BH,BOUG SUNVILLEA TM CREAM P22112,VIN,,,,,,,,
,095752BH,BOUG SUNVILLEA TM PINK PP22113,VIN,,,,,,,,
,094071,BUXUS MIC MORRIS MIDGET,EVS,,,,,,,,
,046761,CALLISTEM SCRLT TRCH TM P23848,EVS,,,,,,,,
,080835,CALYCANTHUS APHRODITE PPAF,DCS,,,,,,,,
,031292,CEANOTHUS CENTENNIAL,EVS,,,,,,,,
,006351,CHRY (LEU) SUP REAL DREAM PPAF,PRN,,,,,,,,
,046252,CLEM LOUISE ROWE,VIN,,,,,,,,
,022431,CLEMATIS INT BLUE RIBBONS,PRN,,,,,,,,
,073901,COREOPSIS PINEAPPLE PIE P22486,PRN,,,,,,,,
