Loc,New Plant,Item,Size,Plant Name,Botanical Name,Common Name,Category 2,,Category,Zone,Royalty Code,Current Specs,Min Ord Qty,Available Now     ,Available Later,On,Available Later,On,Available Later,On
OR,    ,029061,#1,ACHILLEA MILL RED VELVET,Achillea millefolium 'Red Velvet'                           ,Red Velvet Yarrow                                           ,Mid/late border flowering,x,PRN,03,    ,CAN FULL, 10 , 846 , 906 ,03/01/15  , 906 ,06/01/15  ,     ,          
OR,    ,000511,#1,ACHILLEA OERTEL'S ROSE,Achillea millefolium 'Oertel's Rose'                        ,Oertel's Rose Yarrow                                        ,Mid/late border flowering,x,PRN,03,    ,CAN FULL, 10 ," 1,206 "," 1,236 ",03/01/15  , 758 ,06/01/15  ,     ,          
GA,2012,058251,#1,ACHILLEA STRWBRY SDCTN P18401,"Achillea millefolium 'Strawberry Seduction' P.P.# 18,401    ",Strawberry Seduction Yarrow                                 ,Mid/late border flowering,x,PRN,03,    ,CAN FULL, 10 , 137 , 188 ,09/15/14  ," 1,171 ",05/01/15  ,     ,          
OR,2013,055482,#2,ARALIA CORDATA GOTEMBA,Aralia cordata 'Gotemba'                                    ,Gotemba Golden Japanese Spikenard                           ,Mid/late tall flowering,x,PRN,04,HIN ,, 5 , 50 , 50 ,05/01/15  ,     ,          ,     ,          
GA,    ,027501,#1,ASTILBE COLOR FLASH R PP17343,Astilbe x arendsii 'Beauty of Ernst' P.P.# 17343            ,Color Flash®  Astilbe,Mid/late border flowering,x,PRN,04,OLD ,3-5 EYES, 10 ,     , 400 ,09/01/14  ," 2,399 ",11/01/14  ," 2,399 ",04/15/15  
CA,2011,074741S,SuperOne TM,BER SUNJOY R GOLD PILLAR PPAF,"Berberis thunbergii 'Maria' P.P. #18,082                    ",Sunjoy®  Gold Pillar Barberry,Berberis,x,DCS,04,PW  ,"10""H - 6""S", 10 ,     ," 1,423 ",03/01/15  ," 1,423 ",04/01/15  ,     ,          
OR,2012,062931,#1,BER T ORANGE ROCKET PP18411,"Berberis thunbergii 'Orange Rocket' P.P.#18,411             ",Orange Rocket Barberry                                      ,Berberis,x,DCS,04,PHS ,"12""H - 6""S", 10 ,     ," 1,521 ",05/01/15  ,     ,          ,     ,          
CA,2012,062932,#2,BER T ORANGE ROCKET PP18411,"Berberis thunbergii 'Orange Rocket' P.P.#18,411             ",Orange Rocket Barberry                                      ,Berberis,x,DCS,04,PHS ,"14""H - 6""S", 5 ,     , 264 ,03/01/15  ,     ,          ,     ,          
OR,    ,013651,#1,BRUNNERA MAC VARIEGATA,Brunnera macrophylla 'Variegata'                            ,Variegated Siberian Bugloss                                 ,Shade foliage/flower,x,PRN,03,    ,CAN FULL, 10 ,     , 468 ,04/01/15  , 468 ,06/01/15  ,     ,          
CA,2011,074411S,SuperOne TM,BUD LO&BEHLD R BLU CHP PP19991,"Buddleja 'Blue Chip' P.P.# 19,991                           ",Lo & Behold®  Blue Chip Dwarf Summer Lilac,Deciduous sumr flower'g shrub,x,DCS,05,PW  ,"10""H - 10""S", 10 , 602 , 602 ,04/01/15  ,     ,          ,     ,          
CA,2012,077391S,SuperOne TM,BUDDLEJA MISS MOLLY PPAF,"Buddleja x 'Miss Molly' P.P.A.F., C.B.R.A.F.                ",Miss Molly Summer Lilac                                     ,Deciduous sumr flower'g shrub,x,DCS,05,PW  ,"10""H - 10""S", 10 ,     ," 1,520 ",04/01/15  ,     ,          ,     ,          
OR,2010,035971,#1,BUXUS WEE WILLIE R PP17007,"Buxus sinica var. insularis 'Wee Willie' P.P.# 17,007       ",Wee Willie®  Boxwood,Evergreen small shrub/hedge,x,EVS,05,SWE ,"6""H - 6""S", 10 ,     , 20 ,06/01/15  ,     ,          ,     ,          
CA,2014,080831S,SuperOne TM,CALYCANTHUS APHRODITE PPAF,Calycanthus floridus 'Aphrodite'                            ,Aphrodite Sweetshrub                                        ,Deciduous mid flowering shrub,x,DCS,05,PW  ,, 10 ,     , 116 ,04/01/15  ,     ,          ,     ,          
OR,2013,006351,#1,CHRY (LEU) SUP REAL DREAM PPAF,Chrysanthemum x superbum 'Real Dream'                       ,Real Dream Shasta Daisy                                     ,Mid spring interm. flowering,x,PRN,05,PHI ,, 10 ,     , 129 ,08/15/14  , 829 ,04/01/15  , 900 ,06/01/15  
CA,2013,088891,#1,CORE BIGBANG TM MRCRY RSNG PAF,Coreopsis x 'Mercury Rising' P.P.A.F.                       ,Big Bang™  Mercury Rising Tickseed,Mid/late border flowering,x,PRN,05,SBN ,, 10 ,     , 441 ,04/01/15  ,     ,          ,     ,          
OR,2011,074805,#5,CORNUS S ARCTIC FIRE TM P18523,"Cornus stolonifera 'Farrow' P.P. #18,523                    ",Arctic Fire™  Red Twig Dogwood,Deciduous shrub/hedge,x,DCS,03,PW  ,"15""H - 14""S", 5 ,     , 888 ,06/01/15  ,     ,          ,     ,          
OR,2013,080841S,SuperOne TM,CORNUS STO PUCKERED UP TM PPAF,Cornus stolonifera 'Neil Z' P.P.A.F.                        ,Pucker Up!™  Red Twig Dogwood,Deciduous shrub/hedge,x,DCS,03,PW  ,"10""H - 10""S", 10 , 224 , 330 ,10/01/14  ,     ,          ,     ,          
GA,2011,004801,#1,DICENTRA BURNINGHEARTS PP20797,Dicentra 'Burning Hearts' P.P.A.F.                          ,Burning Hearts Bleeding Heart                               ,Early spring border flowering,x,PRN,04,    ,, 10 ,     , 808 ,05/01/15  ,     ,          ,     ,          
GA,2014,097211,#1,ECHIN SMBRO TM FLMNCO ORNG,                                                            ,                                                            ,Mid/late interm. flowering,x,PRN,04,BHC ,, 10 ,     , 50 ,04/15/15  ,     ,          ,     ,          
GA,2014,086821,#1,ECHIN SMBRO TM HOT CORL P23097,"Echinacea x 'Balsomcor' P.P.#23,097                         ",Sombrero™  Hot Coral Coneflower,Mid/late interm. flowering,x,PRN,04,    ,, 10 ,     , 50 ,04/15/15  ,     ,          ,     ,          
