Branch,item,Description,Category,Shippable,"Open
Now","Rep
Allocation","Rep
Orders","Now Available
For Rep",Price,Code,Future
170000,1468895,ABELIA KALEIDOSCOPE POSTER,TRE,,,,,,,,
170000,1468895,ACER PAL ATROPURPUREUM-S.,MKT,,,,,,,,
170000,1468895,ACER PAL BLOODGOOD,TRE,,,,,,,,
170000,1468895,ACER PAL BLOODGOOD POSTER,TRE,,,,,,,,
170000,1468895,ACER PAL CRIMSON QUEEN,TRE,,,,,,,,
170000,1468895,ACER PAL SANGOKAKU POSTER,TRE,,,,,,,,
170000,1468895,ACER PAL SHIN DESHOJO,PRN,,,,,,,,
170000,1468895,ACER PAL SHISHIGASHIRA,PRN,,,,,,,,
170000,1468895,ACER PALMATUM,PRN,,,,,,,,
170000,1468895,ACHILLEA APRICOT DLGHT PP18738,PRN,,,,,,,,
170000,1468895,ACHILLEA APRICOT DLGHT PP18738,CAC,,,,,,,,
170000,1468895,ACHILLEA MILL RED VELVET,CAC,,,,,,,,
170000,1468895,ACHILLEA MILL SUMMER BERRIES,PRN,,,,,,,,
170000,1468895,ACHILLEA MILL SUMMERWINE,PRN,,,,,,,,
170000,1468895,ACHILLEA X MOONSHINE,FRN,,,,,,,,
170000,1468895,ACHILLEA X MOONSHINE,RHO,,,,,,,,
170000,1468895,ACORUS GR OGON POSTER,RHO,,,,,,,,
170000,1468895,AGASTACHE HEATWAVE PP19662,RHO,,,,,,,,
170000,1468895,AGASTACHE HEATWAVE PP19662,RHO,,,,,,,,
170000,1468895,AGASTACHE HYB BLUE BOA PP24050,RHO,,,,,,,,
170000,1468895,AGASTACHE SUMMER SKY POSTER,RHO,,,,,,,,
170000,1468895,AGASTACHE X BLUE FORTUNE,RHO,,,,,,,,
170000,1468895,AGASTACHE X BLUE FORTUNE,PRN,,,,,,,,
170000,1468895,AJUGA CHOCOLATE CHIP,PRN,,,,,,,,
170000,1468895,AJUGA REPTANS BRONZE BEAUTY,PRN,,,,,,,,
170000,1468895,AJUGA REPTANS BRONZE BEAUTY,VIN,,,,,,,,
170000,1468895,AJUGA REPTANS BURGUNDY GLOW,VIN,,,,,,,,
170000,1468895,AKEBIA QUINATA SHIRO BANA,DCS,,,,,,,,
170000,1468895,ALLIUM HYB MILLENNIUM,DCS,,,,,,,,
170000,1468895,ALOE BLUE ELF,DCS,,,,,,,,
170000,1468895,ALOE HYBRID CARMINE TM,DCS,,,,,,,,
170000,1468895,AMSONIA HUBRICHTII,DCS,,,,,,,,
170000,1468895,AQUILEGIA CAE ORIGAMI MIX,EVS,,,,,,,,
170000,1468895,AQUILEGIA CAE ORIGAMI PNK & WT,EVS,,,,,,,,
170000,1468895,AQUILEGIA GOLDFINCH,EVS,,,,,,,,
170000,1468895,ARALIA CORDATA GOTEMBA,EVS,,,,,,,,
170000,1468895,ARCTOSTAPHYLOS MASSACHUSETTS,EVS,,,,,,,,
170000,1468895,ARMERIA MAR BLOODSTONE,EVS,,,,,,,,
170000,1468895,ARMERIA MAR COTTON TAIL,EVS,,,,,,,,
170000,1468895,ARMERIA MAR RUBRIFOLIA,EVS,,,,,,,,
170000,1468895,ARMERIA MAR SPLENDENS,MKT,,,,,,,,
170000,1468895,ARTEMISIA SCHM SILVER MOUND,EVS,,,,,,,,
170000,1468895,ARTEMISIA SCHM SILVER MOUND,EVS,,,,,,,,
170000,1468895,ASPARAGUS MYERS,MKT,,,,,,,,
170000,1468895,ASTER FARMINGTON PPAF,VIN,,,,,,,,
170000,1468895,ASTER WOOD'S BLUE,VIN,,,,,,,,
170000,1468895,ASTILBE BRIDAL VEIL,MKT,,,,,,,,
170000,1468895,ASTILBE CHINENSIS VISIONS,MKT,,,,,,,,
170000,1468895,ASTILBE CHINENSIS VISIONS,MKT,,,,,,,,
170000,1468895,ASTILBE COLOR FLASH R PP17343,MKT,,,,,,,,
170000,1468895,ASTILBE COLOR FLASH R PP17343,MKT,,,,,,,,
170000,1468895,ASTILBE DEUTSCHLAND,MKT,,,,,,,,
170000,1468895,ASTILBE FANAL,CON,,,,,,,,
170000,1468895,ASTILBE HENNIE GRAAFLAND,PRN,,,,,,,,
170000,1468895,ASTILBE HENNIE GRAAFLAND,MKT,,,,,,,,
170000,1468895,ASTILBE MAGGIE DALEY,MKT,,,,,,,,
170000,1468895,ASTILBE MONTGOMERY,VIN,,,,,,,,
170000,1468895,ASTILBE RED SENTINEL,VIN,,,,,,,,
170000,1468895,ASTILBE RHEINLAND,VIN,,,,,,,,
170000,1468895,ASTILBE RHEINLAND,VIN,,,,,,,,
170000,1468895,ASTILBE WHT SENSATION PP18462,VIN,,,,,,,,
170000,1468895,AUBRIETA ROKEY'S PURPLE,VIN,,,,,,,,
170000,1468895,AZALEA EX DAWN'S CHORUS,VIN,,,,,,,,
170000,1468895,AZALEA FRAGRANT STAR,VIN,,,,,,,,
170000,1468895,AZALEA NL MANDARIN LIGHTS,PRN,,,,,,,,
170000,1468895,BAPTISIA 'PURPLE SMOKE',PRN,,,,,,,,
170000,1468895,BAPTISIA PRAIRIEBLUES TM MDNGT,PRN,,,,,,,,
170000,1468895,BAPTISIA SOLAR FLARE PP20408,PRN,,,,,,,,
170000,1468895,BAPTISIA TWILITE PP19011,PRN,,,,,,,,
170000,1468895,BER T GOLDEN RUBY R POSTER,TRE,,,,,,,,
170000,1468895,BER T HELMOND PILLAR,DCS,,,,,,,,
170000,1468895,BER T HELMOND PILLAR POSTER,DCS,,,,,,,,
170000,1468895,BER T ORANGE ROCKET PP18411,CON,,,,,,,,
170000,1468895,BER T ORANGE ROCKET PP18411,PRN,,,,,,,,
170000,1468895,BER T PYGMY RUBY TM,MKT,,,,,,,,
170000,1468895,BER T ROSE GLOW,PRN,,,,,,,,
170000,1468895,BER T ROSE GLOW POSTER,PRN,,,,,,,,
170000,1468895,BER T ROYAL BURGUNDY R P9461,PRN,,,,,,,,
170000,1468895,BER T ROYAL BURGUNDY R P9461,PRN,,,,,,,,
170000,1468895,BERGENIA COR WINTERGLOW,DCS,,,,,,,,
170000,1468895,BERGENIA COR WINTERGLOW,PRN,,,,,,,,
170000,1468895,BRUNNERA MAC SILVER HEART PPAF,PRN,,,,,,,,
170000,1468895,BUD LO&BEHLD R PINK MICRO CHIP,PRN,,,,,,,,
