Loc,,New Plant,Item,,Size,Plant Name,Common Name,CAT,Zone,Condition,Current Specs,Qty Allocated,QTY AVAIL NOW,2ND QTY AVAIL,2ND QTY READY DATE,2016 LIST PRICE,"ADD'L 10% 
QTY 
BUY PRICE","ADD'L 12.5% 
QTY
BUY
PRICE","UNIT 
FRT"
CA,170000,    ,001351,170000001351,#1,ACHILLEA X MOONSHINE,Moonshine Yarrow                                            ,PRN,03,,CAN FULL,     ,     , 174 ,03/15/16  , 5.25 , 4.73 , 4.59 ,0.54
CA,170000,    ,001391,170000001391,#1 STAKED,ACTINIDIA ARG ISSAI (FEMALE),Hardy Kiwi Vine                                             ,VIN,04,DORMANT,24''H, 23 , 762 ,,, 12.00 , 10.80 , 10.50 ,0.54
CA,170000,    ,001395,170000001395,#5 STAKED,ACTINIDIA ARG ISSAI (FEMALE),Hardy Kiwi Vine                                             ,VIN,04,DORMANT,48''H, 11 , 26 ,     ,          , 32.25 , 29.03 , 28.22 ,2.72
CA,170000,    ,080301,170000080301,#1,AJUGA CHOCOLATE CHIP,Chocolate Chip Carpet Bugle                                 ,PRN,04,,CAN FULL,     ,     , 373 ,05/01/16  , 5.25 , 4.73 , 4.59 ,0.54
CA,170000,    ,000591,170000000591,#1,AJUGA REPTANS BURGUNDY GLOW,Burgundy Glow Carpet Bugle                                  ,PRN,04,-,CAN FULL,     ,     , 657 ,04/01/16  , 5.25 , 4.73 , 4.59 ,0.54
CA,170000,    ,001931,170000001931,#1,AJUGA REPTANS CATLIN'S GIANT,Catlin's Giant Carpet Bugle                                 ,PRN,03,-,CAN FULL,     ,     , 233 ,04/01/16  , 5.25 , 4.73 , 4.59 ,0.54
CA,170000,X,412551,170000412551,#1,BAPTISIA PRAIRIEBLUES TM MDNGT,Midnight Prairieblues  Indigo,PRN,04,,CAN FULL,     ,     , 50 ,04/15/16  , 6.25 , 5.63 , 5.47 ,0.54
CA,170000,    ,401061,170000401061,#1,BAPTISIA SOLAR FLARE PP20408,Solar Flare Prairieblues  False Indigo,PRN,04,,CAN FULL,     ,     , 134 ,04/15/16  , 6.25 , 5.63 , 5.47 ,0.54
CA,170000,    ,401081,170000401081,#1,BAPTISIA TWILITE PP19011,Twilite Prairieblues  False Indigo,PRN,04,,CAN FULL,     ,     , 71 ,04/15/16  , 6.25 , 5.63 , 5.47 ,0.54
CA,170000,    ,074741S,170000074741S,SuperOne TM,BER SUNJOY R GOLD PILLAR PPAF,Sunjoy®  Gold Pillar Barberry,DCS,04,-,"8""H - 4""S",     ,     , 286 ,04/01/16  , 11.00 , N/A , N/A ,0.91
CA,170000,    ,074742S,170000074742S,SuperTwo,BER SUNJOY R GOLD PILLAR PPAF,Sunjoy®  Gold Pillar Barberry,DCS,04,DORMANT,"12""H - 6""S",     , 451 ,     ,          , 17.75 , 15.98 , 15.53 ,1.81
CA,170000,    ,002242,170000002242,#2,BER T CONCORDE,Concorde Japanese Barberry                                  ,DCS,04,DORMANT,"9""H - 9""S",     , 412 ,     ,          , 14.00 , 12.60 , 12.25 ,1.36
CA,170000,    ,035232,170000035232,#2,BER T GOLDEN RUBY R PP16203,Golden Ruby®  Barberry,DCS,04,DORMANT,"6""H - 10""S",     , 75 ,     ,          , 16.00 , 14.40 , 14.00 ,1.36
CA,170000,,062932,170000062932,#2,BER T ORANGE ROCKET PP18411,Orange Rocket Barberry                                      ,DCS,04,DORMANT,"14""H - 6""S",     , 91 ,     ,          , 16.00 , 14.40 , 14.00 ,1.36
CA,170000,    ,012202,170000012202,#2,BER T ROSE GLOW,Rose Glow Japanese Barberry                                 ,DCS,04,-,"10""H - 10""S",     ,     , 74 ,03/01/16  , 14.00 , 12.60 , 12.25 ,1.36
CA,170000,    ,013825CU,170000013825CU,#5 CUBE,BUXUS GREEN MOUNTAIN,Green Mountain Boxwood                                      ,EVS,04,-,"17""H - 15""S", 40 ,     , 40 ,04/01/16  , 43.25 , 38.93 , 37.84 ,4.08
CA,170000,    ,022711,170000022711,#1 STAKED,CAMPSIS BALBOA SUNSET R,Balboa Sunset®  Trumpet Creeper,VIN,04,DORMANT,24''H, 46 , 77 ,     ,          , 8.00 , 7.20 , 7.00 ,0.54
CA,170000,    ,022715PT,170000022715PT,#5 PATIO TREE,CAMPSIS BALBOA SUNSET R,Balboa Sunset®  Trumpet Creeper,VIN,04,DORMANT,15''S,     , 143 ,,, 41.00 , 36.90 , 35.88 ,4.08
CA,170000,    ,022381,170000022381,#1 STAKED,CAMPSIS FLAVA,Yellow Trumpet Creeper                                      ,VIN,04,DORMANT,"24""H", 76 , 322 ,     ,          , 8.00 , 7.20 , 7.00 ,0.54
CA,170000,    ,022385,170000022385,#5 STAKED,CAMPSIS FLAVA,Yellow Trumpet Creeper                                      ,VIN,04,DORMANT,"48""H", 22 , 32 ,     ,          , 27.50 , 24.75 , 24.06 ,2.72
CA,170000,    ,022385PT,170000022385PT,#5 PATIO TREE,CAMPSIS FLAVA,Yellow Trumpet Creeper                                      ,VIN,04,DORMANT,15''S,     , 191 ,     ,          , 41.00 , 36.90 , 35.88 ,4.08
CA,170000,    ,022551,170000022551,#1 STAKED,CAMPSIS MADAME GALEN,Trumpet Creeper                                             ,VIN,04,DORMANT,24''H, 147 ," 1,653 ",     ,          , 8.00 , 7.20 , 7.00 ,0.54
CA,170000,    ,022555,170000022555,#5 STAKED,CAMPSIS MADAME GALEN,Trumpet Creeper                                             ,VIN,04,DORMANT,48''H, 30 , 197 ,     ,          , 27.50 , 24.75 , 24.06 ,2.72
CA,170000,    ,022555PT,170000022555PT,#5 PATIO TREE,CAMPSIS MADAME GALEN,Trumpet Creeper                                             ,VIN,04,DORMANT,15''S,     , 41 ,     ,          , 41.00 , 36.90 , 35.88 ,4.08
CA,170000,    ,024191,170000024191,#1,CHELONE HOT LIPS,Hot Lips Turtlehead                                         ,PRN,03,,,     ,     , 163 ,03/15/16  , 5.25 , 4.73 , 4.59 ,0.54
CA,170000,    ,027305,170000027305,#5 STAKED,CLEM VIT MADAME JULIA CORREVON,Madame Julia Correvon Clematis                              ,VIN,04,,"48""H", 17 ,     , 17 ,03/15/16  , 31.00 , 27.90 , 27.13 ,2.72
CA,170000,    ,074802S,170000074802S,SuperTwo,CORNUS S ARCTIC FIRE TM P18523,Arctic Fire  Red Twig Dogwood,DCS,03,,,     , 3 ,     ,          , 17.75 , 15.98 , 15.53 ,1.81
