Branch,item,Description,Category,Shippable,"Open
Now","Rep
Allocation","Rep
Orders","Now Available
For Rep",Price,Code,Future
550000,074731S,ABELIA CHIN BRONZ ANNIV R PPAF,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,74735,ABELIA CHIN BRONZ ANNIV R PPAF,EVS,39,4,0,0,4,$18.50 ,,
550000,074391S,ABELIA CHIN RUBY ANNIV TM PPAF,EVS,660,42,0,0,42,$8.50 ,,
,402027,CORNUS KOUSA SUMMER FUN PPAF,,,,,,,,,
,028207PT,CORYLUS AV CONTORTA,,,,,,,,,
,031202,CYTISUS BURKWOODII,,,,,,,,,
,003121,ECHINACEA POWWOW R WHITE,,,,,,,,,
,002991,ECHINACEA POWWOW R WILDBERRY,,,,,,,,,
,017313,HYD M ENDLESS SUMMER R PP15298,,,,,,,,,
,086313S,HYD MAC LD R RHYTHMIC BLUE PAF,,,,,,,,,
,074583S,HYD MAC LD R STARLIGHT PP20019,,,,,,,,,
,080953S,HYD PAN BOBO R PP22782,,,,,,,,,
,024373S,HYD PAN LIMELIGHT PP12874,,,,,,,,,
,024377PT,HYD PAN LIMELIGHT PP12874,,,,,,,,,
,029923S,HYD PAN LITTLE LIME PPAF,,,,,,,,,
,042447PT,HYD PAN PINK DIAMOND,,,,,,,,,
,074603S,HYD PAN QUICK FIRE R PP16812,,,,,,,,,
,404043,HYD PAN VNLA STRWBRY TM P20670,,,,,,,,,
,086373S,LYCIUM BARB BIG LIFEBERRY R,,,,,,,,,
,061067,MALUS X CORALBURST TM PP2983,,,,,,,,,
,404757,MALUS X ROYAL RAINDROPS R,,,,,,,,,
,405253,PHYSOCARPUS AMBER JUBILEE PPAF,,,,,,,,,
,029943S,PHYSOCARPUS SUMR WINE R P14821,,,,,,,,,
,098542S,ROSA DRIFT R APRICOT PP23354,,,,,,,,,
,098552S,ROSA DRIFT R CORAL PP19148,,,,,,,,,
,098562S,ROSA DRIFT R PEACH PP18542,,,,,,,,,
,098572S,ROSA DRIFT R SWEET PP21612,,,,,,,,,
,406273,ROSA FRNCIS MEILLAND TM P19970,,,,,,,,,
,042823S,ROSA KNCK OUT R DBL PNK P18507,,,,,,,,,
,011623S,ROSA KNCK OUT R P11836 (RED),,,,,,,,,
,406253,ROSA PEACHY KEEN PPAF,,,,,,,,,
,406223,ROSA SUNSHINE DAYDREAM PPAF,,,,,,,,,
,406203,ROSA-CL WNERS CIRCLE TM P19310,,,,,,,,,
,074683S,SYRINGA BLOOMERNG R PUR P20575,,,,,,,,,
,406943,SYRINGA V YANKEE DOODLE,,,,,,,,,
,022173,THUJA OC MR BOWLING BALL R,,,,,,,,,
,406972,THUJA OC PANCAKE TM PP24013,,,,,,,,,
,068293,VACCINIUM PINK LEMONADE,,,,,,,,,
,012965,VIB DEN CHICAGO LUSTRE R,,,,,,,,,
,074065,VIB PLI T MARIESI,,,,,,,,,
,073975,VIB PLI T SUMMER SNOWFLAKE,,,,,,,,,
,407353,WEIGELA SHNG SENSATION TM PPAF,,,,,,,,,
,080943S,WEIGELA SONIC BLOOM TM PNK PAF,,,,,,,,,
,080933S,WEIGELA SONIC BLOOM TM RED PAF,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
