Branch,item,Description,Category,Shippable,"Open
Now","Rep
Allocation","Rep
Orders","Now Available
For Rep",Price,Code,Future
550000,028343,ABELIA GRA KALEIDOSCOPE P16988,EVS, 7 , 7 , 7 , 7 , 7 , 44.99 ,,5/1/2014
550000,400343,ABELIA SUNSHNE DAYDRM PP20961,EVS, 30 , 30 , 30 , 30 , 30 , 44.99 ,,5/1/2014
550000,000402,ACANTHUS OAK LEAF,PRN, 20 , 20 , 20 , 20 , 20 , 39.99 ,,5/1/2014
550000,400445,ACER PAL RYUSEN PP18501,TRE, 10 , 10 , 10 , 10 , 10 , 125.00 ,,5/1/2014
550000,001881,AGAPANTHUS X MIDKNIGHT BLUE R,DCS, 15 , 15 , 15 , 15 , 15 , 19.99 ,,5/1/2014
550000,001882,AGAPANTHUS X MIDKNIGHT BLUE R,DCS, 30 , 30 , 30 , 30 , 30 , 49.99 ,,5/1/2014
550000,002565,AKEBIA QUINATA SHIRO BANA,VIN, 5 , 5 , 5 , 5 , 5 , 64.99 ,,5/1/2014
550000,077801,ALOE HYBRID CARMINE TM,CAC, 10 , 10 , 10 , 10 , 10 , 18.99 ,,5/1/2014
550000,038561,ANEMONE X SERENADE,PRN, 10 , 10 , 10 , 10 , 10 , 14.99 ,,5/1/2014
550000,055482,ARALIA CORDATA GOTEMBA,PRN, 10 , 10 , 10 , 10 , 10 , 29.99 ,,5/1/2014
550000,003151,ASPARAGUS MYERS,FRN, 20 , 20 , 20 , 20 , 20 , 19.99 ,,5/1/2014
550000,003565,AUCUBA MR GOLDSTRIKE,EVS, 25 , 25 , 25 , 25 , 25 , 59.99 ,,5/1/2014
550000,003655,AUCUBA SERRATIFOLIA,EVS, 5 , 5 , 5 , 5 , 5 , 59.99 ,,5/1/2014
550000,050021,BEESIA DELTOPHYLLA,PRN, 10 , 10 , 10 , 10 , 10 , 14.99 ,,5/1/2014
550000,035232,BER T GOLDEN RUBY R PP16203,DCS, 25 , 25 , 25 , 25 , 25 , 36.99 ,,5/1/2014
550000,013055PT,BOUG PURPLE QUEEN R,VIN, 4 , 4 , 4 , 4 , 4 ,     ,,5/1/2014
550000,407622S,BUD LO&BEHOLD BLU CHIP JR,DCS, 25 , 25 , 25 , 25 , 25 , 44.99 ,,5/1/2014
550000,013831,BUXUS MIC WINTER GEM,EVS, 14 , 14 , 14 , 14 , 14 , 16.99 ,,5/1/2014
550000,013905,BUXUS S GREEN TOWER R PP15243,EVS, 55 , 55 , 55 , 55 , 55 , 59.99 ,,5/1/2014
550000,022712ST,CAMPSIS BALBOA SUNSET R,VIN, 5 , 5 , 5 , 5 , 5 , 39.99 ,,5/1/2014
550000,022382ST,CAMPSIS FLAVA,VIN, 10 , 10 , 10 , 10 , 10 , 39.99 ,,5/1/2014
550000,023317SE,CEDRUS ATLANTICA GLAUCA PNDULA,CON, 7 , 7 , 7 , 7 , 7 , 199.99 ,,5/1/2014
550000,074783S,CHAM PIS SOFT SERVE R PPAF,CON, 6 , 6 , 6 , 6 , 6 , 39.99 ,,5/1/2014
550000,027155,CLEM ARMANDII,VIN, 4 , 4 , 4 , 4 , 4 , 64.99 ,,5/1/2014
550000,056195,CLEM ARMANDII APPLEBLOSSOM,VIN, 5 , 5 , 5 , 5 , 5 , 79.99 ,,5/1/2014
550000,027431,CLEM MONTANA FREDA,VIN, 10 , 10 , 10 , 10 , 10 , 26.99 ,,5/1/2014
550000,027435,CLEM MONTANA FREDA,VIN, 4 , 4 , 4 , 4 , 4 , 69.99 ,,5/1/2014
550000,027401,CLEM MONTANA RUBENS,VIN, 10 , 10 , 10 , 10 , 10 , 26.99 ,,5/1/2014
550000,038001,CLEM TEX PRINCESS DIANA,VIN, 10 , 10 , 10 , 10 , 10 , 26.99 ,,5/1/2014
550000,038002,CLEM TEX PRINCESS DIANA,VIN, 8 , 8 , 8 , 8 , 8 , 39.99 ,,5/1/2014
550000,051481,CLEM VANCOUVER TM DANIELLE,VIN, 10 , 10 , 10 , 10 , 10 , 26.99 ,,5/1/2014
550000,046271,CLEM VANCOUVER TM FRGRNT STAR,VIN, 10 , 10 , 10 , 10 , 10 , 26.99 ,,5/1/2014
550000,038081,CLEM VIT BETTY CORNING,VIN, 5 , 5 , 5 , 5 , 5 , 26.99 ,,5/1/2014
550000,015901,CLEM X BLUE LIGHT R PP15953,VIN, 6 , 6 , 6 , 6 , 6 , 26.99 ,,5/1/2014
550000,044481,CLEM X JACKMANII SUPERBA,VIN, 10 , 10 , 10 , 10 , 10 , 26.99 ,,5/1/2014
550000,027481,CLEM X RAMONA,VIN, 6 , 6 , 6 , 6 , 6 , 26.99 ,,5/1/2014
550000,026371,CLEM X TOKI,VIN, 10 , 10 , 10 , 10 , 10 , 26.99 ,,5/1/2014
550000,03172UT,CORDYLINE BAUERI,EVS, 16 , 16 , 16 , 16 , 16 ,     ,,5/1/2014
550000,031721,CORDYLINE BAUERI,EVS, 20 , 20 , 20 , 20 , 20 , 19.99 ,,5/1/2014
550000,031725,CORDYLINE BAUERI,EVS, 5 , 5 , 5 , 5 , 5 , 69.99 ,,5/1/2014
550000,048081,COREOPSIS JETHRO TULL PP18789,PRN, 10 , 10 , 10 , 10 , 10 , 12.99 ,,5/1/2014
550000,028552,COT APICULATUS TOM THUMB,DCS, 6 , 6 , 6 , 6 , 6 , 32.99 ,,5/1/2014
550000,028312,COT HOR VARIEGATUS,DCS, 10 , 10 , 10 , 10 , 10 , 32.99 ,,5/1/2014
550000,028315,COT HOR VARIEGATUS,DCS, 5 , 5 , 5 , 5 , 5 , 44.99 ,,5/1/2014
550000,030737,CUP SEMP TINY TOWER R PP12933,CON, 15 , 15 , 15 , 15 , 15 , 160.00 ,,5/1/2014
550000,030739,CUP SEMP TINY TOWER R PP12933,CON, 19 , 19 , 19 , 19 , 19 , 199.99 ,,5/1/2014
550000,031385,CYTISUS ALLGOLD,DCS, 15 , 15 , 15 , 15 , 15 , 59.99 ,,5/1/2014
550000,031365,CYTISUS LENA,DCS, 15 , 15 , 15 , 15 , 15 , 59.99 ,,5/1/2014
550000,031521S,DAPHNE OD AUREO-MARGINATA,EVS, 17 , 17 , 17 , 17 , 17 , 26.99 ,,5/1/2014
