Loc,Item,Plant Name,Botanical Name,Common Name,Chosen Items,Royalty Code,UPC#,
GA,074731S,ABELIA CHIN BRONZ ANNIV R PPAF,Abelia grandiflora 'Rika1' P.P.A.F.                         ,Bronze Anniversary™  Abelia,,PW,014949335628,
CA,074391S,ABELIA CHIN RUBY ANNIV TM PPAF,Abelia grandifolia 'Keiser' P.P.A.F.                        ,Ruby Anniversary™  Abelia,,PW,014949335604,
GA,074391S,ABELIA CHIN RUBY ANNIV TM PPAF,Abelia grandifolia 'Keiser' P.P.A.F.                        ,Ruby Anniversary™  Abelia,,PW,014949335604,
CA,028342,ABELIA GRA KALEIDOSCOPE P16988,"Abelia x grandiflora 'Kaleidoscope' P.P.# 16,988            ",Kaleidoscope Abelia                                         ,,PHI,014949063200,
550000,028343,ABELIA GRA KALEIDOSCOPE P16988,"Abelia x grandiflora 'Kaleidoscope' P.P.# 16,988            ",Kaleidoscope Abelia                                         ,1,PHI,014949207789,
GA,025692,ABELIA GRA ROSE CREEK,Abelia x 'Rose Creek'                                       ,Rose Creek Abelia                                           ,,,014949116807,
CA,000091,ABELIA PROSTRATA,Abelia x grandiflora 'Prostrata'                            ,Prostrate White Abelia                                      ,,,014949000915,
CA,000095,ABELIA PROSTRATA,Abelia x grandiflora 'Prostrata'                            ,Prostrate White Abelia                                      ,,,014949000953,
OR,020695,ABELIOPHYLLUM DIS ROSEUM,Abeliophyllum distichum 'Roseum'                            ,Pink Forsythia                                              ,,,014949054710,
OR,000082,ABIES BALSAMEA NANA,Abies balsamea 'Nana'                                       ,Dwarf Balsam Fir                                            ,,,014949000823,
OR,021565,ABIES HORSTMANN'S SILBERLOCKE,Abies koreana 'Horstmann's Silberlocke'                     ,Horstmann's Silberlocke Korean Fir                          ,,,014949040553,
OR,019341,ABIES LAS GLAUCA COMPACTA,Abies lasiocarpa 'Glauca Compacta'                          ,Dwarf Blue Subalpine Fir                                    ,,,014949015728,
OR,019342,ABIES LAS GLAUCA COMPACTA,Abies lasiocarpa 'Glauca Compacta'                          ,Dwarf Blue Subalpine Fir                                    ,,,014949257685,
CA,000171ST,ABUTILON ALBUS,Abutilon x hybridum 'Albus'                                 ,White Flowering Maple                                       ,,,014949378311,
CA,000175ST,ABUTILON ALBUS,Abutilon x hybridum 'Albus'                                 ,White Flowering Maple                                       ,,,014949001837,
CA,000155ST,ABUTILON LUTEUS,Abutilon x hybridum 'Luteus'                                ,Yellow Flowering Maple                                      ,,,014949787953,
CA,000131ST,ABUTILON ROSEUS,Abutilon x hybridum 'Roseus'                                ,Pink Flowering Maple                                        ,,,014949907986,
CA,000135ST,ABUTILON ROSEUS,Abutilon x hybridum 'Roseus'                                ,Pink Flowering Maple                                        ,,,014949788059,
CA,000201ST,ABUTILON SUPER RED R,Abutilon x 'Moned'                                          ,Super Red®  Flowering Maple,,,014949339596,
CA,000205PT,ABUTILON SUPER RED R,Abutilon x 'Moned'                                          ,Super Red®  Flowering Maple,,,014949787557,
CA,040025,ACACIA ITEAPHYLLA,Acacia iteaphylla                                           ,Willow Wattle                                               ,,,014949202470,
550000,000402,ACANTHUS OAK LEAF,Acanthus mollis 'Oak Leaf'                                  ,Grecian Pattern Plant                                       ,1,,014949071403,
CA,000405,ACANTHUS OAK LEAF,Acanthus mollis 'Oak Leaf'                                  ,Grecian Pattern Plant                                       ,,,014949004050,
OR,030345,ACER CIR MONROE,Acer circinatum 'Monroe'                                    ,Monroe Vine Maple                                           ,,,014949193419,
CT,400357,ACER FRE MATADOR TM,                                                            ,                                                            ,,BNI,014949387856,
OR,000445,ACER GRISEUM,Acer griseum                                                ,Paperbark Maple                                             ,,,014949004456,
OR,000447,ACER GRISEUM,Acer griseum                                                ,Paperbark Maple                                             ,,,014949004470,
OR,00052M,ACER JAPONICUM ACONITIFOLIUM,Acer japonicum 'Aconitifolium'                              ,Fernleaf Full-Moon Maple                                    ,,,014949005286,
OR,036235,ACER NEGUNDO KELLY'S GOLD,Acer negundo 'Kelly's Gold'                                 ,Kelly's Gold Boxelder Maple                                 ,,,014949211045,
OR,030355,ACER PAL AOYAGI,Acer palmatum 'Aoyagi'                                      ,Aoyagi Japanese Maple                                       ,,,014949216248,
OR,000701,ACER PAL ATROPURPUREUM-S.,Acer palmatum 'Atropurpureum'                               ,Red-Leaf Japanese Maple                                     ,,,014949007013,
OR,000702,ACER PAL ATROPURPUREUM-S.,Acer palmatum 'Atropurpureum'                               ,Red-Leaf Japanese Maple                                     ,,,014949007020,
OR,000705,ACER PAL ATROPURPUREUM-S.,Acer palmatum 'Atropurpureum'                               ,Red-Leaf Japanese Maple                                     ,,,014949007051,
OR,000752,ACER PAL BLOODGOOD,Acer palmatum var. atropurpureum 'Bloodgood'                ,Bloodgood Japanese Maple                                    ,,,014949007525,
OR,000755,ACER PAL BLOODGOOD,Acer palmatum var. atropurpureum 'Bloodgood'                ,Bloodgood Japanese Maple                                    ,,,014949007556,
OR,000759,ACER PAL BLOODGOOD,Acer palmatum var. atropurpureum 'Bloodgood'                ,Bloodgood Japanese Maple                                    ,,,014949007594,
OR,00075M,ACER PAL BLOODGOOD,Acer palmatum var. atropurpureum 'Bloodgood'                ,Bloodgood Japanese Maple                                    ,,,014949007679,
OR,000802,ACER PAL BURGUNDY LACE,Acer palmatum var. atropurpureum 'Burgundy Lace'            ,Burgundy Lace Japanese Maple                                ,,,014949008027,
OR,021241,ACER PAL BUTTERFLY,Acer palmatum 'Butterfly'                                   ,Butterfly Japanese Maple                                    ,,,014949107478,
160000,021245,ACER PAL BUTTERFLY,Acer palmatum 'Butterfly'                                   ,Butterfly Japanese Maple                                    ,1,,014949053676,
160000,000952ST,ACER PAL CRIMSON QUEEN,Acer palmatum var. dissectum 'Crimson Queen'                ,Crimson Queen Japanese Maple                                ,1,,014949009529,
CT,000953,ACER PAL CRIMSON QUEEN,Acer palmatum var. dissectum 'Crimson Queen'                ,Crimson Queen Japanese Maple                                ,,,014949400173,
OR,000959ST,ACER PAL CRIMSON QUEEN,Acer palmatum var. dissectum 'Crimson Queen'                ,Crimson Queen Japanese Maple                                ,,,014949009598,
