Loc,Item,Size,Plant Name,Botanical Name,Common Name,Chosen Items,Royalty Code,UPC#
GA,074731S,SuperOne TM,ABELIA CHIN BRONZ ANNIV R PPAF,Abelia grandiflora 'Rika1' P.P.A.F.                         ,Bronze Anniversary™  Abelia,,PW,14949335628
CA,074391S,SuperOne TM,ABELIA CHIN RUBY ANNIV TM PPAF,Abelia grandifolia 'Keiser' P.P.A.F.                        ,Ruby Anniversary™  Abelia,,PW,14949335604
GA,074391S,SuperOne TM,ABELIA CHIN RUBY ANNIV TM PPAF,Abelia grandifolia 'Keiser' P.P.A.F.                        ,Ruby Anniversary™  Abelia,,PW,14949335604
CA,28342,#2,ABELIA GRA KALEIDOSCOPE P16988,"Abelia x grandiflora 'Kaleidoscope' P.P.# 16,988            ",Kaleidoscope Abelia                                         ,,PHI,14949063200
GA,28343,#3,ABELIA GRA KALEIDOSCOPE P16988,"Abelia x grandiflora 'Kaleidoscope' P.P.# 16,988            ",Kaleidoscope Abelia                                         ,1,PHI,14949207789
GA,25692,#2,ABELIA GRA ROSE CREEK,Abelia x 'Rose Creek'                                       ,Rose Creek Abelia                                           ,,,14949116807
CA,91,#1,ABELIA PROSTRATA,Abelia x grandiflora 'Prostrata'                            ,Prostrate White Abelia                                      ,,,14949000915
CA,95,#5,ABELIA PROSTRATA,Abelia x grandiflora 'Prostrata'                            ,Prostrate White Abelia                                      ,,,14949000953
OR,20695,#5,ABELIOPHYLLUM DIS ROSEUM,Abeliophyllum distichum 'Roseum'                            ,Pink Forsythia                                              ,,,14949054710
OR,82,#2,ABIES BALSAMEA NANA,Abies balsamea 'Nana'                                       ,Dwarf Balsam Fir                                            ,,,14949000823
OR,21565,#5,ABIES HORSTMANN'S SILBERLOCKE,Abies koreana 'Horstmann's Silberlocke'                     ,Horstmann's Silberlocke Korean Fir                          ,,,14949040553
OR,19341,#1,ABIES LAS GLAUCA COMPACTA,Abies lasiocarpa 'Glauca Compacta'                          ,Dwarf Blue Subalpine Fir                                    ,,,14949015728
OR,19342,#2,ABIES LAS GLAUCA COMPACTA,Abies lasiocarpa 'Glauca Compacta'                          ,Dwarf Blue Subalpine Fir                                    ,,,14949257685
CA,000171ST,#1 STAKED,ABUTILON ALBUS,Abutilon x hybridum 'Albus'                                 ,White Flowering Maple                                       ,,,14949378311
CA,000175ST,#5 STAKED,ABUTILON ALBUS,Abutilon x hybridum 'Albus'                                 ,White Flowering Maple                                       ,,,14949001837
