Loc,Item,Plant Name
550000,028343,ABELIA GRA KALEIDOSCOPE P16988
550000,000402,ACANTHUS OAK LEAF
160000,021245,ACER PAL BUTTERFLY
160000,000952ST,ACER PAL CRIMSON QUEEN
160000,018332,ACER PAL SHISHIGASHIRA
160000,000905,ACER PAL WATERFALL
170000,099571,AGAPANTHUS BABY PETE TMPP21705
160000,050002,AGAPANTHUS INAPTERUS GRASKOP
170000,001881,AGAPANTHUS X MIDKNIGHT BLUE R
160000,08030UT,AJUGA CHOCOLATE CHIP
160000,002561,AKEBIA QUINATA SHIRO BANA
170000,001999,ALBIZIA J SUMMER CHOC PP13822
550000,003451,ASPIDISTRA ELATIOR
160000,025212,BAM-FARGESIA RUFA (CLUMP)
170000,011427,BAM-PHYLLO AUREA (RUN)
170000,012031,BER GOLDN NUGGET TM P9577 CBR
160000,035231,BER T GOLDEN RUBY R PP16203
160000,035241,BER T PYGMY RUBY TM
550000,012511,BIGNONIA CAP TANGERINE BEAUTY
550000,074411S,BUD LO&BEHLD R BLU CHP PP19991
550000,080811S,BUD LO&BEHLD R ICE CHIP PPAF
550000,077391S,BUDDLEJA MISS MOLLY PPAF
550000,074401S,BUDDLEJA X MISS RUBY PPAF
160000,013832,BUXUS MIC WINTER GEM
160000,013982,BUXUS SEMP SUFFRUTICOSA
160000,035971,BUXUS WEE WILLIE R PP17007
550000,046762,CALLISTEM SCRLT TRCH TM P23848
550000,014402,CALLISTEMON LITTLE JOHN
180000,017252,CAM NUCCIOS BELLA ROSSA P13023
180000,015001ST,CAM S MARGE MILLER
180000,022215,CAM S WHITE DOVES
170000,022711,CAMPSIS BALBOA SUNSET R
170000,022381,CAMPSIS FLAVA
550000,029211,CANNA TROP BLACK TM PP21350
550000,017411,CANNA TROPICANNA GLD TM P13809
170000,022481,CANNA TROPICANNA TM PP10569
160000,023315SE,CEDRUS ATLANTICA GLAUCA PNDULA
160000,023327,CEDRUS ATLANTICA HORSTMANN
160000,023285,CEDRUS DEODARA FEELIN BLUE
160000,051275,CEDRUS FEELIN SUNNY R PP23886
170000,057381,CESTRUM AUR ORANGE PEEL
170000,074441S,CHAEN DBLTKE TM OR STRM P20950
170000,074452S,CHAEN DBLTKE TM PK STRM P20920
160000,033805,CHAM L YVONNE-GUARDIAN R
160000,023935,CHAM OBT TORULOSA
160000,027152,CLEM ARMANDII
160000,055392,CLEM MONTANA PINK-A-BOO R
160000,055211,CLEM SIEBOLDII
160000,046271,CLEM VANCOUVER TM FRGRNT STAR
160000,048741,CLEM VANCOUVER TM STARRY NGHTS
160000,027732,CORNUS ALBA ELEGANTISSIMA
160000,017455,CORYLUS AV CONTORTA-OWN ROOT
170000,030755,CUP SEMP SWANE'S GOLDEN
170000,030735,CUP SEMP TINY TOWER R PP12933
160000,031595,DEUTZIA HYBRIDA PINK-A-BOO R
160000,004901,DICENTRA SP VALENTINE R P22739
160000,049832,DISPORUM CANT GREEN GIANT
160000,032271,ECHIN PXIE MEADWBRTE TM P18546
550000,059741,ECHINACEA PUR HOT PAPAYA PPAF
170000,035121,EUO J MICRO SUNNY DELIGHT R
160000,017542,FORSYTHIA X MAGICAL R GOLD
170000,037575,GARDENIA FIRST LOVE R-GRAFT
550000,017275,GELSEMIUM DOUBLE SHOT R
170000,028045,GR-CORT IVORY FEATHERS R
160000,038681,GR-HAKONECHLOA MACRA AUREOLA
550000,064182,HESPERALOE BRK LIGHTS R P21729
160000,056361S,HOLBOELLIA COR CATHEDRAL GEM
550000,092752,HYD M ENCHANTRESS R PPAF
550000,074561S,HYD MAC CTYLN TM PARIS PP10906
550000,074541S,HYD MAC CTYLN TM RIO
550000,074571S,HYD MAC CTYLN TM VENICE P10928
170000,042072,HYD MAC PINK ELF R (PIA)
160000,042022,HYD PAN ANGEL'S BLUSH R P10751
550000,029921S,HYD PAN LITTLE LIME PPAF
160000,035011,HYD PET MIRANDA
160000,041705,HYD PETIOLARIS
550000,080961S,HYD SER TUFF STUFF TM PPAF
160000,042605,ILEX AQ ARGENTEOMARGINATA
160000,043052,ILEX AQ GOLD COAST R
550000,092652,ILEX EMRLD COLONNADE R PP23905
550000,019657,ILEX X RED BEAUTY R PP14750
160000,023965,ILEX X SANTA'S DELIGHT R
160000,021093,ILEX X SCALLYWAG TM PP21941
170000,084652,JUN C DAUB'S FROSTED
160000,048132,JUN C SEA OF GOLD R PP17622
170000,053659,JUN V BLUE ARROW
550000,054707,LAG CATAWBA
550000,008869BH,LAG DYNAMITE R P10296
550000,008899,LAG MUSKOGEE
550000,008999,LAG NATCHEZ
550000,009039,LAG TUSCARORA
550000,056641,LANTANA CAM MARY ANN
550000,056841,LANTANA CAM MISS HUFF
170000,056631,LANTANA CHAPEL HILL YLW P19548
550000,037425,LORO C EVER RED R
170000,040202,LORO C PIPA'S RED
170000,098401,LORO C SNOW PANDA
170000,059585TR,MAG X BLACK TULIP PPAF
170000,062225,NAND D SIENNA SUNRISE R P14693
