Branch,item,Description,Category,Shippable,"Open
Now","Rep
Allocation","Rep
Orders","Now Available
For Rep",Price,Code,Future
170000,074612S,HYD PAN PINKY WINKY TM PP16166,DCS,,,,,,,,
170000,041701,HYD PETIOLARIS,VIN,,,,,,,,
170000,093173,HYD QUER MUNCHKIN,DCS,,,,,,,,
170000,08096ECP,HYD SER TUFF STUFF TM POSTER,MKT,,,,,,,,
170000,074622S,HYPERICUM SUNNY BLVD TM P20045,DCS,,,,,,,,
170000,090981,IBERIS SEMP PURITY,PRN,,,,,,,,
170000,007869,ILEX X ATTENUATA SAVANNAH,EVS,,,,,,,,
170000,045125,ILEX X BERRI-MAGIC R CHINA,EVS,,,,,,,,
170000,04509ECP,ILEX X BERRI-MAGIC R KIDS POST,MKT,,,,,,,,
170000,04513ECP,ILEX X BERRI-MAGIC R ROY POSTE,MKT,,,,,,,,
170000,045132,ILEX X BERRI-MAGIC R ROYALTY,EVS,,,,,,,,
170000,045135,ILEX X BERRI-MAGIC R ROYALTY,EVS,,,,,,,,
170000,074952S,ILEX X CASTLE SPIRE R PP14310,EVS,,,,,,,,
170000,074953S,ILEX X CASTLE SPIRE R PP14310,EVS,,,,,,,,
170000,074942S,ILEX X CASTLE WALL TM PP14308,EVS,,,,,,,,
170000,074943S,ILEX X CASTLE WALL TM PP14308,EVS,,,,,,,,
170000,02109ECP,ILEX X SCALLYWAG TM POSTER,MKT,,,,,,,,
170000,021092,ILEX X SCALLYWAG TM PP21941,EVS,,,,,,,,
170000,021093,ILEX X SCALLYWAG TM PP21941,EVS,,,,,,,,
170000,016461,IRIS EN BUTTERFLIES IN FLIGHT,PRN,,,,,,,,
170000,016471,IRIS EN CASCADE SPICE,PRN,,,,,,,,
170000,016471,IRIS EN CASCADE SPICE,PRN,,,,,,,,
170000,044011,IRIS EN VARIEGATA,PRN,,,,,,,,
170000,044011,IRIS EN VARIEGATA,PRN,,,,,,,,
170000,045981,IRIS PALLIDA VARIEGATA,PRN,,,,,,,,
170000,046441,IRIS SIB CAESAR'S BROTHER,PRN,,,,,,,,
170000,046441,IRIS SIB CAESAR'S BROTHER,PRN,,,,,,,,
170000,046011,IRIS SIB RUFFLED VELVET,PRN,,,,,,,,
170000,046011,IRIS SIB RUFFLED VELVET,PRN,,,,,,,,
170000,099647PX,JAPANESE ITOH PEONY POSTER,MKT,,,,,,,,
170000,046875,JUN C BLUE POINT,CON,,,,,,,,
170000,084655PT,JUN C DAUB'S FROSTED,CON,,,,,,,,
170000,04750MSP,JUN C HETZII COLUMN,CON,,,,,,,,
170000,047509,JUN C HETZII COLUMN,CON,,,,,,,,
170000,047602PP,JUN C HETZII GLAUCA,CON,,,,,,,,
170000,048002,JUN C MINT JULEP R,CON,,,,,,,,
170000,048002PP,JUN C MINT JULEP R,CON,,,,,,,,
170000,048002SP,JUN C MINT JULEP R,CON,,,,,,,,
170000,048005PP,JUN C MINT JULEP R,CON,,,,,,,,
170000,048005SP,JUN C MINT JULEP R,CON,,,,,,,,
170000,04813ECP,JUN C SEA OF GOLD R POSTER,MKT,,,,,,,,
170000,048135TB,JUN C SEA OF GOLD R PP17622,CON,,,,,,,,
170000,047305,JUN C SPARTAN,CON,,,,,,,,
170000,047305SP,JUN C SPARTAN,CON,,,,,,,,
170000,05175ECP,JUN CALGARY CARPET R POSTER,MKT,,,,,,,,
170000,049252,JUN H BLUE CHIP,CON,,,,,,,,
170000,049902,JUN H ICEE BLUE R P9639,CON,,,,,,,,
170000,04990ECP,JUN H ICEE BLUE R P9639 POSTER,MKT,,,,,,,,
170000,05339ECP,JUN SQUA BLUE STAR POSTER,MKT,,,,,,,,
170000,053655,JUN V BLUE ARROW,CON,,,,,,,,
170000,054232,KALMIA LAT MINUET,EVS,,,,,,,,
170000,054072,KALMIA LAT OLYMPIC FIRE,EVS,,,,,,,,
170000,086671,KNIPH LEMON POPSICLE TM PPAF,PRN,,,,,,,,
170000,056631SPT,LANTANA CHAPEL HILL YLW P19548,PRN,,,,,,,,
170000,057231SPT,LANTANA S LAVENDER SWIRL R,PRN,,,,,,,,
170000,057201SPT,LANTANA TANGERINE TM,PRN,,,,,,,,
