Loc,PO#,Item Number,Size,Plant Name,Common Name,Plant Category,Zone,Intro Year,Price Code,Net Price     ,Unit Freight,Landed Price,Landed Price Palletized,Retail Price,Minimum Ord Qty,Confirmed Qty Remaining,Order Quantity,2013 Qty Shipped  ,2014 Qty Shipped  ,2015 Qty Shipped  ,Date Ready,UPC
CA,TROPICAL PROP                 ,035282,#2,AGAPANTHUS AFR SUN STRIPE R,Sun Stripe®  Agapanthus                                                                             ,EVS,08,2012,, 16.43 , 1.36 , 17.79 ,     ,     , 5 , 5 , ,     ,     ,     ,Now         ,014949252895 
CA,TROPICAL PROP                 ,066382,#2,ALST ROCK & ROLL R PP21001,Rock & Roll®  Peruvian Lily                                                                         ,PRN,08,2014,, 13.95 , 1.36 , 15.31 ,     ,     , 5 , 8 , ,     ,     ,     ,Now         ,014949357637 
CA,TROPICAL PROP                 ,003151,#1,ASPARAGUS MYERS,Foxtail Fern                                                                                        ,FRN,09,    ,, 7.20 , 0.54 , 7.74 ,     ,     , 10 , 10 , ,     ,     ,     ,Now         ,014949031513 
CA,TROPICAL PROP                 ,012701,#1 STAKED,BOUG BARBARA KARST,Barbara Karst Bougainvillea                                                                         ,VIN,10,    ,, 6.98 , 0.54 , 7.52 ,     ,     , 10 , 5 , ,     ,     ,     ,04/15/16    ,014949127018 
CA,TROPICAL PROP                 ,012705PT,#5 PATIO TREE,BOUG BARBARA KARST,Barbara Karst Bougainvillea                                                                         ,VIN,10,    ,, 38.25 , 4.08 , 42.33 ,     ,     , 2 , 2 , ,     ,     ,     ,Now         ,014949127155 
CA,TROPICAL PROP                 ,013051,#1 STAKED,BOUG PURPLE QUEEN R,Purple Queen®  Bougainvillea                                                                        ,VIN,10,1989,, 7.20 , 0.54 , 7.74 ,     ,     , 10 , 5 , ,     ,     ,     ,04/15/16    ,014949130513 
CA,TROPICAL PROP                 ,013055PT,#5 PATIO TREE,BOUG PURPLE QUEEN R,Purple Queen®  Bougainvillea                                                                        ,VIN,10,1989,, 38.25 , 4.08 , 42.33 ,     ,     , 2 , 2 , ,     ,     ,     ,Now         ,014949130650 
CA,TROPICAL PROP                 ,031701,#1,CORDYLINE INDIVISA,Blue Dracaena Palm                                                                                  ,EVS,09,    ,, 6.08 , 0.54 , 6.62 ,     ,     , 10 , 10 , ,     ,     ,     ,Now         ,014949317013 
CA,TROPICAL PROP                 ,037802ST,#2 STAKED,GARDENIA VEITCHII,Everblooming Gardenia                                                                               ,EVS,08,    ,, 24.30 , 1.36 , 25.66 ,     ,     , 5 , 5 , ,     ,     ,     ,Now         ,014949378120 
CA,TROPICAL PROP                 ,064272,#2,GR-PENN SET RUBRUM,Purple Fountain Grass                                                                               ,GRS,08,    ,, 13.50 , 1.36 , 14.86 ,     ,     , 5 , 5 , ,     ,     ,     ,Now         ,014949416358 
CA,TROPICAL PROP                 ,040981,#1,HIB R CHERIE,Cherie Hibiscus                                                                                     ,EVS,10,    ,, 6.75 , 0.54 , 7.29 ,     ,     , 10 , 5 , ,     ,     ,     ,Now         ,014949409817 
