Branch,item,Description,Category,Shippable,"Open
Now","Rep
Allocation","Rep
Orders","Now Available
For Rep",Price,Code,Future
,03033M,ACER SHIR AUTUMN MOON,,,,,,,,,
,002241,BER T CONCORDE,,,,,,,,,
,035232,BER T GOLDEN RUBY R PP16203,,,,,,,,,
,092922,CALLICARPA DICH SUMMER SNOW,,,,,,,,,
,024031,CHAM PIS FIL GOLDEN CHARM,,,,,,,,,
,057452,CROCOSMIA COLUMBUS,,,,,,,,,
,019472,CROCOSMIA EMBERGLOW,,,,,,,,,
,019315,EUO A COLE'S COMPACT,,,,,,,,,
,035931,GR-CAREX DOL KAGA NISHIKI,,,,,,,,,
,089282,GR-DESCHAMPSIA SCHOTTLAND,,,,,,,,,
,031942,GR-ELYMUS ARENARIUS BLUE DUNE,,,,,,,,,
,063881,GR-PAN VIR SHENANDOAH,,,,,,,,,
,064262,GR-PENN ALO HAMELN,,,,,,,,,
,039235,HAMAMELIS X INT JELENA,,,,,,,,,
,413081,HELIOPSIS HEL SUNSTRUCK P25524,,,,,,,,,
,042025,HYD PAN ANGEL'S BLUSH R P10751,,,,,,,,,
,065381,HYPERICUM AN IGNITE RED P19468,,,,,,,,,
,045135,ILEX X BERRI-MAGIC R ROYALTY,,,,,,,,,
,019652,ILEX X RED BEAUTY R PP14750,,,,,,,,,
,021091,ILEX X SCALLYWAG TM PP21941,,,,,,,,,
,047251,MUKDENIA ROS CRIMSON FANS,,,,,,,,,
,064625,PICEA GL CONICA,,,,,,,,,
,019371,PICEA GL CONICA TINY TOWER R,,,,,,,,,
,066685,POTENTILLA GOLDFINGER,,,,,,,,,
,412691,SALVIA NEM BLUE MARVEL PPAF,,,,,,,,,
,092351,SEDUM ELSIE GOLD PP20368,,,,,,,,,
,087481,SEDUM SSPKLR R CHERRY TART PAF,,,,,,,,,
,007301,SEDUM SSPRKLR R LIME ZNGR PPAF,,,,,,,,,
,025041,SEDUM X AUTUMN FIRE,,,,,,,,,
,053932,THUJA OC HIGHLIGHTS TM PP21967,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
