,,,Future Plant Availability,,,,,,,,,,,,,,,,,,
,,,For:10/13/14  6:38:24   ,,,,,,,,,,,,,,,,,,
,,,Spring 2015         ,,,,,,,,,,,,,,,,,,
OPRPJ038RA,Rep#:  600009,"Bradley, Craig",,,,,,,,,,,,,,,,,,,
Loc,Item,Size,Plant Name,Botanical Name,Common Name,Category 2,Category,Zone,Royalty Code,2015 List Price,Condition,Current Specs,Qty Allocated,Min Order Qty,Available         ,Available Later,On,Available Later,On,Available Later,On
OR,030345,#5,ACER CIR MONROE,Acer circinatum 'Monroe'                                    ,Monroe Vine Maple                                           ,Tree fall/winter interest,TRE,06,, 58.00 ,-,"48""H",     , 5 , 435 ,     ,          , 153 ,05/15/15  ,     ,          
OR,03033M,#10 Squat,ACER SHIR AUTUMN MOON,Acer shirasawanum 'Autumn Moon'                             ,Autumn Moon Fullmoon Maple                                  ,Tree fall/winter interest,TRE,05,, 118.00 ,-,"58""H", 8 , 2 , 124 , 193 ,05/15/15  ,     ,          ,     ,          
OR,030335,#5,ACER SHIR AUTUMN MOON,Acer shirasawanum 'Autumn Moon'                             ,Autumn Moon Fullmoon Maple                                  ,Tree fall/winter interest,TRE,05,, 58.00 ,-,"40""H", 1 , 5 ,     , 1 ,05/01/15  ,     ,          ,     ,          
GA,05856UT,LittleOne,ACHILLEA MILL APPLEBLOSSOM,Achillea millefolium 'Appleblossom'                         ,Appleblossom Yarrow                                         ,Mid/late border flowering,PRN,03,, 3.10 ,,CAN FULL, 20 , 16 ,     , 20 ,04/15/15  ,     ,          ,     ,          
CT,059041,#1,AGASTACHE HEATWAVE PP19662,"Agastache 'Heatwave' P.P.#19,662                            ",Heatwave Hyssop                                             ,Mid/late interm. flowering,PRN,05,, 4.90 ,,,     , 10 ,     , 491 ,06/01/15  ,     ,          ,     ,          
GA,059041,#1,AGASTACHE HEATWAVE PP19662,"Agastache 'Heatwave' P.P.#19,662                            ",Heatwave Hyssop                                             ,Mid/late interm. flowering,PRN,05,, 4.90 ,,CAN FULL, 40 , 10 ,     , 128 ,04/15/15  ,     ,          ,     ,          
GA,080081,#1,AGASTACHE SUMMER LOVE PP20510,"Agastache 'Summer Love' P.P.#20,510                         ",Summer Love Hyssop                                          ,Mid/late interm. flowering,PRN,06,TNN, 4.90 ,,CAN FULL, 29 , 10 ,     , 29 ,10/15/14  ,     ,          ,     ,          
CA,001995,#5,ALBIZIA J SUMMER CHOC PP13822,"Albizia julibrissin 'Summer Chocolate' P.P.# 13,822         ",Summer Chocolate Mimosa Tree                                ,Temperate flowering tree,TRE,07,, 35.00 ,-,"56""H", 4 , 5 , 4 ,     ,          ,     ,          ,     ,          
OR,05908UT,LittleOne,AQUILEGIA C LITTLE LANTERNS,Aquilegia canadensis 'Little Lanterns'                      ,Little Lanterns Columbine                                   ,Early spring border flowering,PRN,03,, 3.10 ,-,CAN FULL,     , 16 , 196 , 196 ,03/01/15  ,     ,          ,     ,          
GA,05908UT,LittleOne,AQUILEGIA C LITTLE LANTERNS,Aquilegia canadensis 'Little Lanterns'                      ,Little Lanterns Columbine                                   ,Early spring border flowering,PRN,03,, 3.10 ,-,CAN FULL, 32 , 16 ,     , 74 ,04/01/15  ,     ,          ,     ,          
CT,059091,#1,AQUILEGIA WINKY DBL RED & WT,Aquilegia caerulea 'Winky Double Red & White'               ,Winky Double Red & White Columbine                          ,Early spring border flowering,PRN,03,, 4.90 ,-,,     , 10 ,     , 157 ,04/20/15  ,     ,          ,     ,          
CT,059151,#1,ASTILBE VISION IN PINK PP11860,Astilbe chinensis 'Visions In Pink' P.P.# 11860             ,Visions in Pink Astilbe                                     ,Mid/late border flowering,PRN,04,, 4.90 ,-,CAN FULL,     , 10 ,     , 23 ,01/01/15  ,     ,          ,     ,          
GA,059151,#1,ASTILBE VISION IN PINK PP11860,Astilbe chinensis 'Visions In Pink' P.P.# 11860             ,Visions in Pink Astilbe                                     ,Mid/late border flowering,PRN,04,, 4.90 ,,CAN FULL, 3 , 10 ,     , 3 ,04/15/15  ,     ,          ,     ,          
OR,049772,#2,AZARA MICROPHYLLA,Azara microphylla                                           ,Box-leaf Azara                                              ,Evergreen large shrub/hedge,EVS,07,HIN, 15.00 ,-,"18""H - 10""S",     , 5 , 235 ,     ,          ," 1,946 ",04/01/15  ,     ,          
OR,049775,#5,AZARA MICROPHYLLA,Azara microphylla                                           ,Box-leaf Azara                                              ,Evergreen large shrub/hedge,EVS,07,HIN, 22.50 ,-,36''H - 15''S,     , 5 , 355 , 355 ,06/15/15  ,     ,          ,     ,          
OR,057112,#2,BAM-FARGESIA N JIUZHAIGOU(CLP),Fargesia nitida 'Jiuzhaigou'                                ,Red Clumping Bamboo                                         ,Bambusa/bamboo,GRS,05,, 31.25 ,,, 5 , 5 ,     , 5 ,04/01/15  ,     ,          ,     ,          
OR,050021,#1,BEESIA DELTOPHYLLA,Beesia deltophylla                                          ,Beesia                                                      ,Ground cover,PRN,06,HIN, 6.35 ,-,CAN FULL, 15 , 10 , 387 , 387 ,04/01/15  ,     ,          ,     ,          
GA,05917UT,LittleOne,BELLIS PERENNIS ROMINETTE MIX,Bellis perennis 'Rominette Mix'                             ,Rominette Mix English Daisy                                 ,Early spring border flowering,PRN,04,, 3.10 ,-,CAN FULL, 18 , 16 ,     , 142 ,04/01/15  ,     ,          ,     ,          
OR,035272,#2,BER T GREEN HORNET TM,Berberis thunbergii 'Grhozam'                               ,Green Hornet™  Barberry,Berberis,DCS,04,LHI, 15.00 ,-,12''H - 14''S, 5 , 5 , 5 ,     ,          ,     ,          ,     ,          
OR,035241,#1,BER T PYGMY RUBY TM,Berberis thunbergii 'Pygruzam'                              ,Pygmy Ruby™  Barberry,Berberis,DCS,04,LHI, 7.50 ,-,10''H - 10''S, 28 , 10 , 51 ,     ,          ,     ,          ,     ,          
OR,013462,#2,BUDDLEJA X ASIAN MOON,Buddleja x 'Asian Moon'                                     ,Asian Moon Summer Lilac                                     ,Deciduous sumr flower'g shrub,DCS,06,, 15.25 ,-,"12""H - 12""S", 21 , 5 , 21 ,     ,          ,     ,          ,     ,          
OR,035971,#1,BUXUS WEE WILLIE R PP17007,"Buxus sinica var. insularis 'Wee Willie' P.P.# 17,007       ",Wee Willie®  Boxwood,Evergreen small shrub/hedge,EVS,05,SWE, 8.50 ,-,"6""H - 6""S", 42 , 10 , 42 , 42 ,06/01/15  ,     ,          ,     ,          
OR,03597UT,LittleOne,BUXUS WEE WILLIE R PP17007,"Buxus sinica var. insularis 'Wee Willie' P.P.# 17,007       ",Wee Willie®  Boxwood,Evergreen small shrub/hedge,EVS,05,SWE, 5.00 ,,"3""H",     , 16 ,     , 178 ,04/01/15  ,     ,          ,     ,          
GA,074731S,SuperOne TM,ABELIA CHIN BRONZ ANNIV R PPAF,Abelia grandiflora 'Rika1' P.P.A.F.                         ,Bronze Anniversary™  Abelia,Evergreen sumr flower'g shrub,EVS,06,PW, 10.00 ,,"8""H - 10""S", 20 , 10 , 98 , 153 ,10/15/14  ,     ,          ,     ,          
CA,092892,#2,CARY CLA KORBALL BLU BALLOON R,Caryopteris x clandonensis 'Korball' Blue Balloon® ,Blue Balloon®  Bluebeard,Deciduous sumr flower'g shrub,DCS,05,KJU, 15.25 ,-,"10""H - 12""S", 19 , 5 ,     , 19 ,04/01/15  ," 1,635 ",06/15/15  ,     ,          
CA,092895,#5,CARY CLA KORBALL BLU BALLOON R,Caryopteris x clandonensis 'Korball' Blue Balloon® ,Blue Balloon®  Bluebeard,Deciduous sumr flower'g shrub,DCS,05,KJU, 22.00 ,-,"12""H - 14""S", 10 , 5 ,     , 10 ,04/01/15  ,     ,          ,     ,          
