Loc,New Plant,Item,Size,Plant Name,Botanical Name,Common Name,Category,Zone,Royalty Code,2016 List Price,Net Price,Freight,Landed Price,SKU,Retail Price,UPC#,Qty Cfm,Qty Rem,Condition,Current Specs,Min Ord Qty,Available         ,Available Later,On,Available Later,On,Available Later,On,Stk Loc
OR,    ,048992,#2,ABIES BAL TYLER'S BLUE,                                                            ,                                                            ,CON,03,,     ,     , 2.21 , 2.21 ,,     ,014949431214,     ,     ,-,, 5 , 15 ,     ,          ,     ,          ,     ,          ,3E 199
OR,    ,000082,#2,ABIES BALSAMEA NANA,Abies balsamea 'Nana'                                       ,Dwarf Balsam Fir                                            ,CON,03,, 23.50 , 19.74 , 2.21 , 21.95 ,,     ,014949000823,     ,     ,-,"10""S", 5 , 27 , 27 ,04/27/16  ,     ,          ,     ,          ,3E 214
OR,2012,051315,#5,ABIES CONCOLOR CANDICANS,Abies concolor 'Candicans'                                  ,Candicans White Fir                                         ,CON,04,, 48.50 , 40.74 , 4.43 , 45.17 ,,     ,014949278642,     ,     ,-,"42""H", 5 , 192 , 192 ,08/01/15  , 182 ,04/27/16  ,     ,          ,"3D 123, 3D 216"
OR,    ,021565,#5,ABIES HORSTMANN'S SILBERLOCKE,Abies koreana 'Horstmann's Silberlocke'                     ,Horstmann's Silberlocke Korean Fir                          ,CON,05,, 48.50 , 40.74 , 4.43 , 45.17 ,,     ,014949040553,     ,     ,-,"27""H - 14""S", 5 , 349 , 953 ,04/27/16  ,     ,          ,     ,          ,3D 215
OR,    ,019342,#2,ABIES LAS GLAUCA COMPACTA,Abies lasiocarpa 'Glauca Compacta'                          ,Dwarf Blue Rocky Mountain Fir                               ,CON,03,, 28.75 , 24.15 , 2.21 , 26.36 ,,     ,014949257685,     ,     ,-,"10""H - 12""S", 5 , 31 ,     ,          ,     ,          ,     ,          ,3G 213
OR,    ,019345,#5,ABIES LAS GLAUCA COMPACTA,Abies lasiocarpa 'Glauca Compacta'                          ,Dwarf Blue Rocky Mountain Fir                               ,CON,03,, 48.50 , 40.74 , 4.43 , 45.17 ,,     ,014949015735,     ,     ,-,"15""H - 15""S", 5 ,     , 50 ,10/01/15  , 268 ,04/27/16  ,     ,          ,
OR,2014,047362,#2,ABIES PIN GLAUCA PROSTRATA,Abies pinsapo glauca 'Prostrata'                            ,Dwarf Blue Spanish Fir                                      ,CON,06,, 28.25 , 23.73 , 2.21 , 25.94 ,,     ,014949428344,     ,     ,-,"12""S", 5 ,     , 6 ,04/27/16  ,     ,          ,     ,          ,
OR,    ,030345,#5,ACER CIR MONROE,Acer circinatum 'Monroe'                                    ,Monroe Vine Maple                                           ,TRE,06,, 61.00 , 51.24 , 4.43 , 55.67 ,,     ,014949193419,     ,     ,-,"48""H", 5 , 290 ,     ,          ,     ,          ,     ,          ,4H 198
OR,    ,021805,#5,ACER CIR PACIFIC FIRE,Acer circinatum 'Pacific Fire'                              ,Pacific Fire Vine Maple                                     ,TRE,05,, 61.00 , 51.24 , 4.43 , 55.67 ,,     ,014949041659,     ,     ,-,"36""H", 5 ,     , 8 ,10/01/15  ,     ,          ,     ,          ,4H 199
OR,    ,02180M,#10 Squat,ACER CIR PACIFIC FIRE,Acer circinatum 'Pacific Fire'                              ,Pacific Fire Vine Maple                                     ,TRE,05,, 124.00 , 104.16 , 15.94 , 120.10 ,,     ,014949267592,     ,     ,-,"54""H", 2 , 4 ,     ,          ,     ,          ,     ,          ,"4G 201, 4G 203, 4H 201"
OR,    ,000485,#5,ACER GIN RED RHAPSODY R,Acer ginnala 'Mondy'                                        ,Red Rhapsody®  Amur Maple,TRE,02,, 27.75 , 23.31 , 4.43 , 27.74 ,,     ,014949004852,     ,     ,-,"15""H - 16""S", 5 , 215 , 290 ,05/01/16  ,     ,          ,     ,          ,4H 199
OR,    ,000445,#5,ACER GRISEUM,Acer griseum                                                ,Paperbark Maple                                             ,TRE,05,, 36.75 , 30.87 , 4.43 , 35.30 ,,     ,014949004456,     ,     ,-,"58""H", 5 ,     , 10 ,05/11/16  ,     ,          ,     ,          ,
OR,    ,000525,#5,ACER JAPONICUM ACONITIFOLIUM,Acer japonicum 'Aconitifolium'                              ,Fernleaf Full-Moon Maple                                    ,TRE,05,, 61.00 , 51.24 , 4.43 , 55.67 ,,     ,014949005255,     ,     ,-,"42""H", 5 , 63 ,     ,          ,     ,          ,     ,          ,"4H 195, 4H 198"
OR,    ,00052M,#10 Squat,ACER JAPONICUM ACONITIFOLIUM,Acer japonicum 'Aconitifolium'                              ,Fernleaf Full-Moon Maple                                    ,TRE,05,, 124.00 , 104.16 , 15.94 , 120.10 ,,     ,014949005286,     ,     ,-,"56""H - 24""S", 2 ,     , 9 ,04/27/16  ,     ,          ,     ,          ,
OR,    ,000555,#5,ACER NEGUNDO FLAMINGO,Acer negundo 'Flamingo'                                     ,Flamingo Boxelder Maple                                     ,TRE,05,, 31.00 , 26.04 , 4.43 , 30.47 ,,     ,014949005552,     ,     ,-,"62""H", 5 , 29 ,     ,          ,     ,          ,     ,          ,"4G 198, 4H 197, 4H 200"
OR,    ,030355,#5,ACER PAL AOYAGI,Acer palmatum 'Aoyagi'                                      ,Aoyagi Japanese Maple                                       ,TRE,05,, 61.00 , 51.24 , 4.43 , 55.67 ,,     ,014949216248,     ,     ,-,"48""H", 5 , 66 ,     ,          ,     ,          ,     ,          ,"4G 198, 4H 195, 4H 196"
OR,2015,001075,#5,ACER PAL ATROLINEARE,                                                            ,                                                            ,TRE,05,, 61.00 , 51.24 , 4.43 , 55.67 ,,     ,014949350577,     ,     ,-,"39""H", 5 , 57 ,     ,          ,     ,          ,     ,          ,"3E 199, 4H 198"
OR,    ,000702,#2,ACER PAL ATROPURPUREUM-S.,Acer palmatum 'Atropurpureum'                               ,Red-Leaf Japanese Maple                                     ,TRE,05,, 20.00 , 16.80 , 2.21 , 19.01 ,,     ,014949007020,     ,     ,-,"27""H", 5 , 190 ,     ,          ,     ,          ,     ,          ,"4G 200, 4H 194"
OR,    ,000705,#5,ACER PAL ATROPURPUREUM-S.,Acer palmatum 'Atropurpureum'                               ,Red-Leaf Japanese Maple                                     ,TRE,05,, 31.00 , 26.04 , 4.43 , 30.47 ,,     ,014949007051,     ,     ,-,"30""H", 5 , 79 ,     ,          ,     ,          ,     ,          ,"4G 199, 4H 196"
OR,    ,000705MU,#5 CLUMP,ACER PAL ATROPURPUREUM-S.,Acer palmatum 'Atropurpureum'                               ,Red-Leaf Japanese Maple                                     ,TRE,05,, 30.00 , 25.20 , 4.43 , 29.63 ,,     ,014949416600,     ,     ,,, 5 ,     , 303 ,09/01/15  ,     ,          ,     ,          ,
OR,    ,000752,#2,ACER PAL BLOODGOOD,Acer palmatum var. atropurpureum 'Bloodgood'                ,Bloodgood Japanese Maple                                    ,TRE,05,, 39.75 , 33.39 , 2.21 , 35.60 ,,     ,014949007525,     ,     ,-,"27""H", 5 , 213 ,     ,          ,     ,          ,     ,          ,"4G 200, 4H 194"
OR,    ,000755,#5,ACER PAL BLOODGOOD,Acer palmatum var. atropurpureum 'Bloodgood'                ,Bloodgood Japanese Maple                                    ,TRE,05,, 61.00 , 51.24 , 4.43 , 55.67 ,,     ,014949007556,     ,     ,-,"45""H", 5 , 86 ,     ,          ,     ,          ,     ,          ,"4G 198, 4G 199, 4H 195, 4H 198"
OR,    ,000759,#15,ACER PAL BLOODGOOD,Acer palmatum var. atropurpureum 'Bloodgood'                ,Bloodgood Japanese Maple                                    ,TRE,05,, 154.00 , 129.36 , 22.14 , 151.50 ,,     ,014949007594,     ,     ,-,"60""H", 1 , 1 , 12 ,04/27/16  ,     ,          ,     ,          ,4G 201
OR,    ,00075M,#10 Squat,ACER PAL BLOODGOOD,Acer palmatum var. atropurpureum 'Bloodgood'                ,Bloodgood Japanese Maple                                    ,TRE,05,, 124.00 , 104.16 , 15.94 , 120.10 ,,     ,014949007679,     ,     ,-,"64""H", 2 , 25 ,     ,          ,     ,          ,     ,          ,4H 201
OR,    ,000802,#2,ACER PAL BURGUNDY LACE,Acer palmatum var. atropurpureum 'Burgundy Lace'            ,Burgundy Lace Japanese Maple                                ,TRE,05,, 39.75 , 33.39 , 2.21 , 30.04 ,,     ,014949008027,     ,     ,-,"30""H", 5 ," 1,741 ",     ,          ,     ,          ,     ,          ,"4G 200, 4H 194"
OR,    ,000805,#5,ACER PAL BURGUNDY LACE,Acer palmatum var. atropurpureum 'Burgundy Lace'            ,Burgundy Lace Japanese Maple                                ,TRE,05,, 61.00 , 51.24 , 4.43 , 55.67 ,,     ,014949008058,     ,     ,-,"36""H", 5 , 51 ,     ,          ,     ,          ,     ,          ,"4G 198, 4H 195, 4H 196, 4H 198"
OR,    ,00080M,#10 Squat,ACER PAL BURGUNDY LACE,Acer palmatum var. atropurpureum 'Burgundy Lace'            ,Burgundy Lace Japanese Maple                                ,TRE,05,, 124.00 , 104.16 , 15.94 , 120.10 ,,     ,014949008171,     ,     ,-,"56""H", 2 , 5 , 5 ,09/01/15  ,     ,          ,     ,          ,"4G 201, 4H 201"
OR,    ,000952ST,#2 STAKED,ACER PAL CRIMSON QUEEN,Acer palmatum var. dissectum 'Crimson Queen'                ,Crimson Queen Japanese Maple                                ,TRE,05,, 39.75 , 33.39 , 2.21 , 35.60 ,,     ,014949009529,     ,     ,-,25''H, 5 , 467 , 467 ,04/26/16  ,     ,          ,     ,          ,"4G 200, 4H 194"
OR,    ,000955,#5,ACER PAL CRIMSON QUEEN,Acer palmatum var. dissectum 'Crimson Queen'                ,Crimson Queen Japanese Maple                                ,TRE,05,, 61.00 , 51.24 , 4.43 , 55.67 ,,     ,014949009451,     ,     ,-,"24""H - 15""S", 5 , 23 , 23 ,04/26/16  ,     ,          ,     ,          ,4H 196
