Item,Size,Plant Name,Botanical Name,Common Name,Category 2
023325,#5,CEDRUS ATLANTICA HORSTMANN,Cedrus atlantica 'Horstmann'                                ,Horstmann Blue Atlas Cedar                                  ,Temperate conifer
024032,#2,CHAM PIS FIL GOLDEN CHARM,Chamaecyparis pisifera filifera 'Golden Charm'              ,Golden Charm Thread-Branch Cypress                          ,Chamaecyparis
030519,#15,CUP LEY EMERALD ISLE R,x Cupressocyparis leylandii 'Moncal'                        ,Emerald Isle®  Leyland Cypress,Cupressus & Juniper upright
084651,#1,JUN C DAUB'S FROSTED,Juniperus chinensis 'Daub's Frosted'                        ,Daub's Frosted Juniper                                      ,Juniper bush & spreader
048135,#5,JUN C SEA OF GOLD R PP17622,"Juniperus x pfitzeriana 'MonSan' P.P. #17,622               ",Sea Of Gold®  Juniper,Juniper bush & spreader
049902,#2,JUN H ICEE BLUE R P9639,"Juniperus horizontalis 'Monber' P.P. #9,639                 ",Icee Blue®  Juniper,Juniper bush & spreader
053659,#15,JUN V BLUE ARROW,Juniperus virginiana 'Blue Arrow'                           ,Blue Arrow Juniper                                          ,Cupressus & Juniper upright
04463M,#10 Squat,PICEA PUN ISELI FASTIGATE,Picea pungens 'Iseli fastigiate'                            ,Iseli Fastigiate Spruce                                     ,Picea
01939M,#10 Squat,PICEA PUN THE BLUES,Picea pungens 'The Blues'                                   ,The Blues Blue Spruce                                       ,Picea
04642M,#10 Squat,PINUS PARVIFLORA GLAUCA NANA,Pinus parviflora 'Glauca Nana'                              ,Dwarf Japanese White Pine                                   ,Pinus
072345,#5,TAXUS EMERALD SPREADR R P10335,"Taxus cuspidata 'Monloo' P.P. #10,335                       ",Emerald Spreader®  Japanese Yew,Hardy conifer
001885,#5,AGAPANTHUS X MIDKNIGHT BLUE R,Agapanthus x 'Monmid'                                       ,Midknight Blue®  Agapanthus,Grass-like plant
035233,#3,BER T GOLDEN RUBY R PP16203,"Berberis thunbergii 'Goruzam' P.P. #16,203                  ",Golden Ruby®  Barberry,Berberis
035242,#2,BER T PYGMY RUBY TM,Berberis thunbergii 'Pygruzam'                              ,Pygmy Ruby™  Barberry,Berberis
074412S,SuperTwo,BUD LO&BEHLD R BLU CHP PP19991,"Buddleja Lo & Behold®  'Blue Chip' P.P.# 19,991",Blue Chip Dwarf Summer Lilac                                ,Deciduous sumr flower'g shrub
077412S,SuperTwo,BUD LO&BEHLD R PRPL HAZE PPAF,Buddleja (B. davidii x (B. davidii x B. globosa)) x (B. davi,Lo & Behold®  Purple Haze Summer Lilac,Deciduous sumr flower'g shrub
077392S,SuperTwo,BUDDLEJA MISS MOLLY PPAF,"Buddleja x 'Miss Molly' P.P.A.F., C.B.R.A.F.                ",Miss Molly Summer Lilac                                     ,Deciduous sumr flower'g shrub
092895,#5,CARY CLA KORBALL BLU BALLOON R,Caryopteris x clandonensis 'Korball' Blue Balloon® ,Blue Balloon®  Bluebeard,Deciduous sumr flower'g shrub
074492S,SuperTwo,HIB SYR LIL' KIM TM PP19547,"Hibiscus syriacus 'Antong Two' P.P. #19,547, C.B.R.A.F.     ",Lil' Kim™  Rose of Sharon,Deciduous sumr flower'g shrub
077445,#5,HYD ABRACADABRA TM ORB PP21635,"Hydrangea macrophylla 'Hororb' P.P. #21,635                 ",Abracadabra™  Orb Hydrangea,Hydrangea
092755,#5,HYD M ENCHANTRESS R PPAF,Hydrangea macrophylla 'Monmar' P.P.A.F.                     ,Enchantress®  Hydrangea,Hydrangea
074562S,SuperTwo,HYD MAC CTYLN TM PARIS PP10906,"Hydrangea macrophylla	'Paris Rapa' P.P. #10,906             ",Cityline®  Paris Bigleaf Hydrangea,Hydrangea
074542S,SuperTwo,HYD MAC CTYLN TM RIO,"Hydrangea macrophylla	'Ragra'                               ",Cityline®  Rio Bigleaf Hydrangea,Hydrangea
074572S,SuperTwo,HYD MAC CTYLN TM VENICE P10928,"Hydrangea macrophylla 'Venice Raven' P.P. #10,928           ",Cityline®  Venice Bigleaf Hydrangea,Hydrangea
077465,#5,HYD MAC LD R BIG EASY PPAF,"Hydrangea macrophylla 'Berner' P.P.A.F., C.B.R.A.F.         ",Let's Dance®  Big Easy Hydrangea,Hydrangea
089932S,SuperTwo,HYD MAC PARAPLU TM PPAF,                                                            ,                                                            ,Hydrangea
080955,#5,HYD PAN BOBO R PP22782,"Hydrangea paniculata 'ILVOBO' P.P.# 22,782 Can. P.B.R.A.F.  ",Bobo®  Hardy Hydrangea,Hydrangea
089945,#5,HYD PAN FIRE LIGHT TM PPAF,Hydrangea paniculata 'SMHPFL' P.P.A.F. Can. P.B.R.A.F.      ,Fire Light™  Hardy Hydrangea,Hydrangea
029922S,SuperTwo,HYD PAN LITTLE LIME PPAF,Hydrangea paniculata 'Jane' P.P.A.F.                        ,Little Lime™  Hardy Hydrangea,Hydrangea
