Location,Item #,Description,Size,Display, 2015 Price ,USDA Zone,Now Order,Booking
OREGON,047362,ABIES PIN GLAUCA PROSTRATA,#2,CONIFER SPREADING, $27.00 ,03,,
OREGON,02328M,CEDRUS DEODARA FEELIN BLUE,#10 Squat,CONIFER SPREADING, $79.00 ,07,,
OREGON,023285,CEDRUS DEODARA FEELIN BLUE,#5,CONIFER SPREADING, $37.00 ,07,,
OREGON,051275,CEDRUS FEELIN SUNNY R PP23886,#5,CONIFER SPREADING, $37.00 ,07,,
OREGON,024662,CEPHALOTAXUS HAR DUKE GARDENS,#2,CONIFER SPREADING, $16.00 ,06,,
OREGON,024665,CEPHALOTAXUS HAR DUKE GARDENS,#5,CONIFER SPREADING, $24.50 ,06,,
OREGON,017381,CEPHALOTAXUS HAR FASTIGIATA,#1,CONIFER SPREADING, $7.75 ,06,,
OREGON,017382,CEPHALOTAXUS HAR FASTIGIATA,#2,CONIFER SPREADING, $16.00 ,06,,
OREGON,017385,CEPHALOTAXUS HAR FASTIGIATA,#5,CONIFER SPREADING, $24.50 ,06,,
OREGON,028832,CEPHALOTAXUS HAR PROSTRATA,#2,CONIFER SPREADING, $16.00 ,06,,
OREGON,028835,CEPHALOTAXUS HAR PROSTRATA,#5,CONIFER SPREADING, $24.50 ,06,,
OREGON,023902,CHAM OBT FILICOIDES,#2,CONIFER SPREADING, $18.00 ,04,,
OREGON,023905,CHAM OBT FILICOIDES,#5,CONIFER SPREADING, $30.00 ,04,,
OREGON,023682,CHAM OBT GRACILIS,#2,CONIFER SPREADING, $18.00 ,04,,
OREGON,023685,CHAM OBT GRACILIS,#5,CONIFER SPREADING, $30.00 ,04,,
OREGON,023792,CHAM OBT KOSTERI,#2,CONIFER SPREADING, $18.00 ,04,,
OREGON,023912,CHAM OBT TEMPELHOF,#2,CONIFER SPREADING, $18.00 ,04,,
OREGON,047125,CHAM OBT TETRAGONA AUREA,#5,CONIFER SPREADING, $30.00 ,04,,
OREGON,082401,CHAM PIS BABY BLUE,#1,CONIFER SPREADING, $7.00 ,04,,
OREGON,082402,CHAM PIS BABY BLUE,#2,CONIFER SPREADING, $14.50 ,04,,
OREGON,082405,CHAM PIS BABY BLUE,#5,CONIFER SPREADING, $22.00 ,04,,
OREGON,024031,CHAM PIS FIL GOLDEN CHARM,#1,CONIFER SPREADING, $7.25 ,04,,
OREGON,024032,CHAM PIS FIL GOLDEN CHARM,#2,CONIFER SPREADING, $15.00 ,04,,
OREGON,024035,CHAM PIS FIL GOLDEN CHARM,#5,CONIFER SPREADING, $24.50 ,04,,
OREGON,023822,CHAM PIS SQUARROSA MINIMA,#2,CONIFER SPREADING, $18.00 ,04,,
OREGON,023842,CHAM PIS SUNGOLD,#2,CONIFER SPREADING, $15.00 ,04,,
OREGON,031435,CRYPTOMERIA J GLOBOSA NANA,#5,CONIFER SPREADING, $30.00 ,05,,
OREGON,084651,JUN C DAUB'S FROSTED,#1,CONIFER SPREADING, $6.25 ,04,,
OREGON,084652,JUN C DAUB'S FROSTED,#2,CONIFER SPREADING, $13.75 ,04,,
OREGON,084655,JUN C DAUB'S FROSTED,#5,CONIFER SPREADING, $18.25 ,04,,
CALIFORNIA,046902,JUN C GOLD COAST R,#2,CONIFER SPREADING, $13.25 ,03,,
OREGON,048001,JUN C MINT JULEP R,#1,CONIFER SPREADING, $6.25 ,03,,
OREGON,048002,JUN C MINT JULEP R,#2,CONIFER SPREADING, $13.25 ,03,,
OREGON,048131,JUN C SEA OF GOLD R PP17622,#1,CONIFER SPREADING, $6.50 ,03,,
OREGON,048135,JUN C SEA OF GOLD R PP17622,#5,CONIFER SPREADING, $18.75 ,03,,
OREGON,049032,JUN COM ALPINE CARPET R,#2,CONIFER SPREADING, $13.25 ,03,,
OREGON,049035,JUN COM ALPINE CARPET R,#5,CONIFER SPREADING, $18.25 ,03,,
OREGON,084905,JUN COMMUNIS VAR MONTANA,#5,CONIFER SPREADING, $18.25 ,03,,
OREGON,049251,JUN H BLUE CHIP,#1,CONIFER SPREADING, $6.25 ,03,,
OREGON,049252,JUN H BLUE CHIP,#2,CONIFER SPREADING, $13.25 ,03,,
OREGON,049255,JUN H BLUE CHIP,#5,CONIFER SPREADING, $18.25 ,03,,
OREGON,049901,JUN H ICEE BLUE R P9639,#1,CONIFER SPREADING, $6.25 ,03,,
OREGON,050201,JUN H YOUNGSTOWN,#1,CONIFER SPREADING, $6.25 ,03,,
OREGON,050202,JUN H YOUNGSTOWN,#2,CONIFER SPREADING, $13.25 ,03,,
OREGON,050205,JUN H YOUNGSTOWN,#5,CONIFER SPREADING, $18.25 ,03,,
OREGON,050901,JUN PRO NANA,#1,CONIFER SPREADING, $6.50 ,04,,
OREGON,050902,JUN PRO NANA,#2,CONIFER SPREADING, $13.25 ,04,,
OREGON,051602,JUN SA BROADMOOR,#2,CONIFER SPREADING, $13.25 ,03,,
OREGON,051605,JUN SA BROADMOOR,#5,CONIFER SPREADING, $18.25 ,03,,
OREGON,051701,JUN SA BUFFALO,#1,CONIFER SPREADING, $6.25 ,03,,
OREGON,051702,JUN SA BUFFALO,#2,CONIFER SPREADING, $13.25 ,03,,
OREGON,051705,JUN SA BUFFALO,#5,CONIFER SPREADING, $18.25 ,03,,
