Branch,item,Description,Category,Shippable,"Open
Now","Rep
Allocation","Rep
Orders","Now Available
For Rep", Price ,Code,Future
,058251,ACHILLEA STRWBRY SDCTN P18401,PRN,10,10,10,10,10,$12.00 ,,5/1/2014
,001351,ACHILLEA X MOONSHINE,PRN,10,10,10,10,10,$12.00 ,,5/1/2014
,029351,AQUILEGIA CAE ORIGAMI MIX,PRN,10,10,10,10,10,$12.00 ,,5/1/2014
,003041,ARMERIA MAR BLOODSTONE,PRN,20,20,20,20,20,$12.00 ,,5/1/2014
,001011,ARTEMISIA SCHM SILVER MOUND,PRN,10,10,10,10,10,$12.00 ,,5/1/2014
,059151,ASTILBE VISION IN PINK PP11860,PRN,10,10,10,10,10,$12.00 ,,5/1/2014
,016341,ASTILBE VISION IN RED PP11965,PRN,10,10,10,10,10,$12.00 ,,5/1/2014
,017601,ASTILBE VISION IN WHITE P18965,PRN,10,10,10,10,10,$12.00 ,,5/1/2014
,008152,AZALEA KR HINO CRIMSON,RHO,10,10,10,10,10,$37.00 ,,5/1/2014
,012033,BER GOLDN NUGGET TM P9577 CBR,DCS,10,10,10,10,10,$49.00 ,,5/1/2014
,012212,BER T ROYAL BURGUNDY R P9461,DCS,5,5,5,5,5,$38.00 ,,5/1/2014
,074412S,BUD LO&BEHLD R BLU CHP PP19991,DCS,10,10,10,10,10,$41.00 ,,5/1/2014
,013783,BUDDLEJA DAV BLACK KNIGHT,DCS,10,10,10,10,10,$43.00 ,,5/1/2014
,077392S,BUDDLEJA MISS MOLLY PPAF,DCS,5,5,5,5,5,$41.00 ,,5/1/2014
,013825CN,BUXUS GREEN MOUNTAIN,EVS,10,10,10,10,10,$99.00 ,,5/1/2014
,013895,BUXUS GREEN VELVET,EVS,10,10,10,10,10,$61.00 ,,5/1/2014
,013895,BUXUS GREEN VELVET,EVS,20,20,20,20,20,$61.00 ,,5/1/2014
,013832,BUXUS MIC WINTER GEM,EVS,10,10,10,10,10,$36.00 ,,5/1/2014
,013835,BUXUS MIC WINTER GEM,EVS,15,15,15,15,15,$55.00 ,,5/1/2014
,022351,CAMPANULA CAR DEEP BLUE CLIPS,PRN,10,10,10,10,10,$12.00 ,,5/1/2014
,023021,CHRYS (LEUCANTH) X SUP BECKY,PRN,10,10,10,10,10,$12.00 ,,5/1/2014
,021862,CLEM SAPPHIRE INDIGO TMPP17012,VIN,5,5,5,5,5,$43.00 ,,5/1/2014
,068081,CORE BIGBANG TM RDSHFT PP20412,PRN,10,10,10,10,10,$13.00 ,,5/1/2014
,027865,CORNUS ALBA IVORYHALO TM,DCS,9,9,9,9,9,$55.00 ,,5/1/2014
,004591,DELPHINIUM GRAND BLUE MIRROR,PRN,10,10,10,10,10,$12.00 ,,5/1/2014
,031331,DIANTHUS FROSTY FIRE,PRN,3,3,3,3,3,$12.00 ,,5/1/2014
,031331,DIANTHUS FROSTY FIRE,PRN,12,12,12,12,12,$12.00 ,,5/1/2014
,004721,DIANTHUS GRAT FIREWITCH,PRN,15,15,15,15,15,$12.00 ,,5/1/2014
,031611,DICENTRA X LUXURIANT,PRN,10,10,10,10,10,$12.00 ,,5/1/2014
,004871,DIGITALIS PURPUREA FOXY,PRN,10,10,10,10,10,$12.00 ,,5/1/2014
,402351,ECHIN DBL SCP TM RSPBRY P23117,PRN,15,15,15,15,15,$14.00 ,,5/1/2014
,087021,ECHINACEA CHEYENNE SPIRIT,PRN,15,15,15,15,15,$14.00 ,,5/1/2014
,047511,ECHINACEA PNK DBL DLITE P18803,PRN,15,15,15,15,15,$17.00 ,,5/1/2014
,057301,ECHINACEA TOMATO SOUP PPAF,PRN,10,10,10,10,10,$17.00 ,,5/1/2014
,057301,ECHINACEA TOMATO SOUP PPAF,PRN,13,13,13,13,13,$17.00 ,,5/1/2014
,035785,FAGUS SYL TRICOLOR,TRE,5,5,5,5,5,$104.00 ,,5/1/2014
,036121,FERN-ATHYRIUM NIP PICTUM,FRN,10,10,10,10,10,$14.00 ,,5/1/2014
