Branch,item,Description,Category,Shippable,"Open
Now","Rep
Allocation","Rep
Orders","Now Available
For Rep",Price,Code,Future
,064271,GR-PENN SET RUBRUM,,,,,,,,,
,071602,ROSA FLWR CAR R RED P11308,,,,,,,,,
,070212,ROSA FLWR CAR R WHITE P9573,,,,,,,,,
,056232,VACC BOUNTIFUL BLUE R PP19381,,,,,,,,,
,079382,RUBUS RSPBRY SHRTCKE TM P22141,,,,,,,,,
,070051ST,TRACH JASMINOIDES,,,,,,,,,
,036312,ROSA FLWR CAR R SCARLET P17373,,,,,,,,,
,036671,GR-FESTUCA GLAUCA ELIJAH BLUE,,,,,,,,,
,013831,BUXUS MIC WINTER GEM,,,,,,,,,
,003151,ASPARAGUS MYERS,,,,,,,,,
,099571,AGAPANTHUS BABY PETE TMPP21705,,,,,,,,,
,036292,ROSA FLWR CAR R AMBER PPAF,,,,,,,,,
,031721,CORDYLINE BAUERI,,,,,,,,,
,001421,GR-ACORUS GR OGON,,,,,,,,,
,013835,BUXUS MIC WINTER GEM,,,,,,,,,
,022711,CAMPSIS BALBOA SUNSET R,,,,,,,,,
,09238UT,MAN SUN PAR R GARDEN CRIMSON,,,,,,,,,
,031701,CORDYLINE INDIVISA,,,,,,,,,
,042072,HYD MAC PINK ELF R (PIA),,,,,,,,,
,036382,ROSA FLWR CAR R PNK SUP P16276,,,,,,,,,
,069782,ROSA FLWR CAR R PINK,,,,,,,,,
,013951,BUXUS J GREEN BEAUTY,,,,,,,,,
,058991,LONICERA X GOLDFLAME,,,,,,,,,
,018242,ROSA FLWR CAR R YELLOW PP13869,,,,,,,,,
,013832,BUXUS MIC WINTER GEM,,,,,,,,,
,001881,AGAPANTHUS X MIDKNIGHT BLUE R,,,,,,,,,
,022551,CAMPSIS MADAME GALEN,,,,,,,,,
,035205,EUO J SILVER KING,,,,,,,,,
,070331,RUBUS BLACK SATIN BLACKBERRY,,,,,,,,,
,016581,PITT TEN GOLF BALL P15329,,,,,,,,,
,017311S,HYD M ENDLESS SUMMER R PP15298,,,,,,,,,
,070341,RUBUS CANBY RED RASPBERRY,,,,,,,,,
,028045,GR-CORT IVORY FEATHERS R,,,,,,,,,
,070941,SEDUM BRONZE CARPET,,,,,,,,,
,059051ST,LONICERA JAP HALLIANA,,,,,,,,,
,013821,BUXUS GREEN MOUNTAIN,,,,,,,,,
,016582,PITT TEN GOLF BALL P15329,,,,,,,,,
,028041,GR-CORT IVORY FEATHERS R,,,,,,,,,
,035202,EUO J SILVER KING,,,,,,,,,
,034805,EUO J AUREO MARGINATUS,,,,,,,,,
,014401,CALLISTEMON LITTLE JOHN,,,,,,,,,
,078182,ROSA FLWR CAR R CORAL PP14441,,,,,,,,,
,050901,JUN PRO NANA,,,,,,,,,
