Branch,Item,Description,Category,"Click to
Edit","Ending
06/30/2014",Orders,Shipped,Remaining,"Allocation Avail
For Now Order","Open Avail
Now",Next Ready,"Open Avail
Season","Price
2014",History,Forecast
170000,1461,ACTINIDIA CH TOMURI (MALE),VIN,+,4,4,-,-,-,-,4/1/2014,-,$11.00 ,-,-
170000,1411,ACTINIDIA CH VINCENT (FEMALE),VIN,+,10,-,-,10,10,-,,-,$11.00 ,-,-
170000,1415,ACTINIDIA CH VINCENT (FEMALE),VIN,+,5,-,-,5,5,-,,-,$28.50 ,-,-
170000,1491,ACTINIDIA KOLOMIKTA,VIN,+,16,6,-,10,10,-,4/1/2014,-,$11.00 ,-,-
170000,12511,BIGNONIA CAP TANGERINE BEAUTY,VIN,+,30,20,10,-,-,-,,-,$8.50 ,65,-
170000,12515,BIGNONIA CAP TANGERINE BEAUTY,VIN,+,15,5,5,5,5,47,,47,$26.50 ,21,-
170000,090121BH,BOUG BLUEBERRY ICE,VIN,+,15,-,-,15,15,5,,5,$6.75 ,14,-
170000,090122BH,BOUG BLUEBERRY ICE,VIN,+,40,-,-,40,40,76,,76,$16.75 ,-,-
170000,16482,BOUG GOLDEN JACKPOT R,VIN,+,25,-,-,25,-,-,4/15/2014,232,$18.50 ,5,-
170000,016482BH,BOUG GOLDEN JACKPOT R,VIN,+,25,-,-,25,25,150,,150,$17.00 ,5,-
170000,13052,BOUG PURPLE QUEEN R,VIN,+,25,-,-,25,25,-,,-,$17.50 ,22,-
170000,013052PT,BOUG PURPLE QUEEN R,VIN,+,9,-,-,9,9,-,,-,$28.50 ,-,-
170000,013055PT,BOUG PURPLE QUEEN R,VIN,+,15,4,-,11,11,258,,258,$38.50 ,6,-
170000,095742BH,BOUG SUNVILLEA TM CREAM P22112,VIN,+,11,11,-,-,-,-,4/15/2014,-,$17.50 ,-,-
170000,095752BH,BOUG SUNVILLEA TM PINK PP22113,VIN,+,12,12,-,-,-,-,4/15/2014,-,$17.50 ,-,-
170000,22711,CAMPSIS BALBOA SUNSET R,VIN,+,10,-,-,10,10,"13,910",,"13,910",$7.50 ,30,-
170000,22715,CAMPSIS BALBOA SUNSET R,VIN,+,15,-,-,15,15,865,,865,$24.75 ,6,-
170000,22385,CAMPSIS FLAVA,VIN,+,10,-,-,10,10,641,,641,$22.00 ,-,-
170000,22551,CAMPSIS MADAME GALEN,VIN,+,14,14,-,-,-,"5,021",,"5,021",$7.50 ,20,-
170000,22555,CAMPSIS MADAME GALEN,VIN,+,15,10,-,5,5,82,,82,$24.75 ,11,-
170000,27305,CLEM VIT MADAME JULIA CORREVON,VIN,+,16,-,-,16,-,-,4/1/2014,-,$28.00 ,-,-
170000,12451,DISTICTIS BUCCINATORIA,VIN,+,20,-,-,20,-,-,3/15/2014,780,$6.75 ,10,-
170000,12471,DISTICTIS RIVERS,VIN,+,20,-,-,20,20,14,4/1/2014,14,$6.75 ,10,-
170000,059051ST,LONICERA JAP HALLIANA,VIN,+,10,-,-,10,10,-,,-,$7.50 ,30,-
170000,22142,THUNBERGIA AL BLUSHING SUSIE,VIN,+,5,5,-,-,-,-,,-,$16.50 ,-,-
170000,070055ST,TRACH JASMINOIDES,VIN,+,6,-,-,6,6,-,,-,$22.00 ,-,-
170000,76251,VITIS LAB NIAGARA,VIN,+,12,12,-,-,-,-,,-,$8.00 ,10,-
"? 2007,2009 Monrovia Nursery Company. This information may represent Trade Secret information and may not be distributed without permission.",,,,,,,,,,,,,,,
