Branch,item,Description,Plant Category,Zone,Common Name,Intro Year,Price Code,Retail Price,Minimum Ord Qty,Confirmed Qty Remaining,2012 Qty Shipped  ,2013 Qty Shipped  ,2014 Qty Shipped  ,Condition,Current Specs,Plant Status
170000,28342,ABELIA GRA KALEIDOSCOPE P16988,EVS,6,Kaleidoscope Abelia                                                                                 ,2007,QTYDISC,     ,5,100,     ,     ,     ,WINTER COLOR,"10""H - 12""S",
170000,405,ACANTHUS OAK LEAF,PRN,6,Grecian Pattern Plant                                                                               ,    ,QTYDISC,     ,5,75,     ,     ,     ,-,"15""H",PS1
170000,1882,AGAPANTHUS X MIDKNIGHT BLUE R,DCS,6,Midknight Blue®  Agapanthus                                                                         ,1995,QTYDISC,18.5,5,100,     ,     ,     ,EMERGING,5-7 FANS,
170000,94365,AGAVE WEBERI,CAC,8,Weber's Agave                                                                                       ,2009,,     ,5,5,     ,     ,     ,-,"18""S",PS1
170000,66382,ALST ROCK & ROLL R PP21001,PRN,8,Rock & Roll®  Peruvian Lily                                                                         ,2014,,18.5,5,14,     ,     ,     ,BUDS,CAN FULL,PS1
170000,50021,BEESIA DELTOPHYLLA,PRN,6,Beesia                                                                                              ,2010,QTYDISC,8.5,10,300,     ,     ,     ,-,,PS0
170000,35232,BER T GOLDEN RUBY R PP16203,DCS,4,Golden Ruby®  Barberry                                                                              ,2009,QTYDISC,21.5,5,322,     ,     ,     ,BREAKING DORMANCY,8''H - 12''S,
170000,62932,BER T ORANGE ROCKET PP18411,DCS,4,Orange Rocket Barberry                                                                              ,2012,QTYDISC,21.5,5,100,     ,     ,     ,DORMANT,"18''H - 8""S",
170000,62935,BER T ORANGE ROCKET PP18411,DCS,4,Orange Rocket Barberry                                                                              ,2012,QTYDISC,37.5,5,150,     ,     ,     ,DORMANT,21''H - 10''S,
170000,12202,BER T ROSE GLOW,DCS,4,Rose Glow Japanese Barberry                                                                         ,    ,SPRSPCL,16.5,5,150,     ,     ,     ,DORMANT,15''H - 14''S,
170000,12205,BER T ROSE GLOW,DCS,4,Rose Glow Japanese Barberry                                                                         ,    ,SPRSPCL,     ,5,75,     ,     ,     ,DORMANT,15''H - 15''S,
170000,22021,BERGENIA COR WINTERGLOW,PRN,3,Winterglow Bergenia                                                                                 ,2005,QTYDISC,8.5,10,150,     ,     ,     ,-,,PS0
170000,22327,CAM S YULETIDE,CAM,7,Yuletide Camellia                                                                                   ,    ,,95,2,8,     ,     ,     ,-,48''H -24''S,
170000,48622,CHOISYA TERN SUNDANCE,EVS,7,Sundance Mexican Orange Blossom                                                                     ,2010,QTYDISC,24.5,5,50,     ,     ,     ,-,16''H - 12''S,
170000,24352,CHOISYA TERNATA,EVS,7,Mexican Orange Blossom                                                                              ,1993,QTYDISC,21.5,5,200,     ,     ,     ,BUDS,14''H - 12''S,
170000,39512,CIMI S BLACK NEGLIGEE (ACTAEA),PRN,3,Black Negligee Snakeroot                                                                            ,2007,,24.5,5,17,     ,     ,     ,DORMANT,.,PS0
170000,31725,CORDYLINE BAUERI,EVS,9,Bauer's Dracaena Palm                                                                               ,1994,,37.5,5,5,     ,     ,     ,-,"30""H",
170000,30735,CUP SEMP TINY TOWER R PP12933,CON,7,Tiny Tower®  Italian Cypress                                                                        ,2001,,40,5,20,     ,     ,     ,-,"36""H",
170000,30735,CUP SEMP TINY TOWER R PP12933,CON,7,Tiny Tower®  Italian Cypress                                                                        ,2001,,40,5,48,     ,     ,     ,-,"48""H",
170000,30737,CUP SEMP TINY TOWER R PP12933,CON,7,Tiny Tower®  Italian Cypress                                                                        ,2001,,85,2,26,     ,     ,     ,-,,
170000,62005,ENSETE MAURELII,PRN,10,Red Leaved Banana                                                                                   ,    ,QTYDISC,45.5,5,75,     ,     ,     ,-,"36""H",PS1
170000,35645,FATSIA JAPONICA,EVS,8,Japanese Aralia                                                                                     ,    ,,32.5,5,30,     ,     ,     ,-,,
170000,35645,FATSIA JAPONICA,EVS,8,Japanese Aralia                                                                                     ,    ,QTYDISC,32.5,5,75,     ,     ,     ,-,,
170000,36451,FERN-MATTEUCCIA STRUTHIOPTERIS,FRN,3,European Ostrich Fern                                                                               ,2002,QTYDISC,9.5,10,150,     ,     ,     ,CUT BACK,"8""S",
170000,36785,FICUS CAR BROWN TURKEY,TRE,7,Brown Turkey Fig                                                                                    ,    ,,     ,5,20,     ,     ,     ,BREAKING DORMANCY,"36""H",
170000,51112,FUCHSIA DEBRON'S STORMY NIGHT,DCS,7,DebRon's Stormy Night Fuchsia                                                                       ,2011,QTYDISC,21.5,5,61,     ,     ,     ,-,"16""H - 12""S",
170000,49862,FUCHSIA GENII AUREA,DCS,7,Hardy Fuchsia                                                                                       ,2009,QTYDISC,21.5,5,60,     ,     ,     ,-,"12""H - 12""S",
170000,28045,GR-CORT IVORY FEATHERS R,GRS,7,Ivory Feathers®  Dwarf Pampas Grass                                                                 ,1991,QTYDISC,27.5,5,75,     ,     ,     ,WINTER COLOR,"17""H",
170000,36671,GR-FESTUCA GLAUCA ELIJAH BLUE,GRS,4,Elijah Blue Fescue                                                                                  ,1994,SPRSPCL,6.5,10,150,     ,     ,     ,-,,
170000,23101,HEUCHERA FROSTED VIOLET P15085,PRN,4,Frosted Violet Coral Bells                                                                          ,2005,QTYDISC,6.5,10,150,     ,     ,     ,-,CAN FULL,PS1
170000,41472,HOSTA EOLA SAPPHIRE,PRN,3,Eola Sapphire Plantain Lily                                                                         ,1999,QTYDISC,18.5,5,100,     ,     ,     ,DORMANT,2-3 EYES,PS0
170000,83972,HOSTA SUM & SUBSTANCE,PRN,4,Sum & Substance Hosta                                                                               ,2001,QTYDISC,18.5,5,58,     ,     ,     ,DORMANT,.,PS0
170000,56452,HYD ASPERA PLUM PASSION R,DCS,7,Plum Passion®  Hydrangea                                                                            ,2013,QTYDISC,21.5,5,100,     ,     ,     ,BREAKING DORMANCY,12''H - 12''S,
170000,92752,HYD BLUE ENCHANTRESS R PP25209,DCS,5,Blue Enchantress®  Hydrangea                                                                        ,2013,SPRSPCL,21.5,5,100,     ,     ,     ,BREAKING DORMANCY,"7''H -10""S",
170000,074592S,HYD MAC LD R MOONLIGHT PP20020,DCS,5,Let's Dance®  Moonlight Hydrangea                                                                   ,2011,QTYDISC,21.5,5,27,     ,     ,     ,BREAKING DORMANCY,"10""H - 12""S",
170000,42072,HYD MAC PINK ELF R (PIA),DCS,5,Pink Elf®  French Hydrangea                                                                         ,1992,QTYDISC,21.5,5,100,     ,     ,     ,-,,
170000,56482,HYD SERRATA CHIRI-SAN SUE (DH),DCS,7,Chiri-san Sue Mountain Hydrangea                                                                    ,2014,,     ,5,25,     ,     ,     ,,,
170000,058205P2,LIGUSTRUM TEXANUM,EVS,7,Waxleaf Privet                                                                                      ,    ,QTYDISC,85,2,30,     ,     ,     ,-,,
170000,058207P3,LIGUSTRUM TEXANUM,EVS,7,Waxleaf Privet                                                                                      ,    ,,150,2,25,     ,     ,     ,-,,
170000,058207Y5,LIGUSTRUM TEXANUM,EVS,7,Waxleaf Privet                                                                                      ,    ,QTYDISC,95,2,20,     ,     ,     ,-,,
170000,058209SP,LIGUSTRUM TEXANUM,EVS,7,Waxleaf Privet                                                                                      ,    ,QTYDISC,185,1,15,     ,     ,     ,-,,
170000,058209Y5,LIGUSTRUM TEXANUM,EVS,7,Waxleaf Privet                                                                                      ,    ,QTYDISC,125,1,15,     ,     ,     ,-,,
170000,58941,LITHODORA GRACE WARD,PRN,6,Grace Ward Lithodora                                                                                ,    ,SPRSPCL,     ,10,150,     ,     ,     ,-,,PS0
170000,60752,MAHONIA AQUIFOLIUM COMPACTA,EVS,5,Compact Oregon Grape Holly                                                                          ,    ,QTYDISC,21.5,5,100,     ,     ,     ,-,12''H - 12''S,
170000,62222,NAND D SIENNA SUNRISE R P14693,EVS,6,Sienna Sunrise®  Heavenly Bamboo                                                                    ,2003,,18.5,5,24,     ,     ,     ,WINTER COLOR,,
170000,62205,NAND DOMESTICA,EVS,6,Heavenly Bamboo                                                                                     ,    ,QTYDISC,26.5,5,100,     ,     ,     ,WINTER COLOR,,
170000,16252,PAEONIA X BOWL OF CREAM (WT),PRN,4,Bowl Of Cream Double Herbaceous Peony                                                               ,2003,,30,5,25,     ,     ,     ,DORMANT,5+ EYES,PS0
170000,50282,PAEONIA X BUCKEYE BELLE (RED),PRN,4,Buckeye Belle Herbaceous Peony                                                                      ,2009,,30,5,25,     ,     ,     ,DORMANT,.,PS0
170000,63742,PAEONIA X KANSAS (RED),PRN,4,Kansas Double Peony                                                                                 ,2003,SPRSPCL,24.5,5,75,     ,     ,     ,DORMANT,5+ EYES,PS0
170000,34652,PHYSOCARPUS CENTER GLOW P16894,DCS,2,Center Glow Ninebark                                                                                ,2007,QTYDISC,18.5,5,84,     ,     ,     ,DORMANT,10''H - 10''S,
170000,16582,PITT TEN GOLF BALL P15329,EVS,8,Golf Ball Kohuhu                                                                                    ,2005,,24.5,5,50,     ,     ,     ,-,,
170000,51422,PITT TEN TASMAN RUFFLES,EVS,7,Tasman Ruffles Pittosporum                                                                          ,2013,QTYDISC,27.5,5,100,     ,     ,     ,-,,
170000,66692,POTENTILLA ABBOTSWOOD,DCS,3,Abbotswood Potentilla                                                                               ,    ,,18.5,5,21,     ,     ,     ,BREAKING DORMANCY,10''H - 12''S,
170000,66802,POTENTILLA GOLD STAR,DCS,3,Gold Star Potentilla                                                                                ,    ,,18.5,5,62,     ,     ,     ,BREAKING DORMANCY,12''H - 12''S,
170000,67152,PRUNUS LAUR OTTO LUYKEN,EVS,6,Otto Luyken English Laurel                                                                          ,    ,QTYDISC,     ,5,120,     ,     ,     ,SHOT HOLE,"22""H - 16""S",
170000,68015,PUNICA GR ANGEL RED R PP16578,DCS,7,Angel Red®  Pomegranate                                                                             ,2010,SPRSPCL,37.5,5,75,     ,     ,     ,BREAKING DORMANCY,"21""H - 15""S",
170000,46752,RHAPH U RUTRHAPH STHRN MOON TM,EVS,7,Southern Moon®  Yedda Hawthorn                                                                      ,2010,,21.5,5,100,     ,     ,     ,-,14''H - 14''S,
170000,46752,RHAPH U RUTRHAPH STHRN MOON TM,EVS,7,Southern Moon®  Yedda Hawthorn                                                                      ,2010,,21.5,5,306,     ,     ,     ,BUDS,"10""H - 12""S",
170000,10052,RHOD (H-1) RAMAPO,RHO,4,Ramapo Rhododendron                                                                                 ,    ,QTYDISC,21.5,5,200,     ,     ,     ,BUDS,14''H - 14''S,
170000,9505,RHOD (H-3) JEAN MARIE DE MNTGE,RHO,6,Jean Marie De Montague Rhododendron                                                                 ,    ,QTYDISC,35,5,75,     ,     ,     ,BUDS,18''H - 18''S,
170000,36292,ROSA FLWR CAR R AMBER PPAF,ROS,4,Flower Carpet®  Amber Groundcover Rose                                                              ,2009,SPRSPCL,21.5,5,50,     ,     ,     ,WINTER LOOK,"10""H - 12""S",
170000,36382,ROSA FLWR CAR R PNK SUP P16276,ROS,4,Flower Carpet®  Pink Supreme Ground Cover Rose                                                      ,2008,SPRSPCL,21.5,5,50,     ,     ,     ,WINTER LOOK,"6""H - 10""S",
170000,71602,ROSA FLWR CAR R RED P11308,ROS,4,Flower Carpet®  Red Groundcover Rose                                                                ,2000,SPRSPCL,21.5,5,50,     ,     ,     ,WINTER LOOK,6''H - 10''S,
170000,70212,ROSA FLWR CAR R WHITE P9573,ROS,5,Flower Carpet®  White Groundcover Rose                                                              ,2002,SPRSPCL,21.5,5,50,     ,     ,     ,WINTER LOOK,"8""H - 12""S",
170000,25961,RUBUS CALYCINOIDES,PRN,7,Creeping Bramble                                                                                    ,2004,QTYDISC,7.5,10,93,     ,     ,     ,,CAN FULL,PS0
170000,79382,RUBUS RSPBRY SHRTCKE TM P22141,DCS,5,BrazelBerries®  Raspberry Shortcake™  Dwarf Thor                                                    ,2013,QTYDISC,21.5,5,100,     ,     ,     ,DORMANT,"10""H - 10"":S",
170000,70612,SALIX INTEGRA HAKURO NISHIKI,DCS,4,Dappled Willow                                                                                      ,    ,SPRSPCL,18.5,5,50,     ,     ,     ,DORMANT,14''H - 14''S,
170000,71082,SKIMMIA REEVESIANA,EVS,7,Reeves Skimmia                                                                                      ,    ,QTYDISC,27.5,5,100,     ,     ,     ,-,,
170000,71572,SPIRAEA JAP MAGIC CARPET P9363,DCS,4,Magic Carpet Spirea                                                                                 ,2001,QTYDISC,16.5,5,116,     ,     ,     ,BREAKING DORMANCY,10''H - 12''S,
170000,72342,TAXUS EMERALD SPREADR R P10335,CON,4,Emerald Spreader®  Japanese Yew                                                                     ,    ,QTYDISC,18.5,5,400,     ,     ,     ,-,,
170000,72332,TAXUS X MEDIA HICKSII,CON,4,Hicks Yew                                                                                           ,1994,QTYDISC,21.5,5,48,     ,     ,     ,-,,
170000,70055,TRACH JASMINOIDES,VIN,8,Star Jasmine                                                                                        ,    ,QTYDISC,32.5,5,68,     ,     ,     ,WINTER COLOR,"14""H - 15""S",
170000,070055ES,TRACH JASMINOIDES,VIN,8,Star Jasmine                                                                                        ,    ,QTYDISC,85,2,30,     ,     ,     ,WINTER COLOR,"40""H - 42""S",
170000,070055ST,TRACH JASMINOIDES,VIN,8,Star Jasmine                                                                                        ,    ,QTYDISC,35,5,89,     ,     ,     ,WINTER COLOR,"36""H",
170000,56232,VACC BOUNTIFUL BLUE R PP19381,DCS,6,Bountiful Blue®  Blueberry                                                                          ,2010,QTYDISC,21.5,5,100,     ,     ,     ,BUDS,12''H - 10''S,
170000,56232,VACC BOUNTIFUL BLUE R PP19381,DCS,6,Bountiful Blue®  Blueberry                                                                          ,2010,SPRSPCL,21.5,5,200,     ,     ,     ,BUDS & BLOOMS,"15""H - 12""S",
170000,81712,VACCINIUM PEACH SORBET TM PPAF,DCS,5,BrazelBerries®  Peach Sorbet™  Blueberry                                                            ,2013,SPRSPCL,24.5,5,100,     ,     ,     ,-,,
170000,81702,VACCINIUM X JELLY BEAN TM PPAF,DCS,4,BrazelBerries®  Jelly Bean Blueberry                                                                ,2013,QTYDISC,21.5,5,25,     ,     ,     ,BUDS,"10""H - 10""S",
170000,75102,VIB OPULUS STERILE,DCS,3,Eastern Snowball                                                                                    ,    ,QTYDISC,21.5,5,50,     ,     ,     ,DORMANT,12''H - 12''S,
