Loc,Item Number,Plant Category,Plant Name
CA,28342,EVS,ABELIA GRA KALEIDOSCOPE P16988
GA,25692,EVS,ABELIA GRA ROSE CREEK
GA,400343,EVS,ABELIA SUNSHNE DAYDRM PP20961
CA,35282,EVS,AGAPANTHUS AFR SUN STRIPE R
CA,1655,EVS,AGAPANTHUS AFRICANUS
CA,1732,EVS,AGAPANTHUS BLUE STORM PP14332
GA,70372,EVS,AGAPANTHUS MOOD INDIGO
CA,1882,DCS,AGAPANTHUS X MIDKNIGHT BLUE R
CA,1885,DCS,AGAPANTHUS X MIDKNIGHT BLUE R
CT,400521,PRN,AGASTACHE HYB BLUE BOA PP24050
CA,25242,CAC,AGAVE VICTORIA-REGINAE
CT,08030UT,PRN,AJUGA CHOCOLATE CHIP
GA,00189UT,PRN,AJUGA REPTANS BRONZE BEAUTY
GA,00059UT,PRN,AJUGA REPTANS BURGUNDY GLOW
GA,00193UT,PRN,AJUGA REPTANS CATLIN'S GIANT
CT,400561,PRN,ALLIUM HYB MILLENNIUM
OR,39021,PRN,ANEMONE X WILD SWAN TM PP23132
OR,55482,PRN,ARALIA CORDATA GOTEMBA
CT,01946UT,PRN,ARMERIA MAR RUBRIFOLIA
GA,1011,PRN,ARTEMISIA SCHM SILVER MOUND
CT,28281,PRN,ASCLEPIAS GAY BUTTERFLIES
GA,3151,FRN,ASPARAGUS MYERS
GA,3152,FRN,ASPARAGUS MYERS
CT,59151,PRN,ASTILBE VISION IN PINK PP11860
GA,16341,PRN,ASTILBE VISION IN RED PP11965
GA,3562,EVS,AUCUBA MR GOLDSTRIKE
OR,3565,EVS,AUCUBA MR GOLDSTRIKE
OR,25212,GRS,BAM-FARGESIA RUFA (CLUMP)
CT,402583,GRS,BAM-FARGESIA SCABRIDA
CA,11285,GRS,BAM-PHYLLO BISSETII (RUN)
OR,23942,DCS,BER CRIMSON RUBY R PPAF
OR,12032,DCS,BER GOLDN NUGGET TM P9577 CBR
OR,080771S,DCS,BER SUNJOY R MINI SALSA PPAF
OR,12012,DCS,BER T CHERRY BOMB R CPBR 3488
OR,2242,DCS,BER T CONCORDE
OR,35231,DCS,BER T GOLDEN RUBY R PP16203
OR,35232,DCS,BER T GOLDEN RUBY R PP16203
OR,12105,DCS,BER T HELMOND PILLAR
CT,62932,DCS,BER T ORANGE ROCKET PP18411
OR,35242,DCS,BER T PYGMY RUBY TM
OR,12202,DCS,BER T ROSE GLOW
OR,12205,DCS,BER T ROSE GLOW
OR,29662,DCS,BER T ROYAL CLOAK
GA,012705PT,VIN,BOUG BARBARA KARST
CA,090122BH,VIN,BOUG BLUEBERRY ICE
GA,013265PT,VIN,BOUG OO-LA-LA R
GA,013052BH,VIN,BOUG PURPLE QUEEN R
CA,013055PT,VIN,BOUG PURPLE QUEEN R
CA,095752BH,VIN,BOUG SUNVILLEA TM PINK PP22113
CT,401181,PRN,BRUNNERA MAC SILVER HEART PPAF
CT,074412S,DCS,BUD LO&BEHLD R BLU CHP PP19991
CT,401292S,DCS,BUD LO&BEHLD R PINK MICRO CHIP
GA,077392S,DCS,BUDDLEJA MISS MOLLY PPAF
GA,074402S,DCS,BUDDLEJA X MISS RUBY PPAF
OR,3012,EVS,BUXUS CHICAGOLAND GREEN R
CT,013823CN,EVS,BUXUS GREEN MOUNTAIN
OR,13892,EVS,BUXUS GREEN VELVET
GA,13892,EVS,BUXUS GREEN VELVET
OR,13895,EVS,BUXUS GREEN VELVET
CT,13897,EVS,BUXUS GREEN VELVET
OR,13952,EVS,BUXUS J GREEN BEAUTY
GA,13952,EVS,BUXUS J GREEN BEAUTY
CA,13955,EVS,BUXUS J GREEN BEAUTY
GA,13955,EVS,BUXUS J GREEN BEAUTY
OR,13833,EVS,BUXUS MIC WINTER GEM
CT,13833,EVS,BUXUS MIC WINTER GEM
GA,13833,EVS,BUXUS MIC WINTER GEM
CA,13835,EVS,BUXUS MIC WINTER GEM
CT,13835,EVS,BUXUS MIC WINTER GEM
GA,13835,EVS,BUXUS MIC WINTER GEM
GA,013835CN,EVS,BUXUS MIC WINTER GEM
GA,13837,EVS,BUXUS MIC WINTER GEM
GA,013837CN,EVS,BUXUS MIC WINTER GEM
GA,13839,EVS,BUXUS MIC WINTER GEM
OR,13905,EVS,BUXUS S GREEN TOWER R PP15243
OR,01398UT,EVS,BUXUS SEMP SUFFRUTICOSA
OR,13981,EVS,BUXUS SEMP SUFFRUTICOSA
OR,13982,EVS,BUXUS SEMP SUFFRUTICOSA
