Loc,Order#,PO#,Request Date,Item,Size,Description,Product,Zone,Common Name,New Plant,Catalog Price      ,Price Code,Net Price     ,Minimum Ord Qty,Confirmed Qty Remaining,Confirmed Amount Remaining,2012 Qty Shipped  ,2013 Qty Shipped  ,2014 Qty Shipped  ,Date Ready,Condition,Current Specs,Plant Status,Unit Freight,Landed Price,Landed Price Palletized,SKU,Retail Price,UPC
CA,1494511,SPRING 2015 CA                ,06/15/15  ,028342,#2,ABELIA GRA KALEIDOSCOPE P16988,EVS,06,Kaleidoscope Abelia                                                                                 ,    ,16,,14.08, 5 , 10 , 140.80 ,     ,     ,     ,Now         ,WINTER COLOR,"10""H - 12""S",,2.56, 16.64 ,     ,, 34.99 ,014949063200 
GA,1494978,SPRING 2015 GA                ,06/01/15  ,006241,#1,ACHILLEA MILL SUMMER BERRIES,PRN,03,Summer Berries Yarrow                                                                               ,2013,4.9,,4.31, 10 , 12 , 51.72 ,     ,     ,     ,04/01/15    ,,,PS0,0.58, 4.89 ,     ,, 9.99 ,014949370322 
GA,1494978,SPRING 2015 GA                ,06/01/15  ,058251,#1,ACHILLEA STRWBRY SDCTN P18401,PRN,03,Strawberry Seduction Yarrow                                                                         ,2012,4.9,,4.31, 10 , 12 , 51.72 ,     ,     ,     ,Now         ,,CAN FULL,PS0,0.58, 4.89 ,     ,, 9.99 ,014949357965 
CA,1494511,SPRING 2015 CA                ,06/15/15  ,001881,#1,AGAPANTHUS X MIDKNIGHT BLUE R,DCS,06,Midknight Blue®  Agapanthus                                                                         ,    ,7.75,,6.82, 10 , 12 , 81.84 ,     ,     ,     ,04/01/15    ,-,,,1.02, 7.84 ,     ,, 15.99 ,014949018811 
CA,1494511,SPRING 2015 CA                ,06/15/15  ,001882,#2,AGAPANTHUS X MIDKNIGHT BLUE R,DCS,06,Midknight Blue®  Agapanthus                                                                         ,    ,16.5,,14.52, 5 , 10 , 145.20 ,     ,     ,     ,03/01/15    ,,,,2.56, 17.08 ,     ,, 34.99 ,014949018828 
GA,1494978,SPRING 2015 GA                ,06/01/15  ,400521,#1,AGASTACHE HYB BLUE BOA PP24050,PRN,05,Blue Boa Hummingbird Mint                                                                           ,    ,4.9,,4.31, 10 , 12 , 51.72 ,     ,     ,     ,04/15/15    ,,,PS0,0.58, 4.89 ,     ,, 9.99 ,014949388310 
OR,1494529,SP 2015 OR                    ,06/15/15  ,002561,#1 STAKED,AKEBIA QUINATA SHIRO BANA,VIN,05,White Flowered Chocolate Vine                                                                       ,    ,7.75,,6.82, 10 , 10 , 68.20 ,     ,     ,     ,Now         ,-,FULL STK,,0.98, 7.80 ,     ,, 15.99 ,014949025611 
CT,1494979,SPRING 2015 CT                ,06/01/15  ,400561,#1,ALLIUM HYB MILLENNIUM,PRN,05,Millenium Ornamental Onion                                                                          ,    ,4.9,,4.31, 10 , 12 , 51.72 ,     ,     ,     ,04/01/15    ,,,PS0,0.55, 4.86 ,     ,, 9.99 ,014949388341 
CA,1494511,SPRING 2015 CA                ,06/15/15  ,064081,#1,ALOE BLUE ELF,CAC,09,Blue Elf Aloe                                                                                       ,2010,6.5,,5.72, 10 , 3 , 17.16 ,     ,     ,     ,Now         ,SPIKES,6''H,PS1,1.02, 6.74 ,     ,, 13.99 ,014949315569 
CA,1494511,SPRING 2015 CA                ,06/15/15  ,077781,#1,ALOE HYBRID GUIDO TM,CAC,09,Retro Succulents®  Guido™  Aloe                                                                     ,2012,8.25,,7.26, 10 , 12 , 87.12 ,     ,     ,     ,Now         ,SPIKES,"6""S",PS1,1.02, 8.28 ,     ,, 16.99 ,014949356593 
