Loc,Item,Description
170000,30091,ASTER FARMINGTON PPAF
170000,3391,ASTER NOVI-BELGII ALERT
170000,2191,BAPTISIA AUSTRALIS
170000,074741S,BER SUNJOY R GOLD PILLAR PPAF
170000,2241,BER T CONCORDE
170000,20702,BER T LIME GLOW
170000,62931,BER T ORANGE ROCKET PP18411
170000,013055BH,BOUG PURPLE QUEEN R
170000,013215BH,BOUG RASPBERRY ICE
170000,35381,BRUNNERA MAC JACK FROST P13859
170000,13782,BUDDLEJA DAV BLACK KNIGHT
170000,13822,BUXUS GREEN MOUNTAIN
170000,13825,BUXUS GREEN MOUNTAIN
170000,22711,CAMPSIS BALBOA SUNSET R
170000,22551,CAMPSIS MADAME GALEN
170000,26005,CITRUS IMPROVED MEYER LEMON
170000,31721,CORDYLINE BAUERI
170000,27961,COREOPSIS VERT MOONBEAM
170000,27971,COREOPSIS VERT ZAGREB
170000,75551,DELPHINIUM G MORPHO GRAND BLUE
170000,31331,DIANTHUS FROSTY FIRE
170000,34502,EUO F MOONSHADOW
170000,36451,FERN-MATTEUCCIA STRUTHIOPTERIS
170000,88831,GAILLARDIA ARIZONA RED SHADES
170000,35711,GAILLARDIA ARIZONA SUN
170000,37611,GAILLARDIA GOBLIN
170000,36441,GAILLARDIA ORNGS&LEMONS P17092
170000,23081,GERANIUM ROZANNE PP12175
170000,67791,GR-BOUT BLOND AMBITION PP22048
170000,14011,GR-CAL ACUT KARL FOERSTER
170000,14012,GR-CAL ACUT KARL FOERSTER
170000,14071,GR-CAL ACUT OVERDAM
170000,24091,GR-CHASMANTHIUM LATIFOLIUM
170000,28051,GR-ERIANTHUS RAVENNAE
170000,28052,GR-ERIANTHUS RAVENNAE
170000,36671,GR-FESTUCA GLAUCA ELIJAH BLUE
170000,35911,GR-HAKONECHLOA MACRA ALL GOLD
170000,39971,GR-HELICTOTRICHON SEMPERVIRENS
170000,61551,GR-MIS SIN STRICTUS
170000,61791,GR-PAN VIR HEAVY METAL
170000,63881,GR-PAN VIR SHENANDOAH
170000,63882,GR-PAN VIR SHENANDOAH
170000,64262,GR-PENN ALO HAMELN
170000,64271,GR-PENN SET RUBRUM
170000,64275,GR-PENN SET RUBRUM
170000,5791,GR-SCHIZACHYRIUM SCO THE BLUES
170000,5792,GR-SCHIZACHYRIUM SCO THE BLUES
170000,72991,HELLEBORUS X PINK FROST PPAF
170000,39831,HEM GOLDEN ZEBRA R PP14221
170000,39611,HEUCHERA BLACK BEAUTY PP13288
170000,47531,HEUCHERA GEORGIA PEACH PP19375
170000,45721,HEUCHERA MIDNIGHT ROSE PP18551
170000,47541,HEUCHERA PEACH FLAMBEE PP17195
170000,40721,HEUCHERA PLUM PUDDING
170000,20121,HEUCHERA SILVER SCROLLS P12066
