Loc,Order#,PO#,Request Date,Item,Size,Description,Common Name,New Plant,2014 Catalog Price ,Price Code,2014 Net Price,Minimum Ord Qty,Confirmed Qty Remaining,Confirmed Amount Remaining,Date Ready,Condition,Current Specs,Unit Freight,Landed Price,Landed Price Palletized,SKU,Retail Price,UPC
OR,1361955,OR 2014                       ,5/15/2014,82,#2,ABIES BALSAMEA NANA,Dwarf Balsam Fir                                                                                    ,    ,21.5,,18.06,5,5,90.3,Now         ,-,"12""S",1.73,19.79,     ,,39.99,14949000823
OR,1361955,OR 2014                       ,5/15/2014,51315,#5,ABIES CONCOLOR CANDICANS,Candicans White Fir                                                                                 ,2012,44,,36.96,5,5,184.8,5/15/2014,,,3.45,40.41,     ,,79.99,14949278642
OR,1361955,OR 2014                       ,5/15/2014,1285,#5,ACER F AUTUMN BLAZE R,Autumn Blaze®  Maple                                                                                ,    ,33,,27.72,5,10,277.2,Now         ,DORMANT,"66""H",3.45,31.17,     ,,59.99,14949012857
OR,1361955,OR 2014                       ,5/15/2014,485,#5,ACER GIN RED RHAPSODY R,Red Rhapsody®  Amur Maple                                                                           ,    ,24.75,,20.79,5,10,207.9,Now         ,DORMANT,"24""H",3.45,24.24,     ,,59.99,14949004852
OR,1361955,OR 2014                       ,5/15/2014,845,#5,ACER PAL EMPEROR I R,Emperor I®  Japanese Maple                                                                          ,    ,54,,45.36,5,5,226.8,Not Avl     ,DORMANT,,3.45,48.81,     ,,59.99,14949008454
OR,1361955,OR 2014                       ,5/15/2014,01039MST,#10 Squat STAKED,ACER PAL RED DRAGON R,Red Dragon®  Japanese Maple                                                                         ,2011,109,,91.56,2,2,183.12,5/1/2014,DORMANT,,12.42,103.98,     ,,199.99,14949274002
OR,1361955,OR 2014                       ,5/15/2014,60205,#5,ACER PSEUDOSIEBOLDIANUM,Korean Maple                                                                                        ,2013,24.75,,20.79,5,10,207.9,Now         ,DORMANT,"36""H",3.45,24.24,     ,,59.99,14949369456
GA,1361954,GA 2014                       ,5/15/2014,1341,#1,ACHILLEA MILL PAPRIKA,Paprika Common Yarrow                                                                               ,    ,4.75,PRNADV,3.75,10,10,37.5,4/1/2014,,,0.74,4.49,     ,,15,14949013410
GA,1361954,GA 2014                       ,5/15/2014,6241,#1,ACHILLEA MILL SUMMER BERRIES,Summer Berries Yarrow                                                                               ,2013,4.75,PRNADV,3.75,10,10,37.5,4/1/2014,,,0.74,4.49,     ,,15,14949370322
OR,1361955,OR 2014                       ,5/15/2014,1351,#1,ACHILLEA X MOONSHINE,Moonshine Yarrow                                                                                    ,    ,4.75,PRNADV,3.75,10,10,37.5,Now         ,CUT BACK,.,0.69,4.44,     ,,15,14949013519
