Loc,Item,Description,Common Name,,,,,,,,,,,,,
OR,084671,DELOS JWL OF DSRT RUBY P23453,Jewel of the Desert Ruby Ice Plant                                                                  ,,,,,,,,,,,,,
GA,034201,DELOSPERMA COOPERI,Hardy Ice Plant                                                                                     ,,,,,,,,,,,,,
GA,048541,DELOSPERMA DY RED MOUNTAIN R,Red Mountain®  Ice Plant                                                                            ,,,,,,,,,,,,,
CA,078741,DELOSPERMA FIRE SPINNER R,Fire Spinner®  Ice Plant                                                                            ,,,,,,,,,,,,,
GA,029141,SEDUM BLUE SPRUCE,Blue Spruce Stonecrop                                                                               ,,,,,,,,,,,,,
OR,070941,SEDUM BRONZE CARPET,Bronze Carpet Stonecrop                                                                             ,,,,,,,,,,,,,
CA,070941,SEDUM BRONZE CARPET,Bronze Carpet Stonecrop                                                                             ,,,,,,,,,,,,,
CA,011821,SEDUM JOHN CREECH,John Creech Stonecrop                                                                               ,,,,,,,,,,,,,
CA,074381,SEDUM KAMTSCHATICUM VARIEGATUM,Variegated Orange Stonecrop                                                                         ,,,,,,,,,,,,,
OR,065141,SEDUM MAKINOI LIMELIGHT,Limelight Japanese Stonecrop                                                                        ,,,,,,,,,,,,,
OR,049971,SEDUM MR. GOODBUD PPAF,Mr. Goodbud Stonecrop                                                                               ,,,,,,,,,,,,,
GA,044871,SEDUM RUP ANGELINA PPAF,Angelina Stonecrop                                                                                  ,,,,,,,,,,,,,
GA,063681,SEDUM SIEBOLDII,October Daphne Stonecrop                                                                            ,,,,,,,,,,,,,
OR,034281,SEDUM SPATH CAPE BLANCO,Cape Blanco Stonecrop                                                                               ,,,,,,,,,,,,,
CA,070911,SEDUM VERA JAMESON,Vera Jameson Stonecrop                                                                              ,,,,,,,,,,,,,
GA,025041,SEDUM X AUTUMN FIRE,Autumn Fire Stonecrop                                                                               ,,,,,,,,,,,,,
GA,070741,SEDUM X AUTUMN JOY,Autumn Joy Stonecrop                                                                                ,,,,,,,,,,,,,
GA,06559UT,SEMPERVIVUM BLACK,Black Hens and Chicks                                                                               ,,,,,,,,,,,,,
GA,06560UT,SEMPERVIVUM GREEN WHEEL,Green Wheel Hens and Chicks                                                                         ,,,,,,,,,,,,,
GA,06598UT,SEMPERVIVUM HARDY MIX,Hens and Chicks Hardy Mix                                                                           ,,,,,,,,,,,,,
GA,083621,FERN-ADIANTUM PEDATUM,American Maidenhair Fern                                                                            ,,,,,,,,,,,,,
GA,022061,FERN-ATHYRIUM BURG LACE P15072,Burgundy Lace Painted Fern                                                                          ,,,,,,,,,,,,,
GA,019241,FERN-ATHYRIUM F LADY IN RED,Lady In Red Fern                                                                                    ,,,,,,,,,,,,,
GA,018761,FERN-ATHYRIUM GHOST,Ghost Fern                                                                                          ,,,,,,,,,,,,,
CA,018762,FERN-ATHYRIUM GHOST,Ghost Fern                                                                                          ,,,,,,,,,,,,,
GA,036121,FERN-ATHYRIUM NIP PICTUM,Japanese Painted Fern                                                                               ,,,,,,,,,,,,,
CA,036122,FERN-ATHYRIUM NIP PICTUM,Japanese Painted Fern                                                                               ,,,,,,,,,,,,,
CA,022041,FERN-ATHYRIUM REGAL RED,Regal Red Japanese Painted Fern                                                                     ,,,,,,,,,,,,,
OR,028121,FERN-BLECHNUM SPICANT,Deer Fern                                                                                           ,,,,,,,,,,,,,
CA,028121,FERN-BLECHNUM SPICANT,Deer Fern                                                                                           ,,,,,,,,,,,,,
GA,021221,FERN-DRYOPTERIS ERY BRILLIANCE,Brilliance Autumn Fern                                                                              ,,,,,,,,,,,,,
GA,036241,FERN-DRYOPTERIS ERYTHROSORA,Autumn Fern                                                                                         ,,,,,,,,,,,,,
GA,036243,FERN-DRYOPTERIS ERYTHROSORA,Autumn Fern                                                                                         ,,,,,,,,,,,,,
GA,005061,FERN-DRYOPTERIS F UNDULATA ROB,Robust Male Fern                                                                                    ,,,,,,,,,,,,,
GA,021231,FERN-DRYOPTERIS X AUSTRALIS,Dixie Wood Fern                                                                                     ,,,,,,,,,,,,,
GA,036451,FERN-MATTEUCCIA STRUTHIOPTERIS,European Ostrich Fern                                                                               ,,,,,,,,,,,,,
OR,036455,FERN-MATTEUCCIA STRUTHIOPTERIS,European Ostrich Fern                                                                               ,,,,,,,,,,,,,
GA,036411,FERN-OSMUNDA CINNAMOMEA,Cinnamon Fern                                                                                       ,,,,,,,,,,,,,
GA,083711,FERN-POLYSTICHUM ACROSTICHOIDS,Christmas Fern                                                                                      ,,,,,,,,,,,,,
OR,084911,FERN-POLYSTICHUM MUNITUM,Western Sword Fern                                                                                  ,,,,,,,,,,,,,
GA,083721,FERN-POLYSTICHUM POLYBLEPHARUM,Tassel Fern                                                                                         ,,,,,,,,,,,,,
OR,036492,FERN-POLYSTICHUM SET(ANGULARE),Soft Shield Fern                                                                                    ,,,,,,,,,,,,,
OR,005081,FERN-POLYSTICHUM X DYCEI,Dyce's Holly Fern                                                                                   ,,,,,,,,,,,,,
OR,005082,FERN-POLYSTICHUM X DYCEI,Dyce's Holly Fern                                                                                   ,,,,,,,,,,,,,
OR,025212,BAM-FARGESIA RUFA (CLUMP),Sunset Glow Bamboo                                                                                  ,,,,,,,,,,,,,
OR,025215,BAM-FARGESIA RUFA (CLUMP),Sunset Glow Bamboo                                                                                  ,,,,,,,,,,,,,
CA,001421,GR-ACORUS GR OGON,Golden Variegated Sweet Flag                                                                        ,,,,,,,,,,,,,
GA,059031,GR-ACORUS GRAMINEUS OBOROZUKI,Grassy-Leaved Sweet Flag                                                                            ,,,,,,,,,,,,,
OR,022591,GR-CAREX ELATA BOWLES GOLDEN,Bowles Golden Sedge                                                                                 ,,,,,,,,,,,,,
OR,022601,GR-CAREX MORROWII AUREA VAR,Variegated Japanese Sedge                                                                           ,,,,,,,,,,,,,
CA,022601,GR-CAREX MORROWII AUREA VAR,Variegated Japanese Sedge                                                                           ,,,,,,,,,,,,,
OR,024091,GR-CHASMANTHIUM LATIFOLIUM,Northern Sea Oats                                                                                   ,,,,,,,,,,,,,
CA,031942,GR-ELYMUS ARENARIUS BLUE DUNE,Blue Dune Lyme Grass                                                                                ,,,,,,,,,,,,,
GA,036671,GR-FESTUCA GLAUCA ELIJAH BLUE,Elijah Blue Fescue                                                                                  ,,,,,,,,,,,,,
CA,061745,GR-MIS SIN CABARET,Cabaret Japanese Silver Grass                                                                       ,,,,,,,,,,,,,
CA,061565,GR-MIS SIN GRACILLIMUS,Maiden Grass                                                                                        ,,,,,,,,,,,,,
CA,061665,GR-MIS SIN MORNING LIGHT,Morning Light Maiden Grass                                                                          ,,,,,,,,,,,,,
CA,061555,GR-MIS SIN STRICTUS,Porcupine Grass                                                                                     ,,,,,,,,,,,,,
