Loc,Item,Size,Description,,,,,,,,,,,,,,
OR,084671,#1,DELOS JWL OF DSRT RUBY P23453,,,,,,,,,,,,,,
GA,034201,#1,DELOSPERMA COOPERI,,,,,,,,,,,,,,
GA,048541,#1,DELOSPERMA DY RED MOUNTAIN R,,,,,,,,,,,,,,
CA,078741,#1,DELOSPERMA FIRE SPINNER R,,,,,,,,,,,,,,
GA,029141,#1,SEDUM BLUE SPRUCE,,,,,,,,,,,,,,
OR,070941,#1,SEDUM BRONZE CARPET,,,,,,,,,,,,,,
CA,070941,#1,SEDUM BRONZE CARPET,,,,,,,,,,,,,,
CA,011821,#1,SEDUM JOHN CREECH,,,,,,,,,,,,,,
CA,074381,#1,SEDUM KAMTSCHATICUM VARIEGATUM,,,,,,,,,,,,,,
OR,065141,#1,SEDUM MAKINOI LIMELIGHT,,,,,,,,,,,,,,
OR,049971,#1,SEDUM MR. GOODBUD PPAF,,,,,,,,,,,,,,
GA,044871,#1,SEDUM RUP ANGELINA PPAF,,,,,,,,,,,,,,
GA,063681,#1,SEDUM SIEBOLDII,,,,,,,,,,,,,,
OR,034281,#1,SEDUM SPATH CAPE BLANCO,,,,,,,,,,,,,,
CA,070911,#1,SEDUM VERA JAMESON,,,,,,,,,,,,,,
GA,025041,#1,SEDUM X AUTUMN FIRE,,,,,,,,,,,,,,
GA,070741,#1,SEDUM X AUTUMN JOY,,,,,,,,,,,,,,
GA,06559UT,LittleOne,SEMPERVIVUM BLACK,,,,,,,,,,,,,,
GA,06560UT,LittleOne,SEMPERVIVUM GREEN WHEEL,,,,,,,,,,,,,,
GA,06598UT,LittleOne,SEMPERVIVUM HARDY MIX,,,,,,,,,,,,,,
CA,024755PT,#5 PATIO TREE,CITRUS BEARSS SEEDLESS LIME,,,,,,,,,,,,,,
CA,026005PT,#5 PATIO TREE,CITRUS IMPROVED MEYER LEMON,,,,,,,,,,,,,,
CA,066435,#5,CITRUS SEEDLESS KISHU MANDARIN,,,,,,,,,,,,,,
OR,023285,#5,CEDRUS DEODARA FEELIN BLUE,,,,,,,,,,,,,,
OR,023285PT,#5 PATIO TREE,CEDRUS DEODARA FEELIN BLUE,,,,,,,,,,,,,,
GA,017385,#5,CEPHALOTAXUS HAR FASTIGIATA,,,,,,,,,,,,,,
OR,028832,#2,CEPHALOTAXUS HAR PROSTRATA,,,,,,,,,,,,,,
GA,028832,#2,CEPHALOTAXUS HAR PROSTRATA,,,,,,,,,,,,,,
GA,028835,#5,CEPHALOTAXUS HAR PROSTRATA,,,,,,,,,,,,,,
OR,024032,#2,CHAM PIS FIL GOLDEN CHARM,,,,,,,,,,,,,,
OR,024035,#5,CHAM PIS FIL GOLDEN CHARM,,,,,,,,,,,,,,
GA,030517,#7,CUP LEY EMERALD ISLE R,,,,,,,,,,,,,,
GA,030519,#15,CUP LEY EMERALD ISLE R,,,,,,,,,,,,,,
GA,030509,#15,CUP LEYLANDII,,,,,,,,,,,,,,
OR,046875,#5,JUN C BLUE POINT,,,,,,,,,,,,,,
GA,046877,#7,JUN C BLUE POINT,,,,,,,,,,,,,,
GA,046879,#15,JUN C BLUE POINT,,,,,,,,,,,,,,
OR,084655,#5,JUN C DAUB'S FROSTED,,,,,,,,,,,,,,
OR,048135,#5,JUN C SEA OF GOLD R PP17622,,,,,,,,,,,,,,
CA,047309,#15,JUN C SPARTAN,,,,,,,,,,,,,,
OR,04730M,#10 Squat,JUN C SPARTAN,,,,,,,,,,,,,,
CA,048705,#5,JUN C TORULOSA,,,,,,,,,,,,,,
CA,048709,#15,JUN C TORULOSA,,,,,,,,,,,,,,
OR,049902,#2,JUN H ICEE BLUE R P9639,,,,,,,,,,,,,,
CA,049902,#2,JUN H ICEE BLUE R P9639,,,,,,,,,,,,,,
OR,053392,#2,JUN SQUA BLUE STAR,,,,,,,,,,,,,,
CA,053655,#5,JUN V BLUE ARROW,,,,,,,,,,,,,,
CA,053659,#15,JUN V BLUE ARROW,,,,,,,,,,,,,,
CA,05365M,#10 Squat,JUN V BLUE ARROW,,,,,,,,,,,,,,
OR,064622,#2,PICEA GL CONICA,,,,,,,,,,,,,,
OR,064625,#5,PICEA GL CONICA,,,,,,,,,,,,,,
OR,019372,#2,PICEA GL CONICA TINY TOWER R,,,,,,,,,,,,,,
GA,012599,#15,THUJA GREEN GIANT,,,,,,,,,,,,,,
OR,031195,#5,THUJA PLICATA GREEN SPORT,,,,,,,,,,,,,,
OR,019455,#5,THUJA PLICATA SUNSHINE,,,,,,,,,,,,,,
OR,01945M,#10 Squat,THUJA PLICATA SUNSHINE,,,,,,,,,,,,,,
OR,073435,#5,TSUGA CAN EMERALD FOUNTAIN R,,,,,,,,,,,,,,
CA,001882,#2,AGAPANTHUS X MIDKNIGHT BLUE R,,,,,,,,,,,,,,
CA,001885,#5,AGAPANTHUS X MIDKNIGHT BLUE R,,,,,,,,,,,,,,
OR,023942,#2,BER CRIMSON RUBY R PPAF,,,,,,,,,,,,,,
OR,012012,#2,BER T CHERRY BOMB R CPBR 3488,,,,,,,,,,,,,,
OR,035231,#1,BER T GOLDEN RUBY R PP16203,,,,,,,,,,,,,,
OR,035232,#2,BER T GOLDEN RUBY R PP16203,,,,,,,,,,,,,,
OR,035242,#2,BER T PYGMY RUBY TM,,,,,,,,,,,,,,
GA,074412S,SuperTwo,BUD LO&BEHLD R BLU CHP PP19991,,,,,,,,,,,,,,
CA,092895,#5,CARY CLA KORBALL BLU BALLOON R,,,,,,,,,,,,,,
OR,027732,#2,CORNUS ALBA ELEGANTISSIMA,,,,,,,,,,,,,,
OR,027735,#5,CORNUS ALBA ELEGANTISSIMA,,,,,,,,,,,,,,
OR,027862,#2,CORNUS ALBA IVORYHALO TM,,,,,,,,,,,,,,
OR,045285,#5,CORNUS ALBA PRAIRIE FIRE AUREA,,,,,,,,,,,,,,
OR,027805,#5,CORNUS SERICEA FLAVIRAMEA,,,,,,,,,,,,,,
OR,074482S,SuperTwo,EXOCHORDA SNW DAY R SUR P21665,,,,,,,,,,,,,,
CA,083995,#5,HIB SYR BLUE BIRD-GRAFTED,,,,,,,,,,,,,,
CA,074532S,SuperTwo,HYD A INVINCE SPIRIT R PP20765,,,,,,,,,,,,,,
CA,074535,#5,HYD A INVINCE SPIRIT R PP20765,,,,,,,,,,,,,,
GA,077445,#5,HYD ABRACADABRA TM ORB PP21635,,,,,,,,,,,,,,
OR,074522S,SuperTwo,HYD ARB INCREDIBALL R PP20571,,,,,,,,,,,,,,
CA,074525,#5,HYD ARB INCREDIBALL R PP20571,,,,,,,,,,,,,,
CA,092752,#2,HYD M ENCHANTRESS R PPAF,,,,,,,,,,,,,,
GA,092755,#5,HYD M ENCHANTRESS R PPAF,,,,,,,,,,,,,,
GA,017312S,SuperTwo,HYD M ENDLESS SUMMER R PP15298,,,,,,,,,,,,,,
GA,017315,#5,HYD M ENDLESS SUMMER R PP15298,,,,,,,,,,,,,,
CA,077462S,SuperTwo,HYD MAC LD R BIG EASY PPAF,,,,,,,,,,,,,,
CA,077465,#5,HYD MAC LD R BIG EASY PPAF,,,,,,,,,,,,,,
GA,041965,#5,HYD MAC NIKKO BLUE,,,,,,,,,,,,,,
GA,089932S,SuperTwo,HYD MAC PARAPLU TM PPAF,,,,,,,,,,,,,,
CA,023755,#5,HYD MAC PENNY MAC,,,,,,,,,,,,,,
GA,023755,#5,HYD MAC PENNY MAC,,,,,,,,,,,,,,
CA,042072,#2,HYD MAC PINK ELF R (PIA),,,,,,,,,,,,,,
CA,042075,#5,HYD MAC PINK ELF R (PIA),,,,,,,,,,,,,,
CA,041975,#5,HYD MAC PINK N PRETTY R,,,,,,,,,,,,,,
CA,041985,#5,HYD MAC RED N PRETTY R,,,,,,,,,,,,,,
GA,007445,#5,HYD MAC VARIEGATA,,,,,,,,,,,,,,
CA,089945,#5,HYD PAN FIRE LIGHT TM PPAF,,,,,,,,,,,,,,
GA,089945,#5,HYD PAN FIRE LIGHT TM PPAF,,,,,,,,,,,,,,
GA,024372S,SuperTwo,HYD PAN LIMELIGHT PP12874,,,,,,,,,,,,,,
CA,024375,#5,HYD PAN LIMELIGHT PP12874,,,,,,,,,,,,,,
CA,029922S,SuperTwo,HYD PAN LITTLE LIME PPAF,,,,,,,,,,,,,,
CA,065385,#5,HYPERICUM AN IGNITE RED P19468,,,,,,,,,,,,,,
GA,046495,#5,ITEA VIR LITTLE HENRY R P10988,,,,,,,,,,,,,,
CA,054709,#15 CLUMP,LAG CATAWBA,,,,,,,,,,,,,,
GA,008869BH,#15 BUSH,LAG DYNAMITE R P10296,,,,,,,,,,,,,,
GA,008899,#15 CLUMP,LAG MUSKOGEE,,,,,,,,,,,,,,
GA,008999,#15 CLUMP,LAG NATCHEZ,,,,,,,,,,,,,,
GA,009039,#15 CLUMP,LAG TUSCARORA,,,,,,,,,,,,,,
GA,056359,#15 CLUMP,LAG X TONTO,,,,,,,,,,,,,,
OR,086652,#2,POTENTILLA PINK BEAUTY P9874,,,,,,,,,,,,,,
OR,066772,#2,POTENTILLA RED ACE,,,,,,,,,,,,,,
OR,066742,#2,POTENTILLA SUNSET,,,,,,,,,,,,,,
OR,069892,#2,RHUS AROMATICA GRO-LOW,,,,,,,,,,,,,,
OR,069895,#5,RHUS AROMATICA GRO-LOW,,,,,,,,,,,,,,
CA,070335,#5 STAKED,RUBUS BLACK SATIN BLACKBERRY,,,,,,,,,,,,,,
CA,070345,#5 STAKED,RUBUS CANBY RED RASPBERRY,,,,,,,,,,,,,,
OR,070615,#5,SALIX INTEGRA HAKURO NISHIKI,,,,,,,,,,,,,,
OR,075032S,SuperTwo,SPIRAEA DBLPLAY R BIGBANG PPAF,,,,,,,,,,,,,,
OR,075022S,SuperTwo,SPIRAEA DBLPLAY R GOLD PPAF,,,,,,,,,,,,,,
OR,071232,#2,SPIRAEA X LIMEMOUND R,,,,,,,,,,,,,,
OR,071235,#5,SPIRAEA X LIMEMOUND R,,,,,,,,,,,,,,
OR,056232,#2,VACC BOUNTIFUL BLUE R PP19381,,,,,,,,,,,,,,
CA,056232,#2,VACC BOUNTIFUL BLUE R PP19381,,,,,,,,,,,,,,
OR,075105,#5,VIB OPULUS STERILE,,,,,,,,,,,,,,
OR,074695,#5,WEIGELA FL FINE WINE TM P18513,,,,,,,,,,,,,,
GA,028343,#3,ABELIA GRA KALEIDOSCOPE P16988,,,,,,,,,,,,,,
GA,025692,#2,ABELIA GRA ROSE CREEK,,,,,,,,,,,,,,
OR,003565,#5,AUCUBA MR GOLDSTRIKE,,,,,,,,,,,,,,
GA,003565,#5,AUCUBA MR GOLDSTRIKE,,,,,,,,,,,,,,
CA,003655,#5,AUCUBA SERRATIFOLIA,,,,,,,,,,,,,,
OR,003015,#5,BUXUS CHICAGOLAND GREEN R,,,,,,,,,,,,,,
CA,013825,#5,BUXUS GREEN MOUNTAIN,,,,,,,,,,,,,,
GA,013895,#5,BUXUS GREEN VELVET,,,,,,,,,,,,,,
OR,013952,#2,BUXUS J GREEN BEAUTY,,,,,,,,,,,,,,
CA,013955,#5,BUXUS J GREEN BEAUTY,,,,,,,,,,,,,,
GA,013705,#5,BUXUS MIC FAULKNER,,,,,,,,,,,,,,
OR,013832,#2,BUXUS MIC WINTER GEM,,,,,,,,,,,,,,
OR,013835,#5,BUXUS MIC WINTER GEM,,,,,,,,,,,,,,
CA,013835,#5,BUXUS MIC WINTER GEM,,,,,,,,,,,,,,
GA,013837,#7,BUXUS MIC WINTER GEM,,,,,,,,,,,,,,
OR,013905,#5,BUXUS S GREEN TOWER R PP15243,,,,,,,,,,,,,,
OR,013882,#2,BUXUS SEMP VARIEGATA,,,,,,,,,,,,,,
OR,049232,#2,DAPHNE ETRNL FRAGRANCE PP18361,,,,,,,,,,,,,,
OR,034002,#2,EUO F EMERALD 'N GOLD,,,,,,,,,,,,,,
OR,033902,#2,EUO F EMERALD GAIETY,,,,,,,,,,,,,,
OR,034502,#2,EUO F MOONSHADOW,,,,,,,,,,,,,,
CA,034802,#2,EUO J AUREO MARGINATUS,,,,,,,,,,,,,,
CA,034805,#5,EUO J AUREO MARGINATUS,,,,,,,,,,,,,,
CA,034902,#2,EUO J AUREOVARIEGATUS,,,,,,,,,,,,,,
CA,034905,#5,EUO J AUREOVARIEGATUS,,,,,,,,,,,,,,
CA,035252,#2,EUO J MICRO SILVER PRINCESS TM,,,,,,,,,,,,,,
CA,035202,#2,EUO J SILVER KING,,,,,,,,,,,,,,
CA,035205,#5,EUO J SILVER KING,,,,,,,,,,,,,,
GA,035405,#5,EUO KIA MANHATTAN,,,,,,,,,,,,,,
CA,035405ES,#5 ESPALIER,EUO KIA MANHATTAN,,,,,,,,,,,,,,
CA,03540MES,#10 Squat ESPALIER,EUO KIA MANHATTAN,,,,,,,,,,,,,,
CA,035575PT,#5 PATIO TREE,EURYOPS PECT VIRIDIS,,,,,,,,,,,,,,
GA,044095,#5,GARDENIA FROSTPROOF,,,,,,,,,,,,,,
GA,040805PT,#5 PATIO TREE,HIB R AMOUR,,,,,,,,,,,,,,
GA,040905PT,#5 PATIO TREE,HIB R BRILLIANT,,,,,,,,,,,,,,
CA,040905ST,#5 STAKED,HIB R BRILLIANT,,,,,,,,,,,,,,
GA,040985PT,#5 PATIO TREE,HIB R CHERIE,,,,,,,,,,,,,,
CA,040985ST,#5 STAKED,HIB R CHERIE,,,,,,,,,,,,,,
GA,025205PT,#5 PATIO TREE,HIB R ERIN RACHEL,,,,,,,,,,,,,,
GA,041155PT,#5 PATIO TREE,HIB R FIESTA,,,,,,,,,,,,,,
CA,017375ST,#5 STAKED,HIB R FLAMENCO FLAME TM,,,,,,,,,,,,,,
CA,041205ST,#5 STAKED,HIB R FULLMOON R,,,,,,,,,,,,,,
GA,041305PT,#5 PATIO TREE,HIB R HULA GIRL,,,,,,,,,,,,,,
GA,060585PT,#5 PATIO TREE,HIB R KISS & TELL,,,,,,,,,,,,,,
GA,041505PT,#5 PATIO TREE,HIB R RED DRAGON R,,,,,,,,,,,,,,
GA,041595PT,#5 PATIO TREE,HIB R THE PATH,,,,,,,,,,,,,,
OR,042605,#5,ILEX AQ ARGENTEOMARGINATA,,,,,,,,,,,,,,
OR,042607,#7,ILEX AQ ARGENTEOMARGINATA,,,,,,,,,,,,,,
GA,044935,#5,ILEX CREN SKY PENCIL(SKY SNTRY,,,,,,,,,,,,,,
GA,092655,#5,ILEX EMRLD COLONNADE R PP23905,,,,,,,,,,,,,,
GA,092657,#7,ILEX EMRLD COLONNADE R PP23905,,,,,,,,,,,,,,
GA,092659,#15,ILEX EMRLD COLONNADE R PP23905,,,,,,,,,,,,,,
GA,045309,#15,ILEX X NELLIE R STEVENS,,,,,,,,,,,,,,
GA,04530X,#30,ILEX X NELLIE R STEVENS,,,,,,,,,,,,,,
OR,019655,#5,ILEX X RED BEAUTY R PP14750,,,,,,,,,,,,,,
GA,060905,#5,MAHONIA BEALEI,,,,,,,,,,,,,,
OR,062232,#2,NAND DOM FIREPOWER,,,,,,,,,,,,,,
OR,062122,#2,NAND DOM GULF STREAM,,,,,,,,,,,,,,
OR,049472,#2,PIERIS J SHY (PPAF),,,,,,,,,,,,,,
OR,049475,#5,PIERIS J SHY (PPAF),,,,,,,,,,,,,,
OR,065322,#2,PIERIS J VARIEGATA,,,,,,,,,,,,,,
OR,065222,#2,PIERIS TAIWAN PRELUDE,,,,,,,,,,,,,,
OR,065225,#5,PIERIS TAIWAN PRELUDE,,,,,,,,,,,,,,
OR,065085,#5,PIERIS X FOREST FLAME,,,,,,,,,,,,,,
OR,070501,#1,SARCOCOCCA HUMILIS,,,,,,,,,,,,,,
OR,070502,#2,SARCOCOCCA HUMILIS,,,,,,,,,,,,,,
OR,036682,#2,SKIMMIA J BERRI MAGIC R,,,,,,,,,,,,,,
OR,071052,#2,SKIMMIA JAPONICA-FEMALE,,,,,,,,,,,,,,
OR,071062,#2,SKIMMIA JAPONICA-MALE,,,,,,,,,,,,,,
OR,071082,#2,SKIMMIA REEVESIANA,,,,,,,,,,,,,,
CA,066305,#5,TIBOUCHINA URVILLEANA,,,,,,,,,,,,,,
CA,066305PT,#5 PATIO TREE,TIBOUCHINA URVILLEANA,,,,,,,,,,,,,,
GA,083621,#1,FERN-ADIANTUM PEDATUM,,,,,,,,,,,,,,
GA,022061,#1,FERN-ATHYRIUM BURG LACE P15072,,,,,,,,,,,,,,
GA,019241,#1,FERN-ATHYRIUM F LADY IN RED,,,,,,,,,,,,,,
GA,018761,#1,FERN-ATHYRIUM GHOST,,,,,,,,,,,,,,
CA,018762,#2,FERN-ATHYRIUM GHOST,,,,,,,,,,,,,,
GA,036121,#1,FERN-ATHYRIUM NIP PICTUM,,,,,,,,,,,,,,
CA,036122,#2,FERN-ATHYRIUM NIP PICTUM,,,,,,,,,,,,,,
CA,022041,#1,FERN-ATHYRIUM REGAL RED,,,,,,,,,,,,,,
OR,028121,#1,FERN-BLECHNUM SPICANT,,,,,,,,,,,,,,
CA,028121,#1,FERN-BLECHNUM SPICANT,,,,,,,,,,,,,,
GA,021221,#1,FERN-DRYOPTERIS ERY BRILLIANCE,,,,,,,,,,,,,,
GA,036241,#1,FERN-DRYOPTERIS ERYTHROSORA,,,,,,,,,,,,,,
GA,036243,#3,FERN-DRYOPTERIS ERYTHROSORA,,,,,,,,,,,,,,
GA,005061,#1,FERN-DRYOPTERIS F UNDULATA ROB,,,,,,,,,,,,,,
GA,021231,#1,FERN-DRYOPTERIS X AUSTRALIS,,,,,,,,,,,,,,
GA,036451,#1,FERN-MATTEUCCIA STRUTHIOPTERIS,,,,,,,,,,,,,,
OR,036455,#5,FERN-MATTEUCCIA STRUTHIOPTERIS,,,,,,,,,,,,,,
GA,036411,#1,FERN-OSMUNDA CINNAMOMEA,,,,,,,,,,,,,,
GA,083711,#1,FERN-POLYSTICHUM ACROSTICHOIDS,,,,,,,,,,,,,,
OR,084911,#1,FERN-POLYSTICHUM MUNITUM,,,,,,,,,,,,,,
GA,083721,#1,FERN-POLYSTICHUM POLYBLEPHARUM,,,,,,,,,,,,,,
OR,036492,#2,FERN-POLYSTICHUM SET(ANGULARE),,,,,,,,,,,,,,
OR,005081,#1,FERN-POLYSTICHUM X DYCEI,,,,,,,,,,,,,,
OR,005082,#2,FERN-POLYSTICHUM X DYCEI,,,,,,,,,,,,,,
OR,025212,#2,BAM-FARGESIA RUFA (CLUMP),,,,,,,,,,,,,,
OR,025215,#5,BAM-FARGESIA RUFA (CLUMP),,,,,,,,,,,,,,
CA,001421,#1,GR-ACORUS GR OGON,,,,,,,,,,,,,,
GA,059031,#1,GR-ACORUS GRAMINEUS OBOROZUKI,,,,,,,,,,,,,,
OR,022591,#1,GR-CAREX ELATA BOWLES GOLDEN,,,,,,,,,,,,,,
OR,022601,#1,GR-CAREX MORROWII AUREA VAR,,,,,,,,,,,,,,
CA,022601,#1,GR-CAREX MORROWII AUREA VAR,,,,,,,,,,,,,,
OR,024091,#1,GR-CHASMANTHIUM LATIFOLIUM,,,,,,,,,,,,,,
CA,031942,#2,GR-ELYMUS ARENARIUS BLUE DUNE,,,,,,,,,,,,,,
GA,036671,#1,GR-FESTUCA GLAUCA ELIJAH BLUE,,,,,,,,,,,,,,
CA,061745,#5,GR-MIS SIN CABARET,,,,,,,,,,,,,,
CA,061565,#5,GR-MIS SIN GRACILLIMUS,,,,,,,,,,,,,,
CA,061665,#5,GR-MIS SIN MORNING LIGHT,,,,,,,,,,,,,,
CA,061555,#5,GR-MIS SIN STRICTUS,,,,,,,,,,,,,,
GA,061575,#5,GR-MIS SIN VARIEGATUS,,,,,,,,,,,,,,
CA,061645,#5,GR-MIS SIN YAKUSHIMA,,,,,,,,,,,,,,
CA,024675,#5,GR-MUHLEN CAP REGAL MIST R,,,,,,,,,,,,,,
OR,063885,#5,GR-PAN VIR SHENANDOAH,,,,,,,,,,,,,,
CA,064262,#2,GR-PENN ALO HAMELN,,,,,,,,,,,,,,
GA,063591,#1,GR-PENN ALO LITTLE BUNNY,,,,,,,,,,,,,,
GA,022201,#1,GR-PENN SET FIREWORKS PP18504,,,,,,,,,,,,,,
GA,022202,#2,GR-PENN SET FIREWORKS PP18504,,,,,,,,,,,,,,
GA,064271,#1,GR-PENN SET RUBRUM,,,,,,,,,,,,,,
CA,064275,#5,GR-PENN SET RUBRUM,,,,,,,,,,,,,,
CA,064275,#5,GR-PENN SET RUBRUM,,,,,,,,,,,,,,
GA,009671,#1,LIRIOPE MUSCARI BIG BLUE,,,,,,,,,,,,,,
GA,009791,#1,LIRIOPE MUSCARI VARIEGATA,,,,,,,,,,,,,,
GA,058921,#1,LIRIOPE SPICATA SILVER DRAGON,,,,,,,,,,,,,,
GA,001341,#1,ACHILLEA MILL PAPRIKA,,,,,,,,,,,,,,
GA,058251,#1,ACHILLEA STRWBRY SDCTN P18401,,,,,,,,,,,,,,
OR,080301,#1,AJUGA CHOCOLATE CHIP,,,,,,,,,,,,,,
GA,001931,#1,AJUGA REPTANS CATLIN'S GIANT,,,,,,,,,,,,,,
GA,045921,#1,AQUILEGIA CAE ORIGAMI PNK & WT,,,,,,,,,,,,,,
OR,055482,#2,ARALIA CORDATA GOTEMBA,,,,,,,,,,,,,,
OR,02912UT,LittleOne,ASARUM SPL QUICKSILVER,,,,,,,,,,,,,,
OR,003521,#1,ASTILBE CHINENSIS PUMILA,,,,,,,,,,,,,,
GA,003621,#1,ASTILBE CHINENSIS VISIONS,,,,,,,,,,,,,,
GA,003511,#1,ASTILBE DEUTSCHLAND,,,,,,,,,,,,,,
GA,001621,#1,ASTILBE GRANAT,,,,,,,,,,,,,,
GA,001631,#1,ASTILBE HENNIE GRAAFLAND,,,,,,,,,,,,,,
GA,003541,#1,ASTILBE RHEINLAND,,,,,,,,,,,,,,
GA,059151,#1,ASTILBE VISION IN PINK PP11860,,,,,,,,,,,,,,
GA,016341,#1,ASTILBE VISION IN RED PP11965,,,,,,,,,,,,,,
OR,050021,#1,BEESIA DELTOPHYLLA,,,,,,,,,,,,,,
CA,035381,#1,BRUNNERA MAC JACK FROST P13859,,,,,,,,,,,,,,
OR,013651,#1,BRUNNERA MAC VARIEGATA,,,,,,,,,,,,,,
GA,029212,#2,CANNA TROP BLACK TM PP21350,,,,,,,,,,,,,,
GA,029212,#2,CANNA TROP BLACK TM PP21350,,,,,,,,,,,,,,
GA,017412,#2,CANNA TROPICANNA GLD TM P13809,,,,,,,,,,,,,,
GA,022482,#2,CANNA TROPICANNA TM PP10569,,,,,,,,,,,,,,
CA,023481,#1,CERATOSTIGMA PLUMBAGINOIDES,,,,,,,,,,,,,,
OR,039512,#2,CIMI S BLACK NEGLIGEE (ACTAEA),,,,,,,,,,,,,,
OR,058261,#1,COREOPSIS VER ROUTE 66 PP20609,,,,,,,,,,,,,,
GA,027961,#1,COREOPSIS VERT MOONBEAM,,,,,,,,,,,,,,
GA,027971,#1,COREOPSIS VERT ZAGREB,,,,,,,,,,,,,,
OR,019472,#2,CROCOSMIA EMBERGLOW,,,,,,,,,,,,,,
GA,004591,#1,DELPHINIUM GRAND BLUE MIRROR,,,,,,,,,,,,,,
GA,044731,#1,DIANTHUS BAR HEART ATTACK,,,,,,,,,,,,,,
GA,059681,#1,DIANTHUS FIRE STAR PP14895,,,,,,,,,,,,,,
OR,067731,#1,DIANTHUS FIRST LOVE R,,,,,,,,,,,,,,
CA,067731,#1,DIANTHUS FIRST LOVE R,,,,,,,,,,,,,,
GA,031331,#1,DIANTHUS FROSTY FIRE,,,,,,,,,,,,,,
GA,004721,#1,DIANTHUS GRAT FIREWITCH,,,,,,,,,,,,,,
OR,035621,#1,DICENTRA SPEC GOLD HEART,,,,,,,,,,,,,,
GA,004871,#1,DIGITALIS PURPUREA FOXY,,,,,,,,,,,,,,
OR,021821,#1,DISPOROPSIS PER SICHUAN JADE,,,,,,,,,,,,,,
