Loc,Item,Size,Description,Botanical Name,Common Name,Product,Zone,Condition,Current Specs,Net Avail Qty,Min Order Qty,List Price,Sale Price,AVL Flag
OR,090681,#1 STAKED,CLEM ALP CONSTANCE,Clematis alpina 'Constance'                                 ,Constance Alpine Clematis                                   ,VIN,3,BREAKING DORMANCY,FULL STK,129,10,8.5,          , 
OR,090661,#1 STAKED,CLEM ALP PAMELA JACKMAN,Clematis alpina 'Pamela Jackman'                            ,Pamela Jackman Alpine Clematis                              ,VIN,3,BREAKING DORMANCY,FULL STK,150,10,8.5,          , 
OR,027155,#5 STAKED,CLEM ARMANDII,Clematis armandii                                           ,Evergreen Clematis                                          ,VIN,7,-,FULL STK,27,5,28,          , 
OR,027431,#1 STAKED,CLEM MONTANA FREDA,Clematis montana 'Freda'                                    ,Freda Anemone Clematis                                      ,VIN,6,DORMANT,FULL STK,42,10,8.5,          , 
OR,027435,#5 STAKED,CLEM MONTANA FREDA,Clematis montana 'Freda'                                    ,Freda Anemone Clematis                                      ,VIN,6,DORMANT,48''FULL STK,510,5,28,          , 
OR,027401,#1 STAKED,CLEM MONTANA RUBENS,Clematis montana rubens                                     ,Pink Anemone Clematis                                       ,VIN,6,DORMANT,FULL STK,2,10,8.5,          , 
OR,027472,#2 STAKED,CLEM PANICULATA,Clematis paniculata                                         ,Sweet Autumn Clematis                                       ,VIN,4,-,FULL STK,65,5,17,          , 
OR,021792,#2 STAKED,CLEM PIILU TM PPAF,Clematis x 'Little Duckling' P.P.A.F.                       ,Piilu™  Clematis,VIN,3,BREAKING DORMANCY,FULL STK,385,5,17,          , 
OR,021862,#2 STAKED,CLEM SAPPHIRE INDIGO TMPP17012,"Clematis 'Cleminov 51' P.P. # 17,012                        ",Sapphire Indigo™  Clematis,VIN,4,BREAKING DORMANCY,FULL STK,60,5,17.5,          , 
OR,021865,#5 STAKED,CLEM SAPPHIRE INDIGO TMPP17012,"Clematis 'Cleminov 51' P.P. # 17,012                        ",Sapphire Indigo™  Clematis,VIN,4,BREAKING DORMANCY,1/2 STK,828,5,28,          , 
OR,055211,#1 STAKED,CLEM SIEBOLDII,Clematis florida Seiboldii                                  ,Florida Seiboldii Clematis                                  ,VIN,6,BREAKING DORMANCY,FULL STK,99,10,8.5,          , 
OR,038001,#1 STAKED,CLEM TEX PRINCESS DIANA,Clematis texensis 'Princess Diana'                          ,Princess Diana Clematis                                     ,VIN,5,DORMANT,1/2 stk,27,10,8.5,          , 
OR,038005,#5 STAKED,CLEM TEX PRINCESS DIANA,Clematis texensis 'Princess Diana'                          ,Princess Diana Clematis                                     ,VIN,5,BREAKING DORMANCY,48'' FULL STK,31,5,28,          , 
OR,051485,#5 STAKED,CLEM VANCOUVER TM DANIELLE,Clematis x 'Danielle'                                       ,Vancouver™  Danielle Clematis,VIN,4,BREAKING DORMANCY,FULL STK,99,5,30,          , 
OR,048742,#2 STAKED,CLEM VANCOUVER TM STARRY NGHTS,Clematis x 'Starry Nights'                                  ,Vancouver™  Starry Nights Clematis,VIN,4,BREAKING DORMANCY,FULL STK,11,5,17,          , 
