Loc,Item,Description,Botanical Name,Common Name,,,,,,,,,,,,,,,,,
CT,000953MD,ACER PAL CRIMSON QUEEN,Acer palmatum var. dissectum 'Crimson Queen'                ,Crimson Queen Japanese Maple                                ,,,,,,,,,,,,,,,,,
CT,400363,ACER PAL FIREGLOW,Acer palmatum 'Fireglow'                                    ,Fireglow Japanese Maple                                     ,,,,,,,,,,,,,,,,,
CT,00099MMD,ACER PAL GARNET,Acer palmatum var. dissectum 'Garnet'                       ,Garnet Japanese Maple                                       ,,,,,,,,,,,,,,,,,
CT,400393MD,ACER PAL RED SELECT,Acer palmatum var. dissectum 'Red Select'                   ,Red Select Japanese Maple                                   ,,,,,,,,,,,,,,,,,
CT,400393ST,ACER PAL RED SELECT,Acer palmatum var. dissectum 'Red Select'                   ,Red Select Japanese Maple                                   ,,,,,,,,,,,,,,,,,
CT,400395MD,ACER PAL RED SELECT,Acer palmatum var. dissectum 'Red Select'                   ,Red Select Japanese Maple                                   ,,,,,,,,,,,,,,,,,
CT,40039MMD,ACER PAL RED SELECT,Acer palmatum var. dissectum 'Red Select'                   ,Red Select Japanese Maple                                   ,,,,,,,,,,,,,,,,,
CT,400433MD,ACER PAL VIRIDIS,Acer palmatum var. dissectum 'Viridis'                      ,Viridis Japanese Maple                                      ,,,,,,,,,,,,,,,,,
CT,400457,ACER RUB ARMSTRONG GOLD,Acer rubrum 'JFS-KW78' P.P.A.F.                             ,Armstrong Gold™  Maple,,,,,,,,,,,,,,,,,
CT,058241,ACHILLEA APRICOT DLGHT PP18738,"Achillea millefolium 'Apricot Delight' P.P.# 18,738         ",Tutti Frutti Apricot Delight Yarrow                         ,,,,,,,,,,,,,,,,,
CT,029061,ACHILLEA MILL RED VELVET,Achillea millefolium 'Red Velvet'                           ,Red Velvet Yarrow                                           ,,,,,,,,,,,,,,,,,
CT,001351,ACHILLEA X MOONSHINE,Achillea x 'Moonshine'                                      ,Moonshine Yarrow                                            ,,,,,,,,,,,,,,,,,
CT,400521,AGASTACHE HYB BLUE BOA PP24050,"Agastache x 'Blue Boa' P.P. #24,050                         ",Blue Boa Hummingbird Mint                                   ,,,,,,,,,,,,,,,,,
