Branch,item,Description
160000,030605,CUP AR BLUE PYRAMID
160000,047115,CUP GLABRA CHAPARRAL
160000,047105,CUP GLABRA SULPHUREA
160000,030521,CUP LEY CASTLEWELLAN
160000,030525,CUP LEY CASTLEWELLAN
160000,030511,CUP LEY EMERALD ISLE R
160000,030512,CUP LEY EMERALD ISLE R
160000,030512SP,CUP LEY EMERALD ISLE R
160000,030515,CUP LEY EMERALD ISLE R
160000,030515SP,CUP LEY EMERALD ISLE R
160000,030517,CUP LEY EMERALD ISLE R
160000,030517SP,CUP LEY EMERALD ISLE R
160000,030519,CUP LEY EMERALD ISLE R
160000,031645,CUP LEY GOLD RIDER
160000,031647,CUP LEY GOLD RIDER
160000,030505,CUP LEYLANDII
160000,030507,CUP LEYLANDII
160000,030509,CUP LEYLANDII
160000,047571,CUP MAC DONARD GOLD
160000,047572,CUP MAC DONARD GOLD
160000,047575,CUP MAC DONARD GOLD
160000,030701,CUP SEMP GLAUCA
160000,030705,CUP SEMP GLAUCA
160000,030707,CUP SEMP GLAUCA
160000,030709,CUP SEMP GLAUCA
160000,030751,CUP SEMP SWANE'S GOLDEN
160000,030752,CUP SEMP SWANE'S GOLDEN
160000,030755,CUP SEMP SWANE'S GOLDEN
160000,030755SP,CUP SEMP SWANE'S GOLDEN
160000,030757,CUP SEMP SWANE'S GOLDEN
160000,030731,CUP SEMP TINY TOWER R PP12933
160000,030732,CUP SEMP TINY TOWER R PP12933
160000,030735,CUP SEMP TINY TOWER R PP12933
160000,030737,CUP SEMP TINY TOWER R PP12933
160000,030739,CUP SEMP TINY TOWER R PP12933
160000,046873,JUN C BLUE POINT
160000,046875,JUN C BLUE POINT
160000,046877,JUN C BLUE POINT
160000,04687M,JUN C BLUE POINT
160000,046879,JUN C BLUE POINT
160000,047503,JUN C HETZII COLUMN
160000,047505,JUN C HETZII COLUMN
160000,047505P2,JUN C HETZII COLUMN
160000,047505P3,JUN C HETZII COLUMN
160000,047505SP,JUN C HETZII COLUMN
160000,047507,JUN C HETZII COLUMN
160000,047507P3,JUN C HETZII COLUMN
160000,047507SP,JUN C HETZII COLUMN
160000,04750MSP,JUN C HETZII COLUMN
160000,047509,JUN C HETZII COLUMN
160000,047509P3,JUN C HETZII COLUMN
160000,047509SP,JUN C HETZII COLUMN
160000,047305,JUN C SPARTAN
160000,047305P2,JUN C SPARTAN
160000,047305SP,JUN C SPARTAN
160000,047307,JUN C SPARTAN
160000,047307SP,JUN C SPARTAN
160000,04730M,JUN C SPARTAN
160000,04730MSP,JUN C SPARTAN
160000,047309,JUN C SPARTAN
160000,047309SD,JUN C SPARTAN
160000,047309SP,JUN C SPARTAN
160000,04730Z,JUN C SPARTAN
160000,048705,JUN C TORULOSA
160000,048705OP,JUN C TORULOSA
160000,048707,JUN C TORULOSA
160000,048707OP,JUN C TORULOSA
160000,048709,JUN C TORULOSA
160000,048709OP,JUN C TORULOSA
160000,404233,JUN COM GOLD CONE
160000,404235,JUN COM GOLD CONE
160000,09139M,JUN COMMUNIS ARNOLD
160000,052305,JUN SC COLOGREEN
160000,052307,JUN SC COLOGREEN
160000,052505,JUN SC GRAY GLEAM
160000,052507,JUN SC GRAY GLEAM
160000,052705,JUN SC MEDORA
160000,052705SP,JUN SC MEDORA
160000,052707,JUN SC MEDORA
160000,052709,JUN SC MEDORA
160000,05270Z,JUN SC MEDORA
160000,052755,JUN SC MOONGLOW
160000,052757,JUN SC MOONGLOW
160000,052759,JUN SC MOONGLOW
160000,404243,JUN SC SKY HIGH
160000,054001,JUN SC SKYROCKET
160000,054005,JUN SC SKYROCKET
160000,054007,JUN SC SKYROCKET
160000,054009,JUN SC SKYROCKET
160000,05400Z,JUN SC SKYROCKET
160000,053105PT,JUN SC TOLL BLU WEEPING
160000,053107PT,JUN SC TOLL BLU WEEPING
160000,053302,JUN SC WICHITA BLUE
160000,053303,JUN SC WICHITA BLUE
160000,053305,JUN SC WICHITA BLUE
160000,053307,JUN SC WICHITA BLUE
160000,05330M,JUN SC WICHITA BLUE
160000,053309,JUN SC WICHITA BLUE
160000,05330Z,JUN SC WICHITA BLUE
160000,053655,JUN V BLUE ARROW
160000,05365M,JUN V BLUE ARROW
160000,053659,JUN V BLUE ARROW
160000,05365Z,JUN V BLUE ARROW
160000,036845,JUN V TAYLOR
160000,03684M,JUN V TAYLOR
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
