Loc,Item,Plant Name,CAT,,,,,,,,,,,,,,,,,,,
170000,000172ST,ABUTILON ALBUS,EVS,,,,,,,,,,,,,,,,,,,
170000,000175ST,ABUTILON ALBUS,EVS,,,,,,,,,,,,,,,,,,,
170000,000152ST,ABUTILON LUTEUS,EVS,,,,,,,,,,,,,,,,,,,
170000,000155ST,ABUTILON LUTEUS,EVS,,,,,,,,,,,,,,,,,,,
170000,000131ST,ABUTILON ROSEUS,EVS,,,,,,,,,,,,,,,,,,,
170000,000132ST,ABUTILON ROSEUS,EVS,,,,,,,,,,,,,,,,,,,
170000,000135PT,ABUTILON ROSEUS,EVS,,,,,,,,,,,,,,,,,,,
170000,000135ST,ABUTILON ROSEUS,EVS,,,,,,,,,,,,,,,,,,,
170000,000202ST,ABUTILON SUPER RED R,EVS,,,,,,,,,,,,,,,,,,,
170000,000205PT,ABUTILON SUPER RED R,EVS,,,,,,,,,,,,,,,,,,,
170000,000205ST,ABUTILON SUPER RED R,EVS,,,,,,,,,,,,,,,,,,,
170000,098612ST,ABUTILON TIGER EYE,EVS,,,,,,,,,,,,,,,,,,,
170000,001411,ACTINIDIA CH VINCENT (FEMALE),VIN,,,,,,,,,,,,,,,,,,,
170000,001415,ACTINIDIA CH VINCENT (FEMALE),VIN,,,,,,,,,,,,,,,,,,,
170000,075041,AEONIUM ARBORESCENS TIP TOP TM,CAC,,,,,,,,,,,,,,,,,,,
170000,063581,AEONIUM KIWI,CAC,,,,,,,,,,,,,,,,,,,
170000,035282,AGAPANTHUS AFR SUN STRIPE R,EVS,,,,,,,,,,,,,,,,,,,
170000,001651,AGAPANTHUS AFRICANUS,EVS,,,,,,,,,,,,,,,,,,,
170000,001655,AGAPANTHUS AFRICANUS,EVS,,,,,,,,,,,,,,,,,,,
170000,099571,AGAPANTHUS BABY PETE TMPP21705,EVS,,,,,,,,,,,,,,,,,,,
170000,001732,AGAPANTHUS BLUE STORM PP14332,EVS,,,,,,,,,,,,,,,,,,,
170000,001751,AGAPANTHUS PETER PAN,EVS,,,,,,,,,,,,,,,,,,,
170000,001752,AGAPANTHUS PETER PAN,EVS,,,,,,,,,,,,,,,,,,,
170000,001801,AGAPANTHUS QUEEN ANNE-DIVISION,EVS,,,,,,,,,,,,,,,,,,,
170000,001805,AGAPANTHUS QUEEN ANNE-DIVISION,EVS,,,,,,,,,,,,,,,,,,,
170000,001912,AGAPANTHUS SNOWSTORM TM P12554,EVS,,,,,,,,,,,,,,,,,,,
170000,074725,AGAVE ATTENUATA RAY OF LIGHT,CAC,,,,,,,,,,,,,,,,,,,
170000,074122,AGAVE BRACTEOSA CALAMAR,CAC,,,,,,,,,,,,,,,,,,,
170000,064081,ALOE BLUE ELF,CAC,,,,,,,,,,,,,,,,,,,
170000,06408E,ALOE BLUE ELF,CAC,,,,,,,,,,,,,,,,,,,
170000,063801,ALOE DOROTHEAE,CAC,,,,,,,,,,,,,,,,,,,
170000,063802,ALOE DOROTHEAE,CAC,,,,,,,,,,,,,,,,,,,
170000,077801,ALOE HYBRID CARMINE TM,CAC,,,,,,,,,,,,,,,,,,,
170000,063791,ALOE HYBRID CHRISTMAS CAROL,CAC,,,,,,,,,,,,,,,,,,,
170000,077781,ALOE HYBRID GUIDO TM,CAC,,,,,,,,,,,,,,,,,,,
170000,077791,ALOE HYBRID SAL TM,CAC,,,,,,,,,,,,,,,,,,,
170000,079112,ALOE HYBRID SUPER RED R,CAC,,,,,,,,,,,,,,,,,,,
170000,410701,ALOE HYBRID TWILIGHT ZONE,CAC,,,,,,,,,,,,,,,,,,,
170000,047322,ALOE POLYPHYLLA,CAC,,,,,,,,,,,,,,,,,,,
170000,064221,ALOE RUDIKOPPE,CAC,,,,,,,,,,,,,,,,,,,
170000,002002,ALPINIA ZERUMBET VARIEGATA,PRN,,,,,,,,,,,,,,,,,,,
170000,002005,ALPINIA ZERUMBET VARIEGATA,PRN,,,,,,,,,,,,,,,,,,,
