Category,item,DESCRIPTION,
Camellias,014605,CAM (IA) J APRIL REMEMBERED,
Camellias,014985,CAM (IA) J SPRING'S PROMISE,
Camellias,020075,CAM (IA) X WINTER'S SNOWMAN,
Camellias,016101,CAM J BOB HOPE,
Camellias,016105,CAM J BOB HOPE,
Camellias,016381,CAM J CARTER'S SUNBURST,
Camellias,016385,CAM J CARTER'S SUNBURST,
Camellias,016495,CAM J CHANDLERI ELEGANS VAR,
Camellias,016711,CAM J COLONEL FIREY,
Camellias,016715,CAM J COLONEL FIREY,
Camellias,016717,CAM J COLONEL FIREY,
Camellias,017041,CAM J DEBUTANTE,
Camellias,017045,CAM J DEBUTANTE,
Camellias,017045ES,CAM J DEBUTANTE,
Camellias,017045PT,CAM J DEBUTANTE,
Camellias,017047,CAM J DEBUTANTE,
Camellias,017049,CAM J DEBUTANTE,
Camellias,017475,CAM J GLEN 40,
Camellias,015501,CAM J H.E.R.,
Camellias,015505,CAM J H.E.R.,
Camellias,017901,CAM J JORDAN'S PRIDE,
Camellias,017905,CAM J JORDAN'S PRIDE,
Camellias,017935,CAM J JORDAN'S PRIDE PINK,
Camellias,081405,CAM J JURY'S PEARL,
Camellias,018121,CAM J KRAMER'S SUPREME,
Camellias,018125,CAM J KRAMER'S SUPREME,
Camellias,018125ES,CAM J KRAMER'S SUPREME,
Camellias,018125PT,CAM J KRAMER'S SUPREME,
Camellias,018127,CAM J KRAMER'S SUPREME,
Camellias,018129,CAM J KRAMER'S SUPREME,
Camellias,018231,CAM J KUMASAKA,
Camellias,018235,CAM J KUMASAKA,
Camellias,018451,CAM J MAGNOLIAEFLORA,
Camellias,018455,CAM J MAGNOLIAEFLORA,
Camellias,018457,CAM J MAGNOLIAEFLORA,
Camellias,018459,CAM J MAGNOLIAEFLORA,
Camellias,018671,CAM J MATHOTIANA SUPREME,
Camellias,018675,CAM J MATHOTIANA SUPREME,
Camellias,018675PT,CAM J MATHOTIANA SUPREME,
Camellias,018677,CAM J MATHOTIANA SUPREME,
Camellias,018801,CAM J NUCCIO'S GEM,
Camellias,018802,CAM J NUCCIO'S GEM,
Camellias,018805,CAM J NUCCIO'S GEM,
Camellias,018805PT,CAM J NUCCIO'S GEM,
Camellias,018807,CAM J NUCCIO'S GEM,
Camellias,018809,CAM J NUCCIO'S GEM,
Camellias,018841,CAM J NUCCIO'S PEARL,
Camellias,018842,CAM J NUCCIO'S PEARL,
Camellias,018845,CAM J NUCCIO'S PEARL,
Camellias,018847,CAM J NUCCIO'S PEARL,
Camellias,018849,CAM J NUCCIO'S PEARL,
Camellias,018891,CAM J PEARL MAXWELL,
Camellias,018895,CAM J PEARL MAXWELL,
Camellias,018897,CAM J PEARL MAXWELL,
Camellias,019101,CAM J PINK PARADE,
Camellias,019105,CAM J PINK PARADE,
Camellias,019701,CAM J SILVER WAVES,
Camellias,019705,CAM J SILVER WAVES,
Camellias,019705ES,CAM J SILVER WAVES,
Camellias,019707,CAM J SILVER WAVES,
Camellias,019709,CAM J SILVER WAVES,
Camellias,019881,CAM J SWAN LAKE TM,
Camellias,019885,CAM J SWAN LAKE TM,
Camellias,019887,CAM J SWAN LAKE TM,
Camellias,020041,CAM J TOM KNUDSEN,
Camellias,020045,CAM J TOM KNUDSEN,
Camellias,017251,CAM NUCCIOS BELLA ROSSA P13023,
Camellias,017252,CAM NUCCIOS BELLA ROSSA P13023,
Camellias,017255,CAM NUCCIOS BELLA ROSSA P13023,
Camellias,021021,CAM S APPLE BLOSSOM,
Camellias,021025,CAM S APPLE BLOSSOM,
Camellias,021025ES,CAM S APPLE BLOSSOM,
Camellias,021025PT,CAM S APPLE BLOSSOM,
Camellias,021027,CAM S APPLE BLOSSOM,
Camellias,021029,CAM S APPLE BLOSSOM,
Camellias,021051,CAM S BONANZA,
Camellias,021055,CAM S BONANZA,
Camellias,021111,CAM S CHANSONETTE,
Camellias,021115,CAM S CHANSONETTE,
Camellias,021661,CAM S JEAN MAY,
Camellias,021665,CAM S JEAN MAY,
Camellias,021701,CAM S KANJIRO,
Camellias,021705,CAM S KANJIRO,
Camellias,021705ES,CAM S KANJIRO,
Camellias,021705PT,CAM S KANJIRO,
Camellias,021709,CAM S KANJIRO,
Camellias,015001ST,CAM S MARGE MILLER,
Camellias,015002,CAM S MARGE MILLER,
Camellias,015005,CAM S MARGE MILLER,
Camellias,015005PT,CAM S MARGE MILLER,
Camellias,015005ST,CAM S MARGE MILLER,
Camellias,022332,CAM S PINK-A-BOO R PP21687,
Camellias,022335,CAM S PINK-A-BOO R PP21687,
Camellias,021771,CAM S SETSUGEKKA,
Camellias,021775,CAM S SETSUGEKKA,
Camellias,021775ES,CAM S SETSUGEKKA,
Camellias,021775PT,CAM S SETSUGEKKA,
Camellias,021779,CAM S SETSUGEKKA,
Camellias,021991,CAM S SHISHI GASHIRA,
Camellias,021995,CAM S SHISHI GASHIRA,
Camellias,022101,CAM S SHOWA-NO-SAKAE,
Camellias,022105,CAM S SHOWA-NO-SAKAE,
Camellias,022211,CAM S WHITE DOVES,
Camellias,022215,CAM S WHITE DOVES,
Camellias,022321,CAM S YULETIDE,
Camellias,022322,CAM S YULETIDE,
Camellias,022322PT,CAM S YULETIDE,
Camellias,022325,CAM S YULETIDE,
Camellias,022325ES,CAM S YULETIDE,
Camellias,022327,CAM S YULETIDE,
Camellias,022329,CAM S YULETIDE,
Camellias,02232FPY,CAM S YULETIDE,
Camellias,014681,CAM X BUTTERMINT,
Camellias,014685,CAM X BUTTERMINT,
Camellias,014689,CAM X BUTTERMINT,
Camellias,014701,CAM X CORAL DELIGHT,
Camellias,014705,CAM X CORAL DELIGHT,
Camellias,014845,CAM X FAIRY BLUSH,
Camellias,014845ES,CAM X FAIRY BLUSH,
Camellias,015201,CAM X TAYLOR'S PERFECTION,
Camellias,015205,CAM X TAYLOR'S PERFECTION,
Camellias,015209,CAM X TAYLOR'S PERFECTION,
Camellias,051345,CAM YUN VAR PITARDII,
Citrus,024751,CITRUS BEARSS SEEDLESS LIME,
Citrus,024752,CITRUS BEARSS SEEDLESS LIME,
Citrus,024752PT,CITRUS BEARSS SEEDLESS LIME,
Citrus,024755,CITRUS BEARSS SEEDLESS LIME,
Citrus,024755PT,CITRUS BEARSS SEEDLESS LIME,
Citrus,026252,CITRUS CALAMONDIN ORANGE,
Citrus,026262,CITRUS CALAMONDIN VARIEGATA,
Citrus,026265,CITRUS CALAMONDIN VARIEGATA,
Citrus,02626EPT,CITRUS CALAMONDIN VARIEGATA,
Citrus,024792,CITRUS CAMPBELL VALENCIA,
Citrus,024792PT,CITRUS CAMPBELL VALENCIA,
Citrus,024795,CITRUS CAMPBELL VALENCIA,
Citrus,024795PT,CITRUS CAMPBELL VALENCIA,
Citrus,024735PT,CITRUS CARA CARA PINK NAVEL,
Citrus,024822PT,CITRUS CLEMENTINE,
Citrus,024825PT,CITRUS CLEMENTINE,
Citrus,024952PT,CITRUS DANCY TANGERINE,
Citrus,024955PT,CITRUS DANCY TANGERINE,
Citrus,024742,CITRUS DWF BEARSS SEEDLSS LIME,
Citrus,024745,CITRUS DWF BEARSS SEEDLSS LIME,
Citrus,024812,CITRUS DWF CAMPBELL VALENCIA,
Citrus,024815,CITRUS DWF CAMPBELL VALENCIA,
Citrus,025742,CITRUS DWF LISBON LEMON,
Citrus,025745,CITRUS DWF LISBON LEMON,
Citrus,024622,CITRUS DWF REDBLUSH GRAPEFRUIT,
Citrus,024625,CITRUS DWF REDBLUSH GRAPEFRUIT,
Citrus,026102,CITRUS DWF WASHINGTON NAVEL,
Citrus,026105,CITRUS DWF WASHINGTON NAVEL,
Citrus,025051,CITRUS EUREKA LEMON,
Citrus,025052,CITRUS EUREKA LEMON,
Citrus,025052PT,CITRUS EUREKA LEMON,
Citrus,025055,CITRUS EUREKA LEMON,
Citrus,025055PT,CITRUS EUREKA LEMON,
Citrus,043071,CITRUS HYSTRIX (KAFFIR LIME),
Citrus,026001,CITRUS IMPROVED MEYER LEMON,
Citrus,026002,CITRUS IMPROVED MEYER LEMON,
Citrus,026002PT,CITRUS IMPROVED MEYER LEMON,
Citrus,026005,CITRUS IMPROVED MEYER LEMON,
Citrus,026005PT,CITRUS IMPROVED MEYER LEMON,
Citrus,02600E,CITRUS IMPROVED MEYER LEMON,
Citrus,02600EPT,CITRUS IMPROVED MEYER LEMON,
Citrus,02600M,CITRUS IMPROVED MEYER LEMON,
Citrus,02600MPT,CITRUS IMPROVED MEYER LEMON,
Citrus,02600T,CITRUS IMPROVED MEYER LEMON,
Citrus,025602,CITRUS KUMQUAT NAGAMI,
Citrus,025602PT,CITRUS KUMQUAT NAGAMI,
Citrus,025605,CITRUS KUMQUAT NAGAMI,
Citrus,025605PT,CITRUS KUMQUAT NAGAMI,
Citrus,02560EPT,CITRUS KUMQUAT NAGAMI,
Citrus,025122,CITRUS LIMON EUREKA VAR PINK,
Citrus,025125,CITRUS LIMON EUREKA VAR PINK,
