Location,New Plant / Size,Item,Size,Plant Name,Common Name,CAT,Zone,2015 List Price,2015 NET PRICE,Casino Interior/Container,Casino Exterior,Early Spring,Mid Spring,Late Spring,Summer,ORDER QTY,QTY AVAIL NOW,"2ND 
QTY AVAIL","2ND 
QTY READY DATE",DESCRIPTION / NOTES
CA,    ,000101,#1,ABELIA EDWARD GOUCHER,Pink Abelia                                                 ,EVS,06,6.00,5.40,X,,,,,X,,177,     ,          ,
CA,    ,000171ST,#1 STAKED,ABUTILON ALBUS  (White),White Flowering Maple                                       ,EVS,09,8.00,7.20,X,,X,X,X,X,,38, 251 ,04/01/15  ,
CA,    ,000151ST,#1 STAKED,ABUTILON LUTEUS  (Yellow),Yellow Flowering Maple                                      ,EVS,09,8.00,7.20,X,,X,X,X,X,,37, 171 ,04/01/15  ,
CA,    ,000131ST,#1 STAKED,ABUTILON ROSEUS  (Pink),Pink Flowering Maple                                        ,EVS,09,8.00,7.20,X,,X,X,X,X,,110, 258 ,04/01/15  ,These new staked Chinese lanterns are beautiful; they flower all summer
CA,    ,000135ST,#5 STAKED,ABUTILON ROSEUS  (Pink),Pink Flowering Maple                                        ,EVS,09,26.50,23.85,X,,X,X,X,X,,, 85 ,04/01/15  ,
CA,    ,000201ST,#1 STAKED,ABUTILON SUPER RED® (Red),Super Red®  Flowering Maple,EVS,09,8.00,7.20,X,,X,X,X,X,,, 68 ,04/01/15  ,
CA,    ,098611ST,#1 STAKED,ABUTILON TIGER EYE,Tiger Eye Flowering Maple                                   ,EVS,09,8.00,7.20,X,,X,X,X,X,,73,     ,          ,Beautiful variegated leaf with orange blooms
OR,    ,00052M,#10 Squat,ACER JAPONICUM ACONITIFOLIUM,Fernleaf Full-Moon Maple                                    ,TRE,05,118.00,106.20,X,,,,X,,,, 62 ,05/01/15  ,
OR,    ,000655,#5,ACER PALMATUM,Japanese Maple                                              ,TRE,05,23.50,21.15,X,,,,X,,,, 143 ,05/01/15  ,
OR,    ,000755,#5,ACER PAL BLOODGOOD,Bloodgood Japanese Maple                                    ,TRE,05,58.00,52.20,X,,,,X,,,, 147 ,05/01/15  ,
OR,    ,000845,#5,ACER PAL EMPEROR I® ,Emperor I®  Japanese Maple,TRE,05,58.00,52.20,X,,,,X,,,, 400 ,05/01/15  ,
OR,    ,001025,#5,ACER PAL SANGOKAKU,Coral Bark Japanese Maple                                   ,TRE,05,58.00,52.20,X,,X,,,,,125, 125 ,05/01/15  ,
OR,,03033M,#10 Squat,ACER SHIR AUTUMN MOON,Autumn Moon Fullmoon Maple                                  ,TRE,05,118.00,106.20,X,,,,X,,,50, 162 ,05/15/15  ,"New growth yellow to burnt orange with underlying tones ranging from orange, salmon, and chartreuse. Fall colors from gold to red"
CA,    ,001651,#1,AGAPANTHUS AFRICANUS,Lily Of The Nile                                            ,EVS,08,5.50,4.95,X,X,,X,X,X,,938,     ,          ,"Large strapped foliage, large blue bloom"
