Branch,item,Description,Category,Shippable,"Open
Now","Rep
Allocation","Rep
Orders","Now Available
For Rep",Price,Code,Future
160000,001882,ROSA DRIFT R APRICOT PP23354,VIN,3,81,0,0,81,$8.50 ,,6/26/2015
160000,407622S,ROSA DRIFT R APRICOT PP23354,VIN,3,81,0,0,81,$8.50 ,,6/27/2015
160000,401292S,ROSA DRIFT R CORAL PP19148,VIN,3,81,0,0,81,$8.50 ,,6/28/2015
160000,013783,ROSA DRIFT R CORAL PP19148,VIN,3,81,0,0,81,$8.50 ,,6/29/2015
160000,013563,ROSA DRIFT R PEACH PP18542,VIN,3,81,0,0,81,$8.50 ,,6/30/2015
160000,029212,ROSA DRIFT R PEACH PP18542,VIN,3,81,0,0,81,$8.50 ,,7/1/2015
160000,017412,ROSA DRIFT R PINK PP18874,VIN,3,81,0,0,81,$8.50 ,,7/2/2015
160000,022482,ROSA DRIFT R PINK PP18874,VIN,3,81,0,0,81,$8.50 ,,7/3/2015
160000,036725,ROSA DRIFT R POPCORN PPAF,VIN,3,81,0,0,81,$8.50 ,,7/4/2015
160000,037701,ROSA DRIFT R POPCORN PPAF,VIN,3,81,0,0,81,$8.50 ,,7/5/2015
160000,037562,ROSA DRIFT R RED PP17877,VIN,3,81,0,0,81,$8.50 ,,7/6/2015
160000,097091,ROSA DRIFT R RED PP17877,VIN,3,81,0,0,81,$8.50 ,,7/7/2015
160000,047531,ROSA DRIFT R SWEET PP21612,VIN,3,81,0,0,81,$8.50 ,,7/8/2015
160000,045721,ROSA DRIFT R WHITE,VIN,3,81,0,0,81,$8.50 ,,7/9/2015
160000,041861,ROSA FLWR CAR R AMBER PPAF,VIN,3,81,0,0,81,$8.50 ,,7/10/2015
160000,041881,ROSA FLWR CAR R PNK SUP P16276,VIN,3,81,0,0,81,$8.50 ,,7/11/2015
160000,083971,ROSA FLWR CAR R RED P11308,VIN,3,81,0,0,81,$8.50 ,,7/12/2015
160000,092755,ROSA FLWR CAR R SCARLET P17373,VIN,3,81,0,0,81,$8.50 ,,7/13/2015
160000,074585,ROSA FRNCIS MEILLAND TM P19970,VIN,3,81,0,0,81,$8.50 ,,7/14/2015
160000,045309,ROSA GOLDSTRUCK,VIN,3,81,0,0,81,$8.50 ,,7/15/2015
160000,046877,ROSA ICECAP MEIRADENA PPTBS,VIN,3,81,0,0,81,$8.50 ,,7/16/2015
160000,047507,ROSA KNCK OUT R DBL PNK P18507,VIN,3,81,0,0,81,$8.50 ,,7/17/2015
160000,054709BH,ROSA KNCK OUT R DBL RD P16202,VIN,3,81,0,0,81,$8.50 ,,7/18/2015
160000,008869BH,ROSA KNCK OUT R DBL RD P16202,VIN,3,81,0,0,81,$8.50 ,,7/19/2015
160000,008899,ROSA KNCK OUT R P11836 (RED),VIN,3,81,0,0,81,$8.50 ,,7/20/2015
160000,008999,ROSA KNCK OUT R P11836 (RED),VIN,3,81,0,0,81,$8.50 ,,7/21/2015
160000,009039,ROSA KNCK OUT R P15070 (PINK),VIN,3,81,0,0,81,$8.50 ,,7/22/2015
160000,056359BH,ROSA KNCK OUT R SUNNY P18562,VIN,3,81,0,0,81,$8.50 ,,7/23/2015
160000,058995,ROSA KNCK OUT R SUNNY P18562,VIN,3,81,0,0,81,$8.50 ,,7/24/2015
160000,037425,ROSA PEACHY KEEN PPAF,VIN,3,81,0,0,81,$8.50 ,,7/25/2015
160000,06043X,ROSA RASPBERRY RUGOSTAR R PPAF,VIN,3,81,0,0,81,$8.50 ,,7/26/2015
160000,062123,ROSA RUGOSA ALBA,VIN,3,81,0,0,81,$8.50 ,,7/27/2015
160000,079382,ROSA RUGOSA PINK,VIN,3,81,0,0,81,$8.50 ,,7/28/2015
160000,406717,ROSA TAHITIAN TREASURE TM,VIN,3,81,0,0,81,$8.50 ,,7/29/2015
160000,056232,ROSA TEQUILA GOLD TM PP18657,VIN,3,81,0,0,81,$8.50 ,,7/30/2015
160000,021742,ROSA WHITE OUT TM PP20273,VIN,3,81,0,0,81,$8.50 ,,7/31/2015
160000,076815,ROSA-CL BRITE EYES TM PP17391,VIN,3,81,0,0,81,$8.50 ,,8/1/2015
