Branch,item,Description,Category,Shippable,"Open
Now","Rep
Allocation","Rep
Orders","Now Available
For Rep", Price ,Code,Future
,58251,ACHILLEA STRWBRY SDCTN P18401,PRN,10,10,10,10,10,$12.00 ,,5/1/2014
,1351,ACHILLEA X MOONSHINE,PRN,10,10,10,10,10,$12.00 ,,5/1/2014
,29351,AQUILEGIA CAE ORIGAMI MIX,PRN,10,10,10,10,10,$12.00 ,,5/1/2014
,3041,ARMERIA MAR BLOODSTONE,PRN,20,20,20,20,20,$12.00 ,,5/1/2014
,1011,ARTEMISIA SCHM SILVER MOUND,PRN,10,10,10,10,10,$12.00 ,,5/1/2014
,59151,ASTILBE VISION IN PINK PP11860,PRN,10,10,10,10,10,$12.00 ,,5/1/2014
,16341,ASTILBE VISION IN RED PP11965,PRN,10,10,10,10,10,$12.00 ,,5/1/2014
,17601,ASTILBE VISION IN WHITE P18965,PRN,10,10,10,10,10,$12.00 ,,5/1/2014
,8152,AZALEA KR HINO CRIMSON,RHO,10,10,10,10,10,$37.00 ,,5/1/2014
,12033,BER GOLDN NUGGET TM P9577 CBR,DCS,10,10,10,10,10,$49.00 ,,5/1/2014
,12212,BER T ROYAL BURGUNDY R P9461,DCS,5,5,5,5,5,$38.00 ,,5/1/2014
,074412S,BUD LO&BEHLD R BLU CHP PP19991,DCS,10,10,10,10,10,$41.00 ,,5/1/2014
,13783,BUDDLEJA DAV BLACK KNIGHT,DCS,10,10,10,10,10,$43.00 ,,5/1/2014
,077392S,BUDDLEJA MISS MOLLY PPAF,DCS,5,5,5,5,5,$41.00 ,,5/1/2014
,013825CN,BUXUS GREEN MOUNTAIN,EVS,10,10,10,10,10,$99.00 ,,5/1/2014
,13895,BUXUS GREEN VELVET,EVS,10,10,10,10,10,$61.00 ,,5/1/2014
,13895,BUXUS GREEN VELVET,EVS,20,20,20,20,20,$61.00 ,,5/1/2014
,13832,BUXUS MIC WINTER GEM,EVS,10,10,10,10,10,$36.00 ,,5/1/2014
,13835,BUXUS MIC WINTER GEM,EVS,15,15,15,15,15,$55.00 ,,5/1/2014
,22351,CAMPANULA CAR DEEP BLUE CLIPS,PRN,10,10,10,10,10,$12.00 ,,5/1/2014
,23021,CHRYS (LEUCANTH) X SUP BECKY,PRN,10,10,10,10,10,$12.00 ,,5/1/2014
,21862,CLEM SAPPHIRE INDIGO TMPP17012,VIN,5,5,5,5,5,$43.00 ,,5/1/2014
,68081,CORE BIGBANG TM RDSHFT PP20412,PRN,10,10,10,10,10,$13.00 ,,5/1/2014
,27865,CORNUS ALBA IVORYHALO TM,DCS,9,9,9,9,9,$55.00 ,,5/1/2014
,4591,DELPHINIUM GRAND BLUE MIRROR,PRN,10,10,10,10,10,$12.00 ,,5/1/2014
,31331,DIANTHUS FROSTY FIRE,PRN,3,3,3,3,3,$12.00 ,,5/1/2014
