Branch,item,Description,Category,Shippable,"Open
Now","Rep
Allocation","Rep
Orders","Now Available
For Rep",Price,Code,Future
160000,000955,ACER PAL CRIMSON QUEEN,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
450000,035232,BER T GOLDEN RUBY R PP16203,EVS,39,4,0,0,4,$18.50 ,,
450000,074412S,BUD LO&BEHLD R BLU CHP PP19991,EVS,660,42,0,0,42,$8.50 ,,
170000,013825CN,BUXUS GREEN MOUNTAIN,,,,,,,,,
160000,013892,BUXUS GREEN VELVET,,,,,,,,,
170000,013835CN,BUXUS MIC WINTER GEM,,,,,,,,,
160000,034501,EUO F MOONSHADOW,,,,,,,,,
450000,023081,GERANIUM ROZANNE PP12175,,,,,,,,,
160000,038355,GINKGO BIL AUTUMN GOLD,,,,,,,,,
160000,033975,GINKGO BIL JADE BUTTERFLIES,,,,,,,,,
160000,038681,GR-HAKONECHLOA MACRA AUREOLA,,,,,,,,,
160000,047531,HEUCHERA GEORGIA PEACH PP19375,,,,,,,,,
170000,047541,HEUCHERA PEACH FLAMBEE PP17195,,,,,,,,,
170000,034712,HIB MOS DAVE FLEMING PP21392,,,,,,,,,
170000,036322,HIB MOS STARDUST PP21479,,,,,,,,,
170000,034732,HIB MOS STRWBRY SWIRL PP21542,,,,,,,,,
550000,068241S,HOSTA EMPRESS WU PP20774,,,,,,,,,
550000,403763,HYD M NXT GEN PISTACHIO PPAF,,,,,,,,,
450000,028223,HYD MAC WEDDING GOWN PP21052,,,,,,,,,
550000,080952S,HYD PAN BOBO R PP22782,,,,,,,,,
450000,024373S,HYD PAN LIMELIGHT PP12874,,,,,,,,,
450000,403997PT,HYD PAN PHANTOM,,,,,,,,,
550000,042445PT,HYD PAN PINK DIAMOND,,,,,,,,,
450000,074607PT,HYD PAN QUICK FIRE R PP16812,,,,,,,,,
450000,048163,HYD QUER RUBY SLIPPERS,,,,,,,,,
550000,080962S,HYD SER TUFF STUFF TM PPAF,,,,,,,,,
450000,014883,ILEX X EMERALD MAGIC PP12314,,,,,,,,,
160000,045352,ILEX X LITTLE RASCAL R P9999,,,,,,,,,
160000,021092,ILEX X SCALLYWAG TM PP21941,,,,,,,,,
550000,060439,MAG G BRACKENS BROWN BEAUTY,,,,,,,,,
160000,059597TR,MAG X FELIX JURY PPAF,,,,,,,,,
160000,047251,MUKDENIA ROS CRIMSON FANS,,,,,,,,,
550000,062231,NAND DOM FIREPOWER,,,,,,,,,
160000,039085,PAEONIA ITOH BARTZELLA (YLW),,,,,,,,,
160000,047075,PAEONIA ITOH YUMI TM (YLW),,,,,,,,,
160000,064562,PICEA ABIES NIDIFORMIS,,,,,,,,,
160000,064692,PICEA PUN GLOBOSA,,,,,,,,,
160000,049632,PINUS MUGO SHERWOOD COMPACT,,,,,,,,,
160000,067152,PRUNUS LAUR OTTO LUYKEN,,,,,,,,,
450000,405547,"PRUNUS SUBHIRTELLA PENDULA 36""",,,,,,,,,
160000,020792S,RHAMNUS FRA FINELINE R PP14791,,,,,,,,,
450000,009803,RHOD (H-1) P.J.M.,,,,,,,,,
450000,098553SPT,ROSA DRIFT R CORAL PP19148,,,,,,,,,
