Branch,item,Description,Category,Shippable,"Open
Now","Rep
Allocation","Rep
Orders","Now Available
For Rep",Price,Code,Future
160000,755,ACER PAL BLOODGOOD,TRE,,,,,,,,5/1/2014
160000,49585,ACER PSEUDO ESKIMO SUNSET,TRE,,,,,,,,
160000,30335,ACER SHIR AUTUMN MOON,TRE,,,,,,,,
160000,412511,AGASTACHE KUDOS CORAL PPAF,PRN,,,,,,,,
160000,408331,AGASTACHE LITTLE ADDER PPAF,PRN,,,,,,,,
450000,400561,ALLIUM HYB MILLENNIUM,PRN,,,,,,,,
160000,00304UT,ARMERIA MAR BLOODSTONE,PRN,,,,,,,,
160000,00269UT,ARMERIA MAR COTTON TAIL,PRN,,,,,,,,
450000,35381,BRUNNERA MAC JACK FROST P13859,PRN,,,,,,,,
450000,401252,BUD FLTBY PTE R BL HEVN P22069,DCS,,,,,,,,
550000,13561,BUDDLEJA DAV ROYAL RED,DCS,,,,,,,,
450000,78721,CORE BIGBANG TM CSMC EY P22601,PRN,,,,,,,,
450000,88891,CORE BIGBANG TM MRCRY RSNG PAF,PRN,,,,,,,,
450000,68081,CORE BIGBANG TM RDSHFT PP20412,PRN,,,,,,,,
160000,31532,DAPHNE BURK CAROL MACKIE,EVS,,,,,,,,
450000,402243S,DEUTZIA YUKI SNOWFLAKE TM PPAF,DCS,,,,,,,,
160000,31331,DIANTHUS FROSTY FIRE,PRN,,,,,,,,
450000,31331,DIANTHUS FROSTY FIRE,PRN,,,,,,,,
550000,94501,DIANTHUS RASP SURPRISE PP16029,PRN,,,,,,,,
450000,402301,DICENTRA IVORY HEARTS P15599,PRN,,,,,,,,
450000,4901,DICENTRA SP VALENTINE R P22739,PRN,,,,,,,,
550000,18761,FERN-ATHYRIUM GHOST,FRN,,,,,,,,
160000,86711,GAURA L PINK LADY PP17494,PRN,,,,,,,,
450000,086313S,HYD MAC LD R RHYTHMIC BLUE PAF,DCS,,,,,,,,
450000,28481,LAVANDULA THUMBELINA LE P15231,PRN,,,,,,,,
160000,06040M,MAG STELLATA ROYAL STAR,DCS,,,,,,,,
160000,060197TR,MAG X YELLOW BIRD,TRE,,,,,,,,
160000,47251,MUKDENIA ROS CRIMSON FANS,PRN,,,,,,,,
160000,409001,PENST ROCK CANDY TM PINK PPAF,PRN,,,,,,,,
550000,66811,PENSTEMON X PRETTY PETTICOAT,PRN,,,,,,,,
450000,029943S,PHYSOCARPUS SUMR WINE R P14821,DCS,,,,,,,,
160000,66985,PRUNUS X YEDOENSIS AKEBONO,TRE,,,,,,,,
160000,69255,QUERCUS RUBRA,TRE,,,,,,,,
450000,4082,SAMBUCUS N BLACK TOWER TM PPAF,DCS,,,,,,,,
160000,17571,WEIGELA MAGICAL R FNTSY P13567,DCS,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
