Branch,item
160000,035282
160000,002005
160000,066382
160000,003151
160000,090122BH
160000,013051
160000,029211
160000,017412
160000,022481
160000,027605
160000,051351
160000,082751
160000,082761
160000,090451
160000,084531
160000,031732
160000,075252
160000,027855
160000,031725
160000,038825
160000,054781
160000,017421
160000,030445
160000,090462
160000,089392
160000,047575
160000,030739
160000,083041
160000,030121
160000,083001
160000,033711
160000,031651
160000,062009
160000,032565BH
160000,035565
160000,035575
160000,037671
160000,037801
160000,037805PT
160000,037805ST
160000,037941
160000,411531
160000,410441
160000,410471
160000,410451
160000,410461
160000,064275
160000,033205
160000,040001
160000,040805
160000,040875
160000,040905
160000,055245
160000,040985
160000,041035
160000,025205
160000,041155
160000,017375
160000,041205
160000,041255
160000,055255
160000,041305
160000,091425
160000,041501
160000,041595
160000,055315
160000,046665
160000,054675
160000,057051
160000,057151
160000,057201
160000,024462
160000,059195
160000,061205
160000,085805
160000,061215
160000,061195
160000,061245
160000,037002
160000,072651
160000,045012BH
160000,092382
160000,057085
160000,061235
160000,057065
160000,05709P72
160000,057072BH
160000,072642BH
160000,061295
160000,016605
160000,061945
160000,010555
160000,092715
160000,063651
160000,063757
160000,063772
160000,063815
160000,023435
160000,06360Z
160000,064105
160000,077665
160000,064155
160000,033725
160000,064135
160000,064015
160000,065042
160000,096451
160000,412732
160000,064741
160000,412742
160000,024322
160000,065172
160000,066375
160000,086559
160000,07030MT
160000,070961
160000,071755
160000,047914P
160000,022142
160000,073141
160000,013055PT
160000,035572PT
160000,035575PT
160000,037675PT
160000,040805PT
160000,040905PT
160000,040985PT
160000,025205PT
160000,041155PT
160000,041205PT
160000,041255PT
160000,060615PT
160000,041305PT
160000,060585PT
160000,091425PT
160000,041595PT
160000,046665PT
160000,054675PT
160000,057052ST
160000,057055PT
160000,057105PT
160000,057155PT
160000,057205PT
160000,024465PT
160000,059195PT
160000,066375PT
160000,070965PT
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
"? 2007,2009 Monrovia Nursery Company. This information may represent Trade Secret information and may not be distributed without permission.",
