Branch ,Item ,Size,Plant Availability,,,,,,For: 4/29/16,,,,,,,,,,,,
,,,Rep#:  600201   ,,,,,, 6:51:12  ,,,,,,,,,,,,
,,,House Accounts-East                     ,,,,,,,,,,,,,,,,,,
OPRPJ026R ,,,                      ,,,,,,,PS1;Plants that are prime condition.,,,,,,,,,,,
,,Landscape Ready:*Excluded,,,,,,,,PS2:Plants in prime condition for at least 2 more weeks.,,,,,,,,,,,
,,                  ,,,,,,,,"PS3:Plants are past blooming, but still saleable.",,,,,,,,,,,
,,,,,,,,,,*:Denotes perennials that bloom once per year.,,,,,,,,,,,
Loc,Item,Size,Description,Botanical Name,Common Name,Product,Zone,Condition,Current Specs,Plant Status,Qty Open,Qty Alloc Rem Thru 06/30/16,Net Avail Qty,Min Order Qty,List Price,UPC#,Sale Price,AVL Flag,,,
OR,021565,#5,ABIES HORSTMANN'S SILBERLOCKE,Abies koreana 'Horstmann's Silberlocke'                     ,Horstmann's Silberlocke Korean Fir                          ,CON,05,-,"27""H - 14""S",, 5 ,     , 5 , 5 , 48.25 ,014949040553,          , ,,,
OR,000445,#5,ACER GRISEUM,Acer griseum                                                ,Paperbark Maple                                             ,TRE,05,-,"58""H",, 5 ,     , 5 , 5 , 36.75 ,014949004456,          , ,,,
OR,000525,#5,ACER JAPONICUM ACONITIFOLIUM,Acer japonicum 'Aconitifolium'                              ,Fernleaf Full-Moon Maple                                    ,TRE,05,-,"42""H",, 4 ,     , 4 , 5 , 61.00 ,014949005255,          ,I,,,
OR,00052M,#10 Squat,ACER JAPONICUM ACONITIFOLIUM,Acer japonicum 'Aconitifolium'                              ,Fernleaf Full-Moon Maple                                    ,TRE,05,-,"56""H - 24""S",, 1 ,     , 1 , 2 , 124.00 ,014949005286,          , ,,,
OR,030355,#5,ACER PAL AOYAGI,Acer palmatum 'Aoyagi'                                      ,Aoyagi Japanese Maple                                       ,TRE,05,-,"48""H",, 77 ,     , 77 , 5 , 61.00 ,014949216248,          , ,,,
OR,001075,#5,ACER PAL ATROLINEARE,Acer palmatum 'Atrolineare'                                 ,Ribbon-Leaf Japanese Maple                                  ,TRE,05,-,"39""H",, 101 ,     , 101 , 5 , 61.00 ,014949350577,          , ,,,
OR,00107M,#10 Squat,ACER PAL ATROLINEARE,Acer palmatum 'Atrolineare'                                 ,Ribbon-Leaf Japanese Maple                                  ,TRE,05,-,"40""H",, 1 ,     , 1 , 2 , 124.00 ,014949372388,          , ,,,
OR,000702,#2,ACER PAL ATROPURPUREUM-S.,Acer palmatum 'Atropurpureum'                               ,Red-Leaf Japanese Maple                                     ,TRE,05,-,"20""H",, 74 ,     , 74 , 5 , 20.00 ,014949007020,          , ,,,
OR,000705,#5,ACER PAL ATROPURPUREUM-S.,Acer palmatum 'Atropurpureum'                               ,Red-Leaf Japanese Maple                                     ,TRE,05,-,"30""H",, 16 ,     , 16 , 5 , 30.50 ,014949007051,          , ,,,
OR,000705MU,#5 CLUMP,ACER PAL ATROPURPUREUM-S.,Acer palmatum 'Atropurpureum'                               ,Red-Leaf Japanese Maple                                     ,TRE,05,-,,, 298 ,     , 298 , 5 , 30.50 ,014949416600,          , ,,,
OR,000802,#2,ACER PAL BURGUNDY LACE,Acer palmatum var. atropurpureum 'Burgundy Lace'            ,Burgundy Lace Japanese Maple                                ,TRE,05,-,"24""H",, 549 ,     , 549 , 5 , 39.75 ,014949008027,          ,I,,,
OR,000805,#5,ACER PAL BURGUNDY LACE,Acer palmatum var. atropurpureum 'Burgundy Lace'            ,Burgundy Lace Japanese Maple                                ,TRE,05,-,"36""H",, 111 ,     , 111 , 5 , 61.00 ,014949008058,          , ,,,
OR,000952ST,#2 STAKED,ACER PAL CRIMSON QUEEN,Acer palmatum var. dissectum 'Crimson Queen'                ,Crimson Queen Japanese Maple                                ,TRE,05,-,"24""H - 12""S",, 76 ,     , 76 , 5 , 39.75 ,014949009529,          ,I,,,
OR,000955ST,#5 STAKED,ACER PAL CRIMSON QUEEN,Acer palmatum var. dissectum 'Crimson Queen'                ,Crimson Queen Japanese Maple                                ,TRE,05,-,"36""H - 12""S",, 295 ,     , 295 , 5 , 61.00 ,014949009550,          , ,,,
OR,000842,#2,ACER PAL EMPEROR I R,Acer palmatum 'Wolff'                                       ,Emperor I®  Japanese Maple,TRE,05,-,"30""H",, 321 ,     , 321 , 5 , 39.75 ,014949008423,          , ,,,
OR,000845,#5,ACER PAL EMPEROR I R,Acer palmatum 'Wolff'                                       ,Emperor I®  Japanese Maple,TRE,05,-,"45""H",, 347 ,     , 347 , 5 , 61.00 ,014949008454,          ,I,,,
OR,033215,#5,ACER PAL KAGIRI NISHIKI,Acer palmatum 'Kagiri Nishiki'                              ,Kagiri Nishiki Japanese Maple                               ,TRE,05,-,"48""H",, 31 ,     , 31 , 5 , 61.00 ,014949071212,          , ,,,
OR,03321M,#10 Squat,ACER PAL KAGIRI NISHIKI,Acer palmatum 'Kagiri Nishiki'                              ,Kagiri Nishiki Japanese Maple                               ,TRE,05,-,"54""H",, 26 ,     , 26 , 2 , 124.00 ,014949317624,          , ,,,
OR,018345,#5,ACER PAL OSAKAZUKI,Acer palmatum 'Osakazuki'                                   ,Osakazuki Japanese Maple                                    ,TRE,05,-,"44""H - 15""S",, 231 ,     , 231 , 5 , 61.00 ,014949007761,          , ,,,
OR,001055,#5,ACER PAL OSHIO BENI,Acer palmatum 'Oshio-Beni'                                  ,Oshio-Beni Japanese Maple                                   ,TRE,05,-,"39""H",, 59 ,     , 59 , 5 , 61.00 ,014949010556,          , ,,,
OR,010392ST,#2 STAKED,ACER PAL RED DRAGON,Acer palmatum dissectum 'Red Dragon'                        ,Red Dragon Japanese Maple                                   ,TRE,05,-,"22""H - 12""S",, 53 ,     , 53 , 5 , 39.75 ,014949317631,          ,I,,,
OR,010395ST,#5 STAKED,ACER PAL RED DRAGON,Acer palmatum dissectum 'Red Dragon'                        ,Red Dragon Japanese Maple                                   ,TRE,05,-,"30""H - 12""S",, 78 ,     , 78 , 5 , 61.00 ,014949273999,          ,I,,,
OR,001025,#5,ACER PAL SANGOKAKU,Acer palmatum 'Sangokaku'                                   ,Coral Bark Japanese Maple                                   ,TRE,05,-,"40""H",, 19 ,     , 19 , 5 , 61.00 ,014949010259,          ,I,,,
OR,031822,#2,ACER PAL SHIN DESHOJO,Acer palmatum 'Deshojo'                                     ,Deshojo Japanese Maple                                      ,TRE,05,-,,, 52 ,     , 52 , 5 , 39.75 ,014949437452,          , ,,,
OR,031825,#5,ACER PAL SHIN DESHOJO,Acer palmatum 'Deshojo'                                     ,Deshojo Japanese Maple                                      ,TRE,05,-,"40""H",, 2 ,     , 2 , 5 , 61.00 ,014949317655,          ,I,,,
OR,03182M,#10 Squat,ACER PAL SHIN DESHOJO,Acer palmatum 'Deshojo'                                     ,Deshojo Japanese Maple                                      ,TRE,05,-,"54""H",, 46 ,     , 46 , 2 , 124.00 ,014949305645,          , ,,,
OR,018335,#5,ACER PAL SHISHIGASHIRA,Acer palmatum 'Shishigashira'                               ,Shishigashira Japanese Maple                                ,TRE,05,-,"30""H - 18''S",, 54 ,     , 54 , 5 , 61.00 ,014949007730,          , ,,,
OR,033965,#5,ACER PAL TROMPENBURG,Acer palmatum 'Trompenburg'                                 ,Trompenburg Japanese Maple                                  ,TRE,05,-,"42""H",, 111 ,     , 111 , 5 , 61.00 ,014949224038,          ,I,,,
OR,03396M,#10 Squat,ACER PAL TROMPENBURG,Acer palmatum 'Trompenburg'                                 ,Trompenburg Japanese Maple                                  ,TRE,05,-,"58""H",, 3 ,     , 3 , 2 , 124.00 ,014949276938,          , ,,,
OR,000902ST,#2 STAKED,ACER PAL WATERFALL,Acer palmatum 'Waterfall'                                   ,Waterfall Japanese Maple                                    ,TRE,05,-,"24""H - 12""S",, 518 ,     , 518 , 5 , 39.75 ,014949009024,          , ,,,
OR,000905ST,#5 STAKED,ACER PAL WATERFALL,Acer palmatum 'Waterfall'                                   ,Waterfall Japanese Maple                                    ,TRE,05,-,"36""H - 24""S",, 41 ,     , 41 , 5 , 61.00 ,014949009055,          ,I,,,
OR,000655,#5,ACER PALMATUM,Acer palmatum                                               ,Japanese Maple                                              ,TRE,05,-,"40""H",, 75 ,     , 75 , 5 , 24.75 ,014949006559,          ,I,,,
OR,000655MU,#5 CLUMP,ACER PALMATUM,Acer palmatum                                               ,Japanese Maple                                              ,TRE,05,-,"36""H",, 169 ,     , 169 , 5 , 31.00 ,014949006757,          , ,,,
OR,060205,#5,ACER PSEUDOSIEBOLDIANUM,Acer pseudosieboldianum                                     ,Korean Maple                                                ,TRE,04,-,"36""H",, 134 ,     , 134 , 5 , 27.75 ,014949369456,          , ,,,
OR,001275,#5,ACER RUB RED SUNSET R,Acer rubrum 'Franksred'                                     ,Red Sunset®  Red Maple,TRE,03,-,"72""H",, 5 ,     , 5 , 5 , 36.75 ,014949012758,          , ,,,
OR,030332,#2,ACER SHIR AUTUMN MOON,Acer shirasawanum 'Autumn Moon'                             ,Autumn Moon Fullmoon Maple                                  ,TRE,05,-,"20""H",, 248 ,     , 248 , 5 , 39.75 ,014949345801,          ,I,,,
OR,030335,#5,ACER SHIR AUTUMN MOON,Acer shirasawanum 'Autumn Moon'                             ,Autumn Moon Fullmoon Maple                                  ,TRE,05,-,"36""H",, 76 ,     , 76 , 5 , 61.00 ,014949193495,          ,I,,,
OR,03033M,#10 Squat,ACER SHIR AUTUMN MOON,Acer shirasawanum 'Autumn Moon'                             ,Autumn Moon Fullmoon Maple                                  ,TRE,05,-,"58""H",, 36 ,     , 36 , 2 , 124.00 ,014949193501,          ,I,,,
OR,058241,#1,ACHILLEA APRICOT DLGHT PP18738,"Achillea millefolium 'Apricot Delight' P.P.# 18,738         ",Tutti Frutti Apricot Delight Yarrow                         ,PRN,04,-,CAN FULL,PS0, 115 ,     , 115 , 10 , 5.25 ,014949357941,          , ,,,
OR,000511,#1,ACHILLEA OERTEL'S ROSE,Achillea millefolium 'Oertel's Rose'                        ,Oertel's Rose Yarrow                                        ,PRN,03,-,CAN FULL,PS0, 276 ,     , 276 , 10 , 5.25 ,014949002506,          , ,,,
OR,058251,#1,ACHILLEA STRWBRY SDCTN P18401,"Achillea millefolium 'Strawberry Seduction' P.P.# 18,401    ",Strawberry Seduction Yarrow                                 ,PRN,03,-,CAN FULL,PS0, 221 ,     , 221 , 10 , 5.25 ,014949357965,          , ,,,
OR,001351,#1,ACHILLEA X MOONSHINE,Achillea x 'Moonshine'                                      ,Moonshine Yarrow                                            ,PRN,03,-,CAN FULL,PS3, 146 ,     , 146 , 10 , 5.25 ,014949013519,          , ,,,
OR,096081,#1 STAKED,ACTINIDIA ARG HARDY MALE,Actinidia arguta (Male)                                     ,Hardy Kiwi (Male)                                           ,VIN,04,-,FULL STK,, 241 ,     , 241 , 10 , 11.75 ,014949375518,          ,I,,,
OR,096085,#5 STAKED,ACTINIDIA ARG HARDY MALE,Actinidia arguta (Male)                                     ,Hardy Kiwi (Male)                                           ,VIN,04,-,FULL STK,, 138 ,     , 138 , 5 , 32.00 ,014949375525,          ,I,,,
OR,001391,#1 STAKED,ACTINIDIA ARG ISSAI (FEMALE),Actinidia arguta 'Issai' (Self-fertile female)              ,Hardy Kiwi Vine                                             ,VIN,04,-,3/4 STK,, 87 ,     , 87 , 10 , 11.75 ,014949013915,          , ,,,
OR,056411,#1 STAKED,ACTINIDIA TETRA  VAR MALOIDES,Actinidia tetramera var. maloides                           ,Rosy Crabapple Kiwi                                         ,VIN,06,-,FULL STK,, 319 ,     , 319 , 10 , 11.75 ,014949361832,          ,I,,,
