Branch,item,Description,Category,Shippable,"Open
Now","Rep
Allocation","Rep
Orders","Now Available
For Rep",Price,Code,Future
170000,401292S,BUD LO&BEHLD R PINK MICRO CHIP,DCS,,,,,,,,
170000,013902,BUXUS S GREEN TOWER R PP15243,EVS,,,,,,,,
170000,013905,BUXUS S GREEN TOWER R PP15243,EVS,,,,,,,,
170000,013981,BUXUS SEMP SUFFRUTICOSA,EVS,,,,,,,,
170000,013882,BUXUS SEMP VARIEGATA,EVS,,,,,,,,
170000,023307,CEDRUS ATLANTICA GLAUCA,CON,,,,,,,,
170000,023315SE,CEDRUS ATLANTICA GLAUCA PNDULA,CON,,,,,,,,
170000,023315ST,CEDRUS ATLANTICA GLAUCA PNDULA,CON,,,,,,,,
170000,082452,CHAM PIS GOLDEN MOP,CON,,,,,,,,
170000,01961M,CORNUS KOUSA WOLF EYES,TRE,,,,,,,,
170000,019615,CORNUS KOUSA WOLF EYES,TRE,,,,,,,,
170000,097211,ECHIN SMBRO TM FLMNCO ORNG,PRN,,,,,,,,
170000,086821,ECHIN SMBRO TM HOT CORL P23097,PRN,,,,,,,,
170000,086841,ECHIN SMBRO TM SALSA RD P23105,PRN,,,,,,,,
170000,087021,ECHINACEA CHEYENNE SPIRIT,PRN,,,,,,,,
170000,022831,ECHINACEA CRNBRY CUPCAKE PPAF,PRN,,,,,,,,
170000,038921,ECHINACEA MAC'N CHEESE PP19464,PRN,,,,,,,,
170000,402502,EUPATORIUM MAC BABY JOE,PRN,,,,,,,,
170000,019241,FERN-ATHYRIUM F LADY IN RED,FRN,,,,,,,,
170000,021221,FERN-DRYOPTERIS ERY BRILLIANCE,FRN,,,,,,,,
170000,023081,GERANIUM ROZANNE PP12175,PRN,,,,,,,,
170000,035911,GR-HAKONECHLOA MACRA ALL GOLD,GRS,,,,,,,,
170000,035911,GR-HAKONECHLOA MACRA ALL GOLD,GRS,,,,,,,,
