Branch,item,Description,Category,Shippable,"Open
Now","Rep
Allocation","Rep
Orders","Now Available
For Rep",Price,Code,Future
550000,03182M,#10 Squat,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,03033M,#10 Squat,EVS,39,4,0,0,4,$18.50 ,,
550000,002561,#1 STAKED,EVS,660,42,0,0,42,$8.50 ,,
,003562,#2,,,,,,,,,
,007772,#2,,,,,,,,,
,008302,#2,,,,,,,,,
,057112,#2,,,,,,,,,
,050021,#1,,,,,,,,,
,035381,#1,,,,,,,,,
,013905,#5,,,,,,,,,
,013981,#1,,,,,,,,,
,013881,#1,,,,,,,,,
,017385,#5,,,,,,,,,
,023682,#2,,,,,,,,,
,412571,#1,,,,,,,,,
,027865,#5,,,,,,,,,
,01961M,#10 Squat,,,,,,,,,
,028551,#1,,,,,,,,,
,029001,#1,,,,,,,,,
,028145,#5,,,,,,,,,
,022831,#1,,,,,,,,,
,054441,#1,,,,,,,,,
,032161,#1,,,,,,,,,
,017961,#1,,,,,,,,,
,032071,#1,,,,,,,,,
,036121,#1,,,,,,,,,
,005041,#1,,,,,,,,,
,021221,#1,,,,,,,,,
,017542,#2,,,,,,,,,
,037172,#2,,,,,,,,,
,037781,#1,,,,,,,,,
,035911,#1,,,,,,,,,
,044581,#1,,,,,,,,,
,064261,#1,,,,,,,,,
,039991,#1,,,,,,,,,
,075431,#1,,,,,,,,,
,414791,#1,,,,,,,,,
,054911,#1,,,,,,,,,
,412681,#1,,,,,,,,,
,041471,#1,,,,,,,,,
,017531,#1,,,,,,,,,
,041821,#1,,,,,,,,,
,007011,#1,,,,,,,,,
,029791,#1,,,,,,,,,
,074522S,SuperTwo,,,,,,,,,
,097872S,SuperTwo,,,,,,,,,
,080952S,SuperTwo,,,,,,,,,
,029922S,SuperTwo,,,,,,,,,
,031172,#2,,,,,,,,,
,045132,#2,,,,,,,,,
,045353,#3,,,,,,,,,
,021093,#3,,,,,,,,,
,046441,#1,,,,,,,,,
,046492S,SuperTwo,,,,,,,,,
,049032,#2,,,,,,,,,
,051752,#2,,,,,,,,,
,075741,#1,,,,,,,,,
,067831,#1 STAKED,,,,,,,,,
,060951,#1,,,,,,,,,
,062222,#2,,,,,,,,,
,062225,#5,,,,,,,,,
,062122,#2,,,,,,,,,
,062215,#5,,,,,,,,,
,039085,#5,,,,,,,,,
,039135,#5,,,,,,,,,
,047085,#5,,,,,,,,,
,052605,#5,,,,,,,,,
,044325,#5,,,,,,,,,
,052595,#5,,,,,,,,,
,047075,#5,,,,,,,,,
,409011,#1,,,,,,,,,
,06434UT,LittleOne,,,,,,,,,
,064341,#1,,,,,,,,,
,06445UT,LittleOne,,,,,,,,,
,06460UT,LittleOne,,,,,,,,,
,064552,#2,,,,,,,,,
,064562,#2,,,,,,,,,
,064621,#1,,,,,,,,,
,064622,#2,,,,,,,,,
,064625,#5,,,,,,,,,
,064695,#5,,,,,,,,,
,065085,#5,,,,,,,,,
,015161,#1,,,,,,,,,
,082045,#5,,,,,,,,,
,067102,#2,,,,,,,,,
,067155,#5,,,,,,,,,
,067175,#5,,,,,,,,,
,009805,#5,,,,,,,,,
,070212,#2,,,,,,,,,
,070501,#1,,,,,,,,,
,04487UT,LittleOne,,,,,,,,,
,06550UT,LittleOne,,,,,,,,,
,06559UT,LittleOne,,,,,,,,,
,06561UT,LittleOne,,,,,,,,,
,071805,#5,,,,,,,,,
,072145,#5,,,,,,,,,
,055972,#2,,,,,,,,,
,412851,#1,,,,,,,,,
,073955,#5,,,,,,,,,
,409972,#2,,,,,,,,,
