Loc,Order#,PO#,Item Number,Size,Plant Name,Plant Category,Zone,Common Name,Price Code,Minimum Ord Qty,Confirmed Qty Remaining,Confirmed Amount Remaining,2012 Qty Shipped  ,2013 Qty Shipped  ,2014 Qty Shipped  ,Retail Price
OR,1488620,SPRING 2015                   ,00075M,#10 Squat,ACER PAL BLOODGOOD,TRE,05,Bloodgood Japanese Maple                                                                            ,, 2 , 5 , 472.00 ,     ,     ,     ,     
OR,1488620,SPRING 2015                   ,00095MST,#10 Squat STAKED,ACER PAL CRIMSON QUEEN,TRE,05,Crimson Queen Japanese Maple                                                                        ,, 2 , 12 ," 1,132.80 ",     ,     ,     ,     
OR,1488620,SPRING 2015                   ,000952ST,#2 STAKED,ACER PAL CRIMSON QUEEN,TRE,05,Crimson Queen Japanese Maple                                                                        ,, 5 , 15 , 453.00 ,     ,     ,     ,     
CT,1488621,SPRING 2015                   ,000955,#5,ACER PAL CRIMSON QUEEN,TRE,05,Crimson Queen Japanese Maple                                                                        ,, 5 , 20 , 928.00 ,     ,     ,     ,     
OR,1488620,SPRING 2015                   ,00084M,#10 Squat,ACER PAL EMPEROR I R,TRE,05,Emperor I®  Japanese Maple                                                                          ,, 2 , 10 , 944.00 ,     ,     ,     ,     
OR,1488620,SPRING 2015                   ,010395ST,#5 STAKED,ACER PAL RED DRAGON,TRE,05,Red Dragon Japanese Maple                                                                           ,, 5 , 10 , 464.00 ,     ,     ,     ,     
CT,1488621,SPRING 2015                   ,400445,#5,ACER PAL RYUSEN PP18501,TRE,05,Ryusen Weeping Japanese Maple                                                                       ,, 5 , 10 , 464.00 ,     ,     ,     ,     
CT,1488621,SPRING 2015                   ,40043MST,#10 Squat STAKED,ACER PAL VIRIDIS,TRE,05,Viridis Japanese Maple                                                                              ,, 2 , 3 , 331.20 ,     ,     ,     ,     
CT,1488621,SPRING 2015                   ,400433ST,#3 STAKED,ACER PAL VIRIDIS,TRE,05,Viridis Japanese Maple                                                                              ,,     , 10 , 284.00 ,     ,     ,     ,     
CT,1488621,SPRING 2015                   ,400435ST,#5 STAKED,ACER PAL VIRIDIS,TRE,05,Viridis Japanese Maple                                                                              ,, 5 , 5 , 232.00 ,     ,     ,     ,     
OR,1488620,SPRING 2015                   ,03033M,#10 Squat,ACER SHIR AUTUMN MOON,TRE,05,Autumn Moon Fullmoon Maple                                                                          ,, 2 , 5 , 472.00 ,     ,     ,     ,     
OR,1488620,SPRING 2015                   ,030335,#5,ACER SHIR AUTUMN MOON,TRE,05,Autumn Moon Fullmoon Maple                                                                          ,, 5 , 5 , 232.00 ,     ,     ,     ,     
CT,1488621,SPRING 2015                   ,002535MU,#5 CLUMP,AMEL AUTUMN BRILLIANCE R,TRE,04,Autumn Brilliance®  Apple Serviceberry                                                              ,, 5 , 10 , 192.00 ,     ,     ,     ,     
CT,1488621,SPRING 2015                   ,000933,#3,ARONIA MEL VIKING,DCS,03,Viking Black Chokeberry                                                                             ,, 5 , 5 , 68.00 ,     ,     ,     ,     
CT,1488621,SPRING 2015                   ,400932S,SuperTwo,AZALEA CRIMSON CATE TM,RHO,05,Crimson Cate™  Azalea                                                                               ,, 5 , 40 , 464.00 ,     ,     ,     ,     
CT,1488621,SPRING 2015                   ,001813,#3,AZALEA GA KAREN,RHO,04,Karen Azalea                                                                                        ,, 5 , 40 , 456.00 ,     ,     ,     ,     
CT,1488621,SPRING 2015                   ,401033,#3,AZALEA KIMBERLYS DBL PINK,RHO,04,Kimberly's Double Pink Evergreen Azalea                                                             ,, 5 , 30 , 342.00 ,     ,     ,     ,     
CT,1488621,SPRING 2015                   ,402581S,SuperOne TM,BAM-FARGESIA SCABRIDA,GRS,06,Scabrida Bamboo                                                                                     ,, 10 , 20 , 180.00 ,     ,     ,     ,     
OR,1488620,SPRING 2015                   ,023941,#1,BER CRIMSON RUBY R PPAF,DCS,04,Crimson Ruby®  Japanese Barberry                                                                    ,, 10 , 40 , 240.00 ,     ,     ,     ,     
OR,1488620,SPRING 2015                   ,012033,#3,BER GOLDN NUGGET TM P9577 CBR,DCS,04,Golden Nugget™  Dwarf Japanese Barberry                                                             ,, 5 , 45 , 738.00 ,     ,     ,     ,     
CA,1489537,SPRING 2015                   ,074741S,SuperOne TM,BER SUNJOY R GOLD PILLAR PPAF,DCS,04,Sunjoy®  Gold Pillar Barberry                                                                       ,, 10 , 10 , 84.00 ,     ,     ,     ,     
OR,1488620,SPRING 2015                   ,074742S,SuperTwo,BER SUNJOY R GOLD PILLAR PPAF,DCS,04,Sunjoy®  Gold Pillar Barberry                                                                       ,, 5 , 19 , 258.40 ,     ,     ,     ,     
OR,1488620,SPRING 2015                   ,080771S,SuperOne TM,BER SUNJOY R MINI SALSA PPAF,DCS,04,Sunjoy®  Mini Salsa Barberry                                                                        ,, 10 , 20 , 168.00 ,     ,     ,     ,     
OR,1488620,SPRING 2015                   ,080772S,SuperTwo,BER SUNJOY R MINI SALSA PPAF,DCS,04,Sunjoy®  Mini Salsa Barberry                                                                        ,, 5 , 5 , 68.00 ,     ,     ,     ,     
OR,1488620,SPRING 2015                   ,002242,#2,BER T CONCORDE,DCS,04,Concorde Japanese Barberry                                                                          ,, 5 , 20 , 212.00 ,     ,     ,     ,     
OR,1488620,SPRING 2015                   ,012051,#1,BER T CRIMSON PYGMY,DCS,04,Crimson Pygmy Dwarf Japanese Barberry                                                               ,, 10 , 20 , 100.00 ,     ,     ,     ,     
OR,1488620,SPRING 2015                   ,012052,#2,BER T CRIMSON PYGMY,DCS,04,Crimson Pygmy Dwarf Japanese Barberry                                                               ,, 5 , 20 , 212.00 ,     ,     ,     ,     
OR,1488620,SPRING 2015                   ,035231,#1,BER T GOLDEN RUBY R PP16203,DCS,04,Golden Ruby®  Barberry                                                                              ,, 10 , 30 , 216.00 ,     ,     ,     ,     
OR,1488620,SPRING 2015                   ,035232,#2,BER T GOLDEN RUBY R PP16203,DCS,04,Golden Ruby®  Barberry                                                                              ,, 5 , 60 , 768.00 ,     ,     ,     ,     
OR,1488620,SPRING 2015                   ,012102,#2,BER T HELMOND PILLAR,DCS,04,Helmond Pillar Barberry                                                                             ,, 5 , 11 , 116.60 ,     ,     ,     ,     
OR,1488620,SPRING 2015                   ,012105,#5,BER T HELMOND PILLAR,DCS,04,Helmond Pillar Barberry                                                                             ,, 5 , 30 , 540.00 ,     ,     ,     ,     
CT,1488621,SPRING 2015                   ,062932,#2,BER T ORANGE ROCKET PP18411,DCS,04,Orange Rocket Barberry                                                                              ,, 5 , 45 , 504.00 ,     ,     ,     ,     
OR,1488620,SPRING 2015                   ,062935,#5,BER T ORANGE ROCKET PP18411,DCS,04,Orange Rocket Barberry                                                                              ,, 5 , 10 , 204.00 ,     ,     ,     ,     
OR,1488620,SPRING 2015                   ,035241,#1,BER T PYGMY RUBY TM,DCS,04,Pygmy Ruby™  Barberry                                                                               ,, 10 , 30 , 180.00 ,     ,     ,     ,     
OR,1488620,SPRING 2015                   ,012202,#2,BER T ROSE GLOW,DCS,04,Rose Glow Japanese Barberry                                                                         ,, 5 , 30 , 318.00 ,     ,     ,     ,     
GA,1489540,SPRING 2015                   ,074412S,SuperTwo,BUD LO&BEHLD R BLU CHP PP19991,DCS,05,Lo & Behold®  Blue Chip Dwarf Summer Lilac                                                          ,, 5 , 30 , 408.00 ,     ,     ,     ,     
CA,1489537,SPRING 2015                   ,077411S,SuperOne TM,BUD LO&BEHLD R PRPL HAZE PPAF,DCS,05,Lo & Behold®  Purple Haze Summer Lilac                                                              ,, 10 , 25 , 210.00 ,     ,     ,     ,     
CA,1489537,SPRING 2015                   ,077412S,SuperTwo,BUD LO&BEHLD R PRPL HAZE PPAF,DCS,05,Lo & Behold®  Purple Haze Summer Lilac                                                              ,, 5 , 30 , 408.00 ,     ,     ,     ,     
CA,1489537,SPRING 2015                   ,407622S,SuperTwo,BUD LO&BEHOLD BLU CHIP JR,DCS,05,Lo & Behold®  Blue Chip Jr. Butterfly Bush                                                          ,, 5 , 30 , 408.00 ,     ,     ,     ,     
GA,1489540,SPRING 2015                   ,013781,#1,BUDDLEJA DAV BLACK KNIGHT,DCS,05,Black Knight Butterfly Bush                                                                         ,, 10 , 50 , 250.00 ,     ,     ,     ,     
GA,1489540,SPRING 2015                   ,077391S,SuperOne TM,BUDDLEJA MISS MOLLY PPAF,DCS,05,Miss Molly Summer Lilac                                                                             ,, 10 , 40 , 304.00 ,     ,     ,     ,     
GA,1489540,SPRING 2015                   ,077392S,SuperTwo,BUDDLEJA MISS MOLLY PPAF,DCS,05,Miss Molly Summer Lilac                                                                             ,, 5 , 40 , 544.00 ,     ,     ,     ,     
CA,1489537,SPRING 2015                   ,074401S,SuperOne TM,BUDDLEJA X MISS RUBY PPAF,DCS,05,Miss Ruby Summer Lilac                                                                              ,, 10 , 40 , 304.00 ,     ,     ,     ,     
CT,1488621,SPRING 2015                   ,074402S,SuperTwo,BUDDLEJA X MISS RUBY PPAF,DCS,05,Miss Ruby Summer Lilac                                                                              ,, 5 , 40 , 544.00 ,     ,     ,     ,     
CA,1489537,SPRING 2015                   ,013822,#2,BUXUS GREEN MOUNTAIN,EVS,04,Green Mountain Boxwood                                                                              ,, 5 , 30 , 360.00 ,     ,     ,     ,     
OR,1488620,SPRING 2015                   ,013825,#5,BUXUS GREEN MOUNTAIN,EVS,04,Green Mountain Boxwood                                                                              ,, 5 , 30 , 612.00 ,     ,     ,     ,     
CA,1489537,SPRING 2015                   ,013825CN,#5 CONE,BUXUS GREEN MOUNTAIN,EVS,04,Green Mountain Boxwood                                                                              ,,     , 20 , 664.00 ,     ,     ,     ,     
OR,1488620,SPRING 2015                   ,013891,#1,BUXUS GREEN VELVET,EVS,04,Green Velvet Boxwood                                                                                ,, 10 , 120 , 720.00 ,     ,     ,     ,     
GA,1489540,SPRING 2015                   ,013892,#2,BUXUS GREEN VELVET,EVS,04,Green Velvet Boxwood                                                                                ,, 5 , 55 , 682.00 ,     ,     ,     ,     
OR,1488620,SPRING 2015                   ,013895,#5,BUXUS GREEN VELVET,EVS,04,Green Velvet Boxwood                                                                                ,, 5 , 60 ," 1,224.00 ",     ,     ,     ,     
OR,1488620,SPRING 2015                   ,013905,#5,BUXUS S GREEN TOWER R PP15243,EVS,05,Green Tower®  Boxwood                                                                               ,, 5 , 1 , 19.60 ,     ,     ,     ,     
CA,1489537,SPRING 2015                   ,022715PT,#5 PATIO TREE,CAMPSIS BALBOA SUNSET R,VIN,04,Balboa Sunset®  Trumpet Creeper                                                                     ,, 2 , 5 , 160.00 ,     ,     ,     ,     
OR,1488620,SPRING 2015                   ,022495,#5,CARAGANA ARB WALKER,TRE,03,Walker Siberian Peashrub                                                                            ,, 5 , 5 , 132.00 ,     ,     ,     ,     
CA,1489537,SPRING 2015                   ,022401,#1,CARY X BLUE MIST,DCS,05,Blue Mist Bluebeard                                                                                 ,, 10 , 50 , 250.00 ,     ,     ,     ,     
CA,1489537,SPRING 2015                   ,022891,#1,CARY X DARK KNIGHT,DCS,05,Dark Knight Bluebeard                                                                               ,, 10 , 50 , 250.00 ,     ,     ,     ,     
CT,1488621,SPRING 2015                   ,401767,#7,CERCIS C THE RISING SUN P21451,TRE,05,The Rising Sun™  Eastern Redbud                                                                     ,, 2 , 10 , 424.00 ,     ,     ,     ,     
CA,1489537,SPRING 2015                   ,023585BH,#5 BUSH,CERCIS CAN FOREST PANSY,TRE,05,Forest Pansy Redbud                                                                                 ,, 5 , 10 , 228.00 ,     ,     ,     ,     
CT,1488621,SPRING 2015                   ,023587,#7,CERCIS CAN FOREST PANSY,TRE,05,Forest Pansy Redbud                                                                                 ,, 2 , 15 , 660.00 ,     ,     ,     ,     
CT,1488621,SPRING 2015                   ,02355M,#10 Squat,CERCIS CANADENSIS,TRE,05,Eastern Redbud                                                                                      ,, 2 , 15 , 636.00 ,     ,     ,     ,     
CT,1488621,SPRING 2015                   ,01785M,#10 Squat,CERCIS LAVENDER TWIST R P10328,TRE,05,Lavender Twist®  Redbud                                                                             ,, 2 , 4 , 188.80 ,     ,     ,     ,     
CA,1489537,SPRING 2015                   ,017855,#5,CERCIS LAVENDER TWIST R P10328,TRE,05,Lavender Twist®  Redbud                                                                             ,, 5 , 5 , 132.00 ,     ,     ,     ,     
