Branch,item,Description,Category,Shippable,"Open
Now","Rep
Allocation","Rep
Orders","Now Available
For Rep",Price,Code,Future
,000705MU,ACER PAL ATROPURPUREUM-S.,,,81,0,0,81,$8.50 ,,5/1/2014
,000802,ACER PAL BURGUNDY LACE,,,4,0,0,4,$18.50 ,,
,030332,ACER SHIR AUTUMN MOON,,,42,0,0,42,$8.50 ,,
,058241,ACHILLEA APRICOT DLGHT PP18738,,,,,,,,,
,059041,AGASTACHE HEATWAVE PP19662,,,,,,,,,
,412511,AGASTACHE KDO CORAL PP25613,,,,,,,,,
,087422,ALOCASIA IVORY COAST PPAF,,,,,,,,,
,036901,AQUILEGIA CAE ORIGAMI RED &WT,,,,,,,,,
,003041,ARMERIA MAR BLOODSTONE,,,,,,,,,
,401081,BAPTISIA TWILITE PP19011,,,,,,,,,
,013051,BOUG PURPLE QUEEN R,,,,,,,,,
,013781,BUDDLEJA DAV BLACK KNIGHT,,,,,,,,,
,013823CN,BUXUS GREEN MOUNTAIN,,,,,,,,,
,013905,BUXUS S GREEN TOWER R PP15243,,,,,,,,,
,401343S,CALLICARPA PRPLE PEARLS TM PAF,,,,,,,,,
,022711,CAMPSIS BALBOA SUNSET R,,,,,,,,,
,029211,CANNA TROP BLACK TM PP21350,,,,,,,,,
,023905,CHAM OBT FILICOIDES,,,,,,,,,
,082452,CHAM PIS GOLDEN MOP,,,,,,,,,
,024191,CHELONE HOT LIPS,,,,,,,,,
,407861,CHRY (LEUCA) X REAL GLORY,,,,,,,,,
,015901,CLEM X BLUE LIGHT R PP15953,,,,,,,,,
,027261,CLEM X JACKMANII,,,,,,,,,
,081531,CLETHRA ALNIFOLIA,,,,,,,,,
,408495,COLOCASIA RYL HWN R HAWAN PNCH,,,,,,,,,
,031731,CORD FESTIVAL TM BRGNDY P14224,,,,,,,,,
,018421,CORE CRUZIN' TM ELCTRC AVE PAF,,,,,,,,,
,027862,CORNUS ALBA IVORYHALO TM,,,,,,,,,
,084671,DELOS JWL OF DSRT RUBY P23453,,,,,,,,,
,004591,DELPHINIUM GRAND BLUE MIRROR,,,,,,,,,
,412601,DIAN WHETMAN STARS SUPERSTAR,,,,,,,,,
,402351,ECHIN DBL SCP TM RSPBRY P23117,,,,,,,,,
,407711,ECHIN VANILLA CUPCAKE,,,,,,,,,
,022831,ECHINACEA CRNBRY CUPCAKE PPAF,,,,,,,,,
,036281,ECHINACEA SUNDOWN TM PP17659,,,,,,,,,
,035575PT,EURYOPS PECT VIRIDIS,,,,,,,,,
,022061,FERN-ATHYRIUM BURG LACE P15072,,,,,,,,,
,018761,FERN-ATHYRIUM GHOST,,,,,,,,,
,037611,GAILLARDIA GOBLIN,,,,,,,,,
,036441,GAILLARDIA ORNGS&EMONS P17092,,,,,,,,,
,037701,GARDENIA AUGUST BEAUTY,,,,,,,,,
,023081,GERANIUM ROZANNE PP12175,,,,,,,,,
,028055,GR-ERIANTHUS RAVENNAE,,,,,,,,,
,061565,GR-MIS SIN GRACILLIMUS,,,,,,,,,
,044595,GR-MIS SIN LITTLE ZEBRA P13008,,,,,,,,,
,061665,GR-MIS SIN MORNING LIGHT,,,,,,,,,
,061572,GR-MIS SIN VARIEGATUS,,,,,,,,,
,064271,GR-PENN SET RUBRUM,,,,,,,,,
,040511,HEM HAPPY RETURNS,,,,,,,,,
,083981,HEM PINK PLAYMATE,,,,,,,,,
,046611,HEM PURPLE DE ORO,,,,,,,,,
,023101,HEUCHERA FROSTED VIOLET P15085,,,,,,,,,
,018661,HEUCHERA GREEN SPICE,,,,,,,,,
,049711,HEUCHERA SOUTHERN COMFORT PPAF,,,,,,,,,
,076241,HEUCHERELLA REDSTN FLLS P22394,,,,,,,,,
,041205,HIB R FULLMOON R,,,,,,,,,
,041591,HIB R THE PATH,,,,,,,,,
,002111,HIB SYR APHRODITE,,,,,,,,,
,031871,HOSTA ABIQUA DRINKING GOURD,,,,,,,,,
,006871,HOSTA BLUE ANGEL,,,,,,,,,
,403611,HOSTA EARTH ANGEL,,,,,,,,,
,093061,HOSTA ENTERPRISE,,,,,,,,,
,403491,HOSTA FRAGRANT BOUQUET,,,,,,,,,
,017521,HOSTA GUACAMOLE,,,,,,,,,
,403561,HOSTA PARADIGM,,,,,,,,,
,403621,HOSTA PRAYING HANDS,,,,,,,,,
,093111,HOSTA RAINFOREST SUNRISE,,,,,,,,,
,044671,HOSTA STAINED GLASS PPAF,,,,,,,,,
,093131,HOSTA VICTORY,,,,,,,,,
,082011,HOSTA X LIBERTY,,,,,,,,,
,041712,HYD ARB ANNABELLE,,,,,,,,,
,092753,HYD BLUE ENCHANTRESS R PP25209,,,,,,,,,
,074562S,HYD MAC CTYLN TM PARIS PP10906,,,,,,,,,
,074572S,HYD MAC CTYLN TM VENICE P10928,,,,,,,,,
,077462S,HYD MAC LD R BIG EASY PPAF,,,,,,,,,
,024373S,HYD PAN LIMELIGHT PP12874,,,,,,,,,
,074613S,HYD PAN PINKY WINKY TM PP16166,,,,,,,,,
,041701,HYD PETIOLARIS,,,,,,,,,
,084651,JUN C DAUB'S FROSTED,,,,,,,,,
,048002PP,JUN C MINT JULEP R,,,,,,,,,
,048131,JUN C SEA OF GOLD R PP17622,,,,,,,,,
,049901,JUN H ICEE BLUE R P9639,,,,,,,,,
,051751,JUN SA CALGARY CARPET R,,,,,,,,,
,051651,JUN SA MOOR-DENSE R,,,,,,,,,
,053305,JUN SC WICHITA BLUE,,,,,,,,,
,057311,LAVANDULA ANG MUNSTEAD,,,,,,,,,
,058401,LIGUSTRUM VICARYI,,,,,,,,,
,061195,MAN PNK PRFT R P11787-P6300547,,,,,,,,,
,09238UT,MAN SUN PAR R GARDEN CRIMSON,,,,,,,,,
,063742,PAEONIA X KANSAS (RED),,,,,,,,,
,063572,PAEONIA X KARL ROSENFIELD(RED),,,,,,,,,
,046072,PAEONIA X RASPBERRY SUNDAE(PK),,,,,,,,,
,063632,PAEONIA X SARAH BERNHARDT (PK),,,,,,,,,
,084781,PEROVSKIA LACEY BLUE PP20845,,,,,,,,,
,007251,PHLOX P WHITE FLAME R PP16259,,,,,,,,,
,034652,PHYSOCARPUS CENTER GLOW P16894,,,,,,,,,
,064621,PICEA GL CONICA,,,,,,,,,
,019371,PICEA GL CONICA TINY TOWER R,,,,,,,,,
,065081,PIERIS X FOREST FLAME,,,,,,,,,
,066782,POTENTILLA FROSTY R P10987,,,,,,,,,
,066772,POTENTILLA RED ACE,,,,,,,,,
,011061,PULMONARIA RASP SPLASH PP12138,,,,,,,,,
,009753,RHOD (H-1) NOVA ZEMBLA,,,,,,,,,
,009972,RHOD (H-1) PURPLE GEM,,,,,,,,,
,009555,RHOD (H-2) LORD ROBERTS,,,,,,,,,
,098562S,ROSA DRIFT R PEACH PP18542,,,,,,,,,
,406312S,ROSA DRIFT R POPCORN PPAF,,,,,,,,,
,022642S,ROSA DRIFT R RED PP17877,,,,,,,,,
,036292,ROSA FLWR CAR R AMBER PPAF,,,,,,,,,
,036382,ROSA FLWR CAR R PNK SUP P16276,,,,,,,,,
,071602,ROSA FLWR CAR R RED P11308,,,,,,,,,
,070212,ROSA FLWR CAR R WHITE P9573,,,,,,,,,
,042823S,ROSA KNCK OUT R DBL PNK P18507,,,,,,,,,
,030903S,ROSA KNCK OUT R DBL RD P16202,,,,,,,,,
,079382,RUBUS RSPBRY SHRTCKE TM P22141,,,,,,,,,
,039493,SALIX INTEGRA FLAMINGO PP17490,,,,,,,,,
,412691,SALVIA NEM BLUE MARVEL PPAF,,,,,,,,,
,044871,SEDUM RUP ANGELINA PPAF,,,,,,,,,
,412721,SEDUM SSPKLR R FIRE CRACKR PAF,,,,,,,,,
,007301,SEDUM SSPRKLR R LIME ZNGR PPAF,,,,,,,,,
,065591,SEMPERVIVUM BLACK,,,,,,,,,
,065601,SEMPERVIVUM GREEN WHEEL,,,,,,,,,
,070011,SEMPERVIVUM SILVER KING,,,,,,,,,
,075013S,SPIRAEA DBLPLAY R ARTIST PPAF,,,,,,,,,
