Loc,New Plant,Item,Size,Plant Name,Botanical Name,Common Name,Category 2,Category,Zone,Royalty Code,2015 List Price,Condition,Current Specs,Qty Allocated,Min Order Qty,Available         ,Available Later,On,Available Later,On,Available Later,On,x
CA,2011,068771S,SuperOne TM,AGAVE FILIFERA,Agave filifera ssp. filifera                                ,Thread Agave                                                ,Succulent/cactus/yucca,CAC,07,, 11.25 ,-,CAN FULL, 10 , 10 , 10 ,     ,          ,     ,          ,     ,          ,x
CA,2013,074172,#2,AGAVE UTAHENSIS SSP UTAHENSIS,Agave utahensis ssp. utahensis                              ,Utah Agave                                                  ,Succulent/cactus/yucca,CAC,06,, 18.75 ,-,8''S, 5 , 5 ,     , 16 ,05/01/15  ,     ,          ,     ,          ,x
CA,2011,058471,#1,AGASTACHE AUR APRICOT SPRITE,Agastache aurantiaca 'Apricot Sprite'                       ,Apricot Sprite Hyssop                                       ,Mid/late interm. flowering,PRN,05,, 4.90 ,,,     , 10 ,     , 110 ,05/01/15  ,     ,          ,     ,          ,x
CA,2013,078751S,SuperOne TM,AZ BLM-A-THON TM LVNDR PP21476,"Rhododendron x 'RLH14P19' P.P.# 21,476                      ",Bloom-A-Thon®  Lavender Reblooming Azalea,Azalea,RHO,06,PW, 10.50 ,-,"8""H - 8""S", 19 , 10 , 19 , 19 ,11/25/14  ,     ,          ,     ,          ,x
CA,2010,092891,#1,CARY CLA KORBALL BLU BALLOON R,Caryopteris x clandonensis 'Korball' Blue Balloon® ,Blue Balloon®  Bluebeard,Deciduous sumr flower'g shrub,DCS,05,KJU, 7.00 ,-,"12""H - 8""S *", 29 , 10 ,     , 133 ,04/01/15  ,     ,          ,     ,          ,x
CA,2013,088912,#2,CYNARA SCO GREEN GLOBE,Cynara scolymus 'Improved Green Globe'                      ,Improved Green Globe Artichoke                              ,Edible berries/fruit,PRN,06,, 14.75 ,-,"9""H - 10""S", 15 , 5 ,     , 110 ,02/15/15  ,     ,          ,     ,          ,x
CA,2014,090221,#1,DIANTHUS COSMIC TM PK SWRL PAF,Dianthus x 'Pink Swirl'                                     ,Cosmic™  Pink Swirl Dianthus,Mid spring border flowering,PRN,06,, 5.75 ,-,CAN FULL, 17 , 10 , 36 , 36 ,03/01/15  ,     ,          ,     ,          ,x
CA,2014,090211,#1,DIANTHUS COSMIC TM RD SWRL PAF,Dianthus x 'Red Swirl' P.P.A.F.                             ,Cosmic™  Red Swirl Dianthus,Mid spring border flowering,PRN,06,, 5.75 ,-,CAN FULL, 19 , 10 ,     , 19 ,04/01/15  ,     ,          ,     ,          ,x
CA,2013,084911,#1,FERN-POLYSTICHUM MUNITUM,Polystichum munitum                                         ,Western Sword Fern                                          ,Fern,FRN,05,, 6.75 ,,, 10 , 10 ,     , 10 ,03/01/15  ,     ,          ,     ,          ,x
CA,2014,097681,#1,FERN-POLYSTICHUM XIPHOPHYLLUM,                                                            ,                                                            ,Fern,FRN,06,, 6.75 ,,, 11 , 10 ,     , 11 ,03/01/15  ,     ,          ,     ,          ,x
CA,2013,089221,#1,GAILLARDIA FANFARE BLZE P23494,"Gaillardia x grandiflora 'Fanfare Blaze' P.P.#23,494        ",Fanfare Blaze Blanket Flower                                ,Mid spring border flowering,PRN,03,PHI, 5.75 ,,CAN FULL, 21 , 10 ,     , 83 ,03/01/15  ,     ,          ,     ,          ,x
CA,2014,411531,#1,GARVINEA ORANGINA R,"Gerbera x 'GARGORAN' P.P.# 22, 862                          ",Garvinea®  Orangina Gerbera Daisy,Tropical perennial,PRN,07,, 5.25 ,BUDS & BLOOMS,"6""H-6""S",     , 10 , 30 ,     ,          ,     ,          ,     ,          ,x
CA,2014,410441,#1,GARVINEA SOPHIE R,Gerbera x 'GARSOPHIE IMP' P.P.A.F.                          ,Garvinea®  Sophie Gerbera Daisy,Tropical perennial,PRN,07,, 5.25 ,-,"6'H-6""S",     , 10 , 108 ,     ,          ,     ,          ,     ,          ,x
CA,2014,410471,#1,GARVINEA SWEET DREAMS R,Gerbera x 'GARDREAMS' P.P.A.F.                              ,Garvinea®  Sweet Dreams Gerbera Daisy,Tropical perennial,PRN,07,, 5.25 ,-,"6""H-6""S",     , 10 , 143 ,     ,          , 29 ,03/01/15  ,     ,          ,x
CA,2014,410451,#1,GARVINEA SWEET GLOW R,Gerbera x 'GARGLOW IMP' P.P.A.F.                            ,Garvinea®  Sweet Glow Gerbera Daisy,Tropical perennial,PRN,07,, 5.25 ,BUDS & BLOOMS,"6""H-6""S",     , 10 , 60 ,     ,          ,     ,          ,     ,          ,x
