Branch,item,Description,Category,Shippable,"Open
Now","Rep
Allocation","Rep
Orders","Now Available
For Rep",Price,Code,Future
550000,049585,ABELIA CHIN BRONZ ANNIV R PPAF,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,006241,ABELIA CHIN BRONZ ANNIV R PPAF,EVS,39,4,0,0,4,$18.50 ,,
550000,063581,ABELIA CHIN RUBY ANNIV TM PPAF,EVS,660,42,0,0,42,$8.50 ,,
,001751,,,,,,,,,,
,001881,,,,,,,,,,
,059041,,,,,,,,,,
,021251,,,,,,,,,,
,412802,,,,,,,,,,
,066382,,,,,,,,,,
,015931,,,,,,,,,,
,037331,,,,,,,,,,
,045921,,,,,,,,,,
,045931,,,,,,,,,,
,003041,,,,,,,,,,
,003151,,,,,,,,,,
,412531,,,,,,,,,,
,003411,,,,,,,,,,
,023891,,,,,,,,,,
,011385,,,,,,,,,,
,023942,,,,,,,,,,
,012032,,,,,,,,,,
,074742S,,,,,,,,,,
,035233,,,,,,,,,,
,012102,,,,,,,,,,
,062932,,,,,,,,,,
,401302,,,,,,,,,,
,013562,,,,,,,,,,
,401432,,,,,,,,,,
,401435PT,,,,,,,,,,
,401422,,,,,,,,,,
,022711,,,,,,,,,,
,022381,,,,,,,,,,
,022551,,,,,,,,,,
,029211,,,,,,,,,,
,003201,,,,,,,,,,
,003221,,,,,,,,,,
,017411,,,,,,,,,,
,022481,,,,,,,,,,
,003961,,,,,,,,,,
,090182S,,,,,,,,,,
,401767,,,,,,,,,,
,058427,,,,,,,,,,
,024191,,,,,,,,,,
,027261,,,,,,,,,,
,068081,,,,,,,,,,
,075697,,,,,,,,,,
,074802S,,,,,,,,,,
,028552,,,,,,,,,,
,028145PT,,,,,,,,,,
,028155,,,,,,,,,,
,033711,,,,,,,,,,
,029892S,,,,,,,,,,
,091882,,,,,,,,,,
,004901,,,,,,,,,,
,035621,,,,,,,,,,
,031611,,,,,,,,,,
,085821,,,,,,,,,,
,069211,,,,,,,,,,
,402361,,,,,,,,,,
,402351,,,,,,,,,,
,086821,,,,,,,,,,
,086821,,,,,,,,,,
,007051,,,,,,,,,,
,054441,,,,,,,,,,
,062005,,,,,,,,,,
,033425P2,,,,,,,,,,
,033425P3,,,,,,,,,,
,019192S,,,,,,,,,,
,035402,,,,,,,,,,
,035572PT,,,,,,,,,,
,035785,,,,,,,,,,
,033032,,,,,,,,,,
,033015,,,,,,,,,,
,031413,,,,,,,,,,
,408831,,,,,,,,,,
,023081,,,,,,,,,,
,033975,,,,,,,,,,
,014081,,,,,,,,,,
,065801,,,,,,,,,,
,028051,,,,,,,,,,
,028052,,,,,,,,,,
,044581,,,,,,,,,,
,061641,,,,,,,,,,
,413081,,,,,,,,,,
,067261,,,,,,,,,,
,068041,,,,,,,,,,
,414781,,,,,,,,,,
,414791,,,,,,,,,,
,414811,,,,,,,,,,
,403231,,,,,,,,,,
,054911,,,,,,,,,,
,040875,,,,,,,,,,
,055245,,,,,,,,,,
,025205,,,,,,,,,,
,025205PT,,,,,,,,,,
,036981,,,,,,,,,,
,006871,,,,,,,,,,
,025101,,,,,,,,,,
,412681,,,,,,,,,,
,403611,,,,,,,,,,
,052631,,,,,,,,,,
,403863,,,,,,,,,,
,403673,,,,,,,,,,
,028225,,,,,,,,,,
,089953S,,,,,,,,,,
,080953S,,,,,,,,,,
,089943S,,,,,,,,,,
,403993,,,,,,,,,,
,074612S,,,,,,,,,,
,048162,,,,,,,,,,
,086322S,,,,,,,,,,
,080962S,,,,,,,,,,
,408931,,,,,,,,,,
,044932,,,,,,,,,,
,045132,,,,,,,,,,
,074955,,,,,,,,,,
,074943S,,,,,,,,,,
,019075,,,,,,,,,,
,046551,,,,,,,,,,
,071781,,,,,,,,,,
,047507P3,,,,,,,,,,
,049902,,,,,,,,,,
,051702,,,,,,,,,,
,054005,,,,,,,,,,
,053392,,,,,,,,,,
,057311,,,,,,,,,,
,020772,,,,,,,,,,
,057881,,,,,,,,,,
,058402,,,,,,,,,,
,058941,,,,,,,,,,
,009841,,,,,,,,,,
,059181,,,,,,,,,,
,067831,,,,,,,,,,
,059271,,,,,,,,,,
,059111,,,,,,,,,,
,059637TR,,,,,,,,,,
,060752,,,,,,,,,,
,060951,,,,,,,,,,
,402677,,,,,,,,,,
,402725,,,,,,,,,,
,402755,,,,,,,,,,
,061622,,,,,,,,,,
,061821,,,,,,,,,,
,047251,,,,,,,,,,
,061975,,,,,,,,,,
,063111,,,,,,,,,,
,039085,,,,,,,,,,
,047085,,,,,,,,,,
,052605,,,,,,,,,,
,052595,,,,,,,,,,
,047075,,,,,,,,,,
,062722,,,,,,,,,,
,002471,,,,,,,,,,
,002501,,,,,,,,,,
,405201,,,,,,,,,,
,405221,,,,,,,,,,
,010631,,,,,,,,,,
,405231,,,,,,,,,,
,019372,,,,,,,,,,
,049095,,,,,,,,,,
,066375PT,,,,,,,,,,
,066601,,,,,,,,,,
,066682,,,,,,,,,,
,066772,,,,,,,,,,
,043397,,,,,,,,,,
,066873,,,,,,,,,,
,066937,,,,,,,,,,
,011061,,,,,,,,,,
,405702,,,,,,,,,,
,009972,,,,,,,,,,
,010052,,,,,,,,,,
,081595,,,,,,,,,,
,098583,,,,,,,,,,
,071011,,,,,,,,,,
,071011,,,,,,,,,,
,055421,,,,,,,,,,
,039493,,,,,,,,,,
,070615PT,,,,,,,,,,
,412691,,,,,,,,,,
,019541,,,,,,,,,,
,020411,,,,,,,,,,
,070261,,,,,,,,,,
,070971,,,,,,,,,,
,412721,,,,,,,,,,
,007301,,,,,,,,,,
,06560UT,,,,,,,,,,
,06561UT,,,,,,,,,,
,06563UT,,,,,,,,,,
,011011,,,,,,,,,,
,011891,,,,,,,,,,
,071031,,,,,,,,,,
,042191,,,,,,,,,,
,012595,,,,,,,,,,
,072942,,,,,,,,,,
,072945,,,,,,,,,,
,072812,,,,,,,,,,
,072815,,,,,,,,,,
,015222,,,,,,,,,,
,072611,,,,,,,,,,
,073285,,,,,,,,,,
,073621,,,,,,,,,,
,075065,,,,,,,,,,
,013015,,,,,,,,,,
,075105,,,,,,,,,,
,073585,,,,,,,,,,
,073605,,,,,,,,,,
,409972,,,,,,,,,,
,077502S,,,,,,,,,,
,076392,,,,,,,,,,
,078712,,,,,,,,,,
,074711S,,,,,,,,,,
,017572,,,,,,,,,,
,077221,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
