Branch,item,Description,Category,Shippable,"Open
Now","Rep
Allocation","Rep
Orders","Now Available
For Rep",Price,Code,Future
550000,006241,ACHILLEA MILL SUMMER BERRIES,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,001751,AGAPANTHUS PETER PAN,EVS,39,4,0,0,4,$18.50 ,,
550000,001965,ALBIZIA JUL OMBRELLA TM,EVS,660,42,0,0,42,$8.50 ,,
,066382,ALST ROCK & ROLL R PP21001,,,,,,,,,
,037331,AQUILEGIA CAE ORIGAMI BLU & WT,,,,,,,,,
,045921,AQUILEGIA CAE ORIGAMI PNK & WT,,,,,,,,,
,045931,AQUILEGIA CAE ORIGAMI YELLOW,,,,,,,,,
,003041,ARMERIA MAR BLOODSTONE,,,,,,,,,
,003521,ASTILBE CHINENSIS PUMILA,,,,,,,,,
,003501,ASTILBE FANAL,,,,,,,,,
,001671,ASTILBE MONTGOMERY,,,,,,,,,
,001681,ASTILBE RED SENTINEL,,,,,,,,,
,003541,ASTILBE RHEINLAND,,,,,,,,,
,059151,ASTILBE VISION IN PINK PP11860,,,,,,,,,
,002781,BAPTISIA 'PURPLE SMOKE',,,,,,,,,
,012032,BER GOLDN NUGGET TM P9577 CBR,,,,,,,,,
,080772S,BER SUNJOY R MINI SALSA PPAF,,,,,,,,,
,035232,BER T GOLDEN RUBY R PP16203,,,,,,,,,
,012105,BER T HELMOND PILLAR,,,,,,,,,
,013051,BOUG PURPLE QUEEN R,,,,,,,,,
,013211,BOUG RASPBERRY ICE,,,,,,,,,
,012671BH,BOUG TORCH GLOW,,,,,,,,,
,035381,BRUNNERA MAC JACK FROST P13859,,,,,,,,,
,013781,BUDDLEJA DAV BLACK KNIGHT,,,,,,,,,
,013563,BUDDLEJA DAV ROYAL RED,,,,,,,,,
,013952,BUXUS J GREEN BEAUTY,,,,,,,,,
,025791,CAMPANULA BLU WATERFALL P13161,,,,,,,,,
,022711,CAMPSIS BALBOA SUNSET R,,,,,,,,,
,022381,CAMPSIS FLAVA,,,,,,,,,
,022551,CAMPSIS MADAME GALEN,,,,,,,,,
,029211,CANNA TROP BLACK TM PP21350,,,,,,,,,
,003201,CANNA TROPICAL BRONZE SCARLET,,,,,,,,,
,017411,CANNA TROPICANNA GLD TM P13809,,,,,,,,,
,022481,CANNA TROPICANNA TM PP10569,,,,,,,,,
,098077PX,CATEGORY POSTER-GRASSES,,,,,,,,,
,098267PX,CATEGORY POSTER-SHADE,,,,,,,,,
,098237PX,CATEGORY POSTER-VINES,,,,,,,,,
,412561,CHRY (LEU) REAL CHARMER PPAF,,,,,,,,,
,006351,CHRY (LEU) SUP REAL DREAM PPAF,,,,,,,,,
,404471,CHRY (LEUCA) DASY MY TM P21914,,,,,,,,,
,407861,CHRY (LEUCA) X REAL GLORY,,,,,,,,,
,023021,CHRYS (LEUCANTH) X SUP BECKY,,,,,,,,,
,023021,CHRYS (LEUCANTH) X SUP BECKY,,,,,,,,,
,023021,CHRYS (LEUCANTH) X SUP BECKY,,,,,,,,,
,404481,CHRYS (LEUCANTH) X SUP SANTE,,,,,,,,,
,004221,CHRYS (LEUCANTH) X SUP SNOWCAP,,,,,,,,,
,024752PT,CITRUS BEARSS SEEDLESS LIME,,,,,,,,,
,024822PT,CITRUS CLEMENTINE,,,,,,,,,
,024742,CITRUS DWF BEARSS SEEDLSS LIME,,,,,,,,,
,090661,CLEM ALP PAMELA JACKMAN,,,,,,,,,
,021862,CLEM SAPPHIRE INDIGO TMPP17012,,,,,,,,,
,056212,CLEM X WESTERPLATTE,,,,,,,,,
,027851,CORDYLINE AUS TORBAY DAZZLER,,,,,,,,,
,031701,CORDYLINE INDIVISA,,,,,,,,,
,068081,CORE BIGBANG TM RDSHFT PP20412,,,,,,,,,
,048081,COREOPSIS JETHRO TULL PP18789,,,,,,,,,
,028552,COT APICULATUS TOM THUMB,,,,,,,,,
,028145PT,COTINUS COG ROYAL PURPLE,,,,,,,,,
,028155,COTINUS X GRACE,,,,,,,,,
,089392,CROSSANDRA ORANGE MARMALADE,,,,,,,,,
,099517PX,DEER RESISTANT GDN-2 SIDED,,,,,,,,,
,075551,DELPHINIUM G MORPHO GRAND BLUE,,,,,,,,,
,004591,DELPHINIUM GRAND BLUE MIRROR,,,,,,,,,
,402243S,DEUTZIA YUKI SNOWFLAKE TM PPAF,,,,,,,,,
,059681,DIANTHUS FIRE STAR PP14895,,,,,,,,,
,035621,DICENTRA SPEC GOLD HEART,,,,,,,,,
,031611,DICENTRA X LUXURIANT,,,,,,,,,
,031611,DICENTRA X LUXURIANT,,,,,,,,,
,402351,ECHIN DBL SCP TM RSPBRY P23117,,,,,,,,,
,086821,ECHIN SMBRO TM HOT CORL P23097,,,,,,,,,
,086841,ECHIN SMBRO TM SALSA RD P23105,,,,,,,,,
,007051,ECHIN SUPREME CANTALOUPE PPAF,,,,,,,,,
,048651,ECHINACEA TIKI TORCH PP18839,,,,,,,,,
,048651,ECHINACEA TIKI TORCH PP18839,,,,,,,,,
,03450ECP,EUO F MOONSHADOW POSTER,,,,,,,,,
,410187PX,EXTRAORDINARY ITOH PEONIES,,,,,,,,,
,019241,FERN-ATHYRIUM F LADY IN RED,,,,,,,,,
,018761,FERN-ATHYRIUM GHOST,,,,,,,,,
,021221,FERN-DRYOPTERIS ERY BRILLIANCE,,,,,,,,,
,021221,FERN-DRYOPTERIS ERY BRILLIANCE,,,,,,,,,
,023831,GALIUM ODORATUM,,,,,,,,,
,023081,GERANIUM ROZANNE PP12175,,,,,,,,,
,005231,GERANIUM SANGUINEUM MAX FREI,,,,,,,,,
,038331,GERANIUM X CAN BIOKOVO,,,,,,,,,
,028051,GR-ERIANTHUS RAVENNAE,,,,,,,,,
,036671,GR-FESTUCA GLAUCA ELIJAH BLUE,,,,,,,,,
,035911,GR-HAKONECHLOA MACRA ALL GOLD,,,,,,,,,
,038681,GR-HAKONECHLOA MACRA AUREOLA,,,,,,,,,
,063591,GR-PENN ALO LITTLE BUNNY,,,,,,,,,
,054531,HEUCHERA MIDNIGHT BAYOU P21858,,,,,,,,,
,049711,HEUCHERA SOUTHERN COMFORT PPAF,,,,,,,,,
,046641,HEUCHERA VIL CARAMEL PP16560,,,,,,,,,
,033531,HEUCHERELLA STOPLIGHT PP16835,,,,,,,,,
,033531,HEUCHERELLA STOPLIGHT PP16835,,,,,,,,,
,002115,HIB SYR APHRODITE,,,,,,,,,
