Branch,item,Description,Category,Shippable,"Open
Now","Rep
Allocation","Rep
Orders","Now Available
For Rep",Price,Code,Future
550000,412802,ALOCASIA EBONY PPAF,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,003041,ARMERIA MAR BLOODSTONE,EVS,39,4,0,0,4,$18.50 ,,
550000,002691,ARMERIA MAR COTTON TAIL,EVS,660,42,0,0,42,$8.50 ,,
,019461,ARMERIA MAR RUBRIFOLIA,,,,,,,,,
,003151,ASPARAGUS MYERS,,,,,,,,,
,003401,ASTER ALMA POTSCHKE,,,,,,,,,
,001531,ASTER WOOD'S PINK,,,,,,,,,
,03523ECP,BER T GOLDEN RUBY R POSTER,,,,,,,,,
,035232,BER T GOLDEN RUBY R PP16203,,,,,,,,,
,002417PX,BRAZELBERRY POSTER,,,,,,,,,
,401181,BRUNNERA MAC SILVER HEART PPAF,,,,,,,,,
,090782,BUXUS GOLDEN TRIUMPH,,,,,,,,,
,01390ECP,BUXUS S GREEN TOWER R POSTER,,,,,,,,,
,013905,BUXUS S GREEN TOWER R PP15243,,,,,,,,,
,099527PX,CAT PSTR-FLWRNG SHRUBS-2 SIDED,,,,,,,,,
,099597PX,CATEG. POSTER-CONIFERS-2 SIDED,,,,,,,,,
,098267PX,CATEGORY POSTER-SHADE,,,,,,,,,
,099427PX,CLAY SOIL POSTER,,,,,,,,,
,028555PT,COT APICULATUS TOM THUMB,,,,,,,,,
,091882,DEUTZIA X NIKKO BLUSH NA74356,,,,,,,,,
,059681,DIANTHUS FIRE STAR PP14895,,,,,,,,,
,036471,DIANTHUS RASPBRY SWIRL PP14377,,,,,,,,,
,031611,DICENTRA X LUXURIANT,,,,,,,,,
,064111,ECHEVERIA RUFFLES,,,,,,,,,
,099637PX,EDIBLE POSTER,,,,,,,,,
,09895DIS,END CAP POSTER HOLDER,,,,,,,,,
,411947PX,FLOWER CARPET ROSES POSTER,,,,,,,,,
,035711,GAILLARDIA ARIZONA SUN,,,,,,,,,
,412631,GAILLARDIA FANFARE CITRNLA PAF,,,,,,,,,
,408801,GAILLARDIA SUNSET SNAPPY PPAF,,,,,,,,,
,058861,GAURA L GEYSER WHITE,,,,,,,,,
,037961,GAURA L SISKIYOU PINK,,,,,,,,,
,035681,GAURA L WHIRLING BUTTERFLIES,,,,,,,,,
,036481,GAURA PASSIONATE RAINBW P17002,,,,,,,,,
,408831,GERANIUM MISS HEIDI PPAF,,,,,,,,,
,023081,GERANIUM ROZANNE PP12175,,,,,,,,,
,040071,HEM JOAN SENIOR,,,,,,,,,
,040631,HEM PRAIRIE BLUE EYES,,,,,,,,,
,040291,HEM SUMMER WINE,,,,,,,,,
,083931,HEM SWIRLING WATER,,,,,,,,,
,036711,HEUCHERA CAROLINE PP20026,,,,,,,,,
,023101,HEUCHERA FROSTED VIOLET P15085,,,,,,,,,
,040451,HEUCHERA PALACE PURPLE,,,,,,,,,
,040721,HEUCHERA PLUM PUDDING,,,,,,,,,
,049711,HEUCHERA SOUTHERN COMFORT PPAF,,,,,,,,,
,046641,HEUCHERA VIL CARAMEL PP16560,,,,,,,,,
,046641,HEUCHERA VIL CARAMEL PP16560,,,,,,,,,
,074492S,HIB SYR LIL' KIM TM PP19547,,,,,,,,,
,068241S,HOSTA EMPRESS WU PP20774,,,,,,,,,
,006981,HOSTA MINUTEMAN,,,,,,,,,
,041881,HOSTA PATRIOT,,,,,,,,,
,041851,HOSTA WIDE BRIM,,,,,,,,,
,099737PX,HUMMING BIRD/BUTTERFLY 2/SIDED,,,,,,,,,
,04513ECP,ILEX X BERRI-MAGIC R ROY POSTE,,,,,,,,,
,045132,ILEX X BERRI-MAGIC R ROYALTY,,,,,,,,,
,045135,ILEX X BERRI-MAGIC R ROYALTY,,,,,,,,,
,02109ECP,ILEX X SCALLYWAG TM POSTER,,,,,,,,,
,021091,ILEX X SCALLYWAG TM PP21941,,,,,,,,,
,021093,ILEX X SCALLYWAG TM PP21941,,,,,,,,,
,046011,IRIS SIB RUFFLED VELVET,,,,,,,,,
,048002PP,JUN C MINT JULEP R,,,,,,,,,
,054091,JUSTICIA BRANDEGEANA,,,,,,,,,
,009791,LIRIOPE MUSCARI VARIEGATA,,,,,,,,,
,059587TR,MAG X BLACK TULIP PPAF,,,,,,,,,
,05958ECP,MAG X BLACK TULIP PPAF POSTER,,,,,,,,,
,061931,MUSA ACUM ENANO GIGANTE,,,,,,,,,
,061941,MUSA ACUM ZEBRINA,,,,,,,,,
,061971,MUSA BASJOO,,,,,,,,,
,411907PX,NEW VACC BNTFUL BLUE POSTER,,,,,,,,,
,054011,OENOTHERA VER SUNSET BOULEVARD,,,,,,,,,
,064531,PHLOX PAN ICE CAP,,,,,,,,,
,064545,PICEA ABIES CUPRESSINA,,,,,,,,,
,064625SP,PICEA GL CONICA,,,,,,,,,
,065453,PINUS MUGO PUMILIO,,,,,,,,,
,009755,RHOD (H-1) NOVA ZEMBLA,,,,,,,,,
,010052,RHOD (H-1) RAMAPO,,,,,,,,,
,024582,ROSA CARAMBA TM PP13396,,,,,,,,,
,071602,ROSA FLWR CAR R RED P11308,,,,,,,,,
,07160ECP,ROSA FLWR CAR R RED POSTER,,,,,,,,,
,055421,RUDBECKIA HIR CHERRY BRANDY,,,,,,,,,
,412691,SALVIA NEM BLUE MARVEL PPAF,,,,,,,,,
,044341,SALVIA SENSATION RSE TM P18230,,,,,,,,,
,41272UT,SEDUM SSPKLR R FIRE CRACKR PAF,,,,,,,,,
,41272UT,SEDUM SSPKLR R FIRE CRACKR PAF,,,,,,,,,
,025041,SEDUM X AUTUMN FIRE,,,,,,,,,
,411957PX,SUCCULENT PLANTS POSTER,,,,,,,,,
,012595,THUJA GREEN GIANT,,,,,,,,,
,047561,TIARELLA X SUGAR&SPICE PP16738,,,,,,,,,
,056232,VACC BOUNTIFUL BLUE R PP19381,,,,,,,,,
,073402,VACCINIUM CORYMBOSUM NORTHLAND,,,,,,,,,
,073742,VACCINIUM CORYMBOSUM PATRIOT,,,,,,,,,
,081712,VACCINIUM PEACH SORBET TM PPAF,,,,,,,,,
,081702,VACCINIUM X JELLY BEAN TM PPAF,,,,,,,,,
,058211,VIOLA CORNUTA ETAIN,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
