Branch,item,Description,Category,Shippable,"Open
Now","Rep
Allocation","Rep
Orders","Now Available
For Rep",Price,Code,Future
550000,000702,ACER PAL ATROPURPUREUM-S.,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,000752,ACER PAL BLOODGOOD,EVS,39,4,0,0,4,$18.50 ,,
550000,000805,ACER PAL BURGUNDY LACE,EVS,660,42,0,0,42,$8.50 ,,
,000915,ACER PAL SEIRYU,,,,,,,,,
,001135,ACER PLAT CRIMSON KING,,,,,,,,,
,001275,ACER RUB RED SUNSET R,,,,,,,,,
,001391,ACTINIDIA ARG ISSAI (FEMALE),,,,,,,,,
,001461,ACTINIDIA CH TOMURI (MALE),,,,,,,,,
,000575,AESCULUS X CARNEA FORT MCNAIR,,,,,,,,,
,001651,AGAPANTHUS AFRICANUS,,,,,,,,,
,002561,AKEBIA QUINATA SHIRO BANA,,,,,,,,,
,016631,ANDROMEDA POL BLUE ICE,,,,,,,,,
,015931,ANEMONE X HONORINE JOBERT,,,,,,,,,
,038561,ANEMONE X SERENADE,,,,,,,,,
,00269UT,ARMERIA MAR COTTON TAIL,,,,,,,,,
,01946UT,ARMERIA MAR RUBRIFOLIA,,,,,,,,,
,003151,ASPARAGUS MYERS,,,,,,,,,
,003521,ASTILBE CHINENSIS PUMILA,,,,,,,,,
,001671,ASTILBE MONTGOMERY,,,,,,,,,
,007072,AZALEA EX CANNON'S DOUBLE,,,,,,,,,
,008302,AZALEA EX KLONDYKE,,,,,,,,,
,008542,AZALEA EX RED SUNSET,,,,,,,,,
,008452,AZALEA GA ROSEBUD,,,,,,,,,
,025212,BAM-FARGESIA RUFA (CLUMP),,,,,,,,,
,012032,BER GOLDN NUGGET TM P9577 CBR,,,,,,,,,
,035232,BER T GOLDEN RUBY R PP16203,,,,,,,,,
,012202,BER T ROSE GLOW,,,,,,,,,
,02471M,BETULA N SUMR CASCADE PP15150,,,,,,,,,
,002345,BETULA NIGRA DURA HEAT R,,,,,,,,,
,012705PT,BOUG BARBARA KARST,,,,,,,,,
,077411S,BUD LO&BEHLD R PRPL HAZE PPAF,,,,,,,,,
,003011,BUXUS CHICAGOLAND GREEN R,,,,,,,,,
,090781,BUXUS GOLDEN TRIUMPH,,,,,,,,,
,013825SP,BUXUS GREEN MOUNTAIN,,,,,,,,,
,013891,BUXUS GREEN VELVET,,,,,,,,,
,013892,BUXUS GREEN VELVET,,,,,,,,,
,013702,BUXUS MIC FAULKNER,,,,,,,,,
,013705,BUXUS MIC FAULKNER,,,,,,,,,
,013902,BUXUS S GREEN TOWER R PP15243,,,,,,,,,
