Branch,item,Description,Category,Shippable,"Open
Now","Rep
Allocation","Rep
Orders","Now Available
For Rep",Price,Code,Future
160000,000702,ACER PAL ATROPURPUREUM-S.,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
160000,000752,ACER PAL BLOODGOOD,EVS,39,4,0,0,4,$18.50 ,,
160000,001055,ACER PAL OSHIO BENI,EVS,660,42,0,0,42,$8.50 ,,
160000,001212,ACER PAL SHAINA,,,,,,,,,
160000,000902ST,ACER PAL WATERFALL,,,,,,,,,
160000,001135,ACER PLAT CRIMSON KING,,,,,,,,,
550000,001651,AGAPANTHUS AFRICANUS,,,,,,,,,
170000,099571,AGAPANTHUS BABY PETE TMPP21705,,,,,,,,,
160000,002561,AKEBIA QUINATA SHIRO BANA,,,,,,,,,
550000,015931,ANEMONE X HONORINE JOBERT,,,,,,,,,
160000,038561,ANEMONE X SERENADE,,,,,,,,,
160000,00269UT,ARMERIA MAR COTTON TAIL,,,,,,,,,
160000,01946UT,ARMERIA MAR RUBRIFOLIA,,,,,,,,,
550000,003151,ASPARAGUS MYERS,,,,,,,,,
160000,007072,AZALEA EX CANNON'S DOUBLE,,,,,,,,,
160000,008302,AZALEA EX KLONDYKE,,,,,,,,,
160000,001812,AZALEA GA KAREN,,,,,,,,,
160000,025212,BAM-FARGESIA RUFA (CLUMP),,,,,,,,,
160000,035232,BER T GOLDEN RUBY R PP16203,,,,,,,,,
170000,012202,BER T ROSE GLOW,,,,,,,,,
550000,012705PT,BOUG BARBARA KARST,,,,,,,,,
170000,013825SP,BUXUS GREEN MOUNTAIN,,,,,,,,,
160000,013891,BUXUS GREEN VELVET,,,,,,,,,
160000,013892,BUXUS GREEN VELVET,,,,,,,,,
160000,013895,BUXUS GREEN VELVET,,,,,,,,,
550000,013955,BUXUS J GREEN BEAUTY,,,,,,,,,
550000,013701,BUXUS MIC FAULKNER,,,,,,,,,
170000,013702,BUXUS MIC FAULKNER,,,,,,,,,
160000,013902,BUXUS S GREEN TOWER R PP15243,,,,,,,,,
160000,013981,BUXUS SEMP SUFFRUTICOSA,,,,,,,,,
160000,03597UT,BUXUS WEE WILLIE R PP17007,,,,,,,,,
160000,014515,CALYCANTHUS FLORIDUS,,,,,,,,,
170000,401422,CAMP SMR JAZ TM SR GOLD P23918,,,,,,,,,
170000,022711,CAMPSIS BALBOA SUNSET R,,,,,,,,,
170000,022381,CAMPSIS FLAVA,,,,,,,,,
160000,023902,CHAM OBT FILICOIDES,,,,,,,,,
160000,023682,CHAM OBT GRACILIS,,,,,,,,,
160000,082402,CHAM PIS BABY BLUE,,,,,,,,,
160000,039512,CIMI S BLACK NEGLIGEE (ACTAEA),,,,,,,,,
170000,031721,CORDYLINE BAUERI,,,,,,,,,
550000,031721,CORDYLINE BAUERI,,,,,,,,,
160000,027795,CORNUS KOUSA SATOMI,,,,,,,,,
160000,030395,CORNUS X VENUS R PP16309,,,,,,,,,
160000,017455,CORYLUS AV CONTORTA-OWN ROOT,,,,,,,,,
160000,028551,COT APICULATUS TOM THUMB,,,,,,,,,
160000,028145PT,COTINUS COG ROYAL PURPLE,,,,,,,,,
170000,097991,DELOS JWL OF DSRT GARNT P23471,,,,,,,,,
160000,08467UT,DELOS JWL OF DSRT RUBY P23453,,,,,,,,,
160000,09859UT,DELOS JWL OF DSRT TOPAZ P23492,,,,,,,,,
160000,03420UT,DELOSPERMA COOPERI,,,,,,,,,
170000,078741,DELOSPERMA FIRE SPINNER R,,,,,,,,,
160000,029891S,DEUTZIA CHRDNY PERLS R PP16098,,,,,,,,,
160000,029892S,DEUTZIA CHRDNY PERLS R PP16098,,,,,,,,,
160000,031591,DEUTZIA HYBRIDA PINK-A-BOO R,,,,,,,,,
160000,091885,DEUTZIA X NIKKO BLUSH NA74356,,,,,,,,,
170000,033305SP,EUGENIA MYR GLOBULUS,,,,,,,,,
160000,019312,EUO A COLE'S COMPACT,,,,,,,,,
160000,035785,FAGUS SYL TRICOLOR,,,,,,,,,
550000,036121,FERN-ATHYRIUM NIP PICTUM,,,,,,,,,
160000,005041,FERN-DRYOPTERIS CELSA,,,,,,,,,
550000,005041,FERN-DRYOPTERIS CELSA,,,,,,,,,
170000,037801,GARDENIA VEITCHII,,,,,,,,,
160000,038355,GINKGO BIL AUTUMN GOLD,,,,,,,,,
160000,033975,GINKGO BIL JADE BUTTERFLIES,,,,,,,,,
160000,022581,GR-CAREX BUCHANANII,,,,,,,,,
170000,028051,GR-ERIANTHUS RAVENNAE,,,,,,,,,
170000,089291,GR-HAKONECHLOA FUBUKI PP21757,,,,,,,,,
160000,035911,GR-HAKONECHLOA MACRA ALL GOLD,,,,,,,,,
160000,038681,GR-HAKONECHLOA MACRA AUREOLA,,,,,,,,,
170000,061662,GR-MIS SIN MORNING LIGHT,,,,,,,,,
160000,067261,HELLE WJEWELS R CHERRY BLOSSOM,,,,,,,,,
160000,075431,HELLEBORUS X DOUBLE FANTASY,,,,,,,,,
160000,075491,HELLEBORUS X PICOTEE,,,,,,,,,
170000,034712,HIB MOS DAVE FLEMING PP21392,,,,,,,,,
170000,036322,HIB MOS STARDUST PP21479,,,,,,,,,
170000,074842S,HIB SYR CHINA CHIFFON TM PPAF,,,,,,,,,
170000,016962S,HIB SYR LAV CHIFFON TM PP12619,,,,,,,,,
160000,016761,HOSTA CHERRY BERRY,,,,,,,,,
160000,412681,HOSTA CURLY FRIES,,,,,,,,,
160000,041475,HOSTA EOLA SAPPHIRE,,,,,,,,,
160000,017525,HOSTA GUACAMOLE,,,,,,,,,
160000,041885,HOSTA PATRIOT,,,,,,,,,
160000,039475,HOSTA ROSEDALE GOLDEN GOOSE,,,,,,,,,
160000,083975,HOSTA SUM & SUBSTANCE,,,,,,,,,
160000,016305,HOSTA TOKUDAMA FLAVOCIRCINALIS,,,,,,,,,
550000,041712,HYD ARB ANNABELLE,,,,,,,,,
170000,092755,HYD BLUE ENCHANTRESS R PP25209,,,,,,,,,
550000,403763,HYD M NXT GEN PISTACHIO PPAF,,,,,,,,,
550000,403783,HYD M NXT GEN WDNG RNG P21161,,,,,,,,,
550000,074561S,HYD MAC CTYLN TM PARIS PP10906,,,,,,,,,
550000,074541S,HYD MAC CTYLN TM RIO,,,,,,,,,
550000,077465,HYD MAC LD R BIG EASY PPAF,,,,,,,,,
550000,074592S,HYD MAC LD R MOONLIGHT PP20020,,,,,,,,,
160000,074585,HYD MAC LD R STARLIGHT PP20019,,,,,,,,,
550000,089932S,HYD MAC PARAPLU TM PPAF,,,,,,,,,
170000,042072,HYD MAC PINK ELF R (PIA),,,,,,,,,
170000,089952S,HYD P LITTLE QUICK FIRE R PPAF,,,,,,,,,
170000,024372S,HYD PAN LIMELIGHT PP12874,,,,,,,,,
160000,024375,HYD PAN LIMELIGHT PP12874,,,,,,,,,
550000,042445PT,HYD PAN PINK DIAMOND,,,,,,,,,
170000,074612S,HYD PAN PINKY WINKY TM PP16166,,,,,,,,,
550000,080962S,HYD SER TUFF STUFF TM PPAF,,,,,,,,,
160000,042131,HYPERICUM FRONDOSUM SUNBURST,,,,,,,,,
160000,044932,ILEX CREN SKY PENCIL(SKY SNTRY,,,,,,,,,
160000,045092,ILEX X BERRI-MAGIC R KIDS,,,,,,,,,
160000,045132,ILEX X BERRI-MAGIC R ROYALTY,,,,,,,,,
160000,046492S,ITEA VIR LITTLE HENRY R P10988,,,,,,,,,
160000,054191,KERRIA J PLENIFLORA,,,,,,,,,
550000,404392,LAG VIOLET FILLI PP14267,,,,,,,,,
170000,056955PT,LANTANA CONFETTI TM,,,,,,,,,
160000,057265,LARIX DECIDUA,,,,,,,,,
170000,057291,LAURUS NOBILIS,,,,,,,,,
550000,00967UT,LIRIOPE MUSCARI BIG BLUE,,,,,,,,,
550000,009671,LIRIOPE MUSCARI BIG BLUE,,,,,,,,,
550000,00979UT,LIRIOPE MUSCARI VARIEGATA,,,,,,,,,
