Item,,Mid-Ship,Late Ship,Size,Loc,Minimum Quantity,Botanical Name,Common Name,Category,,Zone,Introduced, Oregon   , California  , Georgia   , Connecticut  ,UPC#,Available         ,Available Later,,On,Available Later,On,Available Later,On,, 2015 Price , Freight 
01200,1,,,1,OR,10,Berberis thunbergii 'Atropurpurea'                          ,Red Leaf Japanese Barberry                                  ,DCS,D Shrubs,04,    , $7.30 ,,,,014949120019,957,957,957,10/01/14  ,0,          ,0,          ,, $6.25 , $1.05 
01201,1,,,1,OR,10,Berberis thunbergii 'Cherry Bomb',Cherry Bomb®  Japanese Barberry,DCS,D Shrubs,04,    , $7.55 ,,,,014949120118,0,278,278,10/01/14  ,0,          ,0,          ,, $13.25 , $2.62 
00224,1,,,1,CA,10,Berberis thunbergii 'Concorde'                              ,Concorde Japanese Barberry                                  ,DCS,D Shrubs,04,    ,, $7.59 ,,,014949198063,0,233,233,03/01/15  ,0,          ,0,          ,, $6.50 , $1.05 
01205,1,,,1,CA,10,Berberis thunbergii 'Crimson Pygmy' ,Crimson Pygmy Dwarf Japanese Barberry                       ,DCS,D Shrubs,04,    ,, $7.34 ,,,014949120514,0,61,61,11/15/14  ,0,          ,0,          ,, $13.25 , $2.62 
02394,1,,,1,OR,10,Berberis thunbergii Crimson Ruby®,Crimson Ruby®  Japanese Barberry,DCS,D Shrubs,04,    , $8.55 ,,,,014949044438,1771,1771,1771,10/01/14  ,0,          ,0,          ,, $20.50 , $4.19 
01203,2,,,2,CA,5,"Berberis thunbergii 'Golden Nugget""",Golden Nugget™  Dwarf Japanese Barberry,DCS,D Shrubs,04,    , $15.87 , $15.98 ,,,014949120323,0,82,82,0,0,0,0,0,, $6.50 , $1.09 
07474,1S,,,SuperOne TM,CA,20,Berberis thunbergii 'Golden Pillar',Sunjoy®  Gold Pillar Barberry,DCS,D Shrubs,04,2011, $12.24 , $12.32 ,,,014949335642,0,2814,1411,0,1403,0,0,0,, $13.25 , $2.73 
03523,1,,,1,OR,10,Berberis thunbergii 'Golden Ruby',Golden Ruby®  Barberry,DCS,D Shrubs,04,    , $10.05 ,,,,014949213865,50,50,50,01/01/15  ,0,          ,0,          ,, $6.25 , $1.09 
40111,2,,,2,CT,5,Berberis thunbergii 'Golden Treasure',Golden Treasure™  Barberry,DCS,D Shrubs,04,    ,,,, $14.36 ,014949388990,0,17,17,09/01/14  ,0,          ,0,          ,, $13.25 , $2.73 
01210,1,,,1,OR,10,Berberis thunbergii 'Helmond Pillar'                        ,Helmond Pillar Barberry                                     ,DCS,D Shrubs,04,    , $7.55 ,,,,014949121016,17,17,17,10/01/14  ,0,          ,0,          ,, $19.25 , $4.19 
06293,1,,,1,CA,20,Berberis thunbergii 'Orange Rocket',Orange Rocket Barberry                                      ,DCS,D Shrubs,04,2012, $8.55 , $8.59 ,,,014949348093,0,1828,1828,0,0,0,0,0,, $7.50 , $1.05 
03524,1,,,1,OR,10,Berberis thunbergii 'Pygmy Ruby',Pygmy Ruby™  Barberry,DCS,D Shrubs,04,2010, $8.55 ,,,,014949214602,150,150,150,10/01/14  ,0,          ,0,          ,, $53.00 , $16.40 
01220,1,,,1,CA,10,Berberis thunbergii 'Rose Glow'                             ,Rose Glow Japanese Barberry                                 ,DCS,D Shrubs,04,    , $7.30 , $7.34 ,,,014949122013,34,144,144,0,0,0,0,0,, $15.50 , $2.62 
01221,2,,,2,OR,5,Berberis thunbergii 'Royal Burgundy',Royal Burgundy®  Barberry,DCS,D Shrubs,04,    , $18.62 ,,,,014949122129,856,856,856,10/01/14  ,0,          ,0,          ,, $13.25 , $2.73 
02966,2,,,2,OR,5,Berberis thunbergii 'Royal Cloak'                           ,Royal Cloak Japanese Barberry                               ,DCS,D Shrubs,04,    , $15.87 ,,,,014949070901,351,395,395,09/01/14  ,0,          ,0,          ,, $6.50 , $1.05 
08077,1S,,,SuperOne TM,OR,10,Berberis thunbergii Sunjoy®  Mini Salsa,Sunjoy®  Mini Salsa Barberry,DCS,D Shrubs,04,2014, $12.24 ,,,,014949359501,13,0,0,          ,0,          ,0,          ,, $10.50 , $1.82 
01193,2,,,2,OR,5,Berberis thunbergii 'Sunsation',Sunsation®  Japanese Barberry,DCS,D Shrubs,04,    , $15.87 ,,,,014949119327,0,90,90,10/01/14  ,0,          ,0,          ,, $17.00 , $3.64 
40129,2S,,,SuperTwo,GA,5,Buddleia Low & Behold Pink Micro Chip,Pink Micro Chip Butterfly Bush,DCS,D Shrubs,05,    ,,, $19.21 ,,014949388914,0,27,27,10/15/14  ,0,          ,0,          ,, $9.00 , $1.05 
40125,2,,,2,CT,5,Buddleia x Flutterby Petite™  Blue Heaven,Flutterby Petite™  Blue Heaven Butterfly Bush,DCS,D Shrubs,05,    ,,,, $11.11 ,014949389140,150,0,0,          ,0,          ,0,          ,, $16.00 , $2.62 
40127,2,,,2,CT,5,Buddleia x Flutterby Petite™  Tutti Fruitti Pink,Flutterby Petite™  Tutti Fruitti Pink Butterfly Bush,DCS,D Shrubs,05,    ,,,, * ,014949389157,90,0,0,          ,0,          ,0,          ,, $22.50 , $4.19 
03466,5,,,5,CA,5,Buddleja davidii Adonis Blue™ ,English Butterfly™  Adonis Blue™  Butterfly Bush,DCS,D Shrubs,05,    ,, $26.96 , $24.82 ,,014949350164,39,556,198,0,179,0,179,0,, $13.25 , $1.11 
01378,1,,,1,GA,10,Buddleja davidii 'Black Knight'                             ,Black Knight Butterfly Bush                                 ,DCS,D Shrubs,05,    ,,, $6.91 ,,014949137819,0,975,477,08/15/14  ,498,05/15/15  ,0,          ,, $6.50 , $1.05 
01377,1,,,1,GA,10,Buddleja davidii nanhoensis Petite Indigo®,Petite Indigo®  Dwarf Butterfly Bush,DCS,D Shrubs,05,    ,,, $6.91 ,,014949137710,0,16,8,08/15/14  ,8,05/15/15  ,0,          ,, $13.25 , $2.62 
01376,1,,,1,GA,10,Buddleja davidii nanhoensis Petite Plum®,Petite Plum®  Dwarf Butterfly Bush,DCS,D Shrubs,05,    ,,, $6.91 ,,014949137611,0,344,172,08/15/14  ,172,05/15/15  ,0,          ,, $22.50 , $5.23 
01357,1,,,1,CA,10,Buddleja davidii nanhoensis Petite Snow™,Petite Snow™  Butterfly Bush,DCS,D Shrubs,05,    ,, $7.34 , $6.91 ,,014949135716,0,160,160,0,0,0,0,0,, $7.50 , $1.09 
01379,1,,,1,CA,10,Buddleja davidii 'Pink Delight'                             ,Pink Delight Butterfly Bush                                 ,DCS,D Shrubs,05,    ,, $7.34 ,,,014949137918,0,116,116,04/01/15  ,0,          ,0,          ,, $16.00 , $2.73 
01356,1,,,1,CA,10,Buddleja davidii 'Royal Red'                                ,Royal Red Butterfly Bush                                    ,DCS,D Shrubs,05,    ,, $7.34 ,,,014949135617,0,391,391,04/01/15  ,0,          ,0,          ,, $25.50 , $5.23 
40130,2,,,2,CT,5,Buddleja davidii 'Summer Skies'                             ,Summer Skies Butterfly Bush                                 ,DCS,D Shrubs,05,    ,,,, $12.61 ,014949389171,151,0,0,          ,0,          ,0,          ,, $7.50 , $1.05 
07441,5,,,5,GA,5,Buddleja Lo & Behold®  Blue Chip,Lo & Behold®  Blue Chip Dwarf Summer Lilac,DCS,D Shrubs,05,2011,,, $29.32 ,,014949350195,0,5,5,05/15/15  ,0,          ,0,          ,, $15.50 , $2.62 
08081,1S,,,SuperOne TM,CA,10,Buddleja Lo & Behold®  'Ice Chip' ,Ice Chip Summer Lilac                                       ,DCS,D Shrubs,05,2012,, $12.32 ,,,014949360989,22,22,22,04/01/15  ,0,          ,0,          ,, $6.25 , $1.09 
08079,1S,,,SuperOne TM,CA,10,Buddleja Lo & Behold®  'Lilac Chip' ,Lo & Behold®  Lilac Chip Summer Lilac,DCS,D Shrubs,05,2012,, $12.32 ,,,014949345870,0,38,38,04/01/15  ,0,          ,0,          ,, $13.25 , $2.73 
