Branch,item,Description
OREGON,003075,ARONIA BRILLIANTISSIMA
OREGON,023941,BER CRIMSON RUBY R PPAF
OREGON,023942,BER CRIMSON RUBY R PPAF
OREGON,012031,BER GOLDN NUGGET TM P9577 CBR
OREGON,012032,BER GOLDN NUGGET TM P9577 CBR
OREGON,012033,BER GOLDN NUGGET TM P9577 CBR
OREGON,012001,BER T ATROPURPUREA
OREGON,012002,BER T ATROPURPUREA
OREGON,012011,BER T CHERRY BOMB R CPBR 3488
OREGON,012012,BER T CHERRY BOMB R CPBR 3488
OREGON,012013,BER T CHERRY BOMB R CPBR 3488
CALIFORNIA,002241,BER T CONCORDE
OREGON,002242,BER T CONCORDE
CALIFORNIA,012051,BER T CRIMSON PYGMY
OREGON,012052,BER T CRIMSON PYGMY
OREGON,012053,BER T CRIMSON PYGMY
OREGON,035231,BER T GOLDEN RUBY R PP16203
OREGON,035232,BER T GOLDEN RUBY R PP16203
OREGON,035233,BER T GOLDEN RUBY R PP16203
OREGON,012101,BER T HELMOND PILLAR
OREGON,012102,BER T HELMOND PILLAR
OREGON,012105,BER T HELMOND PILLAR
OREGON,062931,BER T ORANGE ROCKET PP18411
OREGON,062932,BER T ORANGE ROCKET PP18411
OREGON,035241,BER T PYGMY RUBY TM
OREGON,035242,BER T PYGMY RUBY TM
OREGON,012201,BER T ROSE GLOW
OREGON,012202,BER T ROSE GLOW
OREGON,012203,BER T ROSE GLOW
OREGON,012205,BER T ROSE GLOW
OREGON,012211,BER T ROYAL BURGUNDY R P9461
OREGON,012212,BER T ROYAL BURGUNDY R P9461
OREGON,012213,BER T ROYAL BURGUNDY R P9461
OREGON,029661,BER T ROYAL CLOAK
OREGON,029662,BER T ROYAL CLOAK
OREGON,029665,BER T ROYAL CLOAK
OREGON,011931,BER T SUNSATION R PP11332 CBR
OREGON,011932,BER T SUNSATION R PP11332 CBR
CALIFORNIA,013795PT,BUDDLEJA DAV PINK DELIGHT
OREGON,013991,CALLICARPA BOD PROFUSION
OREGON,013995,CALLICARPA BOD PROFUSION
OREGON,003175,CALLICARPA DICH EARLY AMETHYST
OREGON,014515,CALYCANTHUS FLORIDUS
OREGON,092891,CARY CLA KORBALL BLU BALLOON R
OREGON,092892,CARY CLA KORBALL BLU BALLOON R
OREGON,022895,CARY X DARK KNIGHT
OREGON,090185,CEPHALANTHUS SUGAR SHCK TM PAF
OREGON,027531,CLETHRA ALN RUBY SPICE
OREGON,027532,CLETHRA ALN RUBY SPICE
OREGON,081531,CLETHRA ALNIFOLIA
OREGON,027731,CORNUS ALBA ELEGANTISSIMA
OREGON,027732,CORNUS ALBA ELEGANTISSIMA
OREGON,027735,CORNUS ALBA ELEGANTISSIMA
OREGON,027735PT,CORNUS ALBA ELEGANTISSIMA
OREGON,027861,CORNUS ALBA IVORYHALO TM
OREGON,027862,CORNUS ALBA IVORYHALO TM
OREGON,027865,CORNUS ALBA IVORYHALO TM
OREGON,045281,CORNUS ALBA PRAIRIE FIRE AUREA
OREGON,045285,CORNUS ALBA PRAIRIE FIRE AUREA
OREGON,027751,CORNUS ALBA SIBIRICA
OREGON,027755,CORNUS ALBA SIBIRICA
OREGON,027801,CORNUS SERICEA FLAVIRAMEA
OREGON,027805,CORNUS SERICEA FLAVIRAMEA
OREGON,027821,CORNUS SERICEA ISANTI
OREGON,027825,CORNUS SERICEA ISANTI
OREGON,044701,CORNUS SERICEA KELSEYI
OREGON,044702,CORNUS SERICEA KELSEYI
OREGON,044705,CORNUS SERICEA KELSEYI
OREGON,017457,CORYLUS AV CONTORTA-OWN ROOT
OREGON,028501,COT APICULATUS
OREGON,028502,COT APICULATUS
OREGON,028505,COT APICULATUS
OREGON,028505PT,COT APICULATUS
OREGON,028551,COT APICULATUS TOM THUMB
OREGON,028552,COT APICULATUS TOM THUMB
OREGON,028555PT,COT APICULATUS TOM THUMB
OREGON,028311,COT HOR VARIEGATUS
OREGON,028312,COT HOR VARIEGATUS
OREGON,028315,COT HOR VARIEGATUS
OREGON,016612,COTINUS C GOLDEN SPIRIT P13082
OREGON,016615,COTINUS C GOLDEN SPIRIT P13082
OREGON,02814M,COTINUS COG ROYAL PURPLE
OREGON,028142,COTINUS COG ROYAL PURPLE
OREGON,028145,COTINUS COG ROYAL PURPLE
OREGON,028145PT,COTINUS COG ROYAL PURPLE
OREGON,02815M,COTINUS X GRACE
OREGON,028155,COTINUS X GRACE
OREGON,031381,CYTISUS ALLGOLD
OREGON,031382,CYTISUS ALLGOLD
OREGON,031385,CYTISUS ALLGOLD
OREGON,031362,CYTISUS LENA
OREGON,031365,CYTISUS LENA
OREGON,031455,CYTISUS MINSTEAD
OREGON,048531,CYTISUS PUR SPANISH GOLD R
OREGON,031571,DEUTZIA GRACILIS NIKKO
OREGON,031572,DEUTZIA GRACILIS NIKKO
OREGON,031591,DEUTZIA HYBRIDA PINK-A-BOO R
OREGON,031595,DEUTZIA HYBRIDA PINK-A-BOO R
OREGON,091882,DEUTZIA X NIKKO BLUSH NA74356
OREGON,091885,DEUTZIA X NIKKO BLUSH NA74356
OREGON,032032,ENKIANTHUS CAMPANULATUS
OREGON,019311,EUO A COLE'S COMPACT
OREGON,019312,EUO A COLE'S COMPACT
OREGON,019315,EUO A COLE'S COMPACT
OREGON,033601,EUO ALATUS COMPACTUS
OREGON,033602,EUO ALATUS COMPACTUS
OREGON,033605,EUO ALATUS COMPACTUS
OREGON,017541,FORSYTHIA X MAGICAL R GOLD
OREGON,017542,FORSYTHIA X MAGICAL R GOLD
OREGON,017545,FORSYTHIA X MAGICAL R GOLD
OREGON,037101,FORSYTHIA X SPRING GLORY
OREGON,037105,FORSYTHIA X SPRING GLORY
OREGON,037172,FOTHERGILLA GARDENII
OREGON,053531,FUCHSIA DEBRON'S BLACK CHERRY
OREGON,053532,FUCHSIA DEBRON'S BLACK CHERRY
OREGON,081762,FUCHSIA DEBRON'S FNNY VALNTINE
OREGON,081772,FUCHSIA DEBRON'S JOAN LOU
OREGON,051111,FUCHSIA DEBRON'S STORMY NIGHT
OREGON,037642,FUCHSIA SANTA CLAUS
OREGON,038121,GENISTA PIL GOLD FLASH
OREGON,038122,GENISTA PIL GOLD FLASH
OREGON,039285,HAMAMELIS X INT ARNOLD PROMISE
OREGON,039245,HAMAMELIS X INT DIANE
OREGON,039231,HAMAMELIS X INT JELENA
OREGON,039235,HAMAMELIS X INT JELENA
OREGON,041712,HYD ARB ANNABELLE
OREGON,041715,HYD ARB ANNABELLE
OREGON,092752,HYD BLUE ENCHANTRESS R PP25209
OREGON,092755,HYD BLUE ENCHANTRESS R PP25209
OREGON,038775,HYD MAC MINI PENNY TM PP15744
CALIFORNIA,041961,HYD MAC NIKKO BLUE
CALIFORNIA,041965,HYD MAC NIKKO BLUE
OREGON,042072,HYD MAC PINK ELF R (PIA)
CALIFORNIA,041975,HYD MAC PINK N PRETTY R
OREGON,042022,HYD PAN ANGEL'S BLUSH R P10751
OREGON,042025,HYD PAN ANGEL'S BLUSH R P10751
OREGON,093172,HYD QUER MUNCHKIN
OREGON,093175,HYD QUER MUNCHKIN
OREGON,042562,HYD QUER PEE WEE
OREGON,042565,HYD QUER PEE WEE
OREGON,048162,HYD QUER RUBY SLIPPERS
OREGON,048165,HYD QUER RUBY SLIPPERS
OREGON,042065,HYD QUER SNOW QUEEN
OREGON,065381,HYPERICUM AN IGNITE RED P19468
OREGON,065382,HYPERICUM AN IGNITE RED P19468
CALIFORNIA,065385,HYPERICUM AN IGNITE RED P19468
OREGON,042131,HYPERICUM FRONDOSUM SUNBURST
OREGON,042132,HYPERICUM FRONDOSUM SUNBURST
OREGON,042135,HYPERICUM FRONDOSUM SUNBURST
OREGON,046502,ITEA VIR HENRYS GARNET
