Category,item,Description
Deciduous Shrubs,020691,ABELIOPHYLLUM DIS ROSEUM
Deciduous Shrubs,020695,ABELIOPHYLLUM DIS ROSEUM
Deciduous Shrubs,003071,ARONIA BRILLIANTISSIMA
Deciduous Shrubs,003075,ARONIA BRILLIANTISSIMA
Deciduous Shrubs,003075MU,ARONIA BRILLIANTISSIMA
Deciduous Shrubs,023941,BER CRIMSON RUBY R PPAF
Deciduous Shrubs,023942,BER CRIMSON RUBY R PPAF
Deciduous Shrubs,02394M,BER CRIMSON RUBY R PPAF
Deciduous Shrubs,012031,BER GOLDN NUGGET TM P9577 CBR
Deciduous Shrubs,012031S,BER GOLDN NUGGET TM P9577 CBR
Deciduous Shrubs,012032,BER GOLDN NUGGET TM P9577 CBR
Deciduous Shrubs,012033,BER GOLDN NUGGET TM P9577 CBR
Deciduous Shrubs,074741S,BER SUNJOY R GOLD PILLAR PPAF
Deciduous Shrubs,074742S,BER SUNJOY R GOLD PILLAR PPAF
Deciduous Shrubs,080771S,BER SUNJOY R MINI SALSA PPAF
Deciduous Shrubs,080772S,BER SUNJOY R MINI SALSA PPAF
Deciduous Shrubs,012001,BER T ATROPURPUREA
Deciduous Shrubs,012002,BER T ATROPURPUREA
Deciduous Shrubs,012005,BER T ATROPURPUREA
Deciduous Shrubs,04921M,BER T BAGATELLE S4
Deciduous Shrubs,012011,BER T CHERRY BOMB R CPBR 3488
Deciduous Shrubs,012012,BER T CHERRY BOMB R CPBR 3488
Deciduous Shrubs,012013,BER T CHERRY BOMB R CPBR 3488
Deciduous Shrubs,01201M,BER T CHERRY BOMB R CPBR 3488
Deciduous Shrubs,002241,BER T CONCORDE
Deciduous Shrubs,002242,BER T CONCORDE
Deciduous Shrubs,002245,BER T CONCORDE
Deciduous Shrubs,012051,BER T CRIMSON PYGMY
Deciduous Shrubs,012051S,BER T CRIMSON PYGMY
Deciduous Shrubs,012052,BER T CRIMSON PYGMY
Deciduous Shrubs,012053,BER T CRIMSON PYGMY
Deciduous Shrubs,035231,BER T GOLDEN RUBY R PP16203
Deciduous Shrubs,035232,BER T GOLDEN RUBY R PP16203
Deciduous Shrubs,035233,BER T GOLDEN RUBY R PP16203
Deciduous Shrubs,03523M,BER T GOLDEN RUBY R PP16203
Deciduous Shrubs,035271,BER T GREEN HORNET TM
Deciduous Shrubs,035272,BER T GREEN HORNET TM
Deciduous Shrubs,035275,BER T GREEN HORNET TM
Deciduous Shrubs,012101,BER T HELMOND PILLAR
Deciduous Shrubs,012102,BER T HELMOND PILLAR
Deciduous Shrubs,012105,BER T HELMOND PILLAR
Deciduous Shrubs,012152,BER T KOBOLD
Deciduous Shrubs,020701,BER T LIME GLOW
Deciduous Shrubs,020702,BER T LIME GLOW
Deciduous Shrubs,020705,BER T LIME GLOW
Deciduous Shrubs,062931,BER T ORANGE ROCKET PP18411
Deciduous Shrubs,062931S,BER T ORANGE ROCKET PP18411
Deciduous Shrubs,062932,BER T ORANGE ROCKET PP18411
Deciduous Shrubs,062935,BER T ORANGE ROCKET PP18411
Deciduous Shrubs,035241,BER T PYGMY RUBY TM
Deciduous Shrubs,035242,BER T PYGMY RUBY TM
Deciduous Shrubs,012201,BER T ROSE GLOW
Deciduous Shrubs,012202,BER T ROSE GLOW
Deciduous Shrubs,012203,BER T ROSE GLOW
Deciduous Shrubs,012205,BER T ROSE GLOW
Deciduous Shrubs,012211,BER T ROYAL BURGUNDY R P9461
Deciduous Shrubs,012212,BER T ROYAL BURGUNDY R P9461
Deciduous Shrubs,012213,BER T ROYAL BURGUNDY R P9461
Deciduous Shrubs,029661,BER T ROYAL CLOAK
Deciduous Shrubs,029662,BER T ROYAL CLOAK
Deciduous Shrubs,029665,BER T ROYAL CLOAK
Deciduous Shrubs,011931,BER T SUNSATION R PP11332 CBR
Deciduous Shrubs,011932,BER T SUNSATION R PP11332 CBR
Deciduous Shrubs,074411S,BUD LO&BEHLD R BLU CHP PP19991
Deciduous Shrubs,074412S,BUD LO&BEHLD R BLU CHP PP19991
Deciduous Shrubs,074415,BUD LO&BEHLD R BLU CHP PP19991
Deciduous Shrubs,080811S,BUD LO&BEHLD R ICE CHIP PPAF
Deciduous Shrubs,080812S,BUD LO&BEHLD R ICE CHIP PPAF
Deciduous Shrubs,080791S,BUD LO&BEHLD R LILAC CHIP PPAF
Deciduous Shrubs,080792S,BUD LO&BEHLD R LILAC CHIP PPAF
Deciduous Shrubs,077411S,BUD LO&BEHLD R PRPL HAZE PPAF
Deciduous Shrubs,077412S,BUD LO&BEHLD R PRPL HAZE PPAF
Deciduous Shrubs,077415,BUD LO&BEHLD R PRPL HAZE PPAF
Deciduous Shrubs,034661S,BUDDLEJA DAV ADONIS BLUE TM
Deciduous Shrubs,034662S,BUDDLEJA DAV ADONIS BLUE TM
Deciduous Shrubs,034665,BUDDLEJA DAV ADONIS BLUE TM
Deciduous Shrubs,013781,BUDDLEJA DAV BLACK KNIGHT
Deciduous Shrubs,013782,BUDDLEJA DAV BLACK KNIGHT
Deciduous Shrubs,013783,BUDDLEJA DAV BLACK KNIGHT
Deciduous Shrubs,013785,BUDDLEJA DAV BLACK KNIGHT
Deciduous Shrubs,013785PT,BUDDLEJA DAV BLACK KNIGHT
Deciduous Shrubs,013721,BUDDLEJA DAV HARLEQUIN
Deciduous Shrubs,013722,BUDDLEJA DAV HARLEQUIN
Deciduous Shrubs,013725,BUDDLEJA DAV HARLEQUIN
Deciduous Shrubs,034671S,BUDDLEJA DAV PEACOCK TM
Deciduous Shrubs,034672S,BUDDLEJA DAV PEACOCK TM
Deciduous Shrubs,034675,BUDDLEJA DAV PEACOCK TM
Deciduous Shrubs,013771,BUDDLEJA DAV PETITE INDIGO R
Deciduous Shrubs,013772,BUDDLEJA DAV PETITE INDIGO R
Deciduous Shrubs,013773,BUDDLEJA DAV PETITE INDIGO R
Deciduous Shrubs,013775,BUDDLEJA DAV PETITE INDIGO R
Deciduous Shrubs,013775PT,BUDDLEJA DAV PETITE INDIGO R
Deciduous Shrubs,013761,BUDDLEJA DAV PETITE PLUM R
Deciduous Shrubs,013762,BUDDLEJA DAV PETITE PLUM R
Deciduous Shrubs,013763,BUDDLEJA DAV PETITE PLUM R
Deciduous Shrubs,013765,BUDDLEJA DAV PETITE PLUM R
Deciduous Shrubs,013765PT,BUDDLEJA DAV PETITE PLUM R
Deciduous Shrubs,013571,BUDDLEJA DAV PETITE SNOW TM
Deciduous Shrubs,013572,BUDDLEJA DAV PETITE SNOW TM
Deciduous Shrubs,013573,BUDDLEJA DAV PETITE SNOW TM
Deciduous Shrubs,013575,BUDDLEJA DAV PETITE SNOW TM
Deciduous Shrubs,013791,BUDDLEJA DAV PINK DELIGHT
Deciduous Shrubs,013792,BUDDLEJA DAV PINK DELIGHT
Deciduous Shrubs,013793,BUDDLEJA DAV PINK DELIGHT
Deciduous Shrubs,013795,BUDDLEJA DAV PINK DELIGHT
Deciduous Shrubs,013795PT,BUDDLEJA DAV PINK DELIGHT
Deciduous Shrubs,002881,BUDDLEJA DAV POTTER'S PURPLE
Deciduous Shrubs,002883,BUDDLEJA DAV POTTER'S PURPLE
Deciduous Shrubs,034681S,BUDDLEJA DAV PURPLE EMPEROR TM
Deciduous Shrubs,034682S,BUDDLEJA DAV PURPLE EMPEROR TM
Deciduous Shrubs,034685,BUDDLEJA DAV PURPLE EMPEROR TM
Deciduous Shrubs,013561,BUDDLEJA DAV ROYAL RED
Deciduous Shrubs,013562,BUDDLEJA DAV ROYAL RED
Deciduous Shrubs,013563,BUDDLEJA DAV ROYAL RED
Deciduous Shrubs,013565,BUDDLEJA DAV ROYAL RED
Deciduous Shrubs,013565PT,BUDDLEJA DAV ROYAL RED
Deciduous Shrubs,077391S,BUDDLEJA MISS MOLLY PPAF
Deciduous Shrubs,077392S,BUDDLEJA MISS MOLLY PPAF
Deciduous Shrubs,077395,BUDDLEJA MISS MOLLY PPAF
Deciduous Shrubs,013461,BUDDLEJA X ASIAN MOON
Deciduous Shrubs,013462,BUDDLEJA X ASIAN MOON
Deciduous Shrubs,013465,BUDDLEJA X ASIAN MOON
Deciduous Shrubs,074401S,BUDDLEJA X MISS RUBY PPAF
Deciduous Shrubs,074402S,BUDDLEJA X MISS RUBY PPAF
Deciduous Shrubs,074405,BUDDLEJA X MISS RUBY PPAF
Deciduous Shrubs,013991,CALLICARPA BOD PROFUSION
Deciduous Shrubs,013995,CALLICARPA BOD PROFUSION
Deciduous Shrubs,003175,CALLICARPA DICH EARLY AMETHYST
Deciduous Shrubs,092922,CALLICARPA DICH SUMMER SNOW R
Deciduous Shrubs,092925,CALLICARPA DICH SUMMER SNOW R
Deciduous Shrubs,014515,CALYCANTHUS FLORIDUS
Deciduous Shrubs,092891,CARY CLA KORBALL BLU BALLOON R
Deciduous Shrubs,092892,CARY CLA KORBALL BLU BALLOON R
Deciduous Shrubs,092895,CARY CLA KORBALL BLU BALLOON R
Deciduous Shrubs,094431,CARY HINT OF GOLD PP20608
Deciduous Shrubs,094432,CARY HINT OF GOLD PP20608
Deciduous Shrubs,094435,CARY HINT OF GOLD PP20608
Deciduous Shrubs,029871S,CARY INC SUNSHINE BLUE R PPAF
Deciduous Shrubs,029872S,CARY INC SUNSHINE BLUE R PPAF
Deciduous Shrubs,022401,CARY X BLUE MIST
Deciduous Shrubs,022402,CARY X BLUE MIST
Deciduous Shrubs,022405,CARY X BLUE MIST
Deciduous Shrubs,072461,CARY X CLA WHT SURPRISE P21146
Deciduous Shrubs,05933UT,CARY X CLAN LONGWOOD BLUE
Deciduous Shrubs,029881S,CARY X CLAN MINIBLEU PP14674
Deciduous Shrubs,029882S,CARY X CLAN MINIBLEU PP14674
Deciduous Shrubs,029885,CARY X CLAN MINIBLEU PP14674
Deciduous Shrubs,022891,CARY X DARK KNIGHT
Deciduous Shrubs,022892,CARY X DARK KNIGHT
Deciduous Shrubs,022895,CARY X DARK KNIGHT
Deciduous Shrubs,074421S,CARY X LIL MISS SNSHNE TM PPAF
Deciduous Shrubs,074422S,CARY X LIL MISS SNSHNE TM PPAF
Deciduous Shrubs,074431S,CEANOTHUS X MARIE BLEU TM PPAF
Deciduous Shrubs,074432S,CEANOTHUS X MARIE BLEU TM PPAF
Deciduous Shrubs,090182S,CEPHALANTHUS SUGAR SHCK TM PAF
Deciduous Shrubs,023501,CERATOSTIGMA WILLMOTTIANUM
Deciduous Shrubs,074441S,CHAEN DBLTKE TM OR STRM P20950
Deciduous Shrubs,074442S,CHAEN DBLTKE TM OR STRM P20950
Deciduous Shrubs,074451S,CHAEN DBLTKE TM PK STRM P20920
Deciduous Shrubs,074452S,CHAEN DBLTKE TM PK STRM P20920
Deciduous Shrubs,074771S,CHAEN DBLTKE TM SCR STRM PPAF
Deciduous Shrubs,074772S,CHAEN DBLTKE TM SCR STRM PPAF
Deciduous Shrubs,030821,CHAENOMELES CAMEO
Deciduous Shrubs,030822,CHAENOMELES CAMEO
Deciduous Shrubs,020722,CHAENOMELES JET TRAIL
Deciduous Shrubs,031001,CHAENOMELES SUPER RED R
Deciduous Shrubs,031002,CHAENOMELES SUPER RED R
Deciduous Shrubs,031051,CHAENOMELES TEXAS SCARLET
Deciduous Shrubs,031052,CHAENOMELES TEXAS SCARLET
Deciduous Shrubs,020742,CHAENOMELES TOYO-NISHIKI
Deciduous Shrubs,074462S,CLETHRA AL SUGARTINA TM P21561
Deciduous Shrubs,074465,CLETHRA AL SUGARTINA TM P21561
Deciduous Shrubs,027521,CLETHRA ALN HUMMINGBIRD
Deciduous Shrubs,027522,CLETHRA ALN HUMMINGBIRD
Deciduous Shrubs,027525,CLETHRA ALN HUMMINGBIRD
Deciduous Shrubs,027531,CLETHRA ALN RUBY SPICE
Deciduous Shrubs,027532,CLETHRA ALN RUBY SPICE
Deciduous Shrubs,027535,CLETHRA ALN RUBY SPICE
Deciduous Shrubs,020091,CLETHRA ALN SIXTEEN CANDLES
Deciduous Shrubs,020092,CLETHRA ALN SIXTEEN CANDLES
Deciduous Shrubs,074471S,CLETHRA ALN VNLA SPICE TM PPAF
Deciduous Shrubs,074472S,CLETHRA ALN VNLA SPICE TM PPAF
Deciduous Shrubs,074475,CLETHRA ALN VNLA SPICE TM PPAF
Deciduous Shrubs,081531,CLETHRA ALNIFOLIA
Deciduous Shrubs,081532,CLETHRA ALNIFOLIA
Deciduous Shrubs,055531,CLETHRA BARBINERVIS VARIEGATA
Deciduous Shrubs,055532,CLETHRA BARBINERVIS VARIEGATA
Deciduous Shrubs,055535,CLETHRA BARBINERVIS VARIEGATA
Deciduous Shrubs,027731,CORNUS ALBA ELEGANTISSIMA
Deciduous Shrubs,027732,CORNUS ALBA ELEGANTISSIMA
Deciduous Shrubs,027735,CORNUS ALBA ELEGANTISSIMA
Deciduous Shrubs,027735PT,CORNUS ALBA ELEGANTISSIMA
Deciduous Shrubs,082785,CORNUS ALBA HEDGEROW GOLD
Deciduous Shrubs,027861,CORNUS ALBA IVORYHALO TM
Deciduous Shrubs,027862,CORNUS ALBA IVORYHALO TM
Deciduous Shrubs,027865,CORNUS ALBA IVORYHALO TM
Deciduous Shrubs,045281,CORNUS ALBA PRAIRIE FIRE AUREA
Deciduous Shrubs,045285,CORNUS ALBA PRAIRIE FIRE AUREA
Deciduous Shrubs,027751,CORNUS ALBA SIBIRICA
Deciduous Shrubs,027755,CORNUS ALBA SIBIRICA
Deciduous Shrubs,027641,CORNUS CANADENSIS
Deciduous Shrubs,074801S,CORNUS S ARCTIC FIRE TM P18523
Deciduous Shrubs,074802S,CORNUS S ARCTIC FIRE TM P18523
Deciduous Shrubs,074805,CORNUS S ARCTIC FIRE TM P18523
Deciduous Shrubs,074791S,CORNUS SA ARCTIC SUN TM P19892
Deciduous Shrubs,074792S,CORNUS SA ARCTIC SUN TM P19892
Deciduous Shrubs,027801,CORNUS SERICEA FLAVIRAMEA
Deciduous Shrubs,027805,CORNUS SERICEA FLAVIRAMEA
Deciduous Shrubs,027821,CORNUS SERICEA ISANTI
Deciduous Shrubs,027825,CORNUS SERICEA ISANTI
Deciduous Shrubs,044701,CORNUS SERICEA KELSEYI
Deciduous Shrubs,044702,CORNUS SERICEA KELSEYI
Deciduous Shrubs,044705,CORNUS SERICEA KELSEYI
Deciduous Shrubs,080841S,CORNUS STO PUCKERED UP TM PPAF
Deciduous Shrubs,080842S,CORNUS STO PUCKERED UP TM PPAF
Deciduous Shrubs,080845,CORNUS STO PUCKERED UP TM PPAF
Deciduous Shrubs,017945,CORYLOPSIS SPICATA
Deciduous Shrubs,017455,CORYLUS AV CONTORTA-OWN ROOT
Deciduous Shrubs,017457,CORYLUS AV CONTORTA-OWN ROOT
Deciduous Shrubs,028301,COT ACUTIFOLIUS
