Branch,item,Description,Category,Shippable,"Open
Now","Rep
Allocation","Rep
Orders","Now Available
For Rep",Price,Code,Future
550000,400445,ACER PAL RYUSEN PP18501,TRE,284,81,0,0,81,$8.50 ,,5/1/2014
550000,001881,AGAPANTHUS X MIDKNIGHT BLUE R,DCS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,001882,AGAPANTHUS X MIDKNIGHT BLUE R,DCS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,001995,ALBIZIA J SUMMER CHOC PP13822,TRE,284,81,0,0,81,$8.50 ,,5/1/2014
550000,001965,ALBIZIA JUL OMBRELLA TM,TRE,284,81,0,0,81,$8.50 ,,5/1/2014
550000,012315,BETULA JACQUEMONTII,TRE,284,81,0,0,81,$8.50 ,,5/1/2014
550000,074412S,BUD LO&BEHLD R BLU CHP PP19991,DCS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,074412S,BUD LO&BEHLD R BLU CHP PP19991,DCS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,080812S,BUD LO&BEHLD R ICE CHIP PPAF,DCS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,080812S,BUD LO&BEHLD R ICE CHIP PPAF,DCS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,080792S,BUD LO&BEHLD R LILAC CHIP PPAF,DCS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,080792S,BUD LO&BEHLD R LILAC CHIP PPAF,DCS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,013781,BUDDLEJA DAV BLACK KNIGHT,DCS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,013782,BUDDLEJA DAV BLACK KNIGHT,DCS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,013905,BUXUS S GREEN TOWER R PP15243,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,022381,CAMPSIS FLAVA,VIN,284,81,0,0,81,$8.50 ,,5/1/2014
550000,022551,CAMPSIS MADAME GALEN,VIN,284,81,0,0,81,$8.50 ,,5/1/2014
550000,029212,CANNA TROP BLACK TM PP21350,PRN,284,81,0,0,81,$8.50 ,,5/1/2014
550000,017412,CANNA TROPICANNA GLD TM P13809,PRN,284,81,0,0,81,$8.50 ,,5/1/2014
550000,022895,CARY X DARK KNIGHT,DCS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,023355,CEDRUS DEODARA,CON,284,81,0,0,81,$8.50 ,,5/1/2014
550000,023365,CEDRUS DEODARA AUREA,CON,284,81,0,0,81,$8.50 ,,5/1/2014
550000,023601,CESTRUM NOCTURNUM,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,082452,CHAM PIS GOLDEN MOP,CON,284,81,0,0,81,$8.50 ,,5/1/2014
550000,030442,CLIVIA BELGIAN HYB ORANGE,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,017455,CORYLUS AV CONTORTA-OWN ROOT,DCS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,030515,CUP LEY EMERALD ISLE R,CON,284,81,0,0,81,$8.50 ,,5/1/2014
550000,083041,CUPHEA HYS ITSY BITSY R LILAC,PRN,284,81,0,0,81,$8.50 ,,5/1/2014
550000,031202,CYTISUS BURKWOODII,DCS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,031362,CYTISUS LENA,DCS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,031352,CYTISUS LILAC TIME,DCS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,033602,EUO ALATUS COMPACTUS,DCS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,035402,EUO KIA MANHATTAN,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,035565,EURYOPS PECT MUNCHKIN,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,036785ES,FICUS CAR BROWN TURKEY,TRE,284,81,0,0,81,$8.50 ,,5/1/2014
550000,017611,GAULTHERIA RED BARON,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,002111,HIB SYR APHRODITE,DCS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,074491S,HIB SYR LIL' KIM TM PP19547,DCS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,403802,HYD END SUM R BLMSTRCK TM PPAF,DCS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,041965,HYD MAC NIKKO BLUE,DCS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,042605,ILEX AQ ARGENTEOMARGINATA,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,045673,ILEX X BLUE MAID,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,014883,ILEX X EMERALD MAGIC PP12314,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,045353,ILEX X LITTLE RASCAL R P9999,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,021092,ILEX X SCALLYWAG TM PP21941,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,084652,JUN C DAUB'S FROSTED,CON,284,81,0,0,81,$8.50 ,,5/1/2014
550000,047305,JUN C SPARTAN,CON,284,81,0,0,81,$8.50 ,,5/1/2014
550000,049252,JUN H BLUE CHIP,CON,284,81,0,0,81,$8.50 ,,5/1/2014
550000,052755,JUN SC MOONGLOW,CON,284,81,0,0,81,$8.50 ,,5/1/2014
550000,053305,JUN SC WICHITA BLUE,CON,284,81,0,0,81,$8.50 ,,5/1/2014
550000,053391,JUN SQUA BLUE STAR,CON,284,81,0,0,81,$8.50 ,,5/1/2014
550000,053392,JUN SQUA BLUE STAR,CON,284,81,0,0,81,$8.50 ,,5/1/2014
550000,054232,KALMIA LAT MINUET,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,054072,KALMIA LAT OLYMPIC FIRE,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,054191,KERRIA J PLENIFLORA,DCS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,080261,KNIPH PINEAPPL POPSICLE TM PAF,PRN,284,81,0,0,81,$8.50 ,,5/1/2014
550000,057291,LAURUS NOBILIS,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,057295PT,LAURUS NOBILIS,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,021475,LAURUS NOBILIS EMERALD WAVE R,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,057751,LEUCOTHOE FONT RAINBOW,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,086373S,LYCIUM BARB BIG LIFEBERRY R,DCS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,086383S,LYCIUM BARB SWEET LIFEBERRY R,DCS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,059435,MAG G LITTLE GEM,TRE,284,81,0,0,81,$8.50 ,,5/1/2014
550000,059437,MAG G LITTLE GEM,TRE,284,81,0,0,81,$8.50 ,,5/1/2014
