Branch,item,Description,
160000,074731S,ABELIA CHIN BRONZ ANNIV ® PPAF,
160000,074391S,ABELIA CHIN RUBY ANNIV ™ PPAF,
160000,000101,ABELIA EDWARD GOUCHER,
160000,000105,ABELIA EDWARD GOUCHER,
160000,028341,ABELIA GRA KALEIDOSCOPE P16988,
160000,028342,ABELIA GRA KALEIDOSCOPE P16988,
160000,028343,ABELIA GRA KALEIDOSCOPE P16988,
160000,028345,ABELIA GRA KALEIDOSCOPE P16988,
160000,025692,ABELIA GRA ROSE CREEK,
160000,025693,ABELIA GRA ROSE CREEK,
160000,400332S,ABELIA GRA SCENTED BLUSH  ™,
160000,000055,ABELIA GRANDIFLORA,
160000,000091,ABELIA PROSTRATA,
160000,000095,ABELIA PROSTRATA,
160000,086181S,ABELIA SUNNY ANNIVERSARY ™,
160000,086185,ABELIA SUNNY ANNIVERSARY ™,
160000,400343,ABELIA SUNSHNE DAYDRM PP20961,
160000,025981,BORONIA CREN SHARK BAY,
160000,025982,BORONIA CREN SHARK BAY,
160000,025282,CAESALPINIA GILLIESII,
160000,025285,CAESALPINIA GILLIESII,
160000,025285PT,CAESALPINIA GILLIESII,
160000,014031,CALLUNA CORBETT RED,
160000,029051,CALLUNA MRS. RONALD GRAY,
160000,020151,CALLUNA SANDY PPAF,
160000,023601,CESTRUM NOCTURNUM,
160000,023605,CESTRUM NOCTURNUM,
160000,083041,CUPHEA HYS ITSY BITSY R LILAC,
160000,030121,CUPHEA HYS ITSY BITSY R ROSE,
160000,083001,CUPHEA HYS ITSY BITSY R WHITE,
160000,033711,CUPHEA HYS RIVERDENE GOLD PPAF,
160000,030491,CUPHEA HYSSOPIFOLIA,
160000,030491SPT,CUPHEA HYSSOPIFOLIA,
160000,03049EPT,CUPHEA HYSSOPIFOLIA,
160000,032891,CUPHEA LLAVEA,
160000,093881,CUPHEA LLAVEA CHA CHA PPAF,
160000,093891,CUPHEA LLAVEA RUMBA PP17213,
160000,084121,CUPHEA MICROPETALA,
160000,057831,ERIOGONUM FASCICULATUM,
160000,057841,ERIOGONUM GRANDE RUBESCENS,
160000,02557UT,HYPERICUM X MOS TRICOLOR,
160000,04666UT,JATROPHA INT COMPACTA,
160000,046661,JATROPHA INT COMPACTA,
160000,046665,JATROPHA INT COMPACTA,
160000,046665PT,JATROPHA INT COMPACTA,
160000,054671,JATROPHA INT PETITE PINKIE ™,
160000,054675,JATROPHA INT PETITE PINKIE ™,
160000,054675PT,JATROPHA INT PETITE PINKIE ™,
160000,404275,KALMIA LAT BULLS EYE,
160000,019845,KALMIA LAT CAROL,
160000,404285,KALMIA LAT CAROUSEL,
160000,054162,KALMIA LAT ELF,
160000,054232,KALMIA LAT MINUET,
160000,054072,KALMIA LAT OLYMPIC FIRE,
160000,054075,KALMIA LAT OLYMPIC FIRE,
160000,404315,KALMIA LAT PINK CHARM,
160000,019865,KALMIA LAT SARAH,
160000,025402,LEUCOPHYLLUM C THUNDER CLOUDTM,
160000,046532,LEUCOPHYLLUM LAN BRAVE RIVER,
160000,025432,LEUCOPHYLLUM LAN LYNN'S LEGACY,
160000,025412,LEUCOPHYLLUM LAN RIO BRAVO R,
160000,025442,LEUCOPHYLLUM ZYG CIMARRON R,
160000,074395,or ,
160000,066371,PLUMBAGO ROYAL CAPE R,
160000,066372ST,PLUMBAGO ROYAL CAPE R,
160000,066375,PLUMBAGO ROYAL CAPE R,
160000,066375PT,PLUMBAGO ROYAL CAPE R,
160000,066375ST,PLUMBAGO ROYAL CAPE R,
160000,066361,PLUMBAGO WHITE CAPE R PP13953,
160000,066365,PLUMBAGO WHITE CAPE R PP13953,
160000,066365PT,PLUMBAGO WHITE CAPE R PP13953,
160000,091401,SALVIA L SANTA BARBARA PP12949,
160000,091405,SALVIA L SANTA BARBARA PP12949,
160000,071005,SOPHORA SECUNDIFLORA,
160000,071005PT,SOPHORA SECUNDIFLORA,
160000,012541,TECOMA STANS GOLD STAR,
160000,012542,TECOMA STANS GOLD STAR,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
