Branch,item,Description,
160000,000171ST,ABUTILON ALBUS,
160000,000175ST,ABUTILON ALBUS,
160000,000151ST,ABUTILON LUTEUS,
160000,000155ST,ABUTILON LUTEUS,
160000,098621,ABUTILON PICTUM THOMPSONII,
160000,098621ST,ABUTILON PICTUM THOMPSONII,
160000,000131ST,ABUTILON ROSEUS,
160000,000135PT,ABUTILON ROSEUS,
160000,000135ST,ABUTILON ROSEUS,
160000,000201ST,ABUTILON SUPER RED R,
160000,000205PT,ABUTILON SUPER RED R,
160000,000205ST,ABUTILON SUPER RED R,
160000,098611ST,ABUTILON TIGER EYE,
160000,000191ST,ABUTILON VESUVIUS RED,
160000,049741ST,ABUTILON X HYB CASCADE DAWN,
160000,040311,ALYOGYNE LEON'S PUR DELIGHT ™,
160000,040315,ALYOGYNE LEON'S PUR DELIGHT ™,
160000,040315PT,ALYOGYNE LEON'S PUR DELIGHT ™,
160000,040315ST,ALYOGYNE LEON'S PUR DELIGHT ™,
160000,002385PT,ALYOGYNE PURPLE DELIGHT ™,
160000,002421,ALYOGYNE SANTA CRUZ,
160000,002425,ALYOGYNE SANTA CRUZ,
160000,002425PT,ALYOGYNE SANTA CRUZ,
160000,002425ST,ALYOGYNE SANTA CRUZ,
160000,013431,BRUNFELSIA MAGNIFICA,
160000,013432,BRUNFELSIA MAGNIFICA,
160000,013435,BRUNFELSIA MAGNIFICA,
160000,027515,CLERODENDRUM UGANDENSE,
160000,027515PT,CLERODENDRUM UGANDENSE,
160000,040801,HIB R AMOUR,
160000,040802,HIB R AMOUR,
160000,040805,HIB R AMOUR,
160000,040805PT,HIB R AMOUR,
160000,056931,HIB R BLUE VIOLET #2,
160000,056935,HIB R BLUE VIOLET #2,
160000,040871,HIB R BRIDAL VEIL R,
160000,040875,HIB R BRIDAL VEIL R,
160000,040901,HIB R BRILLIANT,
160000,040905,HIB R BRILLIANT,
160000,040905PT,HIB R BRILLIANT,
160000,040905ST,HIB R BRILLIANT,
160000,055241,HIB R C'EST BON,
160000,055245,HIB R C'EST BON,
160000,040981,HIB R CHERIE,
160000,040985,HIB R CHERIE,
160000,040985PT,HIB R CHERIE,
160000,040985ST,HIB R CHERIE,
160000,041031,HIB R CROWN OF BOHEMIA,
160000,041035,HIB R CROWN OF BOHEMIA,
160000,041111,HIB R EMPIRE,
160000,041115,HIB R EMPIRE,
160000,041115PT,HIB R EMPIRE,
160000,025201,HIB R ERIN RACHEL,
160000,025205,HIB R ERIN RACHEL,
160000,025205PT,HIB R ERIN RACHEL,
160000,041151,HIB R FIESTA,
160000,041155,HIB R FIESTA,
160000,041155PT,HIB R FIESTA,
160000,017371,HIB R FLAMENCO FLAME ™,
160000,017375,HIB R FLAMENCO FLAME ™,
160000,017375ST,HIB R FLAMENCO FLAME ™,
160000,041201,HIB R FULLMOON R,
160000,041205,HIB R FULLMOON R,
160000,041205PT,HIB R FULLMOON R,
160000,041205ST,HIB R FULLMOON R,
160000,041251,HIB R GOLDEN DUST,
160000,041255,HIB R GOLDEN DUST,
160000,041255PT,HIB R GOLDEN DUST,
160000,055251,HIB R HEAT FLASH,
160000,055255,HIB R HEAT FLASH,
160000,060615PT,HIB R HOT BIKINI,
160000,041301,HIB R HULA GIRL,
160000,041305,HIB R HULA GIRL,
160000,041305PT,HIB R HULA GIRL,
160000,060585PT,HIB R KISS & TELL,
160000,041351,HIB R POWDER PUFF R,
160000,041355,HIB R POWDER PUFF R,
160000,091421,HIB R RED DARLING R,
160000,091425,HIB R RED DARLING R,
160000,091425PT,HIB R RED DARLING R,
160000,041501,HIB R RED DRAGON R,
160000,041505,HIB R RED DRAGON R,
160000,041505PT,HIB R RED DRAGON R,
160000,039791,HIB R SEMINOLE SINGLE,
160000,039795,HIB R SEMINOLE SINGLE,
160000,041591,HIB R THE PATH,
160000,041595,HIB R THE PATH,
160000,041595PT,HIB R THE PATH,
160000,055311,HIB R WHIPPED CREAM,
160000,055315,HIB R WHIPPED CREAM,
160000,089451,LANTANA BANDANA R PINK PP20555,
160000,089461,LANTANA BANDANA R ROSE IMP,
160000,089462,LANTANA BANDANA R ROSE IMP,
160000,056611,LANTANA CAM AMERICAN RED,
160000,056612,LANTANA CAM AMERICAN RED,
160000,056801,LANTANA CAM DWARF YELLOW,
160000,056871,LANTANA CAM LEMON SWIRL R,
160000,056641,LANTANA CAM MARY ANN,
160000,056641SPT,LANTANA CAM MARY ANN,
160000,056643PT,LANTANA CAM MARY ANN,
160000,05684UT,LANTANA CAM MISS HUFF,
160000,056841,LANTANA CAM MISS HUFF,
160000,056842,LANTANA CAM MISS HUFF,
160000,009131,LANTANA CAM MOZELLE,
160000,009133PT,LANTANA CAM MOZELLE,
160000,056851,LANTANA CAM RADIATION,
160000,056631,LANTANA CHAPEL HILL YLW P19548,
160000,056631SPT,LANTANA CHAPEL HILL YLW P19548,
160000,056633PT,LANTANA CHAPEL HILL YLW P19548,
160000,056635PT,LANTANA CHAPEL HILL YLW P19548,
