GA#,"Product 
Category",Category 2,Item,Size,"Stock
Type","Fall
Selling
Factor","Item
Selling
Factor","Cold 
Zone","Plant
Rank","Royalty 
Flag",Description,"Orig
Start Date","Ready/
Effective 
Date","Expire 
Date",WO#,Lot#,"Stock 
Location","Assembly 
Seq Priorty","WO 
Status",WIP Qty,F/G Qty,"Unit 
Cost","Extended
Cost","Next 
Location","Qty 
Committed",Qty Held,"Lot 
Status","Release 
Date","Last 
Cycle Count",Memo Lot1,Memo Lot2,Memo Lot3,Item Comment,Item Specs,"Plant Status
Best by Date","Comment 
Expiration 
Date","Intro 
Year","BMP 
Code","Crop 
Code","EQU 
Factor","EQUs
On Hand",Price,Value,
45- 500004,PRN,Mid/late interm. flowering,402361,1,S,100,A,04,,BHC,ECHIN DBL SCP TM BBLGM PP23103,08/07/14,04/15/15,11/30/15,158075,158075,4Q 11 E,,97,0,197,3.0401 ,598.90 ,,0,0,,,08/06/14,EMERGING,,,EMERGING,,PS0,4/16/2015,,A0,,1.00,197.00 ,5.75 ,"1,132.75 ",
45- 500004,PRN,Mid/late interm. flowering,412611,1,S,100,A,04,,BHC,ECHIN DBL SCP TM CRANBRY PPAF,08/08/14,05/01/15,11/30/15,158137,158137,4Q 11 E,,97,0,432,3.0122 ,"1,301.27 ",,0,0,,,,EMERGING,,,EMERGING,,PS0,4/16/2015,2015,A0,,1.00,432.00 ,5.75 ,"2,484.00 ",
45- 500051,PRN,Mid/late interm. flowering,408612X,2X,M,,A,04,C,BHC,ECHIN DBL SCP TM MANDARIN,06/20/14,09/01/15,12/31/15,0,NB7028,7GH2,,,0,44,4.9000 ,215.60 ,,0,0,,,,,,,,,,,5000,A0,,2.30,101.20 ,0.00 ,0.00 ,
45- 500004,PRN,Mid/late interm. flowering,402351,1,S,100,A,04,,BHC,ECHIN DBL SCP TM RSPBRY P23117,03/03/14,04/15/15,07/15/15,145083,145083,4MH7,,97,0,30,0.3945 ,11.84 ,,0,0,,,12/02/14,-,,,DORMANT,,PS0,7/25/2015,,A0,,1.00,30.00 ,5.75 ,172.50 ,
45- 500004,PRN,Mid/late interm. flowering,402381S,1S,S,100,A,04,,,ECHIN GOLDEN DAZZLE,04/15/15,04/15/15,07/01/15,0,C3-29891321-14,4MH7,,,0,78,2.9800 ,232.44 ,,0,0,,,08/06/14,,,,DORMANT,,PS0,7/25/2015,,A0,,1.40,109.20 ,7.50 ,585.00 ,
45- 500004,PRN,Mid/late interm. flowering,022281S,1S,S,100,A,05,,,ECHIN 'MARMALADE' PPAF,04/15/15,04/15/15,07/01/15,0,C3-29894791-14,4MH7,,,0,29,2.9800 ,86.42 ,,0,0,,,08/06/14,,MN GREEN,,DORMANT,,PS0,7/28/2015,2015,A0,,1.40,40.60 ,8.50 ,246.50 ,
45- 500051,PRN,Mid/late interm. flowering,408602X,2X,M,100,A,04,C,BHC,ECHIN SMBRO TM ADOBE ORNG,06/20/14,09/01/15,12/31/15,0,NB7029,7GH2,,,0,51,4.9000 ,249.90 ,,0,0,,,,,,,,,,,5000,A0,,2.30,117.30 ,0.00 ,0.00 ,
45- 500004,PRN,Mid/late interm. flowering,097211,1,S,100,A,04,,BHC,ECHIN SMBRO TM FLMNCO ORNG,08/04/14,05/01/15,11/30/15,157985,157985,4Q 10 W,,97,0,487,2.9690 ,"1,445.90 ",,0,0,,,,EMERGING,,,EMERGING,,PS0,4/16/2015,2014,A0,,1.00,487.00 ,5.75 ,"2,800.25 ",
45- 500004,PRN,Mid/late interm. flowering,086821,1,S,,A,04,,,ECHIN SMBRO TM HOT CORL P23097,08/04/14,05/01/15,11/30/15,157984,157984,4Q 10 W,,97,0,498,2.9320 ,"1,460.14 ",,0,0,,,,EMERGING,,,EMERGING,,PS0,4/16/2015,2014,A0,,1.00,498.00 ,5.75 ,"2,863.50 ",
45- 500004,PRN,Mid/late interm. flowering,086821S,1S,S,100,A,04,B,,ECHIN SMBRO TM HOT CORL P23097,03/06/14,04/15/15,06/01/15,145153,145153,4MH7,,97,0,5,0.1154 ,0.58 ,,0,0,,,08/06/14,,MN green,,DORMANT,,PS0,7/25/2015,2014,A0,,1.40,7.00 ,8.50 ,42.50 ,
45- 500004,PRN,Mid/late interm. flowering,086841,1,S,100,A,04,,BHC,ECHIN SMBRO TM SALSA RD P23105,08/04/14,05/01/15,11/30/15,157986,157986,4Q 10 W,,97,0,510,2.9395 ,"1,499.15 ",,0,0,,,,EMERGING,,,EMERGING,,PS0,4/16/2015,2014,A0,,1.00,510.00 ,5.75 ,"2,932.50 ",
45- 500004,PRN,Mid/late interm. flowering,007051,1,S,100,A,04,C,,ECHIN SUPREME CANTALOUPE PPAF,09/10/14,05/15/15,11/30/15,159599,159599,4Q 11 W,,45,"1,005",0,3.8767 ,"3,896.11 ",,0,0,,,,,MN green,,,,,,2013,A0,,1.00,"1,005.00 ",6.95 ,"6,984.75 ",
45- 500004,PRN,Mid/late interm. flowering,412621,1,S,,A,04,C,,ECHIN SUPREME FLAMINGO,08/01/14,05/01/15,11/30/15,157913,157913,4Q 10 E,,97,0,385,3.6616 ,"1,409.72 ",,0,0,,,,EMERGING,,,EMERGING,,PS0,4/16/2015,2015,A0,,1.00,385.00 ,5.75 ,"2,213.75 ",
45- 500004,PRN,Mid/late interm. flowering,402411S,1S,S,100,A,04,,,ECHIN TANGERINE THRILL,04/15/15,04/15/15,11/30/15,0,C3-29898021-14,4MH7,,,0,99,2.9800 ,295.02 ,,0,0,,,08/06/14,,,,DORMANT,,PS0,7/25/2015,,A0,,1.40,138.60 ,8.50 ,841.50 ,
45- 500004,PRN,Mid/late interm. flowering,407711,1,S,,A,05,,,ECHIN VANILLA CUPCAKE,08/01/14,05/15/15,11/30/15,157916,157916,4Q 10 W,,97,0,386,4.1008 ,"1,582.91 ",,0,0,,,,EMERGING,,,EMERGING,,PS0,4/16/2015,,A0,,1.00,386.00 ,6.95 ,"2,682.70 ",
45- 500004,PRN,Mid/late interm. flowering,087021,1,S,100,A,04,B,,ECHINACEA CHEYENNE SPIRIT,08/05/14,04/15/15,11/30/15,157992,157992,4Q 11 E,,97,0,396,1.7632 ,698.23 ,,0,0,,,,EMERGING,,,EMERGING,,PS0,4/16/2015,2013,A0,,1.00,396.00 ,5.75 ,"2,277.00 ",
