074731S,,,,SuperOne TM,GA,10,Abelia grandiflora Bronze Anniversary™,Bronze Anniversary™  Abelia,EVS,E Shrub,06,2011,,, $11.11 ,,014949335628,528,528,528,05/15/15  ,0,          ,0,          ,, $10.00 , $1.11 
074395,,,,5,GA,5,Abelia grandifolia Ruby Anniversary™                    ,Ruby Anniversary™  Abelia,EVS,E Shrub,05,2011,,, $24.32 ,,014949350089,97,175,175,10/01/14  ,0,          ,0,          ,, $21.00 , $3.32 
000105,,,,5,CA,5,Abelia x 'Edward Goucher'                                   ,Pink Abelia                                                 ,EVS,E Shrub,06,    ,, $25.21 ,,,014949001059,0,5,5,11/15/14  ,0,          ,0,          ,, $19.75 , $5.46 
000055,,,,5,CA,5,Abelia x grandiflora                                        ,Glossy Abelia                                               ,EVS,E Shrub,06,    ,, $25.21 ,,,014949000557,0,5,5,11/15/14  ,0,          ,0,          ,, $19.75 , $5.46 
028342,,,,2,CA,5,Abelia x grandiflora 'Kaleidoscope' ,Kaleidoscope Abelia                                         ,EVS,E Shrub,06,    ,, $18.73 ,,,014949063200,170,170,170,05/01/15  ,0,          ,0,          ,, $16.00 , $2.73 
028343,,,,3,CT,5,Abelia x grandiflora 'Kaleidoscope' ,Kaleidoscope Abelia                                         ,EVS,E Shrub,06,    ,,,, $22.04 ,014949207789,135,0,0,          ,0,          ,0,          ,, $20.50 , $1.54 
028345,,,,5,CA,10,Abelia x grandiflora 'Kaleidoscope' ,Kaleidoscope Abelia                                         ,EVS,E Shrub,06,, $27.23 , $27.46 ,,,014949063224,25,5,5,0,0,0,0,0,, $22.00 , $5.46 
400332S,,,,SuperTwo,CT,5,Abelia x grandiflora 'Scented Blush'                        ,Abelia Grandiflora Scented Blush                            ,EVS,E Shrub,06,    ,,,, * ,014949387825,261,0,0,          ,0,          ,0,          ,, * , $1.11 
400343,,,,3,CT,10,Abelia x grandiflora 'Sunshine Daydream' ,Sunshine Daydream Abelia                                    ,EVS,E Shrub,06,2014,,, $19.41 , $19.29 ,014949387832,178,1487,1487,42139,0,0,0,0,, $17.75 , $1.54 
025692,,,,2,GA,5,Abelia x 'Rose Creek'                                       ,Rose Creek Abelia                                           ,EVS,E Shrub,06,    ,,, $15.66 ,,014949116807,0,831,277,09/01/14  ,277,09/15/14  ,277,05/15/15  ,, $14.00 , $1.66 
016631,,,,1,OR,10,Andromeda polifolia 'Blue Ice'                              ,Blue Ice Bog Rosemary                                       ,EVS,E Shrub,02,    , $9.55 ,,,,014949000212,30,30,30,04/01/15  ,0,          ,0,          ,, $8.50 , $1.05 
016632,,,,2,OR,5,Andromeda polifolia 'Blue Ice'                              ,Blue Ice Bog Rosemary                                       ,EVS,E Shrub,02,    , $19.62 ,,,,014949000311,7,72,72,04/01/15  ,0,          ,0,          ,, $17.00 , $2.62 
002901,,,,1,CA,10,Arbutus unedo 'Compacta'                                    ,Compact Strawberry Bush                                     ,EVS,E Shrub,07,    ,, $7.59 ,,,014949029015,0,44,22,11/01/14  ,22,11/15/14  ,0,          ,, $6.50 , $1.09 
00290M,,,, 10 Squat,CA,2,Arbutus unedo 'Compacta'                                    ,Compact Strawberry Bush                                     ,EVS,E Shrub,07,    ,, $78.66 ,,,014949358696,0,58,58,03/02/15  ,0,          ,0,          ,, $59.00 , $19.66 
002905,,,,5,OR,5,Arbutus unedo 'Compacta'                                    ,Compact Strawberry Bush                                     ,EVS,E Shrub,07,    , $27.23 ,,,,014949029053,0,10,10,10/01/14  ,0,          ,0,          ,, $22.00 , $5.23 
002951,,,,1,OR,10,Arctostaphylos uva-ursi 'Massachusetts'                     ,Massachusetts Kinnikinnick                                  ,EVS,E Shrub,02,    , $10.55 ,,, $10.08 ,014949029510,176,660,660,0,0,0,0,0,, $9.50 , $1.05 
002911,,,,1,GA,10,Ardisia japonica 'Chirimen'                                 ,Chirimen Marlberry                                          ,EVS,E Shrub,06,    ,,, $6.66 ,,014949029114,0,572,164,09/01/14  ,408,05/15/15  ,0,          ,, $6.00 , $0.66 
003561,,,,1,CA,10,Aucuba japonica 'Mr. Goldstrike'                            ,Mr. Goldstrike Aucuba                                       ,EVS,E Shrub,06,    , $8.80 , $8.84 ,,,014949035610,0,29,29,0,0,0,0,0,, $7.75 , $1.09 
003562,,,,2,CA,5,Aucuba japonica 'Mr. Goldstrike'                            ,Mr. Goldstrike Aucuba                                       ,EVS,E Shrub,06,    , $18.12 , $18.23 , $17.16 ,,014949035627,328,435,435,0,0,0,0,0,, $15.50 , $2.73 
003565,,,,5,CA,5,Aucuba japonica 'Mr. Goldstrike'                            ,Mr. Goldstrike Aucuba                                       ,EVS,E Shrub,06,    , $28.73 , $28.96 , $26.82 ,,014949035658,508,8169,3172,0,4997,0,0,0,, $23.50 , $5.46 
003567,,,,7,GA,2,Aucuba japonica 'Mr. Goldstrike'                            ,Mr. Goldstrike Aucuba                                       ,EVS,E Shrub,06,    ,,, $63.41 ,,014949035672,0,49,49,05/15/15  ,0,          ,0,          ,, $54.00 , $9.41 
